Symbol,Date,Close,High,Low,Open,Volume,Name
MA,2006-05-25,4.6,4.605,4.02,4.03,394251000,MA
MA,2006-05-26,4.493,4.674,4.411,4.63,102220000,MA
MA,2006-05-29,4.493,4.674,4.411,4.63,0,MA
MA,2006-05-30,4.4,4.498,4.285,4.497,49892000,MA
MA,2006-05-31,4.494,4.536,4.435,4.435,29842000,MA
MA,2006-06-01,4.751,4.81,4.49,4.493,62258000,MA
MA,2006-06-02,4.699,4.87,4.679,4.85,36975000,MA
MA,2006-06-05,4.915,4.925,4.7,4.705,37026000,MA
MA,2006-06-06,4.83,5.063,4.78,4.998,48997000,MA
MA,2006-06-07,4.76,4.84,4.675,4.833,24997000,MA
MA,2006-06-08,4.772,4.772,4.55,4.76,34357000,MA
MA,2006-06-09,4.778,4.88,4.768,4.88,13372000,MA
MA,2006-06-12,4.695,4.825,4.63,4.8,14517000,MA
MA,2006-06-13,4.55,4.735,4.53,4.62,16262000,MA
MA,2006-06-14,4.512,4.545,4.444,4.49,15966000,MA
MA,2006-06-15,4.6,4.612,4.513,4.54,16495999,MA
MA,2006-06-16,4.502,4.6,4.5,4.55,12166000,MA
MA,2006-06-19,4.434,4.545,4.41,4.545,10764000,MA
MA,2006-06-20,4.402,4.5,4.347,4.474,23788000,MA
MA,2006-06-21,4.53,4.588,4.4,4.402,18062000,MA
MA,2006-06-22,4.66,4.695,4.588,4.64,13029000,MA
MA,2006-06-23,4.695,4.793,4.687,4.699,11571000,MA
MA,2006-06-26,4.75,4.75,4.643,4.695,8375999,MA
MA,2006-06-27,4.731,4.803,4.725,4.75,9824000,MA
MA,2006-06-28,4.696,4.74,4.65,4.685,8756000,MA
MA,2006-06-29,4.8,4.809,4.695,4.695,14459000,MA
MA,2006-06-30,4.8,4.8,4.66,4.765,25691000,MA
MA,2006-07-03,4.73,4.8,4.681,4.79,7029000,MA
MA,2006-07-04,4.73,4.8,4.681,4.79,0,MA
MA,2006-07-05,4.76,4.784,4.671,4.74,13249000,MA
MA,2006-07-06,4.68,4.735,4.679,4.725,7222000,MA
MA,2006-07-07,4.612,4.685,4.575,4.675,8380000,MA
MA,2006-07-10,4.649,4.657,4.612,4.62,4978000,MA
MA,2006-07-11,4.635,4.649,4.53,4.649,7949000,MA
MA,2006-07-12,4.555,4.64,4.554,4.64,7672000,MA
MA,2006-07-13,4.472,4.518,4.43,4.518,16552000,MA
MA,2006-07-14,4.395,4.468,4.39,4.462,9663000,MA
MA,2006-07-17,4.399,4.417,4.375,4.391,6448000,MA
MA,2006-07-18,4.39,4.41,4.367,4.399,12483000,MA
MA,2006-07-19,4.528,4.545,4.38,4.391,15840000,MA
MA,2006-07-20,4.555,4.578,4.51,4.54,8809000,MA
MA,2006-07-21,4.528,4.555,4.477,4.555,8465000,MA
MA,2006-07-24,4.5,4.553,4.499,4.545,5016000,MA
MA,2006-07-25,4.608,4.64,4.516,4.52,6899000,MA
MA,2006-07-26,4.668,4.785,4.58,4.614,9656000,MA
MA,2006-07-27,4.652,4.717,4.652,4.69,5876000,MA
MA,2006-07-28,4.63,4.68,4.626,4.651,4339000,MA
MA,2006-07-31,4.587,4.641,4.586,4.63,4616000,MA
MA,2006-08-01,4.5,4.592,4.47,4.592,7382000,MA
MA,2006-08-02,5.002,5.005,4.731,4.799,50860000,MA
MA,2006-08-03,4.999,5.024,4.865,4.913,21064000,MA
MA,2006-08-04,5.005,5.15,4.999,5.03,14212000,MA
MA,2006-08-07,5.11,5.13,5.025,5.05,6918000,MA
MA,2006-08-08,5.257,5.267,5.105,5.11,14073000,MA
MA,2006-08-09,5.285,5.45,5.2,5.3,15043000,MA
MA,2006-08-10,5.356,5.391,5.21,5.22,8724000,MA
MA,2006-08-11,5.368,5.445,5.325,5.35,9077000,MA
MA,2006-08-14,5.423,5.454,5.352,5.375,6314000,MA
MA,2006-08-15,5.449,5.493,5.426,5.47,8540000,MA
MA,2006-08-16,5.427,5.543,5.416,5.465,15341000,MA
MA,2006-08-17,5.346,5.424,5.319,5.42,9983000,MA
MA,2006-08-18,5.345,5.365,5.246,5.31,9343000,MA
MA,2006-08-21,5.426,5.555,5.28,5.33,12486000,MA
MA,2006-08-22,5.523,5.55,5.42,5.42,9721000,MA
MA,2006-08-23,5.46,5.575,5.4542,5.548,10439000,MA
MA,2006-08-24,5.565,5.585,5.482,5.49,5420000,MA
MA,2006-08-25,5.5,5.5852,5.493,5.575,8016000,MA
MA,2006-08-28,5.502,5.545,5.4766,5.485,3575000,MA
MA,2006-08-29,5.535,5.565,5.516,5.525,3214000,MA
MA,2006-08-30,5.525,5.5776,5.517,5.548,5801000,MA
MA,2006-08-31,5.59,5.617,5.525,5.525,6983000,MA
MA,2006-09-01,5.655,5.75,5.597,5.597,19059000,MA
MA,2006-09-04,5.655,5.75,5.597,5.597,0,MA
MA,2006-09-05,5.685,5.724,5.625,5.69,4618000,MA
MA,2006-09-06,5.888,5.888,5.657,5.69,15678000,MA
MA,2006-09-07,6.012,6.087,5.85,5.851,26549000,MA
MA,2006-09-08,5.975,6.125,5.929,6.1,15172000,MA
MA,2006-09-11,6.187,6.199,5.96,5.975,17064000,MA
MA,2006-09-12,6.21,6.215,6.099,6.099,16959000,MA
MA,2006-09-13,6.135,6.23,6.09,6.2,12354000,MA
MA,2006-09-14,6.279,6.325,6.07,6.085,13010000,MA
MA,2006-09-15,6.497,6.52,6.279,6.279,19313000,MA
MA,2006-09-18,6.512,6.755,6.43,6.574,23653000,MA
MA,2006-09-19,6.484,6.615,6.43,6.5,17109000,MA
MA,2006-09-20,6.655,6.67,6.45,6.51,13476000,MA
MA,2006-09-21,6.905,6.96,6.701,6.753,29000000,MA
MA,2006-09-22,6.593,6.95,6.508,6.9,29873000,MA
MA,2006-09-25,6.44,6.57,6.22,6.525,35625000,MA
MA,2006-09-26,6.6,6.733,6.276,6.34,39965000,MA
MA,2006-09-27,6.784,6.79,6.545,6.6999,19633000,MA
MA,2006-09-28,6.865,6.891,6.765,6.765,12995000,MA
MA,2006-09-29,7.035,7.045,6.756,6.847,19924000,MA
MA,2006-10-02,6.996,7.035,6.9657,7.035,17393000,MA
MA,2006-10-03,6.968,7.09,6.84,6.84,16504999,MA
MA,2006-10-04,6.962,7.041,6.875,7.0,13211000,MA
MA,2006-10-05,7.259,7.29,6.901,6.978,24241000,MA
MA,2006-10-06,7.515,7.585,7.201,7.24,35385000,MA
MA,2006-10-09,7.28,7.323,7.095,7.19,37091000,MA
MA,2006-10-10,7.191,7.325,7.05,7.115,26674000,MA
MA,2006-10-11,6.95,7.1,6.828,7.095,35429000,MA
MA,2006-10-12,7.041,7.082,6.872,6.91,15058000,MA
MA,2006-10-13,7.009,7.17,6.982,7.1,11298000,MA
MA,2006-10-16,7.13,7.171,6.985,7.0,8787000,MA
MA,2006-10-17,6.95,7.12,6.927,7.11,9865000,MA
MA,2006-10-18,7.045,7.118,6.954,6.961,8548000,MA
MA,2006-10-19,7.233,7.29,6.975,7.045,12914000,MA
MA,2006-10-20,7.122,7.285,7.1,7.28,5243000,MA
MA,2006-10-23,7.025,7.162,6.9801,7.135,7389000,MA
MA,2006-10-24,7.12,7.15,6.992,7.015,8512000,MA
MA,2006-10-25,7.075,7.125,7.05,7.125,9929000,MA
MA,2006-10-26,7.22,7.4,6.989,7.085,21152000,MA
MA,2006-10-27,7.264,7.3,6.9,7.1,26627000,MA
MA,2006-10-30,7.254,7.36,7.175,7.262,17036000,MA
MA,2006-10-31,7.41,7.625,7.194,7.27,35176000,MA
MA,2006-11-01,8.507,8.75,8.175,8.175,140868000,MA
MA,2006-11-02,8.76,8.808,8.25,8.382,57298000,MA
MA,2006-11-03,8.951,8.975,8.677,8.766,42414000,MA
MA,2006-11-06,9.63,9.714,8.999,9.0,93344000,MA
MA,2006-11-07,9.25,9.617,9.24,9.574,70519000,MA
MA,2006-11-08,8.844,9.2,8.805,9.2,61138000,MA
MA,2006-11-09,8.82,9.235,8.82,9.13,59745000,MA
MA,2006-11-10,8.92,9.05,8.776,8.864,27719000,MA
MA,2006-11-13,9.655,9.799,9.329,9.371,114124000,MA
MA,2006-11-14,9.52,9.724,9.439,9.68,38512000,MA
MA,2006-11-15,9.53,9.965,9.5,9.521,56277000,MA
MA,2006-11-16,9.452,9.72,9.39,9.625,35242000,MA
MA,2006-11-17,9.479,9.538,9.206,9.335,28494000,MA
MA,2006-11-20,9.619,9.621,9.372,9.398,22531000,MA
MA,2006-11-21,10.06,10.083,9.65,9.699,59458000,MA
MA,2006-11-22,10.326,10.393,10.082,10.175,42631000,MA
MA,2006-11-23,10.326,10.393,10.082,10.175,0,MA
MA,2006-11-24,10.548,10.585,10.05,10.19,21752000,MA
MA,2006-11-27,9.899,10.86,9.899,10.6,73293000,MA
MA,2006-11-28,10.075,10.1,9.55,9.75,61482000,MA
MA,2006-11-29,9.92,10.268,9.685,10.238,48980000,MA
MA,2006-11-30,10.175,10.202,9.652,9.927,41156000,MA
MA,2006-12-01,10.117,10.245,9.909,10.222,34991000,MA
MA,2006-12-04,10.008,10.149,9.925,10.1,20272000,MA
MA,2006-12-05,9.925,10.225,9.9,10.0,20980000,MA
MA,2006-12-06,9.913,10.2,9.85,10.119,29663000,MA
MA,2006-12-07,9.968,10.093,9.862,9.93,21752000,MA
MA,2006-12-08,10.01,10.08,9.893,9.968,15876000,MA
MA,2006-12-11,9.91,10.224,9.894,10.01,30061000,MA
MA,2006-12-12,9.575,9.91,9.427,9.871,46457000,MA
MA,2006-12-13,9.577,9.765,9.503,9.698,18524000,MA
MA,2006-12-14,9.56,9.648,9.48,9.577,24108000,MA
MA,2006-12-15,9.619,9.633,9.535,9.632,14564000,MA
MA,2006-12-18,9.29,9.6,9.255,9.6,25439000,MA
MA,2006-12-19,9.74,9.752,9.05,9.245,31939000,MA
MA,2006-12-20,9.751,9.945,9.625,9.74,28211000,MA
MA,2006-12-21,9.571,9.635,9.389,9.581,31061000,MA
MA,2006-12-22,9.635,9.7,9.518,9.57,11820000,MA
MA,2006-12-25,9.635,9.7,9.518,9.57,0,MA
MA,2006-12-26,9.514,9.675,9.438,9.65,10222000,MA
MA,2006-12-27,9.937,9.949,9.45,9.49,19526000,MA
MA,2006-12-28,9.896,9.979,9.756,9.979,21920000,MA
MA,2006-12-29,9.849,9.962,9.826,9.88,10604000,MA
MA,2007-01-01,9.849,9.962,9.826,9.88,0,MA
MA,2007-01-02,9.849,9.962,9.826,9.88,0,MA
MA,2007-01-03,9.641,9.968,9.563,9.955,25171000,MA
MA,2007-01-04,10.114,10.185,9.53,9.69,26906000,MA
MA,2007-01-05,10.106,10.22,9.9,10.099,29618000,MA
MA,2007-01-08,10.108,10.225,9.9,9.901,15832000,MA
MA,2007-01-09,10.574,10.575,10.06,10.11,35898000,MA
MA,2007-01-10,10.474,10.65,10.3,10.562,26922000,MA
MA,2007-01-11,10.55,10.803,10.354,10.52,37669000,MA
MA,2007-01-12,10.525,10.725,10.485,10.575,18121000,MA
MA,2007-01-15,10.525,10.725,10.485,10.575,0,MA
MA,2007-01-16,10.6,10.747,10.463,10.53,18014000,MA
MA,2007-01-17,10.904,11.022,10.577,10.7,43885000,MA
MA,2007-01-18,10.249,10.999,10.18,10.995,42646000,MA
MA,2007-01-19,10.503,10.535,10.2,10.25,29821000,MA
MA,2007-01-22,10.761,10.8,10.45,10.599,21031000,MA
MA,2007-01-23,10.841,10.914,10.702,10.871,21237000,MA
MA,2007-01-24,11.142,11.308,10.87,10.89,31625000,MA
MA,2007-01-25,10.787,11.228,10.697,11.225,21346000,MA
MA,2007-01-26,10.852,10.988,10.65,10.919,16588000,MA
MA,2007-01-29,10.974,11.1,10.87,10.9,12101000,MA
MA,2007-01-30,11.075,11.161,10.924,10.964,11357000,MA
MA,2007-01-31,11.155,11.217,11.075,11.105,13423000,MA
MA,2007-02-01,11.192,11.298,11.161,11.214,15989000,MA
MA,2007-02-02,11.096,11.27,11.06,11.249,11284000,MA
MA,2007-02-05,11.025,11.095,10.989,11.05,9844000,MA
MA,2007-02-06,11.055,11.154,10.99,11.074,8632000,MA
MA,2007-02-07,11.19,11.263,11.033,11.05,15296000,MA
MA,2007-02-08,11.474,11.543,11.105,11.2,33500000,MA
MA,2007-02-09,10.36,11.807,9.963,11.803,280094000,MA
MA,2007-02-12,10.208,10.275,9.861,10.197,80074270,MA
MA,2007-02-13,10.469,10.504,10.286,10.38,53058470,MA
MA,2007-02-14,10.802,10.882,10.4099,10.421,47290050,MA
MA,2007-02-15,10.804,10.88,10.7091,10.8,21305000,MA
MA,2007-02-16,10.832,10.912,10.605,10.801,20464000,MA
MA,2007-02-19,10.832,10.912,10.605,10.801,0,MA
MA,2007-02-20,10.782,10.85,10.654,10.832,18399000,MA
MA,2007-02-21,10.729,10.925,10.566,10.765,20646000,MA
MA,2007-02-22,10.59,10.9,10.511,10.79,21577000,MA
MA,2007-02-23,10.457,10.657,10.372,10.59,30412000,MA
MA,2007-02-26,10.406,10.6,10.35,10.482,11667500,MA
MA,2007-02-27,10.3,10.59,9.999,10.175,50459000,MA
MA,2007-02-28,10.718,10.73,10.201,10.3,35401000,MA
MA,2007-03-01,10.629,10.79,10.231,10.527,38159180,MA
MA,2007-03-02,10.306,10.75,10.281,10.54,17311000,MA
MA,2007-03-05,10.094,10.42,10.09,10.115,29658490,MA
MA,2007-03-06,10.399,10.471,10.244,10.278,31774000,MA
MA,2007-03-07,9.972,10.41,9.94,10.399,49904000,MA
MA,2007-03-08,10.276,10.34,9.928,10.12,63241000,MA
MA,2007-03-09,10.236,10.425,10.075,10.37,34627000,MA
MA,2007-03-12,10.325,10.35,10.139,10.201,20828000,MA
MA,2007-03-13,10.386,10.503,10.17,10.251,46831000,MA
MA,2007-03-14,10.55,10.62,10.235,10.371,34304000,MA
MA,2007-03-15,10.526,10.615,10.453,10.55,19609000,MA
MA,2007-03-16,10.527,10.593,10.474,10.534,15743000,MA
MA,2007-03-19,10.689,10.757,10.552,10.552,23114000,MA
MA,2007-03-20,10.749,10.791,10.64,10.7,15483000,MA
MA,2007-03-21,11.07,11.232,10.676,10.726,37293000,MA
MA,2007-03-22,10.957,11.1,10.9,11.1,13084690,MA
MA,2007-03-23,10.986,11.0,10.902,10.95,6340240,MA
MA,2007-03-26,10.848,10.925,10.756,10.87,16951200,MA
MA,2007-03-27,10.725,10.836,10.654,10.836,14683800,MA
MA,2007-03-28,10.668,10.793,10.58,10.66,14039510,MA
MA,2007-03-29,10.719,10.768,10.575,10.74,7854890,MA
MA,2007-03-30,10.624,10.8,10.584,10.735,7484140,MA
MA,2007-04-02,10.624,10.782,10.593,10.624,17632110,MA
MA,2007-04-03,10.853,10.94,10.811,10.875,15091500,MA
MA,2007-04-04,10.721,10.895,10.625,10.889,19399000,MA
MA,2007-04-05,10.801,10.834,10.74,10.755,5225480,MA
MA,2007-04-06,10.801,10.834,10.74,10.755,0,MA
MA,2007-04-09,10.834,10.879,10.72,10.84,5969790,MA
MA,2007-04-10,11.001,11.14,10.777,10.89,26522640,MA
MA,2007-04-11,10.981,11.051,10.9,11.001,10974000,MA
MA,2007-04-12,10.982,11.022,10.885,10.943,7759340,MA
MA,2007-04-13,10.94,11.105,10.888,10.995,7611660,MA
MA,2007-04-16,10.94,11.0176,10.853,11.0,11796000,MA
MA,2007-04-17,10.965,11.079,10.892,10.952,9540240,MA
MA,2007-04-18,10.921,11.004,10.907,10.966,8458600,MA
MA,2007-04-19,10.933,11.017,10.82,10.883,6739930,MA
MA,2007-04-20,11.01,11.088,10.929,11.03,10641580,MA
MA,2007-04-23,11.004,11.06,10.95,11.0,12068980,MA
MA,2007-04-24,10.81,11.007,10.764,11.0,11930000,MA
MA,2007-04-25,10.934,10.957,10.765,10.825,10204000,MA
MA,2007-04-26,10.856,11.05,10.804,10.948,8916110,MA
MA,2007-04-27,11.41,11.466,10.796,10.83,43055880,MA
MA,2007-04-30,11.168,11.797,11.147,11.425,38711700,MA
MA,2007-05-01,11.485,11.558,11.101,11.12,34201660,MA
MA,2007-05-02,12.635,13.015,12.43,12.567,158356040,MA
MA,2007-05-03,13.482,13.515,12.65,12.701,84914030,MA
MA,2007-05-04,13.466,13.595,13.204,13.58,44880300,MA
MA,2007-05-07,13.411,13.874,13.29,13.43,44266300,MA
MA,2007-05-08,13.705,13.719,13.35,13.55,32233800,MA
MA,2007-05-09,13.955,14.232,13.633,13.698,40653000,MA
MA,2007-05-10,13.882,14.324,13.8,14.046,49789090,MA
