Symbol,Date,Close,High,Low,Open,Volume,Name
MAA,1998-05-29,26.938,27.0,26.813,26.813,19600,MAA
MAA,1998-06-01,26.938,26.938,26.813,26.88,18800,MAA
MAA,1998-06-02,26.813,26.938,26.75,26.938,18900,MAA
MAA,1998-06-03,26.75,26.875,26.688,26.81,14800,MAA
MAA,1998-06-04,26.688,26.75,26.625,26.75,22100,MAA
MAA,1998-06-05,26.0,26.75,25.625,26.63,101000,MAA
MAA,1998-06-08,26.688,26.75,26.0,26.06,48100,MAA
MAA,1998-06-09,26.688,26.75,26.313,26.75,41500,MAA
MAA,1998-06-10,26.438,26.563,26.25,26.56,38500,MAA
MAA,1998-06-11,26.438,26.5,26.313,26.44,29500,MAA
MAA,1998-06-12,26.125,26.438,26.125,26.438,22900,MAA
MAA,1998-06-15,26.0,26.188,25.813,26.188,36000,MAA
MAA,1998-06-16,26.25,26.313,26.0,26.0,22000,MAA
MAA,1998-06-17,26.438,26.625,26.188,26.31,52600,MAA
MAA,1998-06-18,26.25,26.375,26.188,26.31,18200,MAA
MAA,1998-06-19,26.188,26.563,26.125,26.38,37800,MAA
MAA,1998-06-22,26.188,26.313,26.188,26.25,41900,MAA
MAA,1998-06-23,26.063,26.5,26.0,26.25,153400,MAA
MAA,1998-06-24,26.25,26.313,26.063,26.063,298700,MAA
MAA,1998-06-25,26.0,26.25,25.938,26.19,78800,MAA
MAA,1998-06-26,26.0,26.125,25.875,25.88,19800,MAA
MAA,1998-06-29,26.125,26.25,25.938,26.13,43100,MAA
MAA,1998-06-30,26.313,26.375,26.0,26.13,52500,MAA
MAA,1998-07-01,26.563,26.625,26.25,26.44,87000,MAA
MAA,1998-07-02,26.5,26.875,26.5,26.75,33000,MAA
MAA,1998-07-03,26.5,26.875,26.5,26.75,0,MAA
MAA,1998-07-06,26.75,26.75,26.438,26.56,54800,MAA
MAA,1998-07-07,27.563,27.938,26.625,26.63,93000,MAA
MAA,1998-07-08,27.625,27.75,27.375,27.63,34700,MAA
MAA,1998-07-09,27.813,28.0,27.438,27.63,120300,MAA
MAA,1998-07-10,27.375,27.75,27.313,27.75,20300,MAA
MAA,1998-07-13,26.875,27.5,26.875,27.38,100300,MAA
MAA,1998-07-14,27.0,27.063,26.938,27.0,157800,MAA
MAA,1998-07-15,27.063,27.125,27.0,27.125,16100,MAA
MAA,1998-07-16,27.25,27.25,26.75,27.13,39900,MAA
MAA,1998-07-17,27.063,27.25,26.813,27.25,13900,MAA
MAA,1998-07-20,26.938,27.813,26.813,27.0,24600,MAA
MAA,1998-07-21,26.875,27.0,26.563,26.94,27000,MAA
MAA,1998-07-22,26.188,26.438,26.063,26.438,32700,MAA
MAA,1998-07-23,26.375,26.438,26.0,26.31,48300,MAA
MAA,1998-07-24,26.563,26.75,26.438,26.44,61200,MAA
MAA,1998-07-27,26.563,26.625,26.438,26.56,31800,MAA
MAA,1998-07-28,26.5,26.625,26.438,26.56,28000,MAA
MAA,1998-07-29,26.5,26.625,26.438,26.5,37200,MAA
MAA,1998-07-30,26.5,26.625,26.375,26.625,39800,MAA
MAA,1998-07-31,26.375,26.563,26.375,26.44,20800,MAA
MAA,1998-08-03,26.188,26.625,26.125,26.625,43100,MAA
MAA,1998-08-04,26.063,26.25,26.063,26.19,45800,MAA
MAA,1998-08-05,26.125,26.5,26.0,26.06,54100,MAA
MAA,1998-08-06,25.938,26.125,25.625,26.125,23300,MAA
MAA,1998-08-07,25.938,26.438,25.688,25.69,41300,MAA
MAA,1998-08-10,25.875,26.063,25.625,25.75,15100,MAA
MAA,1998-08-11,25.563,25.625,25.5,25.625,22300,MAA
MAA,1998-08-12,25.625,25.875,25.5,25.5,27200,MAA
MAA,1998-08-13,25.875,25.938,25.5,25.5,31899,MAA
MAA,1998-08-14,26.188,26.375,26.063,26.13,36700,MAA
MAA,1998-08-17,26.125,26.313,26.063,26.31,18700,MAA
MAA,1998-08-18,26.25,26.25,26.0,26.0,22700,MAA
MAA,1998-08-19,25.688,26.313,25.688,26.31,24800,MAA
MAA,1998-08-20,25.438,25.875,25.438,25.75,37300,MAA
MAA,1998-08-21,25.375,25.688,25.375,25.688,37000,MAA
MAA,1998-08-24,25.625,25.625,25.438,25.625,10200,MAA
MAA,1998-08-25,25.5,25.75,25.5,25.75,32300,MAA
MAA,1998-08-26,25.0,25.563,24.938,25.56,86400,MAA
MAA,1998-08-27,24.563,25.25,24.563,25.25,40700,MAA
MAA,1998-08-28,24.125,24.563,23.5,24.56,48600,MAA
MAA,1998-08-31,23.0,24.375,23.0,24.25,195600,MAA
MAA,1998-09-01,23.5,23.563,22.938,23.0,133400,MAA
MAA,1998-09-02,24.313,25.0,23.313,23.5,39300,MAA
MAA,1998-09-03,24.063,24.375,24.063,24.19,33800,MAA
