Symbol,Date,Close,High,Low,Open,Volume,Name
MAT,1998-05-29,37.875,38.5,37.688,38.44,566900,MAT
MAT,1998-06-01,36.938,37.75,36.813,37.69,972700,MAT
MAT,1998-06-02,36.5,37.188,36.5,37.06,1131000,MAT
MAT,1998-06-03,37.063,37.25,36.5,36.5,1972800,MAT
MAT,1998-06-04,37.75,38.0,36.75,37.0,1363000,MAT
MAT,1998-06-05,38.813,39.0,37.625,37.63,1691600,MAT
MAT,1998-06-08,38.938,39.563,38.813,38.813,696300,MAT
MAT,1998-06-09,40.0,40.0,38.063,38.94,799100,MAT
MAT,1998-06-10,38.875,39.938,38.875,39.69,501700,MAT
MAT,1998-06-11,37.75,39.0,37.75,38.75,661500,MAT
MAT,1998-06-12,38.625,38.875,37.25,37.63,813300,MAT
MAT,1998-06-15,38.063,38.313,36.313,37.13,1916600,MAT
MAT,1998-06-16,37.688,38.375,37.563,38.31,1389700,MAT
MAT,1998-06-17,37.063,37.688,36.813,37.63,1119000,MAT
MAT,1998-06-18,36.0,36.75,35.688,36.5,1799200,MAT
MAT,1998-06-19,37.313,37.813,35.75,36.0,1413200,MAT
MAT,1998-06-22,37.625,38.063,37.25,37.31,813700,MAT
MAT,1998-06-23,39.688,40.0,37.75,37.75,1594000,MAT
MAT,1998-06-24,42.5,43.688,40.0,40.13,3686900,MAT
MAT,1998-06-25,43.625,43.688,42.438,43.0,1703300,MAT
MAT,1998-06-26,43.625,44.5,43.25,43.63,962300,MAT
MAT,1998-06-29,42.0,43.688,41.375,43.63,863600,MAT
MAT,1998-06-30,42.313,42.938,41.313,42.0,1366700,MAT
MAT,1998-07-01,41.188,42.375,40.688,42.31,2148900,MAT
MAT,1998-07-02,40.438,41.188,40.125,41.188,1299300,MAT
MAT,1998-07-03,40.438,41.188,40.125,41.188,0,MAT
MAT,1998-07-06,40.313,40.375,40.0,40.19,1149400,MAT
MAT,1998-07-07,40.375,40.938,39.875,39.88,1277700,MAT
MAT,1998-07-08,40.063,40.5,39.625,40.44,1601400,MAT
MAT,1998-07-09,39.688,40.438,39.563,39.88,974700,MAT
MAT,1998-07-10,38.813,39.688,37.875,39.56,1589200,MAT
MAT,1998-07-13,38.125,38.75,37.875,38.56,826400,MAT
MAT,1998-07-14,37.938,38.375,37.875,38.0,891400,MAT
MAT,1998-07-15,38.25,39.125,37.75,38.13,1323900,MAT
MAT,1998-07-16,40.938,41.375,38.875,38.88,1809800,MAT
MAT,1998-07-17,42.313,42.375,41.625,41.94,1035700,MAT
MAT,1998-07-20,41.625,42.813,41.438,42.56,693900,MAT
MAT,1998-07-21,40.938,42.0,40.688,41.75,625600,MAT
MAT,1998-07-22,41.313,41.5,40.375,41.5,648400,MAT
