Symbol,Date,Close,High,Low,Open,Volume,Name
MCD,1998-05-29,32.813,33.438,32.75,33.31,3002400,MCD
MCD,1998-06-01,33.594,33.594,32.782,32.81,2596200,MCD
MCD,1998-06-02,33.5,33.75,33.25,33.5,3471600,MCD
MCD,1998-06-03,32.938,33.5,32.813,33.5,2674400,MCD
MCD,1998-06-04,33.438,33.469,32.875,32.94,2269800,MCD
MCD,1998-06-05,33.594,33.688,33.157,33.53,2410000,MCD
MCD,1998-06-08,33.657,33.969,33.469,33.6,2042400,MCD
MCD,1998-06-09,33.0,33.532,33.0,33.5,2399000,MCD
MCD,1998-06-10,33.0,33.344,32.875,32.94,3592200,MCD
MCD,1998-06-11,32.125,33.0,32.0,32.91,3599400,MCD
MCD,1998-06-12,32.313,32.438,31.688,32.13,2951800,MCD
MCD,1998-06-15,31.844,32.625,31.844,32.13,4075599,MCD
MCD,1998-06-16,32.063,32.125,31.813,32.125,2470400,MCD
MCD,1998-06-17,32.719,32.813,32.188,32.25,3925200,MCD
MCD,1998-06-18,33.938,34.0,33.313,33.313,7734600,MCD
MCD,1998-06-19,34.032,34.188,33.688,34.1,4380800,MCD
MCD,1998-06-22,33.969,34.063,33.657,33.78,3335800,MCD
MCD,1998-06-23,33.719,33.938,33.407,33.938,3680600,MCD
MCD,1998-06-24,33.75,33.813,33.375,33.69,3107600,MCD
MCD,1998-06-25,33.969,34.094,33.657,33.88,3745800,MCD
MCD,1998-06-26,34.469,34.969,34.063,34.063,4403800,MCD
MCD,1998-06-29,34.594,34.719,34.375,34.5,3078200,MCD
MCD,1998-06-30,34.5,34.688,34.407,34.6,2993400,MCD
MCD,1998-07-01,35.625,35.625,34.719,34.72,4416000,MCD
MCD,1998-07-02,35.5,35.875,35.375,35.53,3091800,MCD
MCD,1998-07-03,35.5,35.875,35.375,35.53,0,MCD
MCD,1998-07-06,36.75,36.875,35.407,35.53,3964400,MCD
MCD,1998-07-07,37.063,37.469,36.969,37.0,6994200,MCD
MCD,1998-07-08,36.5,36.875,36.157,36.875,4407600,MCD
MCD,1998-07-09,36.0,36.469,35.813,36.38,4751800,MCD
MCD,1998-07-10,36.532,36.532,35.813,36.22,3158000,MCD
MCD,1998-07-13,36.813,37.25,36.75,37.13,4242600,MCD
MCD,1998-07-14,36.407,37.094,36.188,36.94,3246600,MCD
MCD,1998-07-15,35.563,36.219,35.0,36.19,3895200,MCD
MCD,1998-07-16,35.938,35.938,35.188,35.56,3687200,MCD
MCD,1998-07-17,36.625,36.844,35.844,35.97,3336000,MCD
MCD,1998-07-20,35.282,35.594,34.563,35.5,13721600,MCD
MCD,1998-07-21,34.625,35.407,34.625,35.407,5610200,MCD
MCD,1998-07-22,33.625,34.438,33.375,34.19,6182000,MCD
MCD,1998-07-23,34.188,34.719,33.438,33.5,7176000,MCD
MCD,1998-07-24,33.782,34.907,33.532,34.81,5105400,MCD
MCD,1998-07-27,33.875,33.907,33.219,33.5,2484000,MCD
MCD,1998-07-28,33.563,33.719,33.032,33.5,3781400,MCD
MCD,1998-07-29,33.25,33.844,33.25,33.56,3079600,MCD
MCD,1998-07-30,33.625,33.625,33.313,33.313,3121200,MCD
MCD,1998-07-31,33.407,33.782,33.344,33.56,2608400,MCD
MCD,1998-08-03,32.313,33.219,32.313,32.94,3239800,MCD
MCD,1998-08-04,31.25,32.75,31.25,32.75,6179800,MCD
MCD,1998-08-05,30.813,31.438,30.5,31.38,5197800,MCD
MCD,1998-08-06,30.907,31.032,30.625,30.82,4348800,MCD
MCD,1998-08-07,30.563,31.375,30.5,30.94,4286800,MCD
MCD,1998-08-10,31.719,32.0,30.875,30.88,7029800,MCD
MCD,1998-08-11,32.25,32.375,30.813,31.13,6893800,MCD
MCD,1998-08-12,32.907,33.157,32.407,32.66,4200800,MCD
MCD,1998-08-13,32.688,33.282,32.063,32.6,4400600,MCD
MCD,1998-08-14,32.438,32.875,32.375,32.81,3428800,MCD
MCD,1998-08-17,32.469,32.657,31.875,32.06,2725000,MCD
MCD,1998-08-18,32.875,33.063,32.469,32.5,3070000,MCD
MCD,1998-08-19,33.125,33.344,32.875,32.94,2313400,MCD
