Symbol,Date,Close,High,Low,Open,Volume,Name
MMM,1998-05-29,46.313,47.563,46.313,47.5,1455600,MMM
MMM,1998-06-01,47.063,47.313,46.344,46.44,1636000,MMM
MMM,1998-06-02,46.657,47.469,46.563,47.469,1197000,MMM
MMM,1998-06-03,45.875,46.875,45.813,46.69,1051400,MMM
MMM,1998-06-04,46.5,46.532,45.563,45.75,1248600,MMM
MMM,1998-06-05,46.813,46.875,46.375,46.5,945800,MMM
MMM,1998-06-08,47.094,47.375,46.782,47.0,904600,MMM
MMM,1998-06-09,46.438,47.094,46.0,47.094,1023200,MMM
MMM,1998-06-10,44.188,46.313,43.844,46.313,3020000,MMM
MMM,1998-06-11,43.969,44.719,43.813,44.35,3831800,MMM
MMM,1998-06-12,43.407,43.875,42.75,43.75,2643200,MMM
MMM,1998-06-15,40.5,41.375,40.188,40.56,6109400,MMM
MMM,1998-06-16,40.625,40.875,40.25,40.56,4175799,MMM
MMM,1998-06-17,41.219,41.813,41.188,41.5,3387600,MMM
MMM,1998-06-18,41.188,41.313,40.907,41.13,1445600,MMM
MMM,1998-06-19,41.75,41.75,41.344,41.63,3002000,MMM
MMM,1998-06-22,41.532,41.688,41.438,41.57,1610400,MMM
MMM,1998-06-23,41.125,41.532,41.032,41.5,2071800,MMM
MMM,1998-06-24,41.219,41.375,40.844,41.25,1683800,MMM
MMM,1998-06-25,41.907,42.657,41.0,41.16,2572800,MMM
MMM,1998-06-26,41.438,42.469,41.375,41.91,1215400,MMM
MMM,1998-06-29,41.532,42.125,41.438,41.47,1946200,MMM
MMM,1998-06-30,41.094,42.375,41.063,42.375,1656400,MMM
MMM,1998-07-01,41.938,41.938,40.75,41.13,1633200,MMM
MMM,1998-07-02,41.125,41.844,40.938,41.82,1147800,MMM
MMM,1998-07-03,41.125,41.844,40.938,41.82,0,MMM
MMM,1998-07-06,41.219,41.313,40.844,41.07,1587400,MMM
MMM,1998-07-07,41.063,41.375,40.75,41.32,1704000,MMM
MMM,1998-07-08,40.938,41.125,40.375,40.97,2901200,MMM
MMM,1998-07-09,40.969,41.032,40.407,40.56,2299400,MMM
MMM,1998-07-10,40.344,40.875,39.844,40.75,2420600,MMM
MMM,1998-07-13,40.125,40.282,39.75,40.13,2446600,MMM
MMM,1998-07-14,40.625,40.938,40.0,40.0,2127200,MMM
MMM,1998-07-15,40.782,41.032,40.594,40.6,1678200,MMM
MMM,1998-07-16,41.282,41.313,40.532,41.0,1558600,MMM
MMM,1998-07-17,41.657,41.719,41.188,41.41,1646400,MMM
