Symbol,Date,Close,High,Low,Open,Volume,Name
MTD,1998-05-29,19.0,19.0,18.75,18.75,49000,MTD
MTD,1998-06-01,19.0,19.25,19.0,19.0,5200,MTD
MTD,1998-06-02,19.375,19.688,19.125,19.13,183800,MTD
MTD,1998-06-03,19.75,19.75,19.313,19.5,5500,MTD
MTD,1998-06-04,20.0,20.375,20.0,20.0,9900,MTD
MTD,1998-06-05,19.438,20.125,19.438,20.125,92400,MTD
MTD,1998-06-08,19.375,19.375,19.313,19.313,2100,MTD
MTD,1998-06-09,19.5,19.625,19.375,19.625,11200,MTD
MTD,1998-06-10,19.5,19.875,19.313,19.5,37900,MTD
MTD,1998-06-11,19.313,19.625,19.313,19.625,12400,MTD
MTD,1998-06-12,18.875,19.438,18.563,19.38,20900,MTD
MTD,1998-06-15,19.25,19.25,18.75,18.88,54100,MTD
MTD,1998-06-16,19.188,19.25,19.125,19.25,5300,MTD
MTD,1998-06-17,19.25,19.25,19.063,19.063,28900,MTD
MTD,1998-06-18,20.0,20.25,19.25,19.25,33800,MTD
MTD,1998-06-19,21.063,22.0,19.875,19.88,74100,MTD
MTD,1998-06-22,21.438,21.438,20.875,21.31,37900,MTD
MTD,1998-06-23,21.125,21.375,21.0,21.25,57200,MTD
MTD,1998-06-24,21.813,22.0,21.188,21.25,55200,MTD
MTD,1998-06-25,21.125,21.813,20.625,21.81,55900,MTD
MTD,1998-06-26,21.313,21.438,20.75,21.0,59100,MTD
MTD,1998-06-29,20.375,21.25,20.25,21.06,61200,MTD
MTD,1998-06-30,20.063,20.313,19.75,20.13,3536800,MTD
MTD,1998-07-01,20.0,20.188,20.0,20.188,202100,MTD
MTD,1998-07-02,20.5,20.875,20.0,20.0,577500,MTD
MTD,1998-07-03,20.5,20.875,20.0,20.0,0,MTD
MTD,1998-07-06,21.875,22.0,20.313,20.5,249000,MTD
MTD,1998-07-07,22.0,22.5,22.0,22.0,232800,MTD
MTD,1998-07-08,22.125,22.625,22.0,22.0,291200,MTD
MTD,1998-07-09,22.313,22.438,22.125,22.13,93900,MTD
MTD,1998-07-10,22.25,22.438,22.0,22.31,346700,MTD
MTD,1998-07-13,21.625,22.25,21.25,22.0,257600,MTD
MTD,1998-07-14,21.75,21.75,21.0,21.38,291600,MTD
MTD,1998-07-15,21.563,22.5,21.0,21.25,203500,MTD
MTD,1998-07-16,21.375,21.625,21.188,21.31,180300,MTD
MTD,1998-07-17,21.75,21.875,21.375,21.38,300700,MTD
MTD,1998-07-20,22.313,22.625,21.5,21.63,92700,MTD
MTD,1998-07-21,22.438,22.688,22.25,22.31,274200,MTD
MTD,1998-07-22,22.25,22.563,21.5,22.56,200300,MTD
MTD,1998-07-23,21.5,22.5,21.5,22.25,219700,MTD
MTD,1998-07-24,21.875,22.25,21.0,21.75,240000,MTD
MTD,1998-07-27,20.625,22.5,20.625,22.25,215500,MTD
MTD,1998-07-28,20.75,21.375,20.563,21.0,278400,MTD
MTD,1998-07-29,21.5,21.625,20.75,21.0,254500,MTD
MTD,1998-07-30,21.5,21.75,21.438,21.56,174400,MTD
MTD,1998-07-31,21.125,21.875,21.125,21.75,339400,MTD
MTD,1998-08-03,21.0,21.25,21.0,21.25,121500,MTD
MTD,1998-08-04,21.063,21.688,20.875,21.25,128300,MTD
MTD,1998-08-05,21.125,21.625,20.875,21.06,156300,MTD
MTD,1998-08-06,20.938,20.938,20.0,20.88,160600,MTD
MTD,1998-08-07,20.5,21.0,20.5,20.81,74100,MTD
MTD,1998-08-10,20.0,20.438,19.688,20.438,59800,MTD
MTD,1998-08-11,18.75,19.813,17.5,19.81,98500,MTD
MTD,1998-08-12,19.0,19.125,18.75,19.0,83800,MTD
MTD,1998-08-13,20.25,20.25,18.313,18.75,50900,MTD
MTD,1998-08-14,19.75,20.75,19.688,20.0,120000,MTD
MTD,1998-08-17,19.813,20.25,19.375,19.63,95800,MTD
