Symbol,Date,Close,High,Low,Open,Volume,Name
NEE,1998-05-29,30.719,30.75,29.969,30.0,709600,NEE
NEE,1998-06-01,31.907,31.969,30.594,30.66,930400,NEE
NEE,1998-06-02,31.532,31.938,31.438,31.84,651400,NEE
NEE,1998-06-03,31.375,31.594,31.344,31.59,696400,NEE
NEE,1998-06-04,31.375,31.469,30.938,31.25,591600,NEE
NEE,1998-06-05,31.594,31.594,31.188,31.32,261600,NEE
NEE,1998-06-08,31.375,31.594,31.25,31.59,242400,NEE
NEE,1998-06-09,31.375,31.5,31.094,31.38,494200,NEE
NEE,1998-06-10,31.813,32.0,31.25,31.25,488400,NEE
NEE,1998-06-11,32.282,32.282,31.75,31.84,856400,NEE
NEE,1998-06-12,32.313,32.625,32.188,32.28,759000,NEE
NEE,1998-06-15,32.532,32.813,32.188,32.31,824000,NEE
NEE,1998-06-16,32.188,32.5,32.063,32.5,847200,NEE
NEE,1998-06-17,31.875,32.157,31.657,32.15,763800,NEE
NEE,1998-06-18,31.907,32.219,31.719,31.72,987000,NEE
NEE,1998-06-19,31.532,32.0,31.344,31.97,771400,NEE
NEE,1998-06-22,31.157,32.0,31.157,31.57,517800,NEE
NEE,1998-06-23,31.282,31.563,31.25,31.32,487400,NEE
NEE,1998-06-24,31.407,31.688,31.063,31.22,369800,NEE
NEE,1998-06-25,31.032,31.438,30.907,31.41,275800,NEE
NEE,1998-06-26,31.188,31.313,30.875,31.09,287200,NEE
NEE,1998-06-29,31.469,31.875,31.313,31.32,562400,NEE
NEE,1998-06-30,31.5,31.719,31.219,31.38,1075400,NEE
NEE,1998-07-01,31.688,31.813,31.532,31.532,446600,NEE
NEE,1998-07-02,31.594,31.813,31.375,31.813,255800,NEE
NEE,1998-07-03,31.594,31.813,31.375,31.813,0,NEE
NEE,1998-07-06,31.782,31.813,31.594,31.63,684200,NEE
NEE,1998-07-07,31.563,31.844,31.5,31.84,931400,NEE
NEE,1998-07-08,31.625,31.719,31.5,31.69,392000,NEE
NEE,1998-07-09,31.313,31.688,31.282,31.63,518200,NEE
NEE,1998-07-10,31.375,31.532,31.125,31.32,555400,NEE
NEE,1998-07-13,31.219,31.344,31.125,31.25,618600,NEE
NEE,1998-07-14,31.219,31.282,31.063,31.09,715800,NEE
NEE,1998-07-15,30.938,31.157,30.75,31.09,1214000,NEE
NEE,1998-07-16,31.125,31.125,30.813,30.82,481200,NEE
NEE,1998-07-17,31.063,31.125,30.75,31.125,464200,NEE
NEE,1998-07-20,30.782,31.125,30.719,31.125,465600,NEE
NEE,1998-07-21,30.813,30.938,30.657,30.66,1192200,NEE
NEE,1998-07-22,31.313,31.313,30.782,30.82,1037600,NEE
NEE,1998-07-23,31.094,31.438,31.032,31.32,481600,NEE
NEE,1998-07-24,30.907,31.063,30.688,31.0,572200,NEE
NEE,1998-07-27,31.032,31.063,30.813,30.84,403800,NEE
NEE,1998-07-28,30.969,31.094,30.407,31.0,566600,NEE
NEE,1998-07-29,31.063,31.25,30.875,31.09,738800,NEE
NEE,1998-07-30,31.125,31.219,31.0,31.03,370600,NEE
NEE,1998-07-31,30.4062,31.0,30.375,31.0,656000,NEE
NEE,1998-08-03,30.9375,31.0,30.4688,30.5312,499000,NEE
NEE,1998-08-04,30.4375,31.0625,30.4062,30.9062,665600,NEE
NEE,1998-08-05,30.375,30.5625,30.0625,30.2812,447200,NEE
NEE,1998-08-06,30.0625,30.3438,29.9688,30.25,519400,NEE
NEE,1998-08-07,30.4688,30.5312,29.8438,30.0,553600,NEE
NEE,1998-08-10,30.3125,30.4375,30.0312,30.4062,594800,NEE
