Symbol,Date,Close,High,Low,Open,Volume,Name
NFX,1998-05-29,11.188,11.375,11.188,11.31,261799,NFX
NFX,1998-06-01,10.813,11.282,10.75,11.13,61600,NFX
NFX,1998-06-02,10.438,10.813,10.375,10.81,276200,NFX
NFX,1998-06-03,9.969,10.469,9.625,10.469,2484400,NFX
NFX,1998-06-04,10.032,10.063,9.813,10.03,434800,NFX
NFX,1998-06-05,10.438,10.532,10.063,10.1,202200,NFX
NFX,1998-06-08,10.0,10.469,10.0,10.469,352800,NFX
NFX,1998-06-09,9.938,10.063,9.907,10.0,327400,NFX
NFX,1998-06-10,9.594,9.875,9.594,9.875,272800,NFX
NFX,1998-06-11,9.407,9.657,9.313,9.65,166000,NFX
NFX,1998-06-12,9.219,9.313,9.063,9.31,714200,NFX
NFX,1998-06-15,9.063,9.25,8.907,9.25,307600,NFX
NFX,1998-06-16,9.688,9.688,9.063,9.063,344400,NFX
NFX,1998-06-17,9.875,10.188,9.75,10.0,220000,NFX
NFX,1998-06-18,9.407,9.875,9.407,9.81,359400,NFX
NFX,1998-06-19,9.719,9.844,9.407,9.407,204600,NFX
NFX,1998-06-22,10.157,10.188,9.907,9.907,185400,NFX
NFX,1998-06-23,10.625,10.625,10.219,10.22,260000,NFX
NFX,1998-06-24,11.032,11.094,10.657,10.657,515399,NFX
NFX,1998-06-25,11.219,11.282,11.063,11.063,223800,NFX
NFX,1998-06-26,11.375,11.375,11.0,11.22,131000,NFX
NFX,1998-06-29,11.375,11.625,11.375,11.38,166600,NFX
NFX,1998-06-30,12.438,12.438,11.344,11.38,246200,NFX
NFX,1998-07-01,11.782,12.438,11.782,12.438,236800,NFX
NFX,1998-07-02,11.594,11.782,11.5,11.78,105800,NFX
NFX,1998-07-03,11.594,11.782,11.5,11.78,0,NFX
NFX,1998-07-06,11.532,11.75,11.5,11.69,160400,NFX
NFX,1998-07-07,11.407,11.594,11.313,11.594,145400,NFX
NFX,1998-07-08,11.657,11.688,11.407,11.407,77600,NFX
NFX,1998-07-09,11.532,11.657,11.5,11.63,286600,NFX
NFX,1998-07-10,11.469,11.563,11.469,11.53,81800,NFX
NFX,1998-07-13,11.125,11.5,11.125,11.5,345800,NFX
NFX,1998-07-14,10.875,11.188,10.75,11.13,622200,NFX
NFX,1998-07-15,10.875,11.0,10.75,10.81,356600,NFX
NFX,1998-07-16,10.938,11.094,10.844,10.85,578200,NFX
NFX,1998-07-17,10.782,11.032,10.719,10.97,250199,NFX
NFX,1998-07-20,10.719,10.938,10.719,10.85,136200,NFX
NFX,1998-07-21,10.813,10.844,10.719,10.75,130000,NFX
NFX,1998-07-22,10.344,10.813,10.313,10.81,118200,NFX
NFX,1998-07-23,9.907,10.313,9.75,10.31,335000,NFX
