Symbol,Date,Close,High,Low,Open,Volume,Name
NRG,2003-12-02,9.625,9.625,9.5,,170000,NRG
NRG,2003-12-03,9.75,9.75,9.75,9.75,300000,NRG
NRG,2003-12-04,10.125,10.125,10.125,10.125,50000,NRG
NRG,2003-12-05,10.125,10.125,10.125,10.125,0,NRG
NRG,2003-12-08,10.9,10.9,10.5,,954000,NRG
NRG,2003-12-09,11.0625,11.375,10.9,,3014200,NRG
NRG,2003-12-10,11.25,11.5,11.125,,2994500,NRG
NRG,2003-12-11,11.45,11.5,11.3125,11.375,2203200,NRG
NRG,2003-12-12,11.475,11.525,11.46,11.5,709000,NRG
NRG,2003-12-15,11.2,11.45,11.2,11.45,1287000,NRG
NRG,2003-12-16,10.975,11.175,10.9,11.175,885600,NRG
NRG,2003-12-17,10.725,10.95,10.7,10.95,1150800,NRG
NRG,2003-12-18,10.775,10.775,10.725,10.725,2425200,NRG
NRG,2003-12-19,10.9,10.9,10.775,10.775,1421800,NRG
NRG,2003-12-22,10.825,10.9,10.825,10.825,5200,NRG
NRG,2003-12-23,10.9,10.925,10.85,10.85,133800,NRG
NRG,2003-12-24,10.925,10.925,10.9,10.9,20200,NRG
NRG,2003-12-25,10.925,10.925,10.9,10.9,0,NRG
NRG,2003-12-26,10.925,10.925,10.925,10.925,1000,NRG
NRG,2003-12-29,10.9,10.9,10.9,10.9,1094,NRG
NRG,2003-12-30,10.95,10.95,10.925,10.925,31600,NRG
NRG,2003-12-31,10.95,11.0,10.95,10.95,14056,NRG
NRG,2004-01-01,10.95,11.0,10.95,10.95,0,NRG
NRG,2004-01-02,11.225,11.225,10.975,11.0,557484,NRG
NRG,2004-01-05,11.2,11.25,11.15,11.225,100232,NRG
NRG,2004-01-06,11.225,11.25,11.195,11.2,160490,NRG
NRG,2004-01-07,11.125,11.2,11.0,11.2,283312,NRG
NRG,2004-01-08,11.13,11.175,11.1,11.175,385110,NRG
NRG,2004-01-09,10.575,11.15,10.575,11.15,3456036,NRG
NRG,2004-01-12,10.6,10.625,10.6,10.625,17682,NRG
NRG,2004-01-13,10.5,10.675,10.48,10.625,1069562,NRG
NRG,2004-01-14,10.5,10.55,10.5,10.525,200900,NRG
NRG,2004-01-15,10.425,10.5,10.375,10.5,54106,NRG
NRG,2004-01-16,10.4,10.45,10.375,10.375,493800,NRG
NRG,2004-01-19,10.4,10.45,10.375,10.375,0,NRG
NRG,2004-01-20,10.5,10.525,10.485,10.5,856410,NRG
NRG,2004-01-21,10.5,10.575,10.5,10.525,969570,NRG
NRG,2004-01-22,10.75,10.8,10.55,10.55,863544,NRG
NRG,2004-01-23,10.6,10.75,10.55,10.75,748234,NRG
NRG,2004-01-26,10.425,10.6,10.425,10.6,291522,NRG
NRG,2004-01-27,10.365,10.425,10.35,10.425,994564,NRG
NRG,2004-01-28,10.25,10.375,10.225,10.375,99854,NRG
NRG,2004-01-29,10.0,10.25,9.875,10.25,1168812,NRG
NRG,2004-01-30,10.0,10.125,10.0,10.0,341018,NRG
NRG,2004-02-02,10.075,10.175,10.0,10.0,80674,NRG
NRG,2004-02-03,10.15,10.155,10.0,10.0,1379168,NRG
NRG,2004-02-04,10.125,10.15,10.125,10.125,575200,NRG
NRG,2004-02-05,10.025,10.135,10.01,10.135,648848,NRG
NRG,2004-02-06,10.025,10.075,10.0,10.075,486466,NRG
NRG,2004-02-09,10.0,10.025,10.0,10.025,607228,NRG
NRG,2004-02-10,10.015,10.05,10.0,10.0,544480,NRG
NRG,2004-02-11,10.0,10.04,10.0,10.04,1015579,NRG
NRG,2004-02-12,10.0,10.025,10.0,10.01,188468,NRG
NRG,2004-02-13,10.02,10.02,10.0,10.01,927324,NRG
NRG,2004-02-16,10.02,10.02,10.0,10.01,0,NRG
NRG,2004-02-17,9.9,10.02,9.9,10.015,278440,NRG
NRG,2004-02-18,9.755,9.925,9.75,9.875,442728,NRG
NRG,2004-02-19,9.77,9.775,9.75,9.765,680652,NRG
NRG,2004-02-20,9.77,9.785,9.75,9.775,210080,NRG
NRG,2004-02-23,9.625,9.76,9.5,9.75,94632,NRG
NRG,2004-02-24,9.22,9.8,9.05,9.6,2856644,NRG
NRG,2004-02-25,9.6,9.625,9.2,9.25,2178142,NRG
NRG,2004-02-26,9.575,9.675,9.55,9.6,1029050,NRG
NRG,2004-02-27,9.65,9.65,9.55,9.55,1516938,NRG
NRG,2004-03-01,10.0,10.1,9.6,9.6,1330256,NRG
NRG,2004-03-02,9.95,10.025,9.875,10.0,303650,NRG
NRG,2004-03-03,9.985,9.995,9.9,9.95,465434,NRG
NRG,2004-03-04,9.9,9.975,9.425,9.95,385182,NRG
NRG,2004-03-05,9.925,9.95,9.875,9.9,160732,NRG
NRG,2004-03-08,9.75,9.95,9.535,9.95,98938,NRG
NRG,2004-03-09,9.75,9.875,9.75,9.8,94606,NRG
NRG,2004-03-10,9.7,9.85,9.7,9.85,79802,NRG
NRG,2004-03-11,9.875,10.05,9.825,9.825,2021188,NRG
NRG,2004-03-12,9.975,10.0,9.875,9.95,764370,NRG
NRG,2004-03-15,9.925,9.99,9.875,9.99,35688,NRG
NRG,2004-03-16,9.95,9.975,9.9,9.95,1942744,NRG
NRG,2004-03-17,10.25,10.275,9.975,9.975,1440396,NRG
NRG,2004-03-18,10.3,10.325,10.2,10.225,821558,NRG
NRG,2004-03-19,10.325,10.35,10.3,10.325,66500,NRG
NRG,2004-03-22,10.375,10.4,10.325,10.325,825230,NRG
NRG,2004-03-23,10.485,10.55,10.375,10.375,3839842,NRG
NRG,2004-03-24,10.65,10.65,10.45,10.485,1556016,NRG
NRG,2004-03-25,11.075,11.075,10.655,11.0,2015600,NRG
NRG,2004-03-26,10.66,10.72,10.65,10.685,902800,NRG
NRG,2004-03-29,10.925,11.1,10.675,10.675,1548800,NRG
NRG,2004-03-30,10.995,11.0,10.835,10.95,492800,NRG
NRG,2004-03-31,11.1,11.1,10.9,10.925,1939800,NRG
NRG,2004-04-01,11.12,11.175,11.075,11.125,852600,NRG
NRG,2004-04-02,11.25,11.25,11.175,11.18,718400,NRG
NRG,2004-04-05,11.33,11.33,11.15,11.28,761800,NRG
NRG,2004-04-06,11.33,11.4,11.28,11.33,683600,NRG
NRG,2004-04-07,11.2,11.33,11.175,11.33,629200,NRG
NRG,2004-04-08,11.095,11.25,11.075,11.25,387400,NRG
NRG,2004-04-09,11.095,11.25,11.075,11.25,0,NRG
NRG,2004-04-12,11.07,11.16,10.99,11.13,500000,NRG
NRG,2004-04-13,10.995,11.1,10.925,11.015,921800,NRG
NRG,2004-04-14,10.85,11.0,10.75,11.0,331000,NRG
NRG,2004-04-15,10.62,10.85,10.5,10.85,383000,NRG
NRG,2004-04-16,10.675,10.7,10.625,10.67,406400,NRG
NRG,2004-04-19,10.755,10.8,10.6725,10.675,225400,NRG
NRG,2004-04-20,10.625,10.775,10.51,10.775,128000,NRG
NRG,2004-04-21,10.42,10.625,10.385,10.625,521000,NRG
NRG,2004-04-22,10.45,10.45,10.345,10.42,553600,NRG
NRG,2004-04-23,10.5,10.55,10.47,10.475,816200,NRG
NRG,2004-04-26,10.6,10.6,10.495,10.5,468000,NRG
NRG,2004-04-27,10.615,10.625,10.585,10.625,412800,NRG
NRG,2004-04-28,10.875,10.975,10.6,10.615,809600,NRG
NRG,2004-04-29,10.85,10.85,10.75,10.8,187000,NRG
NRG,2004-04-30,10.85,10.92,10.8,10.82,177600,NRG
NRG,2004-05-03,10.55,10.85,10.3,10.85,1691000,NRG
NRG,2004-05-04,10.125,10.55,10.115,10.55,891400,NRG
NRG,2004-05-05,9.995,10.15,9.95,10.15,697200,NRG
NRG,2004-05-06,9.9,10.015,9.85,10.015,112000,NRG
NRG,2004-05-07,9.845,9.98,9.75,9.855,937200,NRG
NRG,2004-05-10,9.81,9.825,9.585,9.775,549600,NRG
NRG,2004-05-11,10.3,10.37,9.81,9.81,1532800,NRG
NRG,2004-05-12,10.245,10.35,10.03,10.35,132200,NRG
NRG,2004-05-13,9.995,10.25,9.935,10.25,198400,NRG
NRG,2004-05-14,10.475,10.6,10.075,10.1,794200,NRG
NRG,2004-05-17,10.165,10.575,10.125,10.575,133400,NRG
NRG,2004-05-18,10.25,10.375,10.165,10.165,210600,NRG
NRG,2004-05-19,10.3,10.355,10.25,10.25,131000,NRG
NRG,2004-05-20,10.23,10.34,10.225,10.3,157600,NRG
NRG,2004-05-21,10.21,10.25,10.125,10.205,137800,NRG
NRG,2004-05-24,10.35,10.35,10.21,10.21,174600,NRG
NRG,2004-05-25,10.375,10.6,10.3,10.35,331200,NRG
