Symbol,Date,Close,High,Low,Open,Volume,Name
NWS,2013-06-19,15.53,16.03,14.96,15.22,7716950,NWS
NWS,2013-06-20,15.44,16.3,15.36,16.25,1874512,NWS
NWS,2013-06-21,15.8,15.98,15.46,15.98,635301,NWS
NWS,2013-06-24,15.52,15.79,15.19,15.79,758286,NWS
NWS,2013-06-25,15.66,15.67,15.35,15.5,564359,NWS
NWS,2013-06-26,15.47,15.55,15.31,15.54,900958,NWS
NWS,2013-06-27,15.37,15.74,14.659,15.04,3257972,NWS
NWS,2013-06-28,15.38,15.68,15.25,15.29,1793696,NWS
NWS,2013-07-01,14.87,15.5,14.84,15.48,4343468,NWS
NWS,2013-07-02,14.99,15.19,14.67,14.72,8682426,NWS
NWS,2013-07-03,14.97,15.12,14.84,14.84,2265020,NWS
NWS,2013-07-04,14.97,14.97,14.97,14.97,0,NWS
NWS,2013-07-05,15.61,15.94,14.96,14.96,3470894,NWS
NWS,2013-07-08,16.02,16.08,15.55,15.83,4010690,NWS
NWS,2013-07-09,15.73,16.02,15.665,15.8,3656174,NWS
NWS,2013-07-10,15.45,15.6,15.22,15.5,3010407,NWS
NWS,2013-07-11,15.21,15.8,15.06,15.8,3630207,NWS
NWS,2013-07-12,14.99,15.18,14.97,15.0,3042207,NWS
NWS,2013-07-15,14.8,15.08,14.52,15.0,5331386,NWS
NWS,2013-07-16,15.39,15.47,14.7,14.71,2711004,NWS
NWS,2013-07-17,16.02,16.12,15.28,15.28,3737666,NWS
NWS,2013-07-18,15.6,16.25,15.46,16.04,2827883,NWS
NWS,2013-07-19,16.12,16.26,15.37,15.37,3735343,NWS
NWS,2013-07-22,15.9,16.26,15.751,16.15,2159106,NWS
NWS,2013-07-23,15.85,16.05,15.71,15.85,2104845,NWS
NWS,2013-07-24,15.92,16.05,15.62,15.79,2205008,NWS
NWS,2013-07-25,15.76,16.045,15.64,15.91,2097226,NWS
NWS,2013-07-26,16.09,16.16,15.5,15.76,937543,NWS
NWS,2013-07-29,15.71,16.069,15.61,15.98,3495564,NWS
NWS,2013-07-30,16.14,16.18,15.67,15.73,3438091,NWS
NWS,2013-07-31,16.09,16.37,16.04,16.09,2392779,NWS
NWS,2013-08-01,16.39,16.42,16.09,16.11,1951644,NWS
NWS,2013-08-02,16.5,16.64,16.25,16.29,2043518,NWS
NWS,2013-08-05,16.21,16.48,16.08,16.41,1127502,NWS
NWS,2013-08-06,16.39,16.45,16.03,16.13,1335326,NWS
NWS,2013-08-07,16.16,16.3,16.04,16.3,1239802,NWS
NWS,2013-08-08,16.38,16.51,16.15,16.32,2109532,NWS
NWS,2013-08-09,16.24,16.41,16.22,16.41,1370857,NWS
NWS,2013-08-12,16.11,16.3,15.975,16.1,1917519,NWS
NWS,2013-08-13,16.05,16.23,16.0,16.23,1643585,NWS
NWS,2013-08-14,16.18,16.21,15.87,16.0,2028997,NWS
NWS,2013-08-15,16.32,16.3901,15.935,16.06,1351588,NWS
NWS,2013-08-16,16.19,16.45,16.16,16.26,2144673,NWS
NWS,2013-08-19,15.89,16.22,15.875,16.21,610700,NWS
NWS,2013-08-20,15.88,15.98,15.716,15.91,993296,NWS
NWS,2013-08-21,15.94,16.0,15.7,15.83,1948113,NWS
NWS,2013-08-22,15.88,16.03,15.82,15.99,1611645,NWS
NWS,2013-08-23,15.92,16.02,15.77,15.84,1676519,NWS
NWS,2013-08-26,16.06,16.13,15.94,15.94,1095328,NWS
NWS,2013-08-27,15.94,16.2,15.93,15.98,3848674,NWS
NWS,2013-08-28,15.97,16.02,15.89,15.97,7235846,NWS
NWS,2013-08-29,15.96,16.085,15.83,15.98,797468,NWS
NWS,2013-08-30,15.84,15.97,15.7601,15.95,1583342,NWS
NWS,2013-09-02,15.84,15.84,15.84,15.84,0,NWS
NWS,2013-09-03,16.0,16.2,15.88,16.02,584372,NWS
NWS,2013-09-04,16.21,16.28,15.9,15.92,2037383,NWS
NWS,2013-09-05,16.39,16.44,16.07,16.2,1912054,NWS
NWS,2013-09-06,16.34,16.49,16.23,16.43,1655924,NWS
NWS,2013-09-09,16.49,16.5,16.3,16.34,772886,NWS
NWS,2013-09-10,16.72,16.72,16.41,16.53,846283,NWS
NWS,2013-09-11,17.2,17.2,16.68,16.71,1531585,NWS
NWS,2013-09-12,17.3,17.46,17.11,17.19,601602,NWS
NWS,2013-09-13,17.11,17.29,16.9799,17.29,411593,NWS
NWS,2013-09-16,17.17,17.38,17.0,17.28,772146,NWS
NWS,2013-09-17,17.22,17.29,17.12,17.16,548609,NWS
NWS,2013-09-18,17.245,17.34,17.07,17.2,951796,NWS
NWS,2013-09-19,17.13,17.39,16.91,17.39,884183,NWS
NWS,2013-09-20,16.91,17.23,16.72,17.1,1420276,NWS
NWS,2013-09-23,16.79,16.8499,16.61,16.82,703942,NWS
