Symbol,Date,Close,High,Low,Open,Volume,Name
OXY,1998-05-29,13.2496,13.3997,13.2496,13.3383,812931,OXY
OXY,1998-06-01,13.2496,13.3695,13.2198,13.252,654890,OXY
OXY,1998-06-02,13.1297,13.3695,13.0697,13.252,1295602,OXY
OXY,1998-06-03,13.0098,13.1297,13.0098,13.0985,803966,OXY
OXY,1998-06-04,12.8898,13.0098,12.8299,12.9786,3135175,OXY
OXY,1998-06-05,12.9498,12.98,12.7699,12.8922,3992517,OXY
OXY,1998-06-08,12.65,12.8299,12.65,12.7723,2425450,OXY
OXY,1998-06-09,12.71,12.7699,12.65,12.7388,855673,OXY
OXY,1998-06-10,12.5301,12.7699,12.4702,12.71,3907033,OXY
OXY,1998-06-11,12.3805,12.5301,12.2606,12.499,3515891,OXY
OXY,1998-06-12,12.4702,12.5004,12.3503,12.3791,1389218,OXY
OXY,1998-06-15,11.9009,12.4404,11.9009,12.4404,2272830,OXY
OXY,1998-06-16,12.1704,12.2606,12.0208,12.0529,1491173,OXY
OXY,1998-06-17,12.4404,12.6203,12.2903,12.2927,1305193,OXY
OXY,1998-06-18,12.5603,12.5901,12.4102,12.4126,1752837,OXY
OXY,1998-06-19,12.6203,12.6803,12.5301,12.6524,2904160,OXY
OXY,1998-06-22,12.6803,12.7402,12.5901,12.6189,1444887,OXY
OXY,1998-06-23,12.8601,12.8601,12.6803,12.7723,1492216,OXY
OXY,1998-06-24,12.8898,12.9201,12.7402,12.8587,1106704,OXY
OXY,1998-06-25,13.0098,13.3695,12.9498,12.9498,1991150,OXY
OXY,1998-06-26,13.04,13.0999,12.9498,13.0697,999953,OXY
OXY,1998-06-29,12.8898,13.0999,12.8299,13.0409,587754,OXY
OXY,1998-06-30,12.9498,13.0098,12.7402,12.9498,2190265,OXY
OXY,1998-07-01,13.04,13.04,12.8601,12.8922,836700,OXY
OXY,1998-07-02,13.0098,13.1297,12.9498,13.0409,930106,OXY
OXY,1998-07-03,13.0098,13.1297,12.9498,13.0409,0,OXY
OXY,1998-07-06,12.9201,13.0098,12.8898,12.9498,654056,OXY
OXY,1998-07-07,12.5901,12.9201,12.5603,12.8922,1336259,OXY
OXY,1998-07-08,12.4702,12.5901,12.4404,12.5325,1681323,OXY
OXY,1998-07-09,12.3805,12.4404,12.2006,12.4404,1031228,OXY
OXY,1998-07-10,12.2903,12.4102,12.2304,12.3503,823564,OXY
OXY,1998-07-13,12.2006,12.3205,12.1704,12.2591,1042904,OXY
OXY,1998-07-14,12.2006,12.2304,12.0807,12.1392,854839,OXY
OXY,1998-07-15,12.2606,12.3503,12.1704,12.2927,911342,OXY
OXY,1998-07-16,12.3205,12.3205,12.1407,12.2591,888407,OXY
OXY,1998-07-17,12.2304,12.3503,12.0505,12.3503,997034,OXY
OXY,1998-07-20,12.0807,12.2304,12.0208,12.2016,535838,OXY
OXY,1998-07-21,11.8409,12.0208,11.8409,11.9906,1480748,OXY
OXY,1998-07-22,11.781,11.8707,11.6308,11.7795,1655886,OXY
OXY,1998-07-23,11.3011,11.9306,11.2711,11.8707,2126673,OXY
OXY,1998-07-24,11.2112,11.451,11.0913,11.3335,1834777,OXY
OXY,1998-07-27,10.6716,11.1814,10.6419,11.18,2990061,OXY
OXY,1998-07-28,10.7018,10.7618,10.402,10.7339,1716559,OXY
OXY,1998-07-29,10.7315,10.8217,10.5517,10.7339,1115461,OXY
OXY,1998-07-30,10.7315,10.7915,10.6716,10.7004,869017,OXY
OXY,1998-07-31,10.6716,10.7915,10.522,10.7004,1536417,OXY
OXY,1998-08-03,10.522,10.8515,10.4917,10.614,2107074,OXY
OXY,1998-08-04,10.3119,10.6116,10.3119,10.5517,2013042,OXY
OXY,1998-08-05,10.402,10.4917,10.2519,10.3407,2553050,OXY
OXY,1998-08-06,10.4318,10.462,10.2222,10.3119,1944446,OXY
OXY,1998-08-07,10.7618,10.7618,10.3718,10.403,1492841,OXY
OXY,1998-08-10,10.4318,11.1215,10.402,10.7004,2927720,OXY
OXY,1998-08-11,10.402,10.6716,10.0721,10.4318,2428994,OXY
OXY,1998-08-12,10.5817,10.5817,10.4318,10.4318,1699045,OXY
OXY,1998-08-13,10.5819,10.7315,10.5517,10.5805,5870036,OXY
OXY,1998-08-14,10.5819,10.6716,10.462,10.614,1518278,OXY
OXY,1998-08-17,10.5517,10.6716,10.4318,10.5517,1188226,OXY
OXY,1998-08-18,10.4917,10.6419,10.462,10.5229,1386090,OXY
OXY,1998-08-19,10.522,10.6419,10.4917,10.5517,1339387,OXY
OXY,1998-08-20,10.6116,10.6716,10.462,10.4941,1255988,OXY
OXY,1998-08-21,10.462,10.5819,10.3718,10.5517,1582078,OXY
OXY,1998-08-24,10.522,10.6116,10.4917,10.4941,2404183,OXY
OXY,1998-08-25,10.462,10.6116,10.3718,10.5517,980771,OXY
OXY,1998-08-26,10.132,10.4917,10.1023,10.4318,1254111,OXY
OXY,1998-08-27,9.6227,10.2222,9.2927,10.0721,2192975,OXY
OXY,1998-08-28,9.4126,9.8323,9.4126,9.6212,1679238,OXY
OXY,1998-08-31,8.873,9.5924,8.8433,9.5013,1931311,OXY
OXY,1998-09-01,9.1128,9.3526,8.4236,8.873,2838275,OXY
OXY,1998-09-02,9.0529,9.2927,8.9929,9.1752,2262405,OXY
OXY,1998-09-03,9.0231,9.1128,8.8131,9.0553,1477412,OXY
OXY,1998-09-04,9.3526,9.4725,8.873,9.084,2267200,OXY
OXY,1998-09-07,9.3526,9.4725,8.873,9.084,0,OXY
OXY,1998-09-08,9.2927,9.2927,8.9929,9.1752,1795371,OXY
OXY,1998-09-09,9.3526,9.3526,9.0231,9.2327,2121252,OXY
OXY,1998-09-10,9.5028,9.5325,9.0529,9.1128,1737200,OXY
OXY,1998-09-11,9.6826,9.6826,9.3829,9.415,2054325,OXY
OXY,1998-09-14,10.1023,10.1023,9.7124,9.7124,2563058,OXY
OXY,1998-09-15,10.2519,10.2519,10.0721,10.0721,1563939,OXY
OXY,1998-09-16,10.2519,10.3119,10.0121,10.2208,1997822,OXY
OXY,1998-09-17,10.1622,10.4318,10.0721,10.192,1787656,OXY
OXY,1998-09-18,10.5517,10.5517,10.0721,10.1008,2811379,OXY
OXY,1998-09-21,10.192,10.3119,10.132,10.3119,1733864,OXY
OXY,1998-09-22,10.402,10.4917,10.0121,10.2208,2414400,OXY
OXY,1998-09-23,10.6716,10.7315,10.3119,10.4318,2134179,OXY
OXY,1998-09-24,10.6116,10.6716,10.3718,10.5517,1857711,OXY
OXY,1998-09-25,10.8217,10.8817,10.6116,10.614,1442802,OXY
OXY,1998-09-28,10.7618,10.8217,10.7018,10.7915,2726312,OXY
OXY,1998-09-29,10.8817,11.0016,10.7315,10.9738,2044525,OXY
OXY,1998-09-30,10.3119,10.7618,10.2821,10.7618,2223833,OXY
OXY,1998-10-01,9.9224,10.3119,9.8323,10.3119,3651206,OXY
OXY,1998-10-02,10.3119,10.3119,9.9224,10.1344,2032015,OXY
OXY,1998-10-05,9.8922,10.522,9.8922,10.4941,1461149,OXY
OXY,1998-10-06,9.9824,10.132,9.9522,10.0145,1416114,OXY
OXY,1998-10-07,10.1622,10.3718,10.0721,10.3718,1210327,OXY
OXY,1998-10-08,9.9522,10.3119,9.7723,10.3119,1462609,OXY
OXY,1998-10-09,9.8025,10.0721,9.6524,10.0721,1149446,OXY
OXY,1998-10-12,10.0121,10.132,9.9522,10.0721,993698,OXY
OXY,1998-10-13,10.2821,10.3718,10.1023,10.3119,705138,OXY
OXY,1998-10-14,9.9522,10.3718,9.9224,10.3119,1280591,OXY
OXY,1998-10-15,10.4917,10.5517,10.0121,10.0145,1611059,OXY
OXY,1998-10-16,10.132,10.7315,10.132,10.614,2585576,OXY
OXY,1998-10-19,10.3119,10.3718,10.192,10.2208,1447806,OXY
OXY,1998-10-20,9.9824,10.2821,9.9522,10.2821,1818931,OXY
OXY,1998-10-21,9.6826,9.9824,9.6524,9.9809,1996988,OXY
OXY,1998-10-22,9.9522,9.9522,9.7723,9.8035,2641245,OXY
OXY,1998-10-23,9.7723,10.0721,9.7426,10.0721,968678,OXY
OXY,1998-10-26,9.7723,9.8323,9.6524,9.6836,2058494,OXY
