Symbol,Date,Close,High,Low,Open,Volume,Name
PDCO,1998-05-29,8.125,8.313,8.125,8.31,108800,PDCO
PDCO,1998-06-01,8.407,8.477,8.157,8.25,560000,PDCO
PDCO,1998-06-02,8.329,8.5,8.313,8.5,875600,PDCO
PDCO,1998-06-03,8.438,8.5,8.344,8.38,898400,PDCO
PDCO,1998-06-04,8.594,8.625,8.469,8.56,307600,PDCO
PDCO,1998-06-05,8.688,8.688,8.532,8.63,243200,PDCO
PDCO,1998-06-08,9.047,9.25,8.625,8.63,1040800,PDCO
PDCO,1998-06-09,9.125,9.313,9.032,9.13,1474400,PDCO
PDCO,1998-06-10,8.938,9.157,8.907,9.157,586800,PDCO
PDCO,1998-06-11,9.25,9.25,8.938,8.94,667600,PDCO
PDCO,1998-06-12,8.969,9.375,8.907,9.25,802400,PDCO
PDCO,1998-06-15,8.594,9.0,8.563,8.88,481200,PDCO
PDCO,1998-06-16,8.672,8.782,8.563,8.563,524800,PDCO
PDCO,1998-06-17,9.032,9.094,8.727,8.78,532000,PDCO
PDCO,1998-06-18,9.0312,9.0625,8.4375,9.0625,731200,PDCO
PDCO,1998-06-19,8.594,8.75,8.438,8.44,196800,PDCO
PDCO,1998-06-22,8.782,8.969,8.688,8.69,364800,PDCO
PDCO,1998-06-23,8.641,8.938,8.625,8.938,288000,PDCO
PDCO,1998-06-24,8.75,8.875,8.719,8.72,372400,PDCO
PDCO,1998-06-25,8.844,8.938,8.75,8.88,282400,PDCO
PDCO,1998-06-26,8.969,8.969,8.782,8.94,263600,PDCO
PDCO,1998-06-29,9.282,9.282,8.844,8.85,847600,PDCO
PDCO,1998-06-30,9.157,9.25,9.0,9.25,613600,PDCO
PDCO,1998-07-01,9.188,9.188,9.063,9.188,107200,PDCO
PDCO,1998-07-02,9.032,9.188,9.0,9.188,71600,PDCO
PDCO,1998-07-03,9.032,9.188,9.0,9.188,0,PDCO
PDCO,1998-07-06,9.125,9.125,9.0,9.03,91200,PDCO
PDCO,1998-07-07,9.188,9.188,9.094,9.13,140800,PDCO
PDCO,1998-07-08,9.407,9.407,9.188,9.22,482400,PDCO
PDCO,1998-07-09,9.688,9.75,9.313,9.44,280400,PDCO
PDCO,1998-07-10,9.672,9.75,9.5,9.69,229200,PDCO
PDCO,1998-07-13,9.813,9.844,9.625,9.75,207600,PDCO
PDCO,1998-07-14,9.782,9.875,9.719,9.81,199200,PDCO
PDCO,1998-07-15,9.844,9.875,9.719,9.875,125200,PDCO
PDCO,1998-07-16,9.688,9.844,9.688,9.69,149600,PDCO
PDCO,1998-07-17,9.563,9.844,9.563,9.844,328800,PDCO
PDCO,1998-07-20,9.75,9.75,9.5,9.75,82000,PDCO
PDCO,1998-07-21,9.125,9.75,9.125,9.75,190800,PDCO
PDCO,1998-07-22,9.313,9.532,9.157,9.41,224400,PDCO
PDCO,1998-07-23,8.954,9.375,8.938,9.25,324400,PDCO
PDCO,1998-07-24,8.969,9.157,8.782,9.0,144800,PDCO
PDCO,1998-07-27,8.782,9.0,8.75,9.0,142400,PDCO
PDCO,1998-07-28,8.782,8.938,8.75,8.88,284000,PDCO
PDCO,1998-07-29,8.813,8.938,8.719,8.72,148000,PDCO
PDCO,1998-07-30,9.079,9.125,8.782,8.81,347200,PDCO
PDCO,1998-07-31,9.063,9.157,8.875,9.13,211200,PDCO
PDCO,1998-08-03,8.938,9.188,8.813,9.188,225600,PDCO
PDCO,1998-08-04,8.594,8.938,8.438,8.938,222000,PDCO
PDCO,1998-08-05,8.438,8.688,8.094,8.688,648800,PDCO
PDCO,1998-08-06,8.438,8.563,8.282,8.44,460800,PDCO
PDCO,1998-08-07,8.907,8.907,8.407,8.56,258799,PDCO
PDCO,1998-08-10,8.688,8.907,8.672,8.907,154400,PDCO
PDCO,1998-08-11,8.688,8.75,8.375,8.38,243600,PDCO
PDCO,1998-08-12,9.313,9.438,8.75,8.85,408000,PDCO
PDCO,1998-08-13,9.032,9.344,8.907,9.344,294000,PDCO
PDCO,1998-08-14,9.25,9.344,9.094,9.13,347600,PDCO
PDCO,1998-08-17,9.094,9.313,8.938,9.31,218800,PDCO
PDCO,1998-08-18,9.0156,9.2812,8.9375,9.0781,468800,PDCO
PDCO,1998-08-19,8.844,9.094,8.844,9.06,38400,PDCO
PDCO,1998-08-20,8.594,9.094,8.5,9.094,157200,PDCO
PDCO,1998-08-21,8.657,8.688,8.0,8.5,274400,PDCO
PDCO,1998-08-24,8.375,8.875,8.375,8.81,79200,PDCO
PDCO,1998-08-25,8.407,8.625,8.344,8.625,86000,PDCO
PDCO,1998-08-26,8.0,8.375,8.0,8.375,531200,PDCO
PDCO,1998-08-27,8.063,8.063,7.688,8.0,311200,PDCO
PDCO,1998-08-28,8.063,8.625,7.907,7.91,387600,PDCO
PDCO,1998-08-31,7.454,8.25,7.438,8.25,179200,PDCO
PDCO,1998-09-01,8.625,8.719,7.375,7.5,476800,PDCO
PDCO,1998-09-02,8.844,9.125,8.438,8.5,350800,PDCO
PDCO,1998-09-03,8.797,8.844,8.625,8.63,242000,PDCO
PDCO,1998-09-04,8.719,8.938,8.532,8.938,230800,PDCO
PDCO,1998-09-07,8.719,8.938,8.532,8.938,0,PDCO
PDCO,1998-09-08,9.0,9.0625,8.6875,8.6875,817600,PDCO
PDCO,1998-09-09,8.344,9.094,8.344,9.0,206800,PDCO
PDCO,1998-09-10,8.5,8.5,8.125,8.25,143200,PDCO
PDCO,1998-09-11,9.125,9.204,8.157,8.5,172400,PDCO
PDCO,1998-09-14,9.438,9.438,9.125,9.19,112800,PDCO
PDCO,1998-09-15,9.313,9.375,9.125,9.31,375600,PDCO
PDCO,1998-09-16,9.063,9.313,9.063,9.31,106400,PDCO
