Symbol,Date,Close,High,Low,Open,Volume,Name
PEP,1998-05-29,40.813,41.438,40.313,40.313,2998600,PEP
PEP,1998-06-01,41.5,41.563,40.563,40.63,2411800,PEP
PEP,1998-06-02,41.188,41.938,41.188,41.5,2089900,PEP
PEP,1998-06-03,40.75,41.313,40.688,41.25,2177200,PEP
PEP,1998-06-04,40.75,41.313,40.375,40.56,2346900,PEP
PEP,1998-06-05,42.0,42.0,40.813,40.813,2077500,PEP
PEP,1998-06-08,41.375,41.938,41.25,41.938,1338100,PEP
PEP,1998-06-09,42.0,42.0,41.125,41.19,1870600,PEP
PEP,1998-06-10,41.375,41.938,41.125,41.81,1855700,PEP
PEP,1998-06-11,40.375,41.125,40.063,40.63,3377300,PEP
PEP,1998-06-12,40.688,41.0,40.188,40.38,2189300,PEP
PEP,1998-06-15,41.188,41.938,40.25,40.31,3013400,PEP
PEP,1998-06-16,41.375,41.375,40.25,41.13,2844300,PEP
PEP,1998-06-17,41.875,42.0,41.375,41.81,2351700,PEP
PEP,1998-06-18,41.875,42.0,41.5,41.81,1727400,PEP
PEP,1998-06-19,40.438,41.688,40.313,41.44,4805400,PEP
PEP,1998-06-22,40.563,41.0,40.5,40.69,2131600,PEP
PEP,1998-06-23,41.188,41.625,40.75,40.81,2432300,PEP
PEP,1998-06-24,42.125,42.75,40.875,41.19,3230400,PEP
PEP,1998-06-25,41.438,42.688,41.25,42.38,2842800,PEP
PEP,1998-06-26,41.188,41.813,40.875,40.94,1683100,PEP
PEP,1998-06-29,41.25,41.75,41.25,41.63,1994200,PEP
PEP,1998-06-30,41.188,41.938,40.938,41.31,2452700,PEP
PEP,1998-07-01,42.0,42.0,41.375,41.5,2327600,PEP
PEP,1998-07-02,43.688,43.75,41.75,41.94,3354200,PEP
PEP,1998-07-03,43.688,43.75,41.75,41.94,0,PEP
PEP,1998-07-06,43.0,43.625,42.875,43.13,2450200,PEP
PEP,1998-07-07,42.25,42.875,42.25,42.31,1866700,PEP
PEP,1998-07-08,42.25,42.5,42.0,42.0,1306600,PEP
PEP,1998-07-09,41.313,42.0,41.313,41.56,1835500,PEP
PEP,1998-07-10,42.313,42.75,41.125,41.31,2378000,PEP
PEP,1998-07-13,41.438,42.25,41.313,41.44,2486000,PEP
PEP,1998-07-14,39.25,41.063,38.75,40.88,9404000,PEP
PEP,1998-07-15,38.125,39.875,38.0,39.69,8331400,PEP
PEP,1998-07-16,37.938,38.188,37.0,37.25,12230100,PEP
PEP,1998-07-17,39.5,39.688,38.813,39.5,8916800,PEP
PEP,1998-07-20,39.75,40.0,39.375,39.38,5073600,PEP
