Symbol,Date,Close,High,Low,Open,Volume,Name
PKG,2000-01-28,12.0,12.188,12.0,12.0,11192000,PKG
PKG,2000-01-31,12.063,12.063,12.0,12.0,1880900,PKG
PKG,2000-02-01,12.0,12.063,12.0,12.0,367100,PKG
PKG,2000-02-02,12.063,12.063,12.0,12.0,697400,PKG
PKG,2000-02-03,12.0,12.063,12.0,12.0,579800,PKG
PKG,2000-02-04,11.375,12.063,11.25,12.0,1681900,PKG
PKG,2000-02-07,10.813,11.125,10.5,11.125,927200,PKG
PKG,2000-02-08,9.875,10.875,9.75,10.75,795400,PKG
PKG,2000-02-09,10.125,10.25,9.75,9.88,1710100,PKG
PKG,2000-02-10,10.625,11.25,10.438,10.5,571500,PKG
PKG,2000-02-11,10.063,10.938,10.0,10.75,1062000,PKG
PKG,2000-02-14,9.813,10.313,9.75,10.19,289000,PKG
PKG,2000-02-15,10.438,10.625,9.938,10.0,541400,PKG
PKG,2000-02-16,10.563,10.625,10.25,10.56,360700,PKG
PKG,2000-02-17,10.375,10.875,10.25,10.875,291600,PKG
PKG,2000-02-18,10.5625,10.75,10.3125,10.75,281800,PKG
PKG,2000-02-21,10.5625,10.75,10.3125,10.75,0,PKG
PKG,2000-02-22,10.313,10.625,9.875,10.25,314500,PKG
PKG,2000-02-23,10.125,10.313,9.813,9.94,494300,PKG
PKG,2000-02-24,10.3125,10.3125,9.875,9.9375,881200,PKG
PKG,2000-02-25,10.438,10.625,10.0,10.31,1095500,PKG
PKG,2000-02-28,10.0625,10.3125,10.0,10.25,328400,PKG
PKG,2000-02-29,10.875,11.25,10.0,10.13,1652500,PKG
PKG,2000-03-01,11.0,11.25,10.875,10.88,266700,PKG
PKG,2000-03-02,11.375,11.9375,10.8125,10.875,860900,PKG
PKG,2000-03-03,10.938,11.5,10.875,11.5,160300,PKG
PKG,2000-03-06,10.75,10.813,10.375,10.5,242800,PKG
PKG,2000-03-07,10.25,10.75,10.063,10.63,393500,PKG
PKG,2000-03-08,10.375,10.5,9.875,10.19,424100,PKG
PKG,2000-03-09,10.5,10.813,10.25,10.31,310100,PKG
PKG,2000-03-10,10.25,10.5,10.0,10.5,168900,PKG
PKG,2000-03-13,9.75,10.125,9.563,10.0,1767400,PKG
PKG,2000-03-14,9.9375,10.125,9.5625,10.0,547400,PKG
PKG,2000-03-15,9.625,9.875,9.25,9.875,1231100,PKG
PKG,2000-03-16,9.75,10.25,9.5,9.81,404100,PKG
PKG,2000-03-17,9.563,9.938,9.25,9.75,814800,PKG
PKG,2000-03-20,9.625,10.0,9.5,9.69,473200,PKG
PKG,2000-03-21,9.625,9.813,9.5,9.56,176200,PKG
PKG,2000-03-22,9.563,9.75,9.5,9.63,430300,PKG
PKG,2000-03-23,9.688,9.813,9.5,9.5,477400,PKG
PKG,2000-03-24,9.75,9.875,9.563,9.563,236700,PKG
PKG,2000-03-27,9.875,10.0,9.75,9.75,67600,PKG
PKG,2000-03-28,9.813,10.188,9.75,9.88,157900,PKG
PKG,2000-03-29,9.875,9.9375,9.5625,9.5625,167300,PKG
PKG,2000-03-30,9.813,10.125,9.813,9.813,235200,PKG
PKG,2000-03-31,10.5,10.5,9.75,9.81,627300,PKG
PKG,2000-04-03,10.313,10.375,10.063,10.375,108400,PKG
PKG,2000-04-04,10.063,10.375,10.0,10.375,411000,PKG
PKG,2000-04-05,10.3125,10.375,9.875,9.9375,112500,PKG
PKG,2000-04-06,10.75,11.125,9.875,9.9375,265800,PKG
PKG,2000-04-07,10.5,10.625,10.25,10.5,262800,PKG
PKG,2000-04-10,10.313,10.75,10.25,10.5,139400,PKG
PKG,2000-04-11,10.625,10.625,10.3125,10.5,295300,PKG
PKG,2000-04-12,10.813,11.0,10.563,10.563,392000,PKG
PKG,2000-04-13,10.625,10.813,10.625,10.69,243200,PKG
PKG,2000-04-14,10.125,10.625,10.0,10.5,269900,PKG
PKG,2000-04-17,10.375,10.375,10.0,10.0,321300,PKG
PKG,2000-04-18,10.625,10.813,10.25,10.38,862200,PKG
PKG,2000-04-19,10.938,11.25,10.5,10.5,531900,PKG
PKG,2000-04-20,10.625,11.0,10.625,10.94,193500,PKG
PKG,2000-04-21,10.625,11.0,10.625,10.94,0,PKG
