Symbol,Date,Close,High,Low,Open,Volume,Name
PLD,1998-05-29,23.813,23.813,23.25,23.25,48000,PLD
PLD,1998-06-01,23.625,23.938,23.563,23.938,77300,PLD
PLD,1998-06-02,23.563,23.563,23.5,23.5,11400,PLD
PLD,1998-06-03,23.5,23.563,23.5,23.56,521599,PLD
PLD,1998-06-04,23.563,23.625,23.5,23.5,6000,PLD
PLD,1998-06-05,23.688,23.813,23.688,23.69,52400,PLD
PLD,1998-06-08,23.5,23.813,23.5,23.81,40800,PLD
PLD,1998-06-09,23.188,23.438,23.125,23.38,13500,PLD
PLD,1998-06-10,23.25,23.313,23.063,23.19,25200,PLD
PLD,1998-06-11,22.875,23.25,22.5,23.25,33100,PLD
PLD,1998-06-12,22.625,22.75,22.625,22.75,46100,PLD
PLD,1998-06-15,22.375,22.625,22.313,22.625,33800,PLD
PLD,1998-06-16,22.625,22.75,22.375,22.38,13000,PLD
PLD,1998-06-17,23.063,23.063,22.5,22.5,59700,PLD
PLD,1998-06-18,24.25,24.25,22.688,22.88,141400,PLD
PLD,1998-06-19,24.0,24.063,23.813,24.06,116200,PLD
PLD,1998-06-22,23.5,23.875,22.5,23.875,66100,PLD
PLD,1998-06-23,23.438,23.438,23.375,23.38,36100,PLD
PLD,1998-06-24,23.938,24.0,23.25,23.38,97100,PLD
PLD,1998-06-25,24.063,24.125,23.625,24.0,158000,PLD
PLD,1998-06-26,24.0,24.125,23.625,23.81,59300,PLD
PLD,1998-06-29,25.0,25.0,23.625,24.0,81900,PLD
PLD,1998-06-30,24.5,25.0,24.25,25.0,298200,PLD
PLD,1998-07-01,24.188,24.5,24.063,24.5,14900,PLD
PLD,1998-07-02,24.063,24.125,24.063,24.125,14500,PLD
PLD,1998-07-03,24.063,24.125,24.063,24.125,0,PLD
PLD,1998-07-06,24.0,24.063,23.75,24.06,19000,PLD
PLD,1998-07-07,24.438,24.563,23.875,24.0,36100,PLD
PLD,1998-07-08,24.125,24.5,24.125,24.44,10000,PLD
PLD,1998-07-09,23.938,24.0,23.688,24.0,21100,PLD
PLD,1998-07-10,24.0,24.0,23.813,23.813,13700,PLD
PLD,1998-07-13,24.188,24.5,23.875,24.0,207600,PLD
PLD,1998-07-14,24.25,24.438,24.25,24.31,5500,PLD
PLD,1998-07-15,24.375,24.375,24.125,24.25,16100,PLD
PLD,1998-07-16,24.5,24.5,24.25,24.25,27200,PLD
PLD,1998-07-17,24.875,24.875,24.25,24.25,376900,PLD
PLD,1998-07-20,24.313,24.75,24.25,24.75,37100,PLD
PLD,1998-07-21,24.563,24.813,24.25,24.25,31200,PLD
PLD,1998-07-22,24.438,24.625,24.313,24.625,13700,PLD
PLD,1998-07-23,24.625,24.625,24.25,24.5,18600,PLD
PLD,1998-07-24,24.5,24.625,24.5,24.625,22900,PLD
PLD,1998-07-27,23.813,24.375,23.75,24.375,35200,PLD
PLD,1998-07-28,23.563,23.75,23.563,23.75,23200,PLD
PLD,1998-07-29,23.5,23.688,23.5,23.5,31399,PLD
PLD,1998-07-30,23.875,23.938,23.563,23.563,41100,PLD
PLD,1998-07-31,23.875,24.375,23.875,23.88,186500,PLD
