Symbol,Date,Close,High,Low,Open,Volume,Name
PNC,1998-05-29,57.75,58.375,56.813,58.0,417500,PNC
PNC,1998-06-01,58.375,59.063,57.625,57.94,408400,PNC
PNC,1998-06-02,57.688,59.0,57.625,58.5,346900,PNC
PNC,1998-06-03,56.75,58.0,56.563,57.88,463800,PNC
PNC,1998-06-04,56.813,56.938,55.25,56.5,479900,PNC
PNC,1998-06-05,58.375,58.375,57.063,57.25,509800,PNC
PNC,1998-06-08,58.75,59.0,58.25,59.0,267300,PNC
PNC,1998-06-09,58.063,58.813,57.5,58.5,374800,PNC
PNC,1998-06-10,58.0,58.938,57.313,57.75,332300,PNC
PNC,1998-06-11,55.938,58.375,55.75,58.0,714400,PNC
PNC,1998-06-12,55.5,56.0,54.75,56.0,856700,PNC
PNC,1998-06-15,54.875,55.625,54.313,54.94,713800,PNC
PNC,1998-06-16,54.75,55.313,54.313,55.06,546100,PNC
PNC,1998-06-17,55.5,56.188,55.0,55.0,738600,PNC
PNC,1998-06-18,55.313,55.875,55.25,55.5,554600,PNC
PNC,1998-06-19,54.938,55.188,54.438,54.44,684400,PNC
PNC,1998-06-22,54.5,55.438,54.5,54.88,423500,PNC
PNC,1998-06-23,55.438,55.5,54.625,54.75,597400,PNC
PNC,1998-06-24,55.625,56.063,54.938,55.31,1963900,PNC
PNC,1998-06-25,55.938,56.25,55.563,55.81,1355400,PNC
PNC,1998-06-26,55.5,56.0,55.5,55.94,572500,PNC
PNC,1998-06-29,55.438,55.938,55.438,55.69,922300,PNC
PNC,1998-06-30,53.875,55.438,53.813,55.38,1475100,PNC
PNC,1998-07-01,55.188,55.188,54.438,54.69,1090500,PNC
PNC,1998-07-02,56.125,56.313,55.0,55.13,597600,PNC
PNC,1998-07-03,56.125,56.313,55.0,55.13,0,PNC
PNC,1998-07-06,57.25,57.313,56.0,56.13,451400,PNC
PNC,1998-07-07,57.25,59.0,57.125,59.0,645500,PNC
PNC,1998-07-08,58.625,58.75,57.0,57.63,674700,PNC
PNC,1998-07-09,58.0,58.375,57.688,58.25,379900,PNC
PNC,1998-07-10,58.5,59.063,57.625,57.88,890200,PNC
PNC,1998-07-13,58.5,58.75,58.25,58.31,572000,PNC
PNC,1998-07-14,58.75,59.188,58.25,58.25,566200,PNC
PNC,1998-07-15,58.375,58.938,58.375,58.75,605100,PNC
PNC,1998-07-16,58.688,58.875,56.75,58.0,830000,PNC
PNC,1998-07-17,59.5,60.0,58.75,58.94,628500,PNC
PNC,1998-07-20,58.5,59.375,58.5,59.13,360000,PNC
PNC,1998-07-21,56.75,58.688,56.25,58.0,910100,PNC
PNC,1998-07-22,57.0,57.938,56.188,57.13,739200,PNC
PNC,1998-07-23,56.25,57.0,55.938,57.0,581400,PNC
PNC,1998-07-24,55.688,56.438,54.75,56.31,514000,PNC
PNC,1998-07-27,54.688,55.563,53.563,55.56,612700,PNC
PNC,1998-07-28,54.063,54.813,53.875,54.75,798700,PNC
PNC,1998-07-29,54.313,55.25,54.188,54.5,628700,PNC
PNC,1998-07-30,54.0,54.875,53.938,54.5,887600,PNC
PNC,1998-07-31,53.938,54.25,53.75,54.25,1027500,PNC
PNC,1998-08-03,52.25,53.125,52.25,53.0,926200,PNC
PNC,1998-08-04,50.125,52.625,50.063,52.5,866400,PNC
PNC,1998-08-05,49.875,51.188,49.063,50.25,1135700,PNC
PNC,1998-08-06,50.0,50.0,48.875,49.31,1554300,PNC
PNC,1998-08-07,49.375,50.25,49.063,50.0,1336200,PNC
PNC,1998-08-10,48.438,49.0,48.313,48.75,1048800,PNC
PNC,1998-08-11,47.5,47.688,46.5,47.63,1260100,PNC
PNC,1998-08-12,48.313,49.063,47.5,47.5,993700,PNC
PNC,1998-08-13,47.875,49.188,47.875,48.63,648900,PNC
PNC,1998-08-14,48.125,49.0,47.25,48.75,545600,PNC
PNC,1998-08-17,48.938,48.938,47.688,47.88,713400,PNC
PNC,1998-08-18,49.313,49.813,48.625,48.88,820600,PNC
