Symbol,Date,Close,High,Low,Open,Volume,Name
PPG,1998-05-29,36.4375,37.1565,36.4375,37.065,709400,PPG
PPG,1998-06-01,36.625,37.0625,36.25,36.315,565600,PPG
PPG,1998-06-02,37.0625,37.3125,36.8125,37.125,475600,PPG
PPG,1998-06-03,36.9375,37.5,36.6875,37.5,1050400,PPG
PPG,1998-06-04,36.594,36.9375,36.375,36.9375,619000,PPG
PPG,1998-06-05,37.5,37.5,36.6875,36.875,1002200,PPG
PPG,1998-06-08,37.4375,37.594,37.3125,37.5,380200,PPG
PPG,1998-06-09,37.5,37.8125,37.375,37.375,636200,PPG
PPG,1998-06-10,35.969,37.0625,35.9375,36.875,1252200,PPG
PPG,1998-06-11,35.875,36.2815,35.6875,35.69,1215400,PPG
PPG,1998-06-12,35.1565,36.0,34.5,35.75,1093200,PPG
PPG,1998-06-15,34.5625,34.9375,34.125,34.9375,627600,PPG
PPG,1998-06-16,34.875,35.0315,34.5,34.69,860600,PPG
PPG,1998-06-17,34.7815,35.5625,34.6875,34.97,929600,PPG
PPG,1998-06-18,34.625,34.9375,34.5,34.75,529200,PPG
PPG,1998-06-19,32.75,34.6565,32.3125,34.625,2787600,PPG
PPG,1998-06-22,31.8125,32.9065,31.8125,32.375,1626600,PPG
PPG,1998-06-23,32.9065,32.9065,32.344,32.375,985800,PPG
PPG,1998-06-24,33.1875,33.25,32.875,32.905,528000,PPG
PPG,1998-06-25,32.969,33.5,32.9375,33.25,486400,PPG
PPG,1998-06-26,33.375,33.9375,32.9375,32.94,642800,PPG
PPG,1998-06-29,33.5,34.25,33.4065,33.5,680400,PPG
PPG,1998-06-30,34.7815,34.844,33.5,33.69,993600,PPG
PPG,1998-07-01,35.0,35.1875,34.7815,34.815,802400,PPG
PPG,1998-07-02,35.0,35.0,34.8125,34.875,540800,PPG
PPG,1998-07-03,35.0,35.0,34.8125,34.875,0,PPG
PPG,1998-07-06,35.25,35.25,35.0,35.065,805000,PPG
PPG,1998-07-07,35.0315,35.3125,35.0,35.3125,381000,PPG
PPG,1998-07-08,35.0625,35.094,35.0,35.0,375000,PPG
PPG,1998-07-09,33.969,35.0,33.9375,34.97,2765000,PPG
PPG,1998-07-10,34.094,34.25,33.625,33.815,706600,PPG
PPG,1998-07-13,34.0,34.094,34.0,34.094,426200,PPG
PPG,1998-07-14,34.844,34.969,34.125,34.125,696800,PPG
PPG,1998-07-15,35.0,35.5,34.8125,34.815,1243000,PPG
PPG,1998-07-16,34.375,35.1875,34.375,34.94,912000,PPG
PPG,1998-07-17,33.5,34.219,33.4375,34.125,802000,PPG
PPG,1998-07-20,33.75,33.9375,33.375,33.5,464600,PPG
PPG,1998-07-21,33.6875,33.8125,33.5625,33.69,484000,PPG
PPG,1998-07-22,33.375,33.6875,33.25,33.565,665000,PPG
PPG,1998-07-23,32.6565,33.3125,32.4375,33.25,758800,PPG
PPG,1998-07-24,32.75,33.125,32.5,32.72,836000,PPG
PPG,1998-07-27,32.375,32.625,31.75,32.625,675400,PPG
PPG,1998-07-28,32.469,32.469,31.25,32.25,601400,PPG
PPG,1998-07-29,32.094,32.875,31.0315,32.625,1043199,PPG
PPG,1998-07-30,32.875,33.094,32.25,32.25,461400,PPG
PPG,1998-07-31,31.6875,33.1875,31.094,33.0,562800,PPG
PPG,1998-08-03,31.5,31.875,31.25,31.69,447400,PPG
PPG,1998-08-04,30.969,32.0,30.9375,31.565,1315600,PPG
PPG,1998-08-05,30.344,31.0625,29.7815,30.875,758400,PPG
PPG,1998-08-06,30.5625,30.7815,30.25,30.25,341200,PPG
PPG,1998-08-07,30.875,31.4375,30.0625,30.75,606800,PPG
PPG,1998-08-10,30.4065,31.0,30.344,30.875,561400,PPG
PPG,1998-08-11,29.6565,30.2815,29.0625,30.155,730400,PPG
PPG,1998-08-12,30.094,30.1875,29.5625,29.595,509600,PPG
PPG,1998-08-13,29.5315,31.0,29.375,30.095,607800,PPG
PPG,1998-08-14,28.25,29.5,27.25,29.405,1732800,PPG
PPG,1998-08-17,29.375,29.4375,28.375,28.375,633400,PPG
PPG,1998-08-18,29.7815,29.7815,29.344,29.47,523200,PPG
PPG,1998-08-19,29.9065,30.125,29.3125,29.72,688000,PPG
PPG,1998-08-20,29.6875,29.9065,29.1875,29.905,788000,PPG
PPG,1998-08-21,28.625,29.594,28.3125,29.5,625400,PPG
PPG,1998-08-24,28.5315,28.9375,28.2815,28.625,1009800,PPG
PPG,1998-08-25,28.8125,29.0625,28.594,29.0,823600,PPG
PPG,1998-08-26,28.9375,28.9375,28.375,28.69,658600,PPG
PPG,1998-08-27,27.594,28.969,27.5,28.875,594000,PPG
PPG,1998-08-28,26.844,28.0315,26.6875,27.655,762000,PPG
PPG,1998-08-31,25.5,27.125,25.4065,26.97,622800,PPG
PPG,1998-09-01,26.0315,26.25,24.5625,25.405,1095400,PPG
PPG,1998-09-02,25.7815,26.594,25.7815,26.065,641200,PPG
PPG,1998-09-03,26.469,26.5625,25.375,25.72,834800,PPG
PPG,1998-09-04,26.344,27.219,25.8125,26.5,847800,PPG
PPG,1998-09-07,26.344,27.219,25.8125,26.5,0,PPG
PPG,1998-09-08,27.3125,27.344,26.3125,26.5,618800,PPG
PPG,1998-09-09,26.9375,27.375,26.5315,27.315,449800,PPG
PPG,1998-09-10,25.25,26.6565,24.719,26.5,813600,PPG
PPG,1998-09-11,26.25,26.25,24.875,25.125,838800,PPG
PPG,1998-09-14,26.969,27.3125,26.75,26.75,564600,PPG
PPG,1998-09-15,27.6875,27.75,26.875,26.97,556200,PPG
PPG,1998-09-16,27.219,28.375,26.6875,27.815,876400,PPG
PPG,1998-09-17,26.4375,26.969,26.0315,26.969,426400,PPG
PPG,1998-09-18,26.0625,26.5625,25.875,26.44,1265800,PPG
PPG,1998-09-21,26.0315,26.0625,25.7815,25.875,337400,PPG
PPG,1998-09-22,26.0,26.344,25.969,26.19,726200,PPG
PPG,1998-09-23,26.5315,26.594,26.0625,26.19,571200,PPG
PPG,1998-09-24,26.5,27.1565,26.3125,26.625,1230800,PPG
PPG,1998-09-25,26.3125,26.344,25.375,26.065,1017600,PPG
PPG,1998-09-28,27.844,28.219,26.0625,26.065,1339800,PPG
PPG,1998-09-29,28.3125,28.6875,28.125,28.125,1091400,PPG
PPG,1998-09-30,27.2815,28.219,27.094,28.0,555800,PPG
PPG,1998-10-01,26.125,27.125,26.0625,27.125,956400,PPG
PPG,1998-10-02,26.375,26.6565,25.875,26.315,1340800,PPG
PPG,1998-10-05,26.375,27.125,26.25,26.405,704400,PPG
PPG,1998-10-06,26.469,27.219,26.125,26.125,1125600,PPG
PPG,1998-10-07,27.0,27.469,26.4065,26.5,941400,PPG
PPG,1998-10-08,26.344,26.9065,25.9065,26.815,715000,PPG
PPG,1998-10-09,28.25,28.375,26.0,26.28,988200,PPG
PPG,1998-10-12,27.6565,28.719,27.5,28.28,1188400,PPG
PPG,1998-10-13,27.1565,27.719,27.0,27.719,714400,PPG
PPG,1998-10-14,26.9375,27.3125,26.9375,27.22,747200,PPG
PPG,1998-10-15,30.0,30.625,26.875,26.875,992800,PPG
PPG,1998-10-16,30.0625,30.5,29.75,30.5,636600,PPG
PPG,1998-10-19,30.4375,31.25,30.0,31.25,742800,PPG
PPG,1998-10-20,29.875,30.1875,29.5625,29.875,1089600,PPG
PPG,1998-10-21,28.9375,29.969,28.8125,29.969,541200,PPG
PPG,1998-10-22,28.3125,28.9065,28.1565,28.905,792200,PPG
PPG,1998-10-23,28.094,28.375,27.25,28.28,1245200,PPG
PPG,1998-10-26,27.6875,28.469,27.25,28.0,845600,PPG
PPG,1998-10-27,27.0315,28.0625,27.0315,27.375,1439800,PPG
PPG,1998-10-28,26.6565,27.25,26.5,27.125,722200,PPG
PPG,1998-10-29,27.6565,27.6565,26.5625,26.78,2191400,PPG
PPG,1998-10-30,28.625,28.7815,27.5625,27.625,714800,PPG
PPG,1998-11-02,29.4065,29.6875,28.5,29.22,735800,PPG
PPG,1998-11-03,29.625,29.969,29.2815,29.2815,502399,PPG
PPG,1998-11-04,29.8125,30.094,29.5625,29.625,417800,PPG
PPG,1998-11-05,31.0,31.0,29.4375,29.5,614600,PPG
PPG,1998-11-06,30.75,30.8125,30.5,30.625,505600,PPG
PPG,1998-11-09,30.0625,30.719,29.6565,30.69,331800,PPG
PPG,1998-11-10,29.2815,30.094,29.25,30.065,289200,PPG
PPG,1998-11-11,29.0,29.3125,28.7815,29.28,526800,PPG
PPG,1998-11-12,29.2815,30.094,29.25,29.315,289200,PPG
PPG,1998-11-13,29.5315,29.9065,29.125,29.44,363800,PPG
PPG,1998-11-16,30.219,30.219,29.594,29.595,391400,PPG
PPG,1998-11-17,30.25,30.8125,30.125,30.22,720200,PPG
PPG,1998-11-18,30.469,30.5,30.0315,30.065,543800,PPG
PPG,1998-11-19,30.469,30.625,29.75,30.5,704600,PPG
PPG,1998-11-20,30.5315,30.594,30.3125,30.47,363800,PPG
PPG,1998-11-23,31.2815,31.3125,30.6565,30.69,565800,PPG
PPG,1998-11-24,30.875,31.6875,30.875,31.125,677400,PPG
PPG,1998-11-25,30.875,31.6875,30.875,31.125,0,PPG
