Symbol,Date,Close,High,Low,Open,Volume,Name
PPL,1998-05-29,10.2658,10.2946,10.0914,10.1146,843803,PPL
PPL,1998-06-01,10.701,10.8458,10.2658,10.2658,2265015,PPL
PPL,1998-06-02,10.7298,10.8745,10.6713,10.8745,837768,PPL
PPL,1998-06-03,10.7585,10.8745,10.701,10.792,1337585,PPL
PPL,1998-06-04,10.5553,10.7298,10.4393,10.6992,2733795,PPL
PPL,1998-06-05,10.6138,10.6138,10.469,10.495,2152723,PPL
PPL,1998-06-08,10.5266,10.5266,10.2946,10.3465,5829466,PPL
PPL,1998-06-09,10.5266,10.585,10.469,10.5321,1438453,PPL
PPL,1998-06-10,10.7873,10.817,10.5266,10.5321,1186498,PPL
PPL,1998-06-11,10.7293,10.7873,10.6423,10.6713,840786,PPL
PPL,1998-06-12,10.7585,10.817,10.6713,10.6713,543569,PPL
PPL,1998-06-15,10.7298,10.7873,10.4978,10.6156,1224647,PPL
PPL,1998-06-16,10.7585,10.7585,10.6713,10.727,906307,PPL
PPL,1998-06-17,10.817,10.817,10.7585,10.7641,2066726,PPL
PPL,1998-06-18,10.817,11.2513,10.7873,10.8105,518783,PPL
PPL,1998-06-19,10.7585,10.817,10.6426,10.8105,1122054,PPL
PPL,1998-06-22,10.7873,10.8745,10.7298,10.7641,383214,PPL
PPL,1998-06-23,10.7873,10.7873,10.701,10.727,309071,PPL
PPL,1998-06-24,10.6713,10.7585,10.6138,10.727,1521217,PPL
PPL,1998-06-25,10.6713,10.7298,10.6426,10.6713,1213008,PPL
PPL,1998-06-26,10.7298,10.7298,10.6138,10.6713,1706143,PPL
PPL,1998-06-29,10.6713,10.7585,10.5266,10.6435,658878,PPL
PPL,1998-06-30,10.5266,10.6713,10.469,10.6713,750694,PPL
PPL,1998-07-01,10.6138,10.6138,10.4393,10.5321,596589,PPL
PPL,1998-07-02,10.4393,10.6713,10.4393,10.6713,729356,PPL
PPL,1998-07-03,10.4393,10.6713,10.4393,10.6713,0,PPL
PPL,1998-07-06,10.3233,10.4393,10.237,10.3465,720304,PPL
PPL,1998-07-07,10.3233,10.6138,10.2073,10.263,1051144,PPL
PPL,1998-07-08,10.4978,10.5266,10.237,10.263,825699,PPL
PPL,1998-07-09,10.585,10.6138,10.3818,10.56,1193610,PPL
PPL,1998-07-10,10.585,10.6713,10.4978,10.56,1229388,PPL
PPL,1998-07-13,10.4106,10.5553,10.3233,10.5321,893160,PPL
PPL,1998-07-14,10.3813,10.4393,10.2653,10.3233,1030884,PPL
PPL,1998-07-15,10.7298,10.7873,10.5553,10.56,1711962,PPL
PPL,1998-07-16,10.817,10.8458,10.6713,10.6713,1004158,PPL
PPL,1998-07-17,10.9618,10.9618,10.7298,10.792,1504621,PPL
PPL,1998-07-20,10.9618,10.9618,10.8458,10.9311,594650,PPL
PPL,1998-07-21,10.7873,10.9618,10.7298,10.959,835829,PPL
PPL,1998-07-22,10.8458,10.8745,10.7298,10.792,416405,PPL
PPL,1998-07-23,10.6713,10.8458,10.6426,10.8458,542707,PPL
PPL,1998-07-24,10.6138,10.7298,10.4978,10.727,662542,PPL
PPL,1998-07-27,10.6713,10.6713,10.353,10.56,809318,PPL
PPL,1998-07-28,10.5266,10.585,10.3818,10.5785,419638,PPL
PPL,1998-07-29,10.4978,10.5553,10.4393,10.495,381705,PPL
PPL,1998-07-30,10.585,10.6713,10.4393,10.5321,617496,PPL
PPL,1998-07-31,10.7585,10.8458,10.469,10.495,1431556,PPL
PPL,1998-08-03,10.933,10.9905,10.6713,10.727,1850333,PPL
PPL,1998-08-04,10.701,10.9905,10.701,10.959,672887,PPL
PPL,1998-08-05,10.9033,10.9033,10.701,10.701,1600748,PPL
PPL,1998-08-06,10.9033,11.0193,10.8453,10.8453,1614758,PPL
PPL,1998-08-07,10.9033,10.9618,10.8745,10.8755,601115,PPL
PPL,1998-08-10,10.9905,10.9905,10.8458,10.9033,746383,PPL
PPL,1998-08-11,10.9033,10.933,10.7873,10.8755,518998,PPL
PPL,1998-08-12,11.165,11.2513,10.817,10.9033,695087,PPL
PPL,1998-08-13,11.3673,11.4833,11.1353,11.1353,3443107,PPL
PPL,1998-08-14,11.5705,11.9185,11.4833,11.8869,8616929,PPL
PPL,1998-08-17,11.513,11.5993,11.397,11.423,2612235,PPL
