Symbol,Date,Close,High,Low,Open,Volume,Name
PX,1998-05-29,24.657,24.688,24.157,24.47,768600,PX
PX,1998-06-01,24.969,25.125,24.313,24.66,1611800,PX
PX,1998-06-02,25.094,25.094,24.5,24.94,976400,PX
PX,1998-06-03,24.688,25.0,24.563,25.0,614000,PX
PX,1998-06-04,24.75,24.75,24.313,24.5,308200,PX
PX,1998-06-05,25.219,25.313,24.75,24.88,692800,PX
PX,1998-06-08,24.782,25.094,24.563,25.07,657800,PX
PX,1998-06-09,24.594,24.782,24.25,24.78,647400,PX
PX,1998-06-10,25.032,25.125,24.532,24.63,1187000,PX
PX,1998-06-11,24.282,25.063,24.032,25.063,1135200,PX
PX,1998-06-12,24.0,24.25,23.563,24.07,1406600,PX
PX,1998-06-15,22.969,23.563,22.875,23.563,820800,PX
PX,1998-06-16,23.063,23.313,22.907,23.25,1136800,PX
PX,1998-06-17,23.782,23.844,23.282,23.32,1056000,PX
PX,1998-06-18,23.782,24.813,23.75,23.78,1333200,PX
PX,1998-06-19,22.75,23.813,22.282,23.78,2201600,PX
PX,1998-06-22,22.219,22.938,22.219,22.75,859000,PX
PX,1998-06-23,22.719,22.75,21.813,22.28,3873600,PX
PX,1998-06-24,23.032,23.063,22.375,22.63,1070200,PX
PX,1998-06-25,22.657,23.375,22.563,23.03,937600,PX
PX,1998-06-26,23.25,23.25,22.5,22.78,592200,PX
PX,1998-06-29,23.094,23.407,23.063,23.35,617400,PX
PX,1998-06-30,23.407,23.625,23.157,23.16,1268400,PX
PX,1998-07-01,23.75,23.875,23.407,23.5,704600,PX
PX,1998-07-02,23.469,23.938,23.25,23.88,927400,PX
PX,1998-07-03,23.469,23.938,23.25,23.88,0,PX
PX,1998-07-06,23.469,23.5,23.25,23.47,988800,PX
PX,1998-07-07,23.219,23.5,23.125,23.5,410800,PX
PX,1998-07-08,23.469,23.5,23.063,23.16,609400,PX
PX,1998-07-09,22.938,23.469,22.813,23.469,1423400,PX
PX,1998-07-10,22.5,22.657,22.188,22.5,3190000,PX
PX,1998-07-13,22.532,22.719,22.438,22.57,1259000,PX
PX,1998-07-14,22.532,22.844,22.157,22.66,798600,PX
PX,1998-07-15,22.375,22.657,22.25,22.6,931000,PX
PX,1998-07-16,22.907,22.969,22.407,22.5,763200,PX
PX,1998-07-17,23.219,23.344,22.969,23.07,663400,PX
PX,1998-07-20,22.75,23.344,22.532,23.19,830200,PX
PX,1998-07-21,23.844,24.0,23.344,23.5,1674000,PX
PX,1998-07-22,24.75,24.813,23.938,23.97,1269200,PX
PX,1998-07-23,24.5,24.969,24.5,24.69,1564600,PX
PX,1998-07-24,24.5,24.719,24.313,24.57,1042400,PX
PX,1998-07-27,24.688,24.688,24.375,24.44,704000,PX
PX,1998-07-28,24.407,24.657,24.25,24.57,943200,PX
PX,1998-07-29,25.0,25.125,24.469,24.6,907200,PX
PX,1998-07-30,25.063,25.282,24.813,25.0,993800,PX
PX,1998-07-31,24.625,25.063,24.438,24.75,737200,PX
PX,1998-08-03,24.407,24.594,24.188,24.5,666400,PX
PX,1998-08-04,24.063,24.657,24.0,24.38,857200,PX
PX,1998-08-05,23.875,24.032,23.5,23.94,1365600,PX
PX,1998-08-06,23.594,23.875,23.375,23.875,1059400,PX
PX,1998-08-07,23.563,23.688,23.469,23.66,855400,PX
PX,1998-08-10,23.219,23.438,23.094,23.438,1425200,PX
PX,1998-08-11,22.157,22.813,22.0,22.813,1290200,PX
PX,1998-08-12,22.282,22.5,21.688,22.19,1639000,PX
PX,1998-08-13,21.563,22.282,21.0,22.28,1551400,PX
PX,1998-08-14,21.438,21.625,21.0,21.57,833400,PX
PX,1998-08-17,22.094,22.094,21.375,21.47,1396600,PX
PX,1998-08-18,22.719,22.813,22.032,22.032,907400,PX
PX,1998-08-19,22.532,22.75,22.282,22.72,595800,PX
PX,1998-08-20,22.282,22.657,22.25,22.47,935600,PX
PX,1998-08-21,21.532,21.75,21.375,21.75,1371800,PX
PX,1998-08-24,21.282,21.782,21.25,21.66,402600,PX
PX,1998-08-25,21.0,21.625,20.688,21.5,2877000,PX
PX,1998-08-26,20.688,21.063,20.532,21.063,1028400,PX
PX,1998-08-27,19.125,20.282,19.125,20.22,2210000,PX
PX,1998-08-28,18.375,19.219,18.344,19.219,1289000,PX
PX,1998-08-31,17.938,19.125,17.938,18.44,907000,PX
