Symbol,Date,Close,High,Low,Open,Volume,Name
QCOM,1998-05-29,3.1877,3.2641,3.1724,3.2488,9721264,QCOM
QCOM,1998-06-01,3.0768,3.18,3.0463,3.18,14460073,QCOM
QCOM,1998-06-02,3.1177,3.1482,3.0642,3.14,10705147,QCOM
QCOM,1998-06-03,3.073,3.1418,3.073,3.1265,7366576,QCOM
QCOM,1998-06-04,3.1342,3.1342,3.073,3.0749,6120553,QCOM
QCOM,1998-06-05,3.1724,3.2183,3.1112,3.1418,10555216,QCOM
QCOM,1998-06-08,3.1637,3.2781,3.1557,3.23,11775042,QCOM
QCOM,1998-06-09,3.2412,3.2412,3.1495,3.1571,6475392,QCOM
QCOM,1998-06-10,3.1571,3.2259,3.1495,3.2183,6050240,QCOM
QCOM,1998-06-11,3.0042,3.0883,2.9584,3.073,28598012,QCOM
QCOM,1998-06-12,2.9966,3.0119,2.8972,3.01,18744297,QCOM
QCOM,1998-06-15,2.859,2.966,2.8513,2.9354,23772537,QCOM
QCOM,1998-06-16,2.9736,3.0004,2.8781,2.8781,12164252,QCOM
QCOM,1998-06-17,2.9928,3.1151,2.9889,3.0119,16168857,QCOM
QCOM,1998-06-18,3.0119,3.0272,2.9392,2.9966,6143446,QCOM
QCOM,1998-06-19,3.0119,3.0424,2.9736,3.0195,7669088,QCOM
QCOM,1998-06-22,3.0807,3.1189,3.0042,3.0195,8764672,QCOM
QCOM,1998-06-23,3.1533,3.1648,3.0807,3.096,11312313,QCOM
QCOM,1998-06-24,3.4055,3.4208,3.1724,3.1724,43941094,QCOM
QCOM,1998-06-25,3.4476,3.5317,3.3903,3.4247,36285088,QCOM
QCOM,1998-06-26,3.31,3.3406,3.2718,3.31,20466163,QCOM
QCOM,1998-06-29,3.4208,3.4247,3.3062,3.3176,14648121,QCOM
QCOM,1998-06-30,3.4351,3.4691,3.3851,3.4691,15388654,QCOM
QCOM,1998-07-01,3.4323,3.4705,3.3788,3.4399,7814620,QCOM
QCOM,1998-07-02,3.3253,3.4323,3.31,3.4323,12607392,QCOM
QCOM,1998-07-03,3.3253,3.4323,3.31,3.4323,0,QCOM
QCOM,1998-07-06,3.3621,3.4001,3.3356,3.4001,9998446,QCOM
QCOM,1998-07-07,3.3138,3.3788,3.2718,3.3559,7855500,QCOM
QCOM,1998-07-08,3.3501,3.3864,3.2871,3.2871,9629692,QCOM
QCOM,1998-07-09,3.482,3.4925,3.3482,3.3597,19195612,QCOM
QCOM,1998-07-10,3.4552,3.4782,3.3941,3.4705,8411468,QCOM
QCOM,1998-07-13,3.4208,3.5623,3.417,3.4552,17790976,QCOM
QCOM,1998-07-14,3.4476,3.4935,3.4017,3.417,9482524,QCOM
QCOM,1998-07-15,3.524,3.5546,3.4476,3.4552,11740736,QCOM
QCOM,1998-07-16,3.5355,3.5393,3.4858,3.524,7777011,QCOM
QCOM,1998-07-17,3.5011,3.5393,3.4629,3.5393,11253446,QCOM
QCOM,1998-07-20,3.4629,3.5126,3.4399,3.5126,7691980,QCOM
QCOM,1998-07-21,3.5202,3.5967,3.4476,3.4514,21751430,QCOM
QCOM,1998-07-22,4.105,4.1203,3.6616,3.6616,181646192,QCOM
QCOM,1998-07-23,3.868,4.0974,3.8336,4.0515,53951788,QCOM
QCOM,1998-07-24,3.8527,3.9445,3.8069,3.8871,20901126,QCOM
QCOM,1998-07-27,3.8413,3.8527,3.7304,3.8375,15967728,QCOM
QCOM,1998-07-28,3.7304,3.8527,3.7228,3.8451,13385747,QCOM
