Symbol,Date,Close,High,Low,Open,Volume,Name
ROK,1998-05-29,17.451,18.066,17.451,18.066,1120101,ROK
ROK,1998-06-01,17.61,17.768,17.431,17.768,1288715,ROK
ROK,1998-06-02,17.53,17.887,17.491,17.887,1258459,ROK
ROK,1998-06-03,17.352,17.768,17.352,17.768,1644539,ROK
ROK,1998-06-04,17.312,17.491,17.273,17.491,1153827,ROK
ROK,1998-06-05,16.836,17.213,16.718,17.213,2098380,ROK
ROK,1998-06-08,17.077,17.194,16.936,17.194,1531079,ROK
ROK,1998-06-09,17.015,17.194,16.816,17.194,2805618,ROK
ROK,1998-06-10,16.718,17.015,16.718,17.015,2847850,ROK
ROK,1998-06-11,16.222,16.737,16.182,16.737,2164565,ROK
ROK,1998-06-12,16.261,16.559,16.162,16.559,3086744,ROK
ROK,1998-06-15,15.726,16.261,15.726,16.261,2125484,ROK
ROK,1998-06-16,15.825,16.063,15.765,16.063,3280572,ROK
ROK,1998-06-17,15.686,15.885,15.627,15.885,1456069,ROK
ROK,1998-06-18,15.547,15.924,15.547,15.924,1701584,ROK
ROK,1998-06-19,15.507,15.547,15.151,15.547,2309230,ROK
ROK,1998-06-22,15.488,15.726,15.488,15.726,1688977,ROK
ROK,1998-06-23,14.833,15.428,14.774,15.428,2354614,ROK
ROK,1998-06-24,15.171,15.309,14.913,15.309,1986810,ROK
ROK,1998-06-25,15.528,15.587,14.992,15.587,4697882,ROK
ROK,1998-06-26,15.369,15.865,15.111,15.865,1757999,ROK
ROK,1998-06-29,15.547,16.499,15.428,16.499,4014911,ROK
ROK,1998-06-30,15.23,15.765,15.151,15.765,2053311,ROK
ROK,1998-07-01,15.21,15.27,15.012,15.27,1962230,ROK
ROK,1998-07-02,15.21,15.309,15.091,15.309,1524775,ROK
ROK,1998-07-03,15.21,15.309,15.091,15.309,0,ROK
ROK,1998-07-06,14.952,15.131,14.833,15.131,1356476,ROK
ROK,1998-07-07,14.814,15.151,14.635,15.151,1839942,ROK
ROK,1998-07-08,14.873,14.952,14.754,14.952,2702240,ROK
ROK,1998-07-09,14.655,14.913,14.635,14.913,2145027,ROK
ROK,1998-07-10,14.516,14.714,14.457,14.714,2306390,ROK
ROK,1998-07-13,14.595,14.675,14.397,14.675,1894470,ROK
ROK,1998-07-14,14.833,14.833,14.476,14.833,1765251,ROK
ROK,1998-07-15,14.814,15.131,14.754,15.131,1914322,ROK
ROK,1998-07-16,14.893,15.012,14.556,15.012,1202362,ROK
ROK,1998-07-17,15.131,15.171,14.913,15.171,1496410,ROK
ROK,1998-07-20,14.913,15.151,14.774,15.151,1512802,ROK
ROK,1998-07-21,14.04,14.774,14.04,14.774,1711988,ROK
ROK,1998-07-22,14.238,14.238,13.882,14.238,897281,ROK
ROK,1998-07-23,13.981,14.278,13.862,14.278,1574257,ROK
ROK,1998-07-24,13.167,14.04,13.029,14.04,1872723,ROK
ROK,1998-07-27,13.187,13.247,12.652,13.247,2162989,ROK
ROK,1998-07-28,12.811,13.049,12.474,13.049,1252471,ROK
ROK,1998-07-29,12.91,13.088,12.87,13.088,1018305,ROK
ROK,1998-07-30,12.95,13.049,12.85,13.049,1205196,ROK
ROK,1998-07-31,12.91,13.108,12.831,13.108,1840258,ROK
ROK,1998-08-03,12.85,13.069,12.811,13.069,2042280,ROK
ROK,1998-08-04,12.493,13.009,12.493,13.009,2050477,ROK
ROK,1998-08-05,12.136,12.533,11.978,12.533,1842782,ROK
ROK,1998-08-06,12.553,12.553,12.017,12.553,1308259,ROK
ROK,1998-08-07,12.692,12.95,12.255,12.95,1755478,ROK
ROK,1998-08-10,12.573,12.672,12.474,12.672,535465,ROK
ROK,1998-08-11,12.335,12.355,12.156,12.355,1156030,ROK
ROK,1998-08-12,12.612,12.712,12.176,12.712,1070622,ROK
ROK,1998-08-13,12.077,12.493,12.038,12.493,1652733,ROK
ROK,1998-08-14,11.462,12.255,11.403,12.255,2061508,ROK
ROK,1998-08-17,11.74,11.74,11.363,11.74,2819170,ROK
ROK,1998-08-18,12.038,12.038,11.76,12.038,910199,ROK
ROK,1998-08-19,11.859,12.017,11.72,12.017,1941111,ROK
ROK,1998-08-20,11.74,11.879,11.66,11.879,952120,ROK
ROK,1998-08-21,11.482,11.7,11.442,11.7,823843,ROK
ROK,1998-08-24,11.422,11.621,11.363,11.621,721732,ROK
ROK,1998-08-25,11.383,11.502,11.224,11.502,1103715,ROK
ROK,1998-08-26,11.264,11.403,11.105,11.403,954323,ROK
ROK,1998-08-27,10.847,11.323,10.847,11.323,1208347,ROK
ROK,1998-08-28,11.224,11.224,10.709,11.224,1434953,ROK
ROK,1998-08-31,11.502,11.8,11.284,11.8,2638891,ROK
ROK,1998-09-01,12.87,12.969,11.502,12.969,2908990,ROK
ROK,1998-09-02,12.275,12.692,12.216,12.692,1882805,ROK
ROK,1998-09-03,12.117,12.275,12.057,12.275,1237973,ROK
ROK,1998-09-04,12.236,12.255,12.057,12.255,825104,ROK
ROK,1998-09-07,12.236,12.255,12.057,12.255,0,ROK
ROK,1998-09-08,12.771,12.771,12.136,12.771,1248692,ROK
ROK,1998-09-09,12.712,12.95,12.553,12.95,1553140,ROK
ROK,1998-09-10,12.236,12.632,12.117,12.632,1019247,ROK
ROK,1998-09-11,12.236,12.335,12.017,12.335,896017,ROK
ROK,1998-09-14,12.87,13.287,12.652,13.287,1551880,ROK
ROK,1998-09-15,13.326,13.326,12.573,13.326,1356476,ROK
ROK,1998-09-16,12.771,13.207,12.533,13.207,1149726,ROK
ROK,1998-09-17,12.553,12.612,12.196,12.612,1906761,ROK
ROK,1998-09-18,12.612,12.652,12.553,12.652,1750435,ROK
ROK,1998-09-21,12.275,12.533,12.136,12.533,492918,ROK
ROK,1998-09-22,12.216,12.315,12.097,12.315,601651,ROK
ROK,1998-09-23,12.692,12.692,12.097,12.692,825104,ROK
ROK,1998-09-24,12.315,12.751,12.255,12.751,1174628,ROK
ROK,1998-09-25,12.057,12.513,12.057,12.513,1660612,ROK
ROK,1998-09-28,12.077,12.255,11.958,12.255,2507470,ROK
ROK,1998-09-29,12.038,12.077,11.859,12.077,1921259,ROK
ROK,1998-09-30,11.502,11.958,11.462,11.958,2795529,ROK
ROK,1998-10-01,11.026,11.72,10.986,11.72,1503662,ROK
ROK,1998-10-02,10.788,11.085,10.609,11.085,2547181,ROK
ROK,1998-10-05,10.411,10.808,10.332,10.808,2097752,ROK
ROK,1998-10-06,10.351,10.629,10.292,10.629,1523515,ROK
ROK,1998-10-07,10.947,10.967,10.589,10.967,2801518,ROK
ROK,1998-10-08,10.828,10.927,10.193,10.927,1694023,ROK
ROK,1998-10-09,10.491,11.105,10.332,11.105,1292500,ROK
ROK,1998-10-12,10.847,11.105,10.729,11.105,1015153,ROK
ROK,1998-10-13,10.927,11.085,10.768,11.085,1558816,ROK
ROK,1998-10-14,10.748,10.927,10.709,10.927,1733101,ROK
ROK,1998-10-15,11.066,11.502,10.629,11.502,2116662,ROK
ROK,1998-10-16,11.085,11.264,11.046,11.264,1818514,ROK
ROK,1998-10-19,11.323,11.422,11.165,11.422,1507756,ROK
ROK,1998-10-20,11.68,11.68,11.363,11.68,2732499,ROK
ROK,1998-10-21,11.978,12.017,11.581,12.017,1907391,ROK
ROK,1998-10-22,12.077,12.097,11.819,12.097,1258774,ROK
ROK,1998-10-23,12.275,12.295,11.938,12.295,1327169,ROK
ROK,1998-10-26,12.117,12.295,12.057,12.295,686431,ROK
ROK,1998-10-27,12.077,12.255,11.78,12.255,1582769,ROK
ROK,1998-10-28,12.196,12.295,12.117,12.295,1580878,ROK
ROK,1998-10-29,12.533,12.573,12.216,12.573,1230094,ROK
ROK,1998-10-30,13.029,13.049,12.672,13.049,1484437,ROK
ROK,1998-11-02,13.663,13.901,13.148,13.901,1466469,ROK
