Symbol,Date,Close,High,Low,Open,Volume,Name
ROP,1998-05-29,16.594,16.875,16.5,16.875,97400,ROP
ROP,1998-06-01,16.407,16.594,16.375,16.59,111000,ROP
ROP,1998-06-02,16.532,16.719,16.407,16.41,33800,ROP
ROP,1998-06-03,16.938,17.032,16.594,16.594,106600,ROP
ROP,1998-06-04,16.657,16.907,16.469,16.907,81800,ROP
ROP,1998-06-05,16.5,16.75,16.375,16.75,179400,ROP
ROP,1998-06-08,16.5,16.75,16.469,16.63,139400,ROP
ROP,1998-06-09,16.157,16.5,15.938,16.5,194200,ROP
ROP,1998-06-10,15.875,16.219,15.782,16.03,58000,ROP
ROP,1998-06-11,15.969,15.969,15.75,15.88,55800,ROP
ROP,1998-06-12,15.0,15.844,14.938,15.844,182400,ROP
ROP,1998-06-15,14.719,15.063,14.688,15.06,134800,ROP
ROP,1998-06-16,14.625,14.75,14.532,14.72,179800,ROP
ROP,1998-06-17,14.75,14.907,14.625,14.69,163200,ROP
ROP,1998-06-18,14.063,14.813,14.0,14.81,115200,ROP
ROP,1998-06-19,13.907,14.25,13.782,14.06,147000,ROP
ROP,1998-06-22,13.782,13.844,13.594,13.844,109800,ROP
ROP,1998-06-23,13.0,13.813,12.813,13.75,426800,ROP
ROP,1998-06-24,13.0,13.188,12.875,13.13,300600,ROP
ROP,1998-06-25,13.032,13.25,12.875,13.13,209800,ROP
ROP,1998-06-26,13.032,13.375,12.844,13.06,104200,ROP
ROP,1998-06-29,12.813,13.094,12.563,13.094,71000,ROP
ROP,1998-06-30,13.063,13.438,12.75,12.85,120000,ROP
ROP,1998-07-01,13.625,13.75,13.313,13.313,527600,ROP
ROP,1998-07-02,13.75,13.813,13.625,13.72,365600,ROP
ROP,1998-07-03,13.75,13.813,13.625,13.72,0,ROP
ROP,1998-07-06,13.688,14.188,13.375,13.81,207000,ROP
ROP,1998-07-07,13.5,13.75,13.375,13.69,58800,ROP
ROP,1998-07-08,13.469,13.625,13.188,13.5,53800,ROP
ROP,1998-07-09,13.5,13.75,13.375,13.53,38400,ROP
ROP,1998-07-10,13.25,13.75,13.219,13.44,52200,ROP
ROP,1998-07-13,13.063,13.625,13.063,13.19,48200,ROP
ROP,1998-07-14,12.907,13.313,12.875,13.06,110000,ROP
ROP,1998-07-15,13.125,13.313,12.875,12.9,112800,ROP
ROP,1998-07-16,12.875,13.313,12.813,13.25,114800,ROP
ROP,1998-07-17,12.532,12.938,12.438,12.938,66600,ROP
ROP,1998-07-20,12.438,12.563,12.344,12.53,111400,ROP
ROP,1998-07-21,12.407,12.532,12.344,12.35,78400,ROP
ROP,1998-07-22,12.125,12.407,11.875,12.4,148200,ROP
ROP,1998-07-23,11.938,12.188,11.844,12.188,300400,ROP
ROP,1998-07-24,11.907,12.0,11.875,11.9,147800,ROP
ROP,1998-07-27,11.032,11.907,10.875,11.9,248600,ROP
ROP,1998-07-28,11.188,11.219,10.0,10.5,482600,ROP
ROP,1998-07-29,11.438,11.75,11.375,11.75,229000,ROP
ROP,1998-07-30,11.563,11.563,11.438,11.44,176600,ROP
ROP,1998-07-31,11.469,11.688,11.469,11.5,193200,ROP
ROP,1998-08-03,11.125,11.344,10.875,11.344,221600,ROP
ROP,1998-08-04,10.75,11.625,10.688,11.625,282200,ROP
ROP,1998-08-05,10.469,10.844,10.157,10.75,176800,ROP
ROP,1998-08-06,10.219,10.344,10.032,10.344,372200,ROP
ROP,1998-08-07,10.094,10.532,10.032,10.032,294200,ROP
ROP,1998-08-10,9.844,10.313,9.844,10.22,151200,ROP
ROP,1998-08-11,9.594,9.782,9.5,9.78,134400,ROP
ROP,1998-08-12,9.657,9.688,9.5,9.6,291800,ROP
ROP,1998-08-13,9.469,9.719,9.25,9.69,334800,ROP
ROP,1998-08-14,9.5,9.532,9.375,9.47,156400,ROP
ROP,1998-08-17,9.469,9.625,9.25,9.5,118400,ROP
ROP,1998-08-18,9.657,9.688,9.0,9.35,203800,ROP
ROP,1998-08-19,9.719,9.719,9.594,9.65,104400,ROP
ROP,1998-08-20,10.188,10.25,9.75,9.75,332200,ROP
ROP,1998-08-21,10.188,10.188,9.813,10.188,282600,ROP
ROP,1998-08-24,10.0,10.125,9.969,10.06,704000,ROP
ROP,1998-08-25,10.0,10.157,9.969,10.0,847200,ROP
ROP,1998-08-26,9.938,10.032,9.938,10.0,932600,ROP
ROP,1998-08-27,9.5,9.969,9.5,9.94,342400,ROP
ROP,1998-08-28,8.938,9.5,8.875,9.5,391000,ROP
ROP,1998-08-31,8.5,9.0,8.5,8.94,249000,ROP
ROP,1998-09-01,8.407,8.688,8.0,8.44,323600,ROP
ROP,1998-09-02,8.5,8.688,8.5,8.6,108400,ROP
ROP,1998-09-03,8.5,8.5,8.25,8.38,292000,ROP
ROP,1998-09-04,8.5,8.563,8.375,8.56,121000,ROP
ROP,1998-09-07,8.5,8.563,8.375,8.56,0,ROP
ROP,1998-09-08,8.469,8.719,8.375,8.63,90800,ROP
ROP,1998-09-09,8.125,8.469,8.063,8.469,94400,ROP
ROP,1998-09-10,8.469,8.469,8.125,8.13,152400,ROP
ROP,1998-09-11,8.719,8.813,8.5,8.5,203200,ROP
ROP,1998-09-14,8.532,8.75,8.438,8.69,45000,ROP
ROP,1998-09-15,8.438,8.563,8.438,8.56,122000,ROP
ROP,1998-09-16,8.5,8.657,8.438,8.44,122800,ROP
ROP,1998-09-17,8.344,8.5,8.282,8.5,248200,ROP
ROP,1998-09-18,8.594,8.625,8.438,8.625,112000,ROP
ROP,1998-09-21,8.407,8.594,8.375,8.594,102000,ROP
ROP,1998-09-22,8.344,8.5,8.282,8.38,99200,ROP
ROP,1998-09-23,8.375,8.657,8.282,8.31,143400,ROP
ROP,1998-09-24,8.188,8.375,8.063,8.375,128200,ROP
ROP,1998-09-25,8.063,8.219,8.032,8.219,87600,ROP
ROP,1998-09-28,8.375,8.407,8.094,8.13,120000,ROP
ROP,1998-09-29,8.407,8.407,8.063,8.31,61200,ROP
ROP,1998-09-30,8.688,8.688,8.313,8.47,27000,ROP
ROP,1998-10-01,8.469,8.563,8.375,8.56,70600,ROP
ROP,1998-10-02,8.188,8.344,8.0,8.344,106600,ROP
ROP,1998-10-05,8.125,8.282,8.125,8.19,90000,ROP
ROP,1998-10-06,7.469,8.125,7.438,8.125,71600,ROP
ROP,1998-10-07,7.25,7.594,7.157,7.47,151400,ROP
ROP,1998-10-08,6.938,7.375,6.75,7.32,218400,ROP
ROP,1998-10-09,7.094,7.094,6.782,6.88,156000,ROP
ROP,1998-10-12,7.0,7.375,6.969,7.25,111000,ROP
ROP,1998-10-13,7.032,7.032,6.657,7.03,95600,ROP
ROP,1998-10-14,7.313,7.313,6.813,7.09,109600,ROP
ROP,1998-10-15,7.438,7.438,7.0,7.0,67400,ROP
ROP,1998-10-16,7.469,7.563,7.344,7.38,64199,ROP
ROP,1998-10-19,7.844,8.25,7.532,7.532,117800,ROP
ROP,1998-10-20,8.188,8.188,7.969,8.0,174600,ROP
ROP,1998-10-21,8.032,8.032,7.5,7.94,445200,ROP
ROP,1998-10-22,8.844,8.938,8.219,8.22,151200,ROP
ROP,1998-10-23,8.875,9.219,8.813,8.813,331600,ROP
ROP,1998-10-26,9.0,9.094,8.938,8.97,39600,ROP
ROP,1998-10-27,8.969,9.094,8.969,9.0,72200,ROP
ROP,1998-10-28,8.907,8.969,8.875,8.94,69400,ROP
ROP,1998-10-29,8.938,8.969,8.844,8.9,43600,ROP
ROP,1998-10-30,8.907,9.0,8.875,9.0,29400,ROP
ROP,1998-11-02,8.594,8.969,8.532,8.969,106600,ROP
ROP,1998-11-03,8.469,8.625,8.344,8.625,111400,ROP
