Symbol,Date,Close,High,Low,Open,Volume,Name
ROST,1998-05-29,2.758,2.8048,2.75,2.77,7048000,ROST
ROST,1998-06-01,2.7892,2.836,2.758,2.7975,4088000,ROST
ROST,1998-06-02,2.7812,2.8088,2.75,2.7825,3868800,ROST
ROST,1998-06-03,2.6798,2.7812,2.6798,2.7812,5593600,ROST
ROST,1998-06-04,2.5782,2.6875,2.5705,2.6875,13339200,ROST
ROST,1998-06-05,2.5705,2.586,2.547,2.586,12120000,ROST
ROST,1998-06-08,2.6602,2.6875,2.5625,2.57,9267200,ROST
ROST,1998-06-09,2.7422,2.758,2.6485,2.6525,5593600,ROST
ROST,1998-06-10,2.7812,2.8438,2.7188,2.72,10188800,ROST
ROST,1998-06-11,2.7852,2.7852,2.7422,2.775,4660800,ROST
ROST,1998-06-12,2.6838,2.7658,2.6485,2.765,5017600,ROST
ROST,1998-06-15,2.6095,2.6642,2.6018,2.6642,3294400,ROST
ROST,1998-06-16,2.5235,2.6408,2.4688,2.64,14275200,ROST
ROST,1998-06-17,2.6135,2.633,2.508,2.525,15392000,ROST
ROST,1998-06-18,2.5705,2.625,2.5392,2.625,7729600,ROST
ROST,1998-06-19,2.551,2.5782,2.547,2.5775,14270400,ROST
ROST,1998-06-22,2.5782,2.5782,2.5312,2.5475,7560000,ROST
ROST,1998-06-23,2.5665,2.5782,2.5392,2.5775,8560000,ROST
ROST,1998-06-24,2.5665,2.586,2.508,2.555,9368000,ROST
ROST,1998-06-25,2.547,2.6172,2.4805,2.5875,8736000,ROST
ROST,1998-06-26,2.5782,2.5782,2.547,2.5475,8956800,ROST
ROST,1998-06-29,2.6875,2.7188,2.5782,2.5782,5760000,ROST
ROST,1998-06-30,2.6875,2.7072,2.6642,2.695,8524800,ROST
ROST,1998-07-01,2.7422,2.8048,2.6875,2.7025,7427200,ROST
ROST,1998-07-02,2.758,2.7735,2.7268,2.75,6316800,ROST
ROST,1998-07-03,2.758,2.7735,2.7268,2.75,0,ROST
ROST,1998-07-06,2.8125,2.836,2.7735,2.7825,5921600,ROST
ROST,1998-07-07,2.836,2.8518,2.8048,2.805,3512000,ROST
ROST,1998-07-08,2.8125,2.8438,2.797,2.8438,6345600,ROST
ROST,1998-07-09,2.7658,2.8282,2.6485,2.8125,16372800,ROST
ROST,1998-07-10,2.8672,2.9025,2.8125,2.8125,10784000,ROST
ROST,1998-07-13,2.8672,2.922,2.8438,2.89,4076800,ROST
ROST,1998-07-14,2.9298,2.9455,2.8518,2.8525,8600000,ROST
ROST,1998-07-15,2.9922,3.047,2.9062,2.9075,37038400,ROST
