Symbol,Date,Close,High,Low,Open,Volume,Name
SHW,1998-05-29,33.25,33.625,33.25,33.31,236500,SHW
SHW,1998-06-01,33.563,33.75,32.875,33.0,197800,SHW
SHW,1998-06-02,33.438,33.938,33.188,33.56,173700,SHW
SHW,1998-06-03,33.688,34.313,33.0,33.44,321900,SHW
SHW,1998-06-04,33.438,34.0,33.313,33.56,174300,SHW
SHW,1998-06-05,33.25,33.563,32.5,33.5,535000,SHW
SHW,1998-06-08,32.625,33.625,32.5,33.25,353800,SHW
SHW,1998-06-09,33.25,33.5,32.625,32.69,306200,SHW
SHW,1998-06-10,32.813,33.938,32.75,32.75,281700,SHW
SHW,1998-06-11,32.813,33.563,32.75,33.0,433600,SHW
SHW,1998-06-12,32.625,33.0,31.875,32.63,226300,SHW
SHW,1998-06-15,31.25,32.625,31.25,32.625,274300,SHW
SHW,1998-06-16,32.063,32.313,31.5,31.5,765100,SHW
SHW,1998-06-17,32.75,32.875,31.625,32.13,856700,SHW
SHW,1998-06-18,30.813,31.813,30.313,31.75,780300,SHW
SHW,1998-06-19,30.688,31.125,30.125,30.94,540400,SHW
SHW,1998-06-22,30.625,30.813,30.25,30.69,485500,SHW
SHW,1998-06-23,31.688,31.813,30.063,30.25,585400,SHW
SHW,1998-06-24,31.938,32.188,31.0,32.0,493900,SHW
SHW,1998-06-25,32.438,32.75,32.0,32.31,494500,SHW
SHW,1998-06-26,32.375,32.625,32.188,32.38,280000,SHW
SHW,1998-06-29,32.375,33.375,32.375,32.63,348200,SHW
SHW,1998-06-30,33.125,33.125,32.438,32.63,364400,SHW
SHW,1998-07-01,33.25,33.438,32.625,33.38,283500,SHW
SHW,1998-07-02,33.438,33.625,33.0,33.19,190700,SHW
SHW,1998-07-03,33.438,33.625,33.0,33.19,0,SHW
SHW,1998-07-06,34.063,34.125,33.25,33.31,250000,SHW
SHW,1998-07-07,33.563,34.0,32.688,33.88,322500,SHW
SHW,1998-07-08,34.563,35.0,33.563,33.81,484700,SHW
SHW,1998-07-09,33.625,34.938,33.438,34.81,489600,SHW
SHW,1998-07-10,34.25,34.438,33.625,33.69,195400,SHW
SHW,1998-07-13,34.063,34.313,33.75,33.88,339700,SHW
SHW,1998-07-14,34.625,34.875,34.0,34.625,423900,SHW
SHW,1998-07-15,34.625,34.75,34.313,34.63,302000,SHW
SHW,1998-07-16,34.375,34.875,33.875,34.5,339600,SHW
SHW,1998-07-17,33.75,34.75,33.625,34.75,269700,SHW
SHW,1998-07-20,33.438,34.063,33.375,33.94,512399,SHW
SHW,1998-07-21,32.813,34.094,32.75,33.69,567800,SHW
SHW,1998-07-22,32.938,33.438,32.688,32.94,417600,SHW
SHW,1998-07-23,32.25,32.938,32.063,32.81,453300,SHW
SHW,1998-07-24,32.063,32.438,31.625,32.0,588200,SHW
SHW,1998-07-27,32.313,32.563,31.75,32.13,429300,SHW
SHW,1998-07-28,31.313,32.25,30.563,32.19,526300,SHW
SHW,1998-07-29,30.813,32.0,30.813,31.13,522900,SHW
SHW,1998-07-30,31.5,31.938,30.75,31.06,446900,SHW
SHW,1998-07-31,31.875,32.25,31.313,31.38,531600,SHW
SHW,1998-08-03,31.5,32.25,31.5,31.94,291500,SHW
SHW,1998-08-04,30.125,31.688,30.0,31.63,273300,SHW
SHW,1998-08-05,30.563,31.125,30.0,30.25,387300,SHW
SHW,1998-08-06,30.75,31.188,30.563,30.63,263200,SHW
SHW,1998-08-07,30.063,30.688,29.5,30.38,442200,SHW
SHW,1998-08-10,30.25,30.25,29.125,29.25,442600,SHW
SHW,1998-08-11,30.188,30.25,29.563,29.75,239900,SHW
SHW,1998-08-12,30.313,31.0,30.0,30.5,466500,SHW
SHW,1998-08-13,29.813,30.438,29.625,30.31,267900,SHW
SHW,1998-08-14,29.125,30.125,28.813,29.81,384400,SHW
SHW,1998-08-17,28.75,29.25,28.375,28.81,406100,SHW
SHW,1998-08-18,29.0,29.5,28.75,28.75,559200,SHW
SHW,1998-08-19,28.75,29.231,28.438,29.0,1030000,SHW
SHW,1998-08-20,28.25,28.813,28.0,28.75,374700,SHW
SHW,1998-08-21,27.25,28.125,26.813,28.0,762700,SHW
SHW,1998-08-24,27.25,27.75,26.938,27.5,677800,SHW
SHW,1998-08-25,26.938,27.813,26.938,27.56,552500,SHW
SHW,1998-08-26,26.813,27.125,26.5,26.88,416500,SHW
SHW,1998-08-27,26.625,26.688,25.75,26.25,930800,SHW
SHW,1998-08-28,25.313,26.813,25.125,26.63,474100,SHW
SHW,1998-08-31,23.875,25.75,23.75,25.56,551000,SHW
SHW,1998-09-01,25.375,25.688,23.938,24.25,786200,SHW
SHW,1998-09-02,25.313,26.0,25.0,26.0,476000,SHW
SHW,1998-09-03,25.063,25.5,24.5,25.06,509200,SHW
SHW,1998-09-04,24.313,25.438,23.5,25.31,516499,SHW
SHW,1998-09-07,24.313,25.438,23.5,25.31,0,SHW
SHW,1998-09-08,25.5,25.75,24.5,25.38,554800,SHW
SHW,1998-09-09,25.375,25.75,25.0,25.5,312000,SHW
SHW,1998-09-10,23.688,24.25,23.25,24.0,596500,SHW
SHW,1998-09-11,22.4375,22.75,19.4375,22.0,1697900,SHW
SHW,1998-09-14,23.188,23.5,22.125,22.44,1209900,SHW
SHW,1998-09-15,22.563,23.625,22.375,23.19,854200,SHW
SHW,1998-09-16,21.625,22.688,21.5,22.56,1032100,SHW
SHW,1998-09-17,21.0,21.188,20.5,20.75,1160000,SHW
SHW,1998-09-18,20.75,21.063,20.563,20.94,667800,SHW
SHW,1998-09-21,20.688,20.875,20.0,20.0,856100,SHW
SHW,1998-09-22,20.75,20.938,20.375,20.88,656200,SHW
SHW,1998-09-23,20.75,20.75,20.375,20.63,939000,SHW
SHW,1998-09-24,20.438,20.813,20.313,20.75,989600,SHW
SHW,1998-09-25,20.063,20.688,20.0,20.19,517800,SHW
SHW,1998-09-28,20.563,20.563,19.938,20.13,877500,SHW
SHW,1998-09-29,20.938,21.375,20.5,20.63,562900,SHW
SHW,1998-09-30,21.625,21.75,20.875,20.9375,878200,SHW
SHW,1998-10-01,21.625,21.625,20.563,20.75,1944100,SHW
SHW,1998-10-02,22.063,22.313,21.375,21.56,833000,SHW
SHW,1998-10-05,22.375,22.375,21.75,22.0,1090000,SHW
SHW,1998-10-06,22.875,23.125,22.625,23.0,682100,SHW
SHW,1998-10-07,22.938,23.0,22.5,22.75,756100,SHW
SHW,1998-10-08,22.875,22.938,22.0,22.25,1004500,SHW
SHW,1998-10-09,23.125,23.25,22.813,22.94,688400,SHW
SHW,1998-10-12,23.563,23.875,23.063,23.063,500299,SHW
SHW,1998-10-13,23.188,23.938,23.0,23.938,707800,SHW
SHW,1998-10-14,23.063,23.125,22.25,23.06,1228400,SHW
SHW,1998-10-15,25.063,25.313,22.5,22.81,813400,SHW
SHW,1998-10-16,24.938,25.0,23.313,25.0,1130700,SHW
SHW,1998-10-19,24.813,24.938,24.125,24.69,490500,SHW
SHW,1998-10-20,25.625,26.125,24.75,24.94,765400,SHW
SHW,1998-10-21,25.563,25.75,24.938,25.38,318600,SHW
SHW,1998-10-22,25.438,25.5,24.75,25.44,312900,SHW
SHW,1998-10-23,24.875,25.375,24.75,25.375,256799,SHW
SHW,1998-10-26,25.063,25.25,24.875,25.0,456500,SHW
SHW,1998-10-27,24.188,25.25,24.063,25.13,918700,SHW
SHW,1998-10-28,23.75,24.313,23.313,24.0,738900,SHW
SHW,1998-10-29,24.438,24.75,23.5,23.56,358700,SHW
SHW,1998-10-30,25.188,25.188,24.375,24.75,280800,SHW
SHW,1998-11-02,26.813,26.813,25.563,25.63,444000,SHW
SHW,1998-11-03,27.25,27.5,26.688,26.81,657600,SHW
SHW,1998-11-04,27.0,28.0,26.625,27.5,537800,SHW
SHW,1998-11-05,26.375,26.75,26.0,26.63,1000699,SHW
SHW,1998-11-06,26.313,26.563,26.063,26.5,737500,SHW
SHW,1998-11-09,27.188,27.25,26.313,26.313,463300,SHW
SHW,1998-11-10,27.313,27.5,27.0,27.06,347100,SHW
SHW,1998-11-11,26.938,28.063,26.813,27.31,373000,SHW
SHW,1998-11-12,27.313,27.5,27.0,27.5,347100,SHW
SHW,1998-11-13,26.375,27.063,26.0,27.06,259900,SHW
SHW,1998-11-16,25.813,26.438,25.313,26.19,633600,SHW
SHW,1998-11-17,25.813,26.0,25.375,25.81,566300,SHW
SHW,1998-11-18,25.5,25.75,25.063,25.69,672600,SHW
SHW,1998-11-19,25.875,25.875,25.5,25.63,407800,SHW
SHW,1998-11-20,26.5,26.5,25.75,26.0,603200,SHW
SHW,1998-11-23,27.25,27.375,26.375,26.38,573300,SHW
SHW,1998-11-24,27.813,27.875,27.063,27.13,577700,SHW
SHW,1998-11-25,28.1875,29.0,28.0,28.0,608500,SHW
SHW,1998-11-26,28.1875,29.0,28.0,28.0,0,SHW
SHW,1998-11-27,28.438,28.563,28.125,28.19,171600,SHW
SHW,1998-11-30,28.375,28.438,27.875,28.19,636200,SHW
SHW,1998-12-01,28.25,28.438,28.25,28.31,474300,SHW
SHW,1998-12-02,28.313,28.625,28.25,28.25,471000,SHW
SHW,1998-12-03,28.0,28.375,28.0,28.31,769700,SHW
SHW,1998-12-04,28.313,28.313,28.0,28.0,376500,SHW
SHW,1998-12-07,28.313,28.688,28.188,28.56,263700,SHW
SHW,1998-12-08,28.188,28.313,28.0,28.31,488900,SHW
SHW,1998-12-09,28.438,28.438,28.0,28.13,362400,SHW
SHW,1998-12-10,27.938,28.25,27.875,28.25,550500,SHW
SHW,1998-12-11,28.063,28.313,27.75,27.94,408300,SHW
SHW,1998-12-14,27.75,28.25,27.625,28.0,308700,SHW
SHW,1998-12-15,27.563,28.125,27.0,27.81,487900,SHW
SHW,1998-12-16,27.563,27.688,26.875,27.56,392000,SHW
SHW,1998-12-17,28.0,28.1875,27.3125,27.3125,413600,SHW
SHW,1998-12-18,27.938,28.188,27.5,27.88,436600,SHW
SHW,1998-12-21,28.5,28.875,27.25,27.69,349500,SHW
SHW,1998-12-22,28.5,29.0,28.125,28.69,395800,SHW
SHW,1998-12-23,28.25,28.688,27.813,28.63,363500,SHW
SHW,1998-12-24,28.063,28.5,28.063,28.5,160500,SHW
SHW,1998-12-25,28.063,28.5,28.063,28.5,0,SHW
SHW,1998-12-28,28.188,28.313,28.0,28.31,261700,SHW
SHW,1998-12-29,29.563,29.688,28.063,28.13,386200,SHW
SHW,1998-12-30,29.25,29.813,29.25,29.5,335400,SHW
SHW,1998-12-31,29.375,29.813,29.0,29.19,281200,SHW
SHW,1999-01-01,29.375,29.813,29.0,29.19,0,SHW
SHW,1999-01-04,29.688,29.938,29.375,29.38,443900,SHW
SHW,1999-01-05,30.188,30.438,29.875,29.88,419100,SHW
SHW,1999-01-06,29.938,30.688,29.813,30.19,522499,SHW
SHW,1999-01-07,29.5,29.938,29.125,29.88,589600,SHW
SHW,1999-01-08,29.25,29.375,28.875,29.375,534200,SHW
SHW,1999-01-11,29.188,29.25,28.938,29.06,2119100,SHW
SHW,1999-01-12,29.063,29.125,28.75,29.06,549400,SHW
SHW,1999-01-13,28.813,29.0,28.5,28.63,495400,SHW
SHW,1999-01-14,28.75,29.188,28.5,28.81,856900,SHW
SHW,1999-01-15,28.375,28.813,27.688,28.75,610100,SHW
SHW,1999-01-18,28.375,28.813,27.688,28.75,0,SHW
SHW,1999-01-19,27.375,28.25,26.938,27.94,471400,SHW
SHW,1999-01-20,27.125,27.813,27.063,27.5,668700,SHW
SHW,1999-01-21,26.75,27.5,26.688,27.0,817600,SHW
SHW,1999-01-22,26.063,27.0,26.063,26.75,610300,SHW
SHW,1999-01-25,25.5,25.938,24.5,24.5,1104000,SHW
SHW,1999-01-26,26.063,26.375,25.563,25.63,863700,SHW
SHW,1999-01-27,25.188,26.375,25.188,26.25,700900,SHW
SHW,1999-01-28,26.0,26.063,25.375,25.44,492300,SHW
SHW,1999-01-29,25.625,25.875,25.188,25.63,466400,SHW
SHW,1999-02-01,24.688,25.563,24.5,25.5,548100,SHW
SHW,1999-02-02,25.0,25.375,24.6875,24.6875,609400,SHW
SHW,1999-02-03,25.375,25.375,24.75,25.0,640800,SHW
SHW,1999-02-04,26.125,26.375,25.75,25.75,808800,SHW
SHW,1999-02-05,25.813,26.375,25.688,26.375,705600,SHW
SHW,1999-02-08,26.25,26.313,25.813,26.0,558700,SHW
SHW,1999-02-09,25.938,26.5,25.875,26.25,448500,SHW
SHW,1999-02-10,25.25,26.0,25.0,25.81,336400,SHW
