Symbol,Date,Close,High,Low,Open,Volume,Name
SPGI,1998-05-29,19.547,19.688,19.344,19.44,1378800,SPGI
SPGI,1998-06-01,19.313,19.5,19.282,19.5,3078400,SPGI
SPGI,1998-06-02,18.969,19.25,18.844,19.2,1200400,SPGI
SPGI,1998-06-03,19.282,19.329,18.922,19.0,735200,SPGI
SPGI,1998-06-04,19.641,19.688,19.0,19.24,958400,SPGI
SPGI,1998-06-05,19.891,19.938,19.563,19.64,2325200,SPGI
SPGI,1998-06-08,19.782,20.032,19.735,19.97,747200,SPGI
SPGI,1998-06-09,19.672,19.782,19.438,19.78,405600,SPGI
SPGI,1998-06-10,19.25,19.719,19.235,19.67,1106800,SPGI
SPGI,1998-06-11,19.391,19.594,19.235,19.31,1036000,SPGI
SPGI,1998-06-12,20.235,20.25,19.36,19.36,1656800,SPGI
SPGI,1998-06-15,20.079,20.438,19.86,20.16,1704800,SPGI
SPGI,1998-06-16,20.469,20.5,20.141,20.141,2759600,SPGI
SPGI,1998-06-17,20.469,20.75,20.407,20.63,1496800,SPGI
SPGI,1998-06-18,20.094,20.5,19.985,20.5,1454800,SPGI
SPGI,1998-06-19,19.813,19.985,19.782,19.97,1368800,SPGI
SPGI,1998-06-22,19.829,20.063,19.813,19.83,851600,SPGI
SPGI,1998-06-23,20.016,20.11,19.891,19.891,724000,SPGI
SPGI,1998-06-24,20.094,20.11,19.813,19.97,1222000,SPGI
SPGI,1998-06-25,20.329,20.36,20.063,20.16,797600,SPGI
SPGI,1998-06-26,20.313,20.454,20.172,20.39,498000,SPGI
SPGI,1998-06-29,20.297,20.407,20.25,20.34,674400,SPGI
SPGI,1998-06-30,20.375,20.75,20.375,20.42,885600,SPGI
SPGI,1998-07-01,20.36,20.454,20.079,20.45,1042400,SPGI
SPGI,1998-07-02,20.36,20.438,20.235,20.26,752400,SPGI
SPGI,1998-07-03,20.36,20.438,20.235,20.26,0,SPGI
SPGI,1998-07-06,20.75,20.813,20.36,20.36,781200,SPGI
SPGI,1998-07-07,20.641,20.891,20.61,20.81,395600,SPGI
SPGI,1998-07-08,20.86,20.938,20.438,20.66,541200,SPGI
SPGI,1998-07-09,20.61,21.063,20.454,20.94,561600,SPGI
SPGI,1998-07-10,20.766,20.782,20.313,20.61,610000,SPGI
SPGI,1998-07-13,20.907,20.938,20.75,20.89,508800,SPGI
SPGI,1998-07-14,21.016,21.11,20.907,21.06,896800,SPGI
SPGI,1998-07-15,20.985,21.032,20.75,21.03,907200,SPGI
SPGI,1998-07-16,21.141,21.344,20.829,21.22,693200,SPGI
SPGI,1998-07-17,21.516,21.657,21.25,21.39,1365200,SPGI
SPGI,1998-07-20,21.438,21.5,21.157,21.49,739200,SPGI
SPGI,1998-07-21,21.36,21.75,21.344,21.53,635200,SPGI
SPGI,1998-07-22,21.344,21.657,21.329,21.41,827200,SPGI
SPGI,1998-07-23,21.047,21.391,21.047,21.34,860800,SPGI
SPGI,1998-07-24,21.407,21.563,21.079,21.08,1002799,SPGI
SPGI,1998-07-27,21.579,21.672,21.344,21.41,973600,SPGI
SPGI,1998-07-28,21.204,21.485,21.0,21.47,753200,SPGI
SPGI,1998-07-29,20.672,21.172,20.579,21.14,968000,SPGI
SPGI,1998-07-30,20.547,20.954,20.547,20.74,1066000,SPGI
SPGI,1998-07-31,20.485,20.922,20.469,20.61,728000,SPGI
SPGI,1998-08-03,20.047,20.532,20.047,20.44,867200,SPGI
SPGI,1998-08-04,19.813,20.407,19.766,20.11,1491600,SPGI
SPGI,1998-08-05,19.672,19.844,19.329,19.75,1163200,SPGI
SPGI,1998-08-06,19.735,19.797,19.5,19.66,2776400,SPGI
SPGI,1998-08-07,19.813,19.875,19.61,19.74,2008400,SPGI
SPGI,1998-08-10,19.938,20.063,19.797,19.81,919200,SPGI
SPGI,1998-08-11,20.141,20.25,19.641,19.78,1602400,SPGI
SPGI,1998-08-12,20.797,20.907,20.172,20.172,2646000,SPGI
SPGI,1998-08-13,21.063,21.141,20.704,20.8,1573200,SPGI
SPGI,1998-08-14,20.766,21.125,20.75,21.06,1257600,SPGI
SPGI,1998-08-17,20.594,20.766,20.094,20.7,1582400,SPGI
SPGI,1998-08-18,20.594,20.875,20.422,20.59,3158800,SPGI
SPGI,1998-08-19,20.391,20.938,20.313,20.75,2252400,SPGI
SPGI,1998-08-20,20.657,20.907,20.25,20.25,1267600,SPGI
SPGI,1998-08-21,20.735,20.766,20.391,20.5,1058400,SPGI
SPGI,1998-08-24,20.188,20.86,20.094,20.61,1296400,SPGI
SPGI,1998-08-25,20.5,20.719,20.297,20.38,1407200,SPGI
SPGI,1998-08-26,20.579,20.672,20.375,20.53,1138400,SPGI
SPGI,1998-08-27,19.782,20.625,19.766,20.51,885600,SPGI
SPGI,1998-08-28,20.094,20.219,19.75,19.81,2156000,SPGI
SPGI,1998-08-31,19.063,20.188,19.0,20.11,1926400,SPGI
SPGI,1998-09-01,19.375,19.829,19.0,19.06,2524000,SPGI
SPGI,1998-09-02,19.313,19.5,19.25,19.47,1951200,SPGI
SPGI,1998-09-03,19.579,19.86,19.11,19.31,1568000,SPGI
SPGI,1998-09-04,18.938,20.094,18.735,20.0,2128400,SPGI
SPGI,1998-09-07,18.938,20.094,18.735,20.0,0,SPGI
SPGI,1998-09-08,19.297,19.297,19.032,19.06,1991600,SPGI
