Symbol,Date,Close,High,Low,Open,Volume,Name
SRCL,1998-05-29,2.7815,2.875,2.719,2.875,1150000,SRCL
SRCL,1998-06-01,2.891,2.9065,2.8125,2.815,162000,SRCL
SRCL,1998-06-02,2.9065,3.0,2.875,2.875,160800,SRCL
SRCL,1998-06-03,3.125,3.2035,2.9375,2.97,395200,SRCL
SRCL,1998-06-04,3.469,3.625,3.1875,3.19,498000,SRCL
SRCL,1998-06-05,3.5315,3.5315,3.391,3.5,555200,SRCL
SRCL,1998-06-08,3.625,3.6565,3.5,3.5,1107600,SRCL
SRCL,1998-06-09,3.6875,3.6875,3.5315,3.66,1028799,SRCL
SRCL,1998-06-10,3.6875,3.719,3.625,3.69,908000,SRCL
SRCL,1998-06-11,3.5625,3.6875,3.5625,3.6875,613600,SRCL
SRCL,1998-06-12,3.5625,3.625,3.5,3.595,691200,SRCL
SRCL,1998-06-15,3.625,3.625,3.469,3.565,235600,SRCL
SRCL,1998-06-16,3.6875,3.719,3.625,3.625,546400,SRCL
SRCL,1998-06-17,3.6565,3.75,3.594,3.72,260000,SRCL
SRCL,1998-06-18,3.6565,3.6565,3.5625,3.595,75200,SRCL
SRCL,1998-06-19,3.25,3.6565,3.25,3.6565,232000,SRCL
SRCL,1998-06-22,3.469,3.469,3.25,3.375,293600,SRCL
SRCL,1998-06-23,3.594,3.594,3.4065,3.5,189600,SRCL
SRCL,1998-06-24,3.6565,3.6565,3.5315,3.535,110800,SRCL
SRCL,1998-06-25,3.594,3.6875,3.5625,3.66,1922400,SRCL
SRCL,1998-06-26,3.6565,3.719,3.625,3.719,46800,SRCL
SRCL,1998-06-29,3.6875,3.6875,3.625,3.66,66800,SRCL
SRCL,1998-06-30,3.625,3.719,3.625,3.69,71600,SRCL
SRCL,1998-07-01,3.6875,3.6875,3.625,3.6875,84800,SRCL
SRCL,1998-07-02,3.594,3.6875,3.594,3.6875,23600,SRCL
SRCL,1998-07-03,3.594,3.6875,3.594,3.6875,0,SRCL
SRCL,1998-07-06,3.469,3.594,3.4065,3.594,188800,SRCL
SRCL,1998-07-07,3.547,3.6565,3.5,3.535,218400,SRCL
SRCL,1998-07-08,3.594,3.625,3.516,3.625,92400,SRCL
SRCL,1998-07-09,3.6095,3.625,3.5625,3.625,128800,SRCL
SRCL,1998-07-10,3.625,3.641,3.5625,3.64,108000,SRCL
SRCL,1998-07-13,3.5,3.641,3.4065,3.64,140800,SRCL
SRCL,1998-07-14,3.5,3.5315,3.375,3.5,394400,SRCL
SRCL,1998-07-15,3.594,3.625,3.5625,3.625,177600,SRCL
SRCL,1998-07-16,3.8125,3.844,3.594,3.625,340400,SRCL
SRCL,1998-07-17,3.844,3.844,3.719,3.844,102800,SRCL
SRCL,1998-07-20,3.9065,3.969,3.75,3.875,363600,SRCL
SRCL,1998-07-21,3.9065,3.9375,3.7815,3.9375,231200,SRCL
SRCL,1998-07-22,4.0,4.0,3.844,3.91,185600,SRCL
SRCL,1998-07-23,4.0,4.0625,3.875,3.875,215200,SRCL
SRCL,1998-07-24,4.0,4.0,3.875,4.0,157600,SRCL
SRCL,1998-07-27,4.1565,4.1875,3.8125,3.97,376000,SRCL
SRCL,1998-07-28,4.25,4.297,4.1565,4.25,402800,SRCL
SRCL,1998-07-29,4.5,4.719,4.219,4.28,836800,SRCL
SRCL,1998-07-30,4.5315,4.5625,4.4375,4.5625,307200,SRCL
SRCL,1998-07-31,4.375,4.5,4.375,4.47,133200,SRCL
SRCL,1998-08-03,4.4375,4.5,4.375,4.5,402000,SRCL
SRCL,1998-08-04,4.1565,4.469,3.875,4.469,310800,SRCL
SRCL,1998-08-05,4.2815,4.2815,3.844,4.095,366400,SRCL
SRCL,1998-08-06,4.25,4.25,4.1095,4.205,50800,SRCL
SRCL,1998-08-07,4.5315,4.5625,4.25,4.28,324400,SRCL
SRCL,1998-08-10,4.4375,4.5625,4.3285,4.53,314000,SRCL
SRCL,1998-08-11,4.4065,4.4375,4.2815,4.375,244000,SRCL
SRCL,1998-08-12,4.469,4.5315,4.375,4.375,168000,SRCL
SRCL,1998-08-13,4.4065,4.5315,4.375,4.53,230000,SRCL
SRCL,1998-08-14,4.375,4.4375,4.375,4.4375,193200,SRCL
SRCL,1998-08-17,4.4065,4.4375,4.3125,4.425,484400,SRCL
SRCL,1998-08-18,4.4535,4.469,4.391,4.391,99200,SRCL
SRCL,1998-08-19,4.2815,4.469,4.2035,4.469,456800,SRCL
SRCL,1998-08-20,4.3125,4.3595,3.922,4.19,234000,SRCL
SRCL,1998-08-21,4.2815,4.3125,4.141,4.3125,138400,SRCL
SRCL,1998-08-24,4.3125,4.4065,4.219,4.22,612800,SRCL
SRCL,1998-08-25,4.25,4.3125,4.219,4.3125,240000,SRCL
SRCL,1998-08-26,4.0625,4.1875,3.75,4.1875,273600,SRCL
SRCL,1998-08-27,3.672,4.0315,3.4375,4.03,189200,SRCL
SRCL,1998-08-28,3.6875,3.766,3.125,3.625,313200,SRCL
SRCL,1998-08-31,3.844,3.875,3.625,3.69,722800,SRCL
SRCL,1998-09-01,3.6875,3.844,3.6565,3.75,172800,SRCL
SRCL,1998-09-02,3.375,3.75,3.2815,3.66,314800,SRCL
SRCL,1998-09-03,3.375,3.5625,3.375,3.47,55600,SRCL
SRCL,1998-09-04,3.516,3.5315,3.375,3.41,73200,SRCL
SRCL,1998-09-07,3.516,3.5315,3.375,3.41,0,SRCL
SRCL,1998-09-08,3.75,3.75,3.4375,3.625,142800,SRCL
SRCL,1998-09-09,3.844,3.875,3.719,3.75,194400,SRCL
SRCL,1998-09-10,3.543,3.7815,3.4065,3.66,263200,SRCL
SRCL,1998-09-11,3.844,3.844,3.625,3.72,247200,SRCL
SRCL,1998-09-14,3.875,3.9375,3.8125,3.845,189600,SRCL
SRCL,1998-09-15,3.875,3.9375,3.8125,3.9375,38400,SRCL
SRCL,1998-09-16,4.0315,4.219,3.8125,3.94,202000,SRCL
SRCL,1998-09-17,4.0,4.0625,3.969,3.97,58800,SRCL
SRCL,1998-09-18,4.0625,4.0625,3.969,4.0,99600,SRCL
SRCL,1998-09-21,4.1875,4.375,3.9375,4.0,271200,SRCL
SRCL,1998-09-22,4.1875,4.1875,4.0312,4.0312,88400,SRCL
SRCL,1998-09-23,4.125,4.1875,4.094,4.125,146800,SRCL
SRCL,1998-09-24,4.016,4.1565,4.0,4.095,107200,SRCL
SRCL,1998-09-25,4.125,4.1565,3.969,4.015,156000,SRCL
SRCL,1998-09-28,4.391,4.75,4.3125,4.375,810000,SRCL
SRCL,1998-09-29,4.516,4.516,4.3125,4.405,497200,SRCL
SRCL,1998-09-30,4.9375,4.9375,4.375,4.53,582800,SRCL
SRCL,1998-10-01,4.5625,5.375,4.375,4.875,506800,SRCL
SRCL,1998-10-02,4.4065,4.719,4.3125,4.69,395200,SRCL
SRCL,1998-10-05,4.5315,4.6565,4.375,4.44,177200,SRCL
SRCL,1998-10-06,4.5,4.8125,4.4375,4.78,146000,SRCL
SRCL,1998-10-07,4.219,4.5315,4.1565,4.5,328000,SRCL
SRCL,1998-10-08,3.875,3.9845,3.469,3.845,603600,SRCL
SRCL,1998-10-09,3.75,4.125,3.5,4.125,555600,SRCL
SRCL,1998-10-12,4.094,4.391,3.844,3.94,409200,SRCL
SRCL,1998-10-13,3.9375,4.094,3.9065,4.065,312800,SRCL
SRCL,1998-10-14,3.4065,3.9375,3.2035,3.875,1790800,SRCL
SRCL,1998-10-15,3.6562,3.6562,3.4375,3.5625,462000,SRCL
SRCL,1998-10-16,3.6875,3.7812,3.625,3.7812,346800,SRCL
SRCL,1998-10-19,3.9065,4.0,3.719,3.72,372400,SRCL
SRCL,1998-10-20,3.9375,4.0,3.844,3.94,402400,SRCL
SRCL,1998-10-21,3.969,4.0,3.6875,3.94,341600,SRCL
SRCL,1998-10-22,4.1875,4.2815,3.9845,3.985,293200,SRCL
SRCL,1998-10-23,4.5625,4.6875,4.1875,4.315,582000,SRCL
SRCL,1998-10-26,4.5625,4.9375,4.5625,4.75,375600,SRCL
SRCL,1998-10-27,4.594,4.6875,4.5,4.53,197200,SRCL
SRCL,1998-10-28,4.3438,4.5,4.0938,4.4688,178000,SRCL
SRCL,1998-10-29,4.5,4.5,4.3595,4.375,195600,SRCL
SRCL,1998-10-30,4.844,4.9065,4.5,4.565,447200,SRCL
SRCL,1998-11-02,5.25,5.25,4.9535,5.0,1797600,SRCL
SRCL,1998-11-03,5.0315,5.1875,5.0315,5.065,1534000,SRCL
SRCL,1998-11-04,5.0,5.125,4.8125,5.095,584400,SRCL
SRCL,1998-11-05,4.9375,5.0,4.844,4.875,519599,SRCL
SRCL,1998-11-06,4.9375,5.125,4.891,4.94,446800,SRCL
SRCL,1998-11-09,4.875,5.0,4.875,4.905,340400,SRCL
SRCL,1998-11-10,4.8125,4.9375,4.5625,4.875,76000,SRCL
SRCL,1998-11-11,4.844,4.9065,4.672,4.78,75200,SRCL
SRCL,1998-11-12,4.625,4.8906,4.375,4.7812,60800,SRCL
SRCL,1998-11-13,4.719,4.8125,4.6095,4.735,409600,SRCL
SRCL,1998-11-16,4.7345,4.797,4.6875,4.78,267600,SRCL
SRCL,1998-11-17,4.719,4.7345,4.6875,4.705,139200,SRCL
SRCL,1998-11-18,4.672,4.7345,4.641,4.72,147600,SRCL
SRCL,1998-11-19,4.719,4.719,4.641,4.675,342000,SRCL
SRCL,1998-11-20,4.4375,4.75,4.391,4.72,246000,SRCL
SRCL,1998-11-23,4.4065,4.5315,4.25,4.5,234400,SRCL
SRCL,1998-11-24,4.0,4.5315,3.9535,4.515,204400,SRCL
SRCL,1998-11-25,4.345,4.375,3.9525,4.0,0,SRCL
SRCL,1998-11-26,4.345,4.375,3.9525,4.0,0,SRCL
SRCL,1998-11-27,4.375,4.375,4.1875,4.25,252800,SRCL
SRCL,1998-11-30,4.469,4.75,4.1875,4.375,227200,SRCL
SRCL,1998-12-01,4.25,4.4375,4.1875,4.4375,774000,SRCL
SRCL,1998-12-02,4.0,4.297,3.6565,4.19,626400,SRCL
SRCL,1998-12-03,4.0625,4.125,3.9375,3.94,165600,SRCL
SRCL,1998-12-04,4.125,4.1875,4.016,4.065,60400,SRCL
SRCL,1998-12-07,4.25,4.375,4.1875,4.19,113600,SRCL
SRCL,1998-12-08,4.1875,4.2815,4.1875,4.25,56800,SRCL
SRCL,1998-12-09,4.25,4.25,4.172,4.22,28000,SRCL
SRCL,1998-12-10,4.3125,4.4375,4.0625,4.19,269200,SRCL
SRCL,1998-12-11,4.125,4.3125,4.0312,4.3125,52800,SRCL
SRCL,1998-12-14,4.0625,4.1565,4.016,4.155,66400,SRCL
SRCL,1998-12-15,4.0,4.0625,3.9065,4.0625,69600,SRCL
SRCL,1998-12-16,3.922,4.0,3.9065,4.0,282800,SRCL
SRCL,1998-12-17,3.875,3.9535,3.844,3.91,217200,SRCL
SRCL,1998-12-18,3.6875,3.875,3.625,3.845,270800,SRCL
SRCL,1998-12-21,3.625,3.6875,3.375,3.66,811200,SRCL
SRCL,1998-12-22,3.8125,4.0625,3.5,3.625,323600,SRCL
SRCL,1998-12-23,3.875,3.875,3.6565,3.83,116400,SRCL
SRCL,1998-12-24,3.8125,3.9535,3.75,3.875,13600,SRCL
SRCL,1998-12-25,3.8125,3.9535,3.75,3.875,0,SRCL
SRCL,1998-12-28,4.1565,4.3125,3.8125,3.815,306400,SRCL
SRCL,1998-12-29,4.125,4.2815,3.8125,4.28,402400,SRCL
SRCL,1998-12-30,4.25,4.25,4.125,4.125,496800,SRCL
SRCL,1998-12-31,4.0315,4.469,3.9375,4.315,502399,SRCL
SRCL,1999-01-01,4.0315,4.469,3.9375,4.315,0,SRCL
SRCL,1999-01-04,4.125,4.5,4.125,4.2188,279200,SRCL
SRCL,1999-01-05,4.25,4.2815,4.125,4.125,57600,SRCL
SRCL,1999-01-06,4.344,4.4375,4.25,4.345,173600,SRCL
SRCL,1999-01-07,4.469,4.469,4.1875,4.19,211200,SRCL
SRCL,1999-01-08,4.4845,4.4845,4.344,4.345,466800,SRCL
SRCL,1999-01-11,4.4845,4.5,4.4375,4.5,129200,SRCL
SRCL,1999-01-12,4.375,4.469,4.25,4.44,220400,SRCL
SRCL,1999-01-13,4.4062,4.4062,4.125,4.2188,108800,SRCL
SRCL,1999-01-14,4.375,4.469,4.25,4.25,152000,SRCL
SRCL,1999-01-15,4.125,4.4065,4.094,4.345,1056000,SRCL
SRCL,1999-01-18,4.125,4.4065,4.094,4.345,0,SRCL
SRCL,1999-01-19,3.875,4.0312,3.75,3.875,640800,SRCL
SRCL,1999-01-20,4.0,4.0,3.844,3.875,592000,SRCL
SRCL,1999-01-21,4.016,4.0315,3.9375,3.94,262000,SRCL
SRCL,1999-01-22,4.1565,4.375,4.0,4.0,252400,SRCL
SRCL,1999-01-25,4.1565,4.1875,4.0315,4.155,228800,SRCL
SRCL,1999-01-26,4.1875,4.3125,4.125,4.22,143200,SRCL
SRCL,1999-01-27,4.172,4.25,4.125,4.19,331200,SRCL
SRCL,1999-01-28,4.1875,4.219,4.172,4.219,199600,SRCL
SRCL,1999-01-29,4.1565,4.1875,4.125,4.155,116400,SRCL
SRCL,1999-02-01,3.9065,4.1875,3.9065,4.1875,432800,SRCL
SRCL,1999-02-02,3.75,4.0625,3.6875,3.94,138000,SRCL
SRCL,1999-02-03,3.7345,3.766,3.719,3.75,250000,SRCL
SRCL,1999-02-04,3.6875,4.0,3.6875,3.815,394400,SRCL
SRCL,1999-02-05,3.4375,3.5781,3.3125,3.4375,15655200,SRCL
SRCL,1999-02-08,3.4065,3.5785,3.344,3.5,1334000,SRCL
SRCL,1999-02-09,3.4845,3.547,3.4065,3.5,1290400,SRCL
SRCL,1999-02-10,3.594,3.6095,3.375,3.535,1158000,SRCL
SRCL,1999-02-11,3.4375,3.625,3.4065,3.625,419600,SRCL
SRCL,1999-02-12,3.594,3.594,3.4375,3.485,426400,SRCL
SRCL,1999-02-15,3.594,3.594,3.4375,3.485,0,SRCL
SRCL,1999-02-16,3.5781,3.6094,3.5312,3.5312,379600,SRCL
SRCL,1999-02-17,3.469,3.547,3.4375,3.535,272800,SRCL
SRCL,1999-02-18,3.4065,3.5,3.375,3.47,152400,SRCL
SRCL,1999-02-19,3.219,3.469,3.125,3.41,639200,SRCL
SRCL,1999-02-22,3.1875,3.25,3.094,3.25,473200,SRCL
SRCL,1999-02-23,3.0625,3.3125,3.047,3.285,713200,SRCL
SRCL,1999-02-24,2.9375,3.1095,2.8595,3.065,515599,SRCL
SRCL,1999-02-25,3.0,3.1095,2.875,2.97,698800,SRCL
SRCL,1999-02-26,3.172,3.1875,3.0315,3.065,946000,SRCL
SRCL,1999-03-01,3.6565,3.6565,3.219,3.285,1195200,SRCL
SRCL,1999-03-02,3.469,3.75,3.469,3.565,736800,SRCL
SRCL,1999-03-03,3.297,3.5625,3.25,3.5625,182000,SRCL
SRCL,1999-03-04,3.1095,3.3285,3.094,3.265,229600,SRCL
SRCL,1999-03-05,3.0315,3.1875,2.883,3.1875,484800,SRCL
SRCL,1999-03-08,3.3125,3.3595,3.0625,3.065,893200,SRCL
SRCL,1999-03-09,3.766,3.7815,3.3125,3.41,2105600,SRCL
SRCL,1999-03-10,4.125,4.1875,3.719,3.785,1525200,SRCL
SRCL,1999-03-11,3.9535,4.125,3.9065,4.125,700400,SRCL
SRCL,1999-03-12,3.875,4.094,3.875,4.094,388000,SRCL
SRCL,1999-03-15,3.719,4.0,3.6875,3.91,210800,SRCL
SRCL,1999-03-16,3.6875,3.75,3.5785,3.75,181200,SRCL
SRCL,1999-03-17,3.75,3.75,3.6095,3.69,100800,SRCL
SRCL,1999-03-18,3.9375,4.2035,3.9065,4.19,1746000,SRCL
SRCL,1999-03-19,3.8125,4.0,3.8125,3.97,233600,SRCL
SRCL,1999-03-22,3.844,3.969,3.8125,3.969,205200,SRCL
SRCL,1999-03-23,3.422,3.7815,3.375,3.7815,441600,SRCL
SRCL,1999-03-24,3.4375,3.5,3.375,3.375,220400,SRCL
SRCL,1999-03-25,3.5315,3.5625,3.391,3.44,135200,SRCL
SRCL,1999-03-26,3.4535,3.5625,3.4065,3.5625,182800,SRCL
SRCL,1999-03-29,3.5,3.5315,3.469,3.5,215600,SRCL
SRCL,1999-03-30,3.3125,3.5,3.3125,3.5,412000,SRCL
SRCL,1999-03-31,3.3595,3.3595,3.219,3.345,360400,SRCL
SRCL,1999-04-01,3.344,3.391,3.25,3.375,191200,SRCL
SRCL,1999-04-02,3.344,3.391,3.25,3.375,0,SRCL
SRCL,1999-04-05,3.25,3.3595,3.1875,3.25,351200,SRCL
SRCL,1999-04-06,3.219,3.2815,3.219,3.22,282400,SRCL
SRCL,1999-04-07,2.9375,3.219,2.7815,3.219,1126800,SRCL
SRCL,1999-04-08,2.641,2.9375,2.6095,2.875,1197200,SRCL
SRCL,1999-04-09,2.641,2.766,2.6095,2.69,598400,SRCL
SRCL,1999-04-12,2.5625,2.6875,2.5315,2.6875,798000,SRCL
SRCL,1999-04-13,2.5625,2.6875,2.5315,2.66,567200,SRCL
SRCL,1999-04-14,2.5315,2.5625,2.5315,2.535,828800,SRCL
SRCL,1999-04-15,2.469,2.6565,2.375,2.545,1163600,SRCL
