Symbol,Date,Close,High,Low,Open,Volume,Name
SYK,1998-05-29,10.188,10.407,10.157,10.39,693600,SYK
SYK,1998-06-01,10.063,10.266,10.063,10.22,613600,SYK
SYK,1998-06-02,9.922,10.188,9.875,10.188,372400,SYK
SYK,1998-06-03,9.907,10.11,9.907,9.92,572000,SYK
SYK,1998-06-04,10.047,10.125,9.875,9.89,376800,SYK
SYK,1998-06-05,10.047,10.11,10.0,10.06,218400,SYK
SYK,1998-06-08,10.079,10.204,10.047,10.05,256799,SYK
SYK,1998-06-09,9.875,10.063,9.719,10.03,525600,SYK
SYK,1998-06-10,9.719,9.907,9.688,9.907,282800,SYK
SYK,1998-06-11,9.735,9.844,9.61,9.7,698400,SYK
SYK,1998-06-12,9.672,9.735,9.563,9.73,399200,SYK
SYK,1998-06-15,9.454,9.61,9.454,9.61,183600,SYK
SYK,1998-06-16,9.625,9.688,9.516,9.52,836800,SYK
SYK,1998-06-17,9.75,9.907,9.625,9.63,456000,SYK
SYK,1998-06-18,9.641,9.813,9.5,9.78,1698400,SYK
SYK,1998-06-19,9.766,9.844,9.532,9.56,472400,SYK
SYK,1998-06-22,9.719,9.813,9.688,9.75,278000,SYK
SYK,1998-06-23,9.657,9.782,9.469,9.72,1090800,SYK
SYK,1998-06-24,9.5,9.75,9.5,9.66,1140400,SYK
SYK,1998-06-25,9.282,9.5,9.219,9.5,1250000,SYK
SYK,1998-06-26,9.36,9.407,9.313,9.33,502399,SYK
SYK,1998-06-29,9.532,9.657,9.375,9.38,576800,SYK
SYK,1998-06-30,9.594,9.735,9.485,9.52,856000,SYK
SYK,1998-07-01,9.844,9.938,9.641,9.66,888800,SYK
SYK,1998-07-02,10.188,10.282,9.938,10.06,712400,SYK
SYK,1998-07-03,10.188,10.282,9.938,10.06,0,SYK
SYK,1998-07-06,10.485,10.5,10.172,10.172,764400,SYK
SYK,1998-07-07,10.454,10.547,10.375,10.53,456000,SYK
SYK,1998-07-08,10.641,10.719,10.391,10.391,435600,SYK
SYK,1998-07-09,10.594,10.75,10.469,10.72,677200,SYK
SYK,1998-07-10,10.704,10.719,10.532,10.58,308400,SYK
SYK,1998-07-13,10.641,10.75,10.391,10.74,983200,SYK
SYK,1998-07-14,10.875,11.063,10.688,10.69,864400,SYK
SYK,1998-07-15,10.938,10.969,10.891,10.891,1184400,SYK
SYK,1998-07-16,11.0,11.0,10.844,10.94,490000,SYK
SYK,1998-07-17,11.125,11.157,11.0,11.0,2150000,SYK
SYK,1998-07-20,11.235,11.235,11.094,11.13,1651600,SYK
SYK,1998-07-21,11.063,11.282,11.063,11.25,1248800,SYK
SYK,1998-07-22,10.969,11.094,10.907,11.0,814400,SYK
SYK,1998-07-23,10.782,11.0,10.782,10.97,714800,SYK
SYK,1998-07-24,10.875,11.0,10.75,10.78,407200,SYK
SYK,1998-07-27,10.829,10.875,10.75,10.85,441200,SYK
SYK,1998-07-28,10.688,10.875,10.657,10.85,472000,SYK
SYK,1998-07-29,10.735,10.829,10.719,10.75,570000,SYK
SYK,1998-07-30,10.86,10.969,10.719,10.8,776400,SYK
SYK,1998-07-31,10.86,10.985,10.86,10.86,575600,SYK
SYK,1998-08-03,10.641,10.75,10.625,10.72,668000,SYK
SYK,1998-08-04,10.641,10.797,10.625,10.64,459200,SYK
