Symbol,Date,Close,High,Low,Open,Volume,Name
SYMC,1998-05-29,2.985,3.11,2.969,3.11,6375200,SYMC
SYMC,1998-06-01,2.829,2.969,2.782,2.94,6644800,SYMC
SYMC,1998-06-02,2.883,2.922,2.813,2.88,8266400,SYMC
SYMC,1998-06-03,2.969,3.032,2.938,2.95,12204800,SYMC
SYMC,1998-06-04,3.125,3.141,3.0,3.02,15486400,SYMC
SYMC,1998-06-05,3.172,3.188,3.079,3.12,8895200,SYMC
SYMC,1998-06-08,2.836,3.25,2.782,3.25,29166400,SYMC
SYMC,1998-06-09,3.094,3.102,2.875,2.95,22722400,SYMC
SYMC,1998-06-10,3.11,3.125,3.032,3.09,11964000,SYMC
SYMC,1998-06-11,3.063,3.172,2.985,3.14,5487200,SYMC
SYMC,1998-06-12,3.0,3.063,2.985,3.02,7016800,SYMC
SYMC,1998-06-15,2.86,3.0,2.829,2.98,4304000,SYMC
SYMC,1998-06-16,3.036,3.047,2.813,2.91,8944000,SYMC
SYMC,1998-06-17,3.079,3.188,3.079,3.1,6845600,SYMC
SYMC,1998-06-18,3.094,3.188,3.079,3.11,5815200,SYMC
SYMC,1998-06-19,3.016,3.141,2.985,3.08,4394400,SYMC
SYMC,1998-06-22,3.11,3.141,3.016,3.05,4784800,SYMC
SYMC,1998-06-23,3.25,3.297,3.125,3.15,5918400,SYMC
SYMC,1998-06-24,3.125,3.422,3.032,3.25,13640000,SYMC
SYMC,1998-06-25,3.235,3.282,3.172,3.2,6133600,SYMC
SYMC,1998-06-26,3.274,3.329,3.172,3.25,8982400,SYMC
SYMC,1998-06-29,3.25,3.336,3.219,3.27,4219200,SYMC
SYMC,1998-06-30,3.266,3.297,3.086,3.23,8876800,SYMC
SYMC,1998-07-01,3.055,3.282,2.954,3.28,14583200,SYMC
SYMC,1998-07-02,2.875,3.032,2.813,3.03,12788000,SYMC
SYMC,1998-07-03,2.875,3.032,2.813,3.03,0,SYMC
SYMC,1998-07-06,2.79,2.875,2.766,2.875,13107200,SYMC
SYMC,1998-07-07,3.188,3.188,2.797,2.84,26672800,SYMC
SYMC,1998-07-08,3.172,3.204,3.094,3.19,6080800,SYMC
SYMC,1998-07-09,3.141,3.196,3.032,3.19,10100800,SYMC
SYMC,1998-07-10,3.11,3.157,3.094,3.157,7557600,SYMC
SYMC,1998-07-13,3.25,3.274,3.125,3.16,7222400,SYMC
SYMC,1998-07-14,3.297,3.35,3.235,3.3,5901600,SYMC
SYMC,1998-07-15,3.368,3.422,3.297,3.3,5889600,SYMC
SYMC,1998-07-16,3.5,3.625,3.36,3.36,10416000,SYMC
SYMC,1998-07-17,3.454,3.516,3.375,3.5,6728800,SYMC
SYMC,1998-07-20,3.422,3.532,3.391,3.47,5404800,SYMC
SYMC,1998-07-21,3.469,3.477,3.391,3.42,6692800,SYMC
SYMC,1998-07-22,3.438,3.469,3.188,3.469,5669600,SYMC
SYMC,1998-07-23,3.352,3.422,3.313,3.41,7068800,SYMC
SYMC,1998-07-24,3.375,3.399,3.25,3.38,3874400,SYMC
SYMC,1998-07-27,3.235,3.391,3.227,3.39,3135200,SYMC
SYMC,1998-07-28,3.079,3.313,3.047,3.25,8904000,SYMC
SYMC,1998-07-29,3.071,3.172,3.063,3.11,6096800,SYMC
SYMC,1998-07-30,3.118,3.141,3.024,3.11,4007200,SYMC
SYMC,1998-07-31,3.032,3.125,2.985,3.09,4050400,SYMC
SYMC,1998-08-03,2.961,3.079,2.954,3.03,6073600,SYMC
SYMC,1998-08-04,2.875,2.993,2.829,2.92,6758400,SYMC
SYMC,1998-08-05,2.938,2.954,2.797,2.89,8714400,SYMC
SYMC,1998-08-06,3.102,3.123,2.86,2.94,5938400,SYMC
SYMC,1998-08-07,3.149,3.25,3.11,3.13,6985600,SYMC
SYMC,1998-08-10,2.954,3.188,2.938,3.17,6588800,SYMC
SYMC,1998-08-11,2.868,2.969,2.75,2.969,8902400,SYMC
SYMC,1998-08-12,3.016,3.149,2.891,2.91,4904800,SYMC
SYMC,1998-08-13,3.008,3.071,3.0,3.03,3240800,SYMC
SYMC,1998-08-14,3.008,3.11,2.969,3.08,2751200,SYMC
SYMC,1998-08-17,2.938,3.047,2.938,3.02,5025600,SYMC
SYMC,1998-08-18,3.016,3.032,2.961,2.98,6888000,SYMC
SYMC,1998-08-19,3.055,3.094,3.016,3.05,3820000,SYMC
SYMC,1998-08-20,2.875,3.047,2.782,3.047,8341600,SYMC
SYMC,1998-08-21,2.739,2.829,2.688,2.829,6244800,SYMC
SYMC,1998-08-24,2.625,2.844,2.516,2.83,12801600,SYMC
SYMC,1998-08-25,2.563,2.704,2.555,2.66,3238400,SYMC
SYMC,1998-08-26,2.469,2.594,2.454,2.56,5053600,SYMC
SYMC,1998-08-27,2.274,2.461,2.243,2.46,9804800,SYMC
SYMC,1998-08-28,2.235,2.305,2.204,2.28,6760000,SYMC
SYMC,1998-08-31,2.047,2.329,2.047,2.28,10692000,SYMC
SYMC,1998-09-01,2.4219,2.4531,2.0781,2.0781,9752000,SYMC
SYMC,1998-09-02,2.54,2.625,2.454,2.46,9236800,SYMC
SYMC,1998-09-03,2.532,2.547,2.407,2.52,8799200,SYMC
SYMC,1998-09-04,2.391,2.516,2.344,2.516,5009600,SYMC
SYMC,1998-09-07,2.391,2.516,2.344,2.516,0,SYMC
SYMC,1998-09-08,2.508,2.579,2.461,2.5,7743200,SYMC
SYMC,1998-09-09,2.313,2.516,2.313,2.5,3478400,SYMC
SYMC,1998-09-10,2.0938,2.25,1.9766,2.0938,12778400,SYMC
SYMC,1998-09-11,2.032,2.157,1.969,2.12,13232800,SYMC
SYMC,1998-09-14,1.766,2.032,1.688,2.03,26074400,SYMC
SYMC,1998-09-15,1.625,1.766,1.594,1.75,25396800,SYMC
SYMC,1998-09-16,1.743,1.766,1.641,1.66,23884000,SYMC
SYMC,1998-09-17,1.766,1.766,1.641,1.7,6512000,SYMC
SYMC,1998-09-18,1.743,1.813,1.711,1.8,7859200,SYMC
SYMC,1998-09-21,1.75,1.766,1.641,1.66,6947200,SYMC
SYMC,1998-09-22,1.743,1.766,1.672,1.76,26358400,SYMC
SYMC,1998-09-23,1.68,1.782,1.672,1.77,14616000,SYMC
SYMC,1998-09-24,1.711,1.735,1.657,1.72,7344800,SYMC
SYMC,1998-09-25,1.688,1.711,1.672,1.7,6280000,SYMC
SYMC,1998-09-28,1.719,1.86,1.711,1.76,14000000,SYMC
SYMC,1998-09-29,1.688,1.805,1.672,1.79,11256000,SYMC
SYMC,1998-09-30,1.649,1.696,1.594,1.66,9767200,SYMC
SYMC,1998-10-01,1.5078,1.625,1.4844,1.625,11200000,SYMC
SYMC,1998-10-02,1.266,1.5,1.25,1.49,19362400,SYMC
SYMC,1998-10-05,1.368,1.407,1.297,1.31,10998400,SYMC
SYMC,1998-10-06,1.321,1.438,1.297,1.41,8285600,SYMC
SYMC,1998-10-07,1.3203,1.3438,1.1094,1.1562,52704800,SYMC
SYMC,1998-10-08,1.149,1.235,1.133,1.22,9540000,SYMC
SYMC,1998-10-09,1.125,1.188,1.086,1.17,14255200,SYMC
