Symbol,Date,Close,High,Low,Open,Volume,Name
SYY,1998-05-29,11.657,11.907,11.625,11.88,844600,SYY
SYY,1998-06-01,11.969,11.969,11.719,11.78,656800,SYY
SYY,1998-06-02,12.063,12.157,11.969,11.97,703000,SYY
SYY,1998-06-03,11.938,12.25,11.938,12.13,944000,SYY
SYY,1998-06-04,12.063,12.219,11.875,11.94,2157400,SYY
SYY,1998-06-05,12.344,12.407,12.157,12.19,774800,SYY
SYY,1998-06-08,12.438,12.469,12.282,12.35,705000,SYY
SYY,1998-06-09,12.563,12.563,12.313,12.47,666200,SYY
SYY,1998-06-10,12.407,12.75,12.375,12.75,1118800,SYY
SYY,1998-06-11,12.344,12.375,12.282,12.282,515200,SYY
SYY,1998-06-12,12.532,12.719,12.375,12.44,939000,SYY
SYY,1998-06-15,12.375,12.75,12.344,12.41,748800,SYY
SYY,1998-06-16,12.469,12.5,12.344,12.47,579200,SYY
SYY,1998-06-17,12.532,12.625,12.469,12.5,1306000,SYY
SYY,1998-06-18,12.657,12.688,12.438,12.53,817200,SYY
SYY,1998-06-19,12.75,12.75,12.532,12.532,1106800,SYY
SYY,1998-06-22,12.719,12.844,12.657,12.72,655400,SYY
SYY,1998-06-23,12.625,12.907,12.5,12.82,848200,SYY
SYY,1998-06-24,12.282,12.594,12.188,12.5,1407200,SYY
SYY,1998-06-25,12.094,12.344,11.969,12.28,1489200,SYY
SYY,1998-06-26,12.75,12.813,12.094,12.19,1763200,SYY
SYY,1998-06-29,12.75,12.875,12.5,12.78,1174000,SYY
SYY,1998-06-30,12.813,12.907,12.594,12.907,1008999,SYY
SYY,1998-07-01,12.938,12.969,12.782,12.94,1205600,SYY
SYY,1998-07-02,12.813,12.907,12.75,12.75,501800,SYY
SYY,1998-07-03,12.813,12.907,12.75,12.75,0,SYY
SYY,1998-07-06,12.813,12.875,12.594,12.66,709600,SYY
SYY,1998-07-07,12.75,12.938,12.657,12.85,1371600,SYY
SYY,1998-07-08,12.907,12.938,12.438,12.69,1120200,SYY
SYY,1998-07-09,12.844,12.969,12.782,12.91,896000,SYY
