Symbol,Date,Close,High,Low,Open,Volume,Name
TDG,2006-03-15,24.1,24.69,23.45,23.95,7251000,TDG
TDG,2006-03-16,24.27,24.3499,23.89,24.1,649100,TDG
TDG,2006-03-17,25.01,25.1199,24.15,24.25,287000,TDG
TDG,2006-03-20,24.9,25.61,24.7501,25.17,282800,TDG
TDG,2006-03-21,24.2,24.8904,24.0,24.89,274700,TDG
TDG,2006-03-22,24.16,24.3,24.0,24.05,103000,TDG
TDG,2006-03-23,24.1,24.2,23.99,24.09,104400,TDG
TDG,2006-03-24,24.5,24.99,24.24,24.3,101300,TDG
TDG,2006-03-27,24.75,25.75,24.45,24.65,111700,TDG
TDG,2006-03-28,24.7001,24.86,24.55,24.73,115400,TDG
TDG,2006-03-29,24.9,25.05,24.75,24.95,81900,TDG
TDG,2006-03-30,25.45,25.45,24.95,24.95,132400,TDG
TDG,2006-03-31,25.75,25.96,25.5,25.5,100100,TDG
TDG,2006-04-03,24.9,25.8,24.8,25.8,291800,TDG
TDG,2006-04-04,24.8,24.9,24.7,24.89,220200,TDG
TDG,2006-04-05,24.68,24.76,24.63,24.75,122200,TDG
TDG,2006-04-06,24.25,24.68,24.05,24.5,130100,TDG
TDG,2006-04-07,24.11,24.25,23.9,24.25,33600,TDG
TDG,2006-04-10,24.31,24.35,24.01,24.05,43800,TDG
TDG,2006-04-11,24.1,24.28,23.95,24.28,87700,TDG
TDG,2006-04-12,24.1,25.35,24.07,25.35,664800,TDG
TDG,2006-04-13,24.38,24.45,24.01,24.15,214700,TDG
TDG,2006-04-14,24.38,24.45,24.01,24.15,0,TDG
TDG,2006-04-17,24.6,24.7,24.39,24.39,203100,TDG
TDG,2006-04-18,24.25,24.58,23.98,24.52,186400,TDG
TDG,2006-04-19,24.75,25.0,24.25,24.25,241600,TDG
TDG,2006-04-20,25.6,25.94,24.73,24.8,166400,TDG
TDG,2006-04-21,25.45,26.1,25.21,25.7,401800,TDG
TDG,2006-04-24,25.51,25.9,25.3,25.45,92400,TDG
TDG,2006-04-25,25.8,26.2,25.48,25.48,232500,TDG
TDG,2006-04-26,25.75,26.0,25.5,25.65,145000,TDG
TDG,2006-04-27,25.39,25.851,25.26,25.76,49900,TDG
TDG,2006-04-28,24.73,25.4,24.13,25.39,232200,TDG
TDG,2006-05-01,25.14,25.17,24.73,24.73,151000,TDG
TDG,2006-05-02,24.75,25.2,24.74,25.15,124000,TDG
TDG,2006-05-03,24.62,24.76,24.5601,24.75,110100,TDG
TDG,2006-05-04,24.58,24.61,24.11,24.52,92400,TDG
TDG,2006-05-05,24.55,24.64,24.22,24.5,104800,TDG
TDG,2006-05-08,24.86,25.0,24.46,24.5,106200,TDG
TDG,2006-05-09,24.92,25.0,24.65,24.88,85400,TDG
TDG,2006-05-10,24.99,25.1,24.78,25.05,73500,TDG
TDG,2006-05-11,25.8,25.8,25.0,25.09,57100,TDG
TDG,2006-05-12,25.47,25.5,24.94,25.4,49300,TDG
TDG,2006-05-15,25.28,25.4,25.14,25.39,72200,TDG
TDG,2006-05-16,25.54,25.74,25.24,25.25,84600,TDG
TDG,2006-05-17,25.4,25.45,25.25,25.45,98200,TDG
TDG,2006-05-18,25.41,25.68,25.33,25.33,68800,TDG
TDG,2006-05-19,25.4,25.4,25.05,25.31,165300,TDG
TDG,2006-05-22,25.51,25.52,25.06,25.36,60800,TDG
TDG,2006-05-23,25.25,25.45,25.22,25.35,47300,TDG
TDG,2006-05-24,25.3,25.4,24.89,25.2,37400,TDG
TDG,2006-05-25,25.08,25.31,24.91,25.25,50200,TDG
TDG,2006-05-26,25.0,25.05,24.94,25.0,44200,TDG
TDG,2006-05-29,25.0,25.05,24.94,25.0,0,TDG
TDG,2006-05-30,24.98,25.08,24.78,24.98,68500,TDG
TDG,2006-05-31,25.19,25.29,24.95,25.0,60200,TDG
TDG,2006-06-01,26.0,26.0,25.02,25.09,40000,TDG
TDG,2006-06-02,26.5,26.5,25.8,25.9,67700,TDG
TDG,2006-06-05,26.48,26.53,26.19,26.4,67300,TDG
TDG,2006-06-06,26.05,26.48,25.97,26.48,62200,TDG
TDG,2006-06-07,25.87,26.15,25.65,26.05,52700,TDG
TDG,2006-06-08,25.82,25.82,25.35,25.77,40600,TDG
