Symbol,Date,Close,High,Low,Open,Volume,Name
TEL,2007-06-14,38.85,39.26,37.0,39.26,662600,TEL
TEL,2007-06-15,38.8,39.1,38.25,39.1,1150000,TEL
TEL,2007-06-18,37.15,39.1,37.15,39.1,853600,TEL
TEL,2007-06-19,36.7,37.7,36.1,37.7,951000,TEL
TEL,2007-06-20,35.95,36.83,35.33,36.83,1721800,TEL
TEL,2007-06-21,36.7,36.7,35.75,36.7,537700,TEL
TEL,2007-06-22,38.95,39.5,36.8,39.5,250300,TEL
TEL,2007-06-25,39.25,40.0,38.25,40.0,203200,TEL
TEL,2007-06-26,39.5,39.8,39.2,39.8,119600,TEL
TEL,2007-06-27,39.75,39.8,39.0,39.8,270700,TEL
TEL,2007-06-28,39.6,39.95,39.5,39.95,151200,TEL
TEL,2007-06-29,39.06,39.9,38.75,39.9,1701900,TEL
TEL,2007-07-02,39.97,40.63,38.98,39.2,1990400,TEL
TEL,2007-07-03,39.66,40.61,39.08,39.98,3752325,TEL
TEL,2007-07-04,39.66,40.61,39.08,39.98,0,TEL
TEL,2007-07-05,39.45,41.28,39.24,39.6,4281000,TEL
TEL,2007-07-06,39.82,39.92,38.8,39.4,3950700,TEL
TEL,2007-07-09,40.4,40.4,39.55,39.55,5369492,TEL
TEL,2007-07-10,39.0,39.5,38.48,39.5,5471500,TEL
TEL,2007-07-11,39.06,39.25,38.7,39.0,5954100,TEL
TEL,2007-07-12,39.01,39.06,38.31,38.95,4089500,TEL
TEL,2007-07-13,39.47,39.89,38.0,38.3,2064600,TEL
TEL,2007-07-16,39.3,39.85,37.07,38.0,2282400,TEL
TEL,2007-07-17,38.86,39.5,38.27,39.02,3656800,TEL
TEL,2007-07-18,37.94,38.86,36.6,36.95,4909400,TEL
TEL,2007-07-19,38.1,38.45,37.63,38.04,2065700,TEL
TEL,2007-07-20,38.03,38.18,37.87,38.1,3396100,TEL
TEL,2007-07-23,38.91,39.0,35.1,35.1,2156100,TEL
TEL,2007-07-24,38.4,39.22,38.13,38.72,2119000,TEL
TEL,2007-07-25,38.57,38.57,38.25,38.25,2421500,TEL
TEL,2007-07-26,37.56,38.3,36.72,38.0,3590300,TEL
TEL,2007-07-27,36.95,38.13,35.73,36.0,2912600,TEL
TEL,2007-07-30,36.05,36.45,35.6,36.4,2908800,TEL
TEL,2007-07-31,35.82,36.08,35.7,36.05,2107200,TEL
TEL,2007-08-01,35.22,36.0,34.76,34.92,3768600,TEL
TEL,2007-08-02,35.27,35.5,34.09,34.61,2519100,TEL
TEL,2007-08-03,35.09,35.43,35.0,35.1,2445000,TEL
TEL,2007-08-06,35.32,35.32,35.15,35.2,3896600,TEL
TEL,2007-08-07,34.85,35.38,34.0,34.85,2619700,TEL
TEL,2007-08-08,34.74,35.47,32.09,32.09,3355761,TEL
TEL,2007-08-09,33.73,34.77,33.62,34.3,2037326,TEL
TEL,2007-08-10,32.81,33.73,32.38,33.73,2000624,TEL
TEL,2007-08-13,32.99,33.25,32.39,33.0,3790800,TEL
TEL,2007-08-14,32.45,33.25,32.12,33.13,5962569,TEL
TEL,2007-08-15,32.96,33.24,32.5,32.53,4280447,TEL
TEL,2007-08-16,33.04,33.25,32.0,32.06,4087678,TEL
TEL,2007-08-17,35.1,35.23,33.5,33.9,3026504,TEL
TEL,2007-08-20,34.95,35.98,34.6,34.87,1948772,TEL
TEL,2007-08-21,34.67,34.97,33.85,33.9,2257583,TEL
TEL,2007-08-22,34.86,35.34,34.3,34.75,2233000,TEL
TEL,2007-08-23,35.36,35.53,34.87,35.25,3054100,TEL
TEL,2007-08-24,36.27,37.0,35.1,35.28,2105000,TEL
TEL,2007-08-27,35.47,36.56,35.4,36.2,1431130,TEL
TEL,2007-08-28,35.12,35.63,34.9,34.95,2243700,TEL
TEL,2007-08-29,35.36,35.5,34.81,35.32,1615900,TEL
TEL,2007-08-30,34.96,35.97,34.63,35.08,1590000,TEL
TEL,2007-08-31,34.87,35.55,34.0,34.53,2286900,TEL
TEL,2007-09-03,34.87,35.55,34.0,34.53,0,TEL
TEL,2007-09-04,34.91,35.02,34.3,34.87,1909737,TEL
TEL,2007-09-05,34.69,34.77,33.95,34.5,2133000,TEL
TEL,2007-09-06,35.23,36.69,32.0,32.0,3414700,TEL
TEL,2007-09-07,33.5,34.81,33.15,34.8,1869400,TEL
TEL,2007-09-10,33.2,33.95,33.17,33.41,2340000,TEL
TEL,2007-09-11,33.04,33.46,32.6,33.27,1921100,TEL
TEL,2007-09-12,32.56,33.19,32.4,32.82,2867900,TEL
TEL,2007-09-13,32.89,33.22,32.65,33.01,2351800,TEL
TEL,2007-09-14,33.06,33.69,32.63,32.68,2744500,TEL
TEL,2007-09-17,33.14,33.31,32.59,32.8,2246100,TEL
TEL,2007-09-18,33.59,34.99,32.62,33.03,2236900,TEL
TEL,2007-09-19,33.07,34.59,32.5376,34.0,13839200,TEL
TEL,2007-09-20,33.46,33.66,32.8,33.07,1814900,TEL
TEL,2007-09-21,33.45,33.97,33.18,33.86,2627700,TEL
TEL,2007-09-24,33.39,33.71,33.03,33.53,1549200,TEL
TEL,2007-09-25,33.77,33.77,33.14,33.33,1516500,TEL
TEL,2007-09-26,34.54,35.35,34.22,34.25,3838200,TEL
TEL,2007-09-27,35.18,35.75,34.54,34.74,2099800,TEL
TEL,2007-09-28,35.43,35.53,34.85,35.02,1689100,TEL
TEL,2007-10-01,36.28,36.64,34.93,35.7,2717400,TEL
TEL,2007-10-02,35.95,36.25,35.72,36.0,3089200,TEL
TEL,2007-10-03,35.66,36.0,35.25,35.96,2326900,TEL
TEL,2007-10-04,35.9,36.47,34.92,35.66,3080200,TEL
TEL,2007-10-05,36.05,36.89,35.81,35.85,2334300,TEL
TEL,2007-10-08,37.12,37.33,36.18,36.23,1454000,TEL
TEL,2007-10-09,36.73,37.33,36.57,37.12,1705100,TEL
TEL,2007-10-10,36.84,37.12,36.33,36.39,5578600,TEL
TEL,2007-10-11,36.65,37.24,36.35,37.0,2205100,TEL
TEL,2007-10-12,37.0,37.09,36.37,36.49,1053752,TEL
TEL,2007-10-15,36.97,37.43,36.81,37.15,1559500,TEL
TEL,2007-10-16,36.99,37.2,36.58,37.0,1650944,TEL
TEL,2007-10-17,36.9,37.5,36.6,37.1,3160400,TEL
TEL,2007-10-18,36.88,36.93,36.65,36.77,1985200,TEL
TEL,2007-10-19,36.24,36.92,36.06,36.82,2757200,TEL
TEL,2007-10-22,35.68,36.3,35.27,35.89,2174900,TEL
TEL,2007-10-23,35.12,36.1,35.0,35.9,1272900,TEL
TEL,2007-10-24,34.56,35.1,33.89,35.1,1403600,TEL
TEL,2007-10-25,34.04,34.65,33.77,34.64,1674200,TEL
TEL,2007-10-26,33.7,34.49,33.48,34.28,1261800,TEL
TEL,2007-10-29,34.38,34.6,33.87,33.94,1365500,TEL
TEL,2007-10-30,35.0,35.54,34.08,34.25,1200900,TEL
TEL,2007-10-31,35.67,35.76,34.73,34.95,1849800,TEL
TEL,2007-11-01,35.17,36.0,35.02,35.62,1795700,TEL
TEL,2007-11-02,35.37,35.74,34.75,34.75,1401800,TEL
TEL,2007-11-05,33.76,35.23,33.54,35.23,1604456,TEL
TEL,2007-11-06,33.77,33.77,32.65,33.76,1189300,TEL
TEL,2007-11-07,32.99,33.48,32.55,33.36,3030334,TEL
TEL,2007-11-08,33.14,33.38,32.85,33.02,3261424,TEL
TEL,2007-11-09,32.57,33.22,31.77,32.64,3085063,TEL
TEL,2007-11-12,31.36,32.61,31.31,32.45,1948018,TEL
