Symbol,Date,Close,High,Low,Open,Volume,Name
TGT,1998-05-29,23.188,23.938,23.032,23.07,2836600,TGT
TGT,1998-06-01,23.969,24.157,23.188,23.19,2236200,TGT
TGT,1998-06-02,24.157,24.344,23.875,24.25,1682800,TGT
TGT,1998-06-03,24.157,24.313,23.938,24.25,2038199,TGT
TGT,1998-06-04,24.344,24.563,23.407,24.13,2010800,TGT
TGT,1998-06-05,25.532,25.563,24.375,24.38,2023200,TGT
TGT,1998-06-08,25.563,25.75,25.0,25.57,2806200,TGT
TGT,1998-06-09,25.563,25.594,24.907,25.0,2597000,TGT
TGT,1998-06-10,26.063,26.5,25.375,25.57,3139600,TGT
TGT,1998-06-11,25.25,26.063,25.25,26.03,2482800,TGT
TGT,1998-06-12,25.313,25.438,24.907,25.32,2308800,TGT
TGT,1998-06-15,24.469,25.469,24.375,24.94,2660000,TGT
TGT,1998-06-16,24.188,24.719,23.407,24.5,4290600,TGT
TGT,1998-06-17,24.594,24.594,24.063,24.16,4414800,TGT
TGT,1998-06-18,24.563,24.844,24.188,24.47,2258800,TGT
TGT,1998-06-19,23.969,24.532,23.625,24.44,4476400,TGT
TGT,1998-06-22,24.469,24.532,23.844,24.1,2074800,TGT
TGT,1998-06-23,24.813,24.938,24.375,24.57,2238200,TGT
TGT,1998-06-24,24.844,24.875,24.344,24.63,1681000,TGT
TGT,1998-06-25,24.313,24.938,24.282,24.88,3063600,TGT
TGT,1998-06-26,24.375,24.5,24.125,24.16,1704400,TGT
TGT,1998-06-29,24.75,24.813,24.282,24.5,3468600,TGT
TGT,1998-06-30,24.25,24.625,24.25,24.625,3090600,TGT
TGT,1998-07-01,25.0,25.188,24.625,24.63,2688800,TGT
TGT,1998-07-02,25.188,25.688,24.907,25.688,1484000,TGT
TGT,1998-07-03,25.188,25.688,24.907,25.688,0,TGT
TGT,1998-07-06,26.125,26.125,25.25,25.38,2164400,TGT
TGT,1998-07-07,25.25,26.219,25.032,26.07,2111200,TGT
TGT,1998-07-08,25.657,25.938,25.407,25.44,1417400,TGT
TGT,1998-07-09,24.969,25.875,24.719,25.78,3653000,TGT
TGT,1998-07-10,24.969,25.0,24.188,24.97,3845000,TGT
TGT,1998-07-13,25.032,25.063,24.375,24.97,2689400,TGT
TGT,1998-07-14,26.032,26.25,25.0,25.0,4170400,TGT
TGT,1998-07-15,25.875,26.188,25.844,25.85,2515800,TGT
TGT,1998-07-16,26.157,26.157,25.75,25.82,1876200,TGT
TGT,1998-07-17,26.282,26.75,26.094,26.16,1904200,TGT
TGT,1998-07-20,26.313,26.688,25.875,26.28,2025399,TGT
TGT,1998-07-21,26.125,26.5,25.625,26.28,2414400,TGT
TGT,1998-07-22,26.032,26.594,25.907,26.5,3626600,TGT
TGT,1998-07-23,24.532,26.0,24.407,26.0,3153600,TGT
TGT,1998-07-24,24.344,24.5,23.969,24.41,5370800,TGT
TGT,1998-07-27,24.875,25.0,24.125,24.35,2570400,TGT
TGT,1998-07-28,24.5,25.375,24.438,24.63,3025400,TGT
TGT,1998-07-29,23.813,24.844,23.375,24.6,2318200,TGT
TGT,1998-07-30,24.469,24.688,23.844,24.0,2773000,TGT
TGT,1998-07-31,23.907,24.75,23.782,24.47,1514000,TGT
TGT,1998-08-03,23.813,24.5,23.532,24.03,2358600,TGT
TGT,1998-08-04,22.188,23.969,21.782,23.88,3803000,TGT
TGT,1998-08-05,22.532,22.844,21.625,22.82,3949200,TGT
TGT,1998-08-06,23.5,23.75,22.063,22.07,2840000,TGT
TGT,1998-08-07,24.094,24.875,23.5,23.63,5861000,TGT
TGT,1998-08-10,23.907,24.219,23.5,23.75,2349800,TGT
TGT,1998-08-11,23.688,23.813,22.688,23.25,2694800,TGT
TGT,1998-08-12,23.813,24.532,23.469,23.94,3328600,TGT
TGT,1998-08-13,23.782,23.907,23.532,23.69,2205800,TGT
TGT,1998-08-14,22.75,23.75,22.594,23.69,2815000,TGT
TGT,1998-08-17,23.063,23.188,22.5,22.63,2629800,TGT
TGT,1998-08-18,23.782,23.782,22.625,22.63,2844000,TGT
TGT,1998-08-19,23.438,24.125,23.219,23.94,2940400,TGT
TGT,1998-08-20,23.188,23.938,23.0,23.38,2534800,TGT
TGT,1998-08-21,22.75,22.969,22.5,22.94,1919800,TGT
TGT,1998-08-24,23.313,23.938,22.844,22.94,2200000,TGT
TGT,1998-08-25,24.125,24.375,23.719,23.88,2007600,TGT
TGT,1998-08-26,23.438,24.375,23.0,23.82,2072400,TGT
TGT,1998-08-27,22.125,23.219,21.75,23.13,3543400,TGT
TGT,1998-08-28,21.969,22.469,21.469,22.13,3324800,TGT
TGT,1998-08-31,18.375,22.25,17.782,21.97,4972200,TGT
TGT,1998-09-01,21.125,21.438,19.157,19.75,8839600,TGT
TGT,1998-09-02,19.813,21.0,19.813,21.0,6492800,TGT
TGT,1998-09-03,19.782,20.125,19.094,19.13,5092200,TGT
TGT,1998-09-04,19.0,20.063,18.219,19.66,3169200,TGT
TGT,1998-09-07,19.0,20.063,18.219,19.66,0,TGT
TGT,1998-09-08,20.719,20.875,19.0,19.0,4309600,TGT
TGT,1998-09-09,20.094,20.719,19.719,19.88,2195200,TGT
TGT,1998-09-10,18.844,19.75,18.344,19.22,2578400,TGT
TGT,1998-09-11,19.813,20.0,18.594,18.88,2663000,TGT
TGT,1998-09-14,20.875,21.219,20.0,20.0,2603600,TGT
TGT,1998-09-15,21.532,22.0,20.969,21.19,3586000,TGT
