Symbol,Date,Close,High,Low,Open,Volume,Name
TMO,1998-05-29,30.302,30.518,29.979,30.1941,863232,TMO
TMO,1998-06-01,29.223,30.14,28.954,29.9784,679039,TMO
TMO,1998-06-02,29.17,29.817,29.17,29.17,1341736,TMO
TMO,1998-06-03,28.9,29.709,28.469,29.6592,759486,TMO
TMO,1998-06-04,28.469,28.9,28.36,28.8483,892443,TMO
TMO,1998-06-05,29.331,29.439,28.469,28.469,957936,TMO
TMO,1998-06-08,29.602,29.87,29.386,29.711,1437831,TMO
TMO,1998-06-09,30.087,30.356,29.817,29.817,2004433,TMO
TMO,1998-06-10,29.817,30.194,29.817,30.1423,1146531,TMO
TMO,1998-06-11,28.9,30.14,28.792,29.8145,698282,TMO
TMO,1998-06-12,28.954,29.331,28.577,29.0639,1049973,TMO
TMO,1998-06-15,28.037,28.792,27.984,28.5205,589783,TMO
TMO,1998-06-16,27.175,28.253,26.527,28.0374,1297108,TMO
TMO,1998-06-17,27.175,27.769,27.067,27.5025,1766107,TMO
TMO,1998-06-18,27.39,27.552,26.69,27.1747,1352864,TMO
TMO,1998-06-19,27.498,27.876,27.444,27.606,823472,TMO
TMO,1998-06-22,26.852,27.552,26.635,27.4421,777220,TMO
TMO,1998-06-23,27.498,27.606,26.959,27.0711,511424,TMO
TMO,1998-06-24,29.17,29.331,27.283,27.606,1433658,TMO
TMO,1998-06-25,29.278,29.547,29.116,29.3314,806085,TMO
TMO,1998-06-26,29.17,29.709,29.008,29.2796,503310,TMO
TMO,1998-06-29,29.386,29.87,29.278,29.6592,580395,TMO
TMO,1998-06-30,29.494,30.033,29.331,29.3831,807592,TMO
TMO,1998-07-01,30.949,31.057,29.386,29.4953,602419,TMO
TMO,1998-07-02,30.464,30.896,29.709,30.8411,464941,TMO
TMO,1998-07-03,30.464,30.896,29.709,30.8411,0,TMO
TMO,1998-07-06,28.253,30.625,28.145,30.358,1136216,TMO
TMO,1998-07-07,26.798,28.846,26.367,28.3652,2208678,TMO
TMO,1998-07-08,26.42,26.798,25.989,26.7433,1331188,TMO
TMO,1998-07-09,26.151,26.798,25.827,26.7433,947503,TMO
TMO,1998-07-10,25.396,26.312,25.018,26.312,1209242,TMO
TMO,1998-07-13,25.881,26.259,25.665,25.7771,1025398,TMO
TMO,1998-07-14,26.743,27.067,26.582,26.7433,1086024,TMO
TMO,1998-07-15,26.743,27.229,26.635,26.7433,1340228,TMO
TMO,1998-07-16,26.042,26.69,25.719,26.5276,983901,TMO
TMO,1998-07-17,25.396,25.935,25.233,25.7167,636613,TMO
TMO,1998-07-20,24.155,25.45,23.616,25.4493,1321683,TMO
TMO,1998-07-21,20.165,23.994,19.68,23.9396,6371481,TMO
TMO,1998-07-22,19.68,20.165,19.465,19.6261,4855522,TMO
