Symbol,Date,Close,High,Low,Open,Volume,Name
TRV,1998-05-29,44.375,44.75,44.25,44.375,568200,TRV
TRV,1998-06-01,44.813,45.125,44.375,44.813,694800,TRV
TRV,1998-06-02,45.125,45.438,44.75,45.125,951500,TRV
TRV,1998-06-03,44.375,45.313,44.375,44.375,343300,TRV
TRV,1998-06-04,44.75,44.813,44.375,44.75,210900,TRV
TRV,1998-06-05,44.5,45.125,44.375,44.5,461200,TRV
TRV,1998-06-08,44.375,44.813,44.375,44.375,267400,TRV
TRV,1998-06-09,44.875,44.938,44.563,44.875,216000,TRV
TRV,1998-06-10,44.625,45.125,44.25,44.625,719900,TRV
TRV,1998-06-11,43.688,44.938,43.625,43.688,573200,TRV
TRV,1998-06-12,44.438,44.5,43.75,44.438,612800,TRV
TRV,1998-06-15,44.188,44.5,43.563,44.188,573000,TRV
TRV,1998-06-16,44.063,44.938,43.875,44.063,633800,TRV
TRV,1998-06-17,44.313,44.438,44.0,44.313,435400,TRV
TRV,1998-06-18,44.188,44.5,44.0,44.188,301800,TRV
TRV,1998-06-19,43.313,44.188,42.813,43.313,586000,TRV
TRV,1998-06-22,42.875,43.125,42.75,42.875,779800,TRV
TRV,1998-06-23,42.375,43.0,41.938,42.375,693200,TRV
TRV,1998-06-24,42.438,42.5,41.813,42.438,793300,TRV
TRV,1998-06-25,41.063,42.5,41.063,41.063,806200,TRV
TRV,1998-06-26,41.5,41.875,40.875,41.5,849300,TRV
TRV,1998-06-29,41.563,42.125,41.5,41.563,561500,TRV
TRV,1998-06-30,42.063,42.188,41.25,42.063,608500,TRV
TRV,1998-07-01,42.813,42.938,41.75,42.813,704000,TRV
TRV,1998-07-02,42.563,42.875,42.375,42.563,489700,TRV
TRV,1998-07-03,42.563,42.875,42.375,42.563,0,TRV
TRV,1998-07-06,43.313,43.438,42.375,43.313,464200,TRV
TRV,1998-07-07,42.813,43.438,42.625,42.813,268300,TRV
TRV,1998-07-08,42.813,43.063,42.375,42.813,354300,TRV
TRV,1998-07-09,43.25,43.625,42.313,43.25,508200,TRV
TRV,1998-07-10,42.0,43.0,41.75,42.0,874800,TRV
TRV,1998-07-13,42.063,42.25,41.875,42.063,477300,TRV
TRV,1998-07-14,42.0,42.188,41.75,42.0,870900,TRV
TRV,1998-07-15,41.375,42.125,41.313,41.375,718000,TRV
TRV,1998-07-16,41.375,41.563,40.563,41.375,521499,TRV
TRV,1998-07-17,41.875,41.988,40.75,41.875,558100,TRV
TRV,1998-07-20,41.25,41.75,41.063,41.25,193200,TRV
TRV,1998-07-21,40.0,41.125,40.0,40.0,245300,TRV
