Symbol,Date,Close,High,Low,Open,Volume,Name
ULTA,2007-10-25,29.82,35.0,28.89,29.05,7487306,ULTA
ULTA,2007-10-26,32.0,32.98,29.25,30.55,1625582,ULTA
ULTA,2007-10-29,34.7,35.0,32.49,32.49,668513,ULTA
ULTA,2007-10-30,35.43,35.6,33.0,35.22,455543,ULTA
ULTA,2007-10-31,34.2,36.39,32.95,36.39,393584,ULTA
ULTA,2007-11-01,32.73,33.5,32.14,33.5,453876,ULTA
ULTA,2007-11-02,32.42,32.97,31.52,32.74,275937,ULTA
ULTA,2007-11-05,31.5,32.25,31.11,31.61,342379,ULTA
ULTA,2007-11-06,31.43,31.9,31.35,31.51,223066,ULTA
ULTA,2007-11-07,29.35,31.3,29.25,31.3,525585,ULTA
ULTA,2007-11-08,30.0,30.15,29.25,29.25,411088,ULTA
ULTA,2007-11-09,29.9,30.08,29.06,29.65,213304,ULTA
ULTA,2007-11-12,29.04,31.16,29.04,29.67,112874,ULTA
ULTA,2007-11-13,29.13,30.0,28.41,29.3,236667,ULTA
ULTA,2007-11-14,29.95,30.25,29.1,29.16,244425,ULTA
ULTA,2007-11-15,30.2,30.69,29.71,29.71,76798,ULTA
ULTA,2007-11-16,30.69,30.7,30.0,30.2,88818,ULTA
ULTA,2007-11-19,29.19,30.69,28.75,30.05,238207,ULTA
ULTA,2007-11-20,27.0,29.72,25.26,29.71,742895,ULTA
ULTA,2007-11-21,24.35,26.41,23.26,26.33,810361,ULTA
ULTA,2007-11-22,24.35,26.41,23.26,26.33,0,ULTA
ULTA,2007-11-23,24.17,24.24,22.85,23.74,100153,ULTA
ULTA,2007-11-26,24.2,25.33,24.0,24.77,233800,ULTA
ULTA,2007-11-27,23.87,25.0,23.8,24.44,211115,ULTA
ULTA,2007-11-28,24.85,25.31,24.2,24.47,417363,ULTA
ULTA,2007-11-29,24.79,25.02,24.19,24.49,341654,ULTA
ULTA,2007-11-30,25.74,26.23,24.76,25.0,199068,ULTA
ULTA,2007-12-03,26.3,26.75,25.55,25.98,319191,ULTA
ULTA,2007-12-04,25.85,26.66,25.73,26.29,180419,ULTA
ULTA,2007-12-05,26.54,26.75,26.01,26.08,168430,ULTA
ULTA,2007-12-06,27.49,27.5,26.55,26.55,102070,ULTA
ULTA,2007-12-07,27.98,28.85,27.66,27.67,103190,ULTA
ULTA,2007-12-10,27.5,28.53,26.53,28.23,281467,ULTA
ULTA,2007-12-11,20.91,26.79,19.35,26.5,3591083,ULTA
ULTA,2007-12-12,19.55,21.85,18.41,21.12,1121328,ULTA
ULTA,2007-12-13,18.56,19.76,17.53,19.55,1190276,ULTA
ULTA,2007-12-14,18.55,18.7,18.1,18.7,173455,ULTA
ULTA,2007-12-17,17.86,18.6,17.41,18.6,161501,ULTA
ULTA,2007-12-18,17.7,18.0,17.12,18.0,220884,ULTA
ULTA,2007-12-19,17.75,17.92,17.1,17.81,143351,ULTA
ULTA,2007-12-20,16.75,17.75,16.5,17.75,252612,ULTA
ULTA,2007-12-21,16.58,17.15,15.6,17.0,1079870,ULTA
ULTA,2007-12-24,16.8,16.83,16.2336,16.74,189595,ULTA
ULTA,2007-12-25,16.8,16.83,16.2336,16.74,0,ULTA
ULTA,2007-12-26,17.35,17.95,16.41,16.7,270613,ULTA
ULTA,2007-12-27,17.27,17.45,17.0,17.25,123358,ULTA
ULTA,2007-12-28,17.1,17.48,16.9,17.26,236445,ULTA
ULTA,2007-12-31,17.15,17.35,16.88,17.0,515246,ULTA
ULTA,2008-01-01,17.15,17.35,16.88,17.0,0,ULTA
ULTA,2008-01-02,16.55,17.1,16.23,17.0,213031,ULTA
ULTA,2008-01-03,15.5,16.86,15.05,16.24,296493,ULTA
ULTA,2008-01-04,14.49,15.75,14.49,15.75,334323,ULTA
ULTA,2008-01-07,12.52,14.75,11.83,14.56,993206,ULTA
ULTA,2008-01-08,13.55,13.75,12.35,12.8,703928,ULTA
ULTA,2008-01-09,14.5,14.5,13.39,13.49,1019744,ULTA
ULTA,2008-01-10,16.07,16.26,14.35,14.35,1232662,ULTA
ULTA,2008-01-11,15.8,16.0,15.21,15.7,417765,ULTA
