Symbol,Date,Close,High,Low,Open,Volume,Name
VAR,1998-05-29,4.8197,4.8885,4.8137,4.8137,7006921,VAR
VAR,1998-06-01,4.7197,4.8703,4.7197,4.8197,5225500,VAR
VAR,1998-06-02,4.7389,4.751,4.6884,4.7197,4892969,VAR
VAR,1998-06-03,4.7238,4.7803,4.7046,4.748,5676794,VAR
VAR,1998-06-04,4.7106,4.7298,4.6985,4.7238,2430649,VAR
VAR,1998-06-05,4.6924,4.7298,4.6924,4.7167,3341153,VAR
VAR,1998-06-08,4.6985,4.748,4.6924,4.6924,1836842,VAR
VAR,1998-06-09,4.6854,4.7106,4.6601,4.6854,2779016,VAR
VAR,1998-06-10,4.6854,4.6985,4.6793,4.6985,6468536,VAR
VAR,1998-06-11,4.5853,4.6793,4.5722,4.6732,2121870,VAR
VAR,1998-06-12,4.4843,4.5975,4.4722,4.5975,2557328,VAR
VAR,1998-06-15,4.4156,4.5095,4.4156,4.4843,4370418,VAR
VAR,1998-06-16,4.3964,4.4277,4.3711,4.4156,5985573,VAR
VAR,1998-06-17,4.3782,4.4035,4.3782,4.3843,3024456,VAR
VAR,1998-06-18,4.3085,4.3529,4.3024,4.3529,3135300,VAR
VAR,1998-06-19,4.1892,4.2711,4.1892,4.2711,5082987,VAR
VAR,1998-06-22,4.1387,4.1579,4.0579,4.0579,4536684,VAR
VAR,1998-06-23,4.1145,4.164,4.0953,4.1205,5154244,VAR
VAR,1998-06-24,4.0387,4.1327,4.0326,4.1205,5478858,VAR
VAR,1998-06-25,3.9882,4.0639,3.97,4.0508,10292653,VAR
VAR,1998-06-26,4.0013,4.0074,3.9882,3.9882,4227905,VAR
VAR,1998-06-29,3.9063,4.0134,3.8568,4.0074,12240340,VAR
VAR,1998-06-30,3.9195,4.07,3.9195,4.0074,36483497,VAR
VAR,1998-07-01,3.8568,3.9447,3.8376,3.9316,10245148,VAR
VAR,1998-07-02,3.8376,3.8507,3.7184,3.8315,5478858,VAR
VAR,1998-07-03,3.8376,3.8507,3.7184,3.8315,0,VAR
VAR,1998-07-06,3.9568,3.9568,3.9063,3.9063,5779720,VAR
VAR,1998-07-07,4.0134,4.0195,3.9821,3.9821,4639611,VAR
VAR,1998-07-08,3.9508,4.0134,3.9316,4.0134,5265088,VAR
VAR,1998-07-09,3.8689,3.976,3.8689,3.9447,5241335,VAR
VAR,1998-07-10,3.8568,3.875,3.8568,3.8689,6587298,VAR
VAR,1998-07-13,3.8437,3.8689,3.8315,3.8689,2517741,VAR
VAR,1998-07-14,3.8184,3.8851,3.8184,3.8568,4085391,VAR
VAR,1998-07-15,3.8568,3.9003,3.8184,3.8184,5241335,VAR
VAR,1998-07-16,4.0074,4.0326,3.8568,3.8689,14631402,VAR
