Symbol,Date,Close,High,Low,Open,Volume,Name
VIAB,2005-12-05,42.8,43.1,40.5,40.5,905200,VIAB
VIAB,2005-12-06,44.39,44.39,42.95,42.95,850400,VIAB
VIAB,2005-12-07,44.9,44.95,44.28,44.28,870900,VIAB
VIAB,2005-12-08,43.9,44.9,43.5,44.9,965300,VIAB
VIAB,2005-12-09,43.65,44.25,42.83,44.1,908500,VIAB
VIAB,2005-12-12,43.52,44.2,43.45,43.5,752200,VIAB
VIAB,2005-12-13,43.9,44.24,43.3,43.45,143700,VIAB
VIAB,2005-12-14,43.9,44.18,43.67,43.91,164300,VIAB
VIAB,2005-12-15,42.91,43.8,42.88,43.8,180400,VIAB
VIAB,2005-12-16,43.19,43.19,42.79,43.0,147000,VIAB
VIAB,2005-12-19,42.58,43.1,42.41,43.1,276300,VIAB
VIAB,2005-12-20,42.0,42.58,41.85,42.58,760000,VIAB
VIAB,2005-12-21,41.83,42.44,41.8,42.1,401500,VIAB
VIAB,2005-12-22,41.55,41.98,41.38,41.98,388000,VIAB
VIAB,2005-12-23,41.45,41.59,41.25,41.59,625900,VIAB
VIAB,2005-12-26,41.45,41.59,41.25,41.59,0,VIAB
VIAB,2005-12-27,40.34,41.45,40.2,41.45,491600,VIAB
VIAB,2005-12-28,40.26,40.4,39.94,40.24,908400,VIAB
VIAB,2005-12-29,39.95,40.6,39.82,40.25,660100,VIAB
VIAB,2005-12-30,41.15,41.15,39.78,39.95,3564700,VIAB
VIAB,2006-01-02,41.15,41.15,39.78,39.95,0,VIAB
VIAB,2006-01-03,41.59,42.1,38.65,41.12,6386400,VIAB
VIAB,2006-01-04,41.98,42.2,41.68,41.78,5933600,VIAB
VIAB,2006-01-05,42.25,42.42,41.75,41.87,5464700,VIAB
VIAB,2006-01-06,42.65,42.95,42.34,42.4,5452300,VIAB
VIAB,2006-01-09,42.5,42.84,42.39,42.67,5034500,VIAB
VIAB,2006-01-10,42.4,42.51,41.53,42.25,4903500,VIAB
VIAB,2006-01-11,41.81,42.4,41.64,42.35,4988900,VIAB
VIAB,2006-01-12,41.65,42.58,41.13,42.58,5939900,VIAB
VIAB,2006-01-13,42.18,42.26,41.46,41.58,4716300,VIAB
VIAB,2006-01-16,42.18,42.26,41.46,41.58,0,VIAB
VIAB,2006-01-17,41.7,42.15,41.61,41.86,4281200,VIAB
VIAB,2006-01-18,41.74,41.88,41.12,41.7,3170600,VIAB
VIAB,2006-01-19,42.77,42.9,41.83,41.95,3552600,VIAB
VIAB,2006-01-20,42.45,42.72,42.41,42.7,3848300,VIAB
VIAB,2006-01-23,43.15,43.23,42.27,42.45,3754000,VIAB
VIAB,2006-01-24,43.46,43.55,43.03,43.22,3681500,VIAB
VIAB,2006-01-25,43.28,43.8,43.09,43.48,3743600,VIAB
VIAB,2006-01-26,43.1,43.85,42.83,43.5,2458400,VIAB
VIAB,2006-01-27,43.59,43.59,43.1,43.1,2552500,VIAB
VIAB,2006-01-30,42.55,43.34,42.43,43.27,2643800,VIAB
VIAB,2006-01-31,41.48,42.57,41.43,42.55,3598700,VIAB
VIAB,2006-02-01,42.09,42.15,41.32,41.33,3455200,VIAB
VIAB,2006-02-02,41.77,42.33,41.41,42.17,2702500,VIAB
VIAB,2006-02-03,41.99,42.08,41.52,41.52,2845900,VIAB
VIAB,2006-02-06,41.88,42.24,41.86,41.99,2441700,VIAB
VIAB,2006-02-07,42.36,42.36,41.85,41.95,3278800,VIAB
VIAB,2006-02-08,42.5,42.51,41.41,41.8,2953400,VIAB
VIAB,2006-02-09,42.85,42.89,42.2,42.38,2463200,VIAB
VIAB,2006-02-10,42.95,43.1,42.62,42.85,2514200,VIAB
VIAB,2006-02-13,42.77,42.89,42.51,42.85,1836500,VIAB
VIAB,2006-02-14,43.19,43.44,42.51,42.77,2196900,VIAB
VIAB,2006-02-15,43.4,43.5,42.8,43.0,1790800,VIAB
VIAB,2006-02-16,43.6,43.9,43.01,43.5,2486700,VIAB
VIAB,2006-02-17,42.92,43.68,42.9,43.61,2275600,VIAB
VIAB,2006-02-20,42.92,43.68,42.9,43.61,0,VIAB
VIAB,2006-02-21,42.42,42.8,42.22,42.8,1930600,VIAB
VIAB,2006-02-22,41.9,42.47,41.52,42.45,2887900,VIAB
VIAB,2006-02-23,40.96,41.845,40.47,41.35,5607000,VIAB
VIAB,2006-02-24,40.16,40.76,39.87,40.75,5550600,VIAB
