Symbol,Date,Close,High,Low,Open,Volume,Name
VLO,1998-05-29,8.157,8.235,8.141,8.19,1068400,VLO
VLO,1998-06-01,8.063,8.188,8.063,8.1,1211200,VLO
VLO,1998-06-02,8.11,8.219,8.11,8.13,234400,VLO
VLO,1998-06-03,8.235,8.25,8.125,8.13,605200,VLO
VLO,1998-06-04,8.547,8.547,8.172,8.172,831200,VLO
VLO,1998-06-05,8.75,8.829,8.5,8.52,1634000,VLO
VLO,1998-06-08,8.672,8.719,8.594,8.719,760000,VLO
VLO,1998-06-09,8.25,8.625,8.11,8.625,3284400,VLO
VLO,1998-06-10,8.141,8.282,8.125,8.19,1256400,VLO
VLO,1998-06-11,7.891,8.141,7.891,8.13,1386400,VLO
VLO,1998-06-12,7.954,8.016,7.891,7.891,1940000,VLO
VLO,1998-06-15,7.844,7.954,7.829,7.95,714800,VLO
VLO,1998-06-16,8.047,8.079,7.844,7.844,1149200,VLO
VLO,1998-06-17,8.0,8.11,8.0,8.08,586800,VLO
VLO,1998-06-18,7.954,8.016,7.907,8.016,808800,VLO
VLO,1998-06-19,7.938,7.969,7.907,7.94,731200,VLO
VLO,1998-06-22,7.938,8.016,7.922,7.97,754800,VLO
VLO,1998-06-23,7.954,8.016,7.954,7.97,1010400,VLO
VLO,1998-06-24,8.016,8.094,7.938,8.0,491200,VLO
VLO,1998-06-25,7.969,8.047,7.938,8.03,458400,VLO
VLO,1998-06-26,8.094,8.11,7.969,8.02,998000,VLO
VLO,1998-06-29,8.219,8.25,8.094,8.1,1042800,VLO
VLO,1998-06-30,8.313,8.36,8.188,8.2,1063200,VLO
VLO,1998-07-01,8.344,8.454,8.344,8.38,565200,VLO
VLO,1998-07-02,8.219,8.344,8.219,8.344,1123200,VLO
VLO,1998-07-03,8.219,8.344,8.219,8.344,0,VLO
VLO,1998-07-06,8.141,8.219,8.141,8.219,228800,VLO
VLO,1998-07-07,8.0,8.157,7.985,8.14,428800,VLO
VLO,1998-07-08,7.875,8.032,7.813,8.03,627200,VLO
VLO,1998-07-09,7.782,7.875,7.75,7.875,672800,VLO
VLO,1998-07-10,7.579,7.782,7.579,7.78,895200,VLO
VLO,1998-07-13,7.563,7.641,7.563,7.57,372400,VLO
VLO,1998-07-14,7.422,7.516,7.282,7.51,1612000,VLO
VLO,1998-07-15,7.36,7.5,7.344,7.41,707200,VLO
VLO,1998-07-16,7.25,7.375,7.235,7.375,867600,VLO
VLO,1998-07-17,7.172,7.282,7.157,7.25,775200,VLO
VLO,1998-07-20,6.766,7.172,6.766,7.172,814400,VLO
VLO,1998-07-21,6.625,6.938,6.563,6.938,1114000,VLO
VLO,1998-07-22,6.719,6.735,6.5,6.63,838800,VLO
VLO,1998-07-23,6.813,6.829,6.5,6.76,2017599,VLO
VLO,1998-07-24,6.61,6.75,6.594,6.75,864000,VLO
VLO,1998-07-27,6.329,6.579,6.313,6.57,710000,VLO
VLO,1998-07-28,6.0,6.266,6.0,6.16,3067600,VLO
VLO,1998-07-29,6.016,6.094,6.0,6.03,1832000,VLO
VLO,1998-07-30,6.063,6.141,6.016,6.07,2630800,VLO
VLO,1998-07-31,5.985,6.094,5.969,6.09,1282000,VLO
VLO,1998-08-03,6.0,6.063,5.954,5.97,1216800,VLO
VLO,1998-08-04,5.782,6.032,5.782,6.03,1586400,VLO
VLO,1998-08-05,5.532,5.782,5.532,5.78,782000,VLO
VLO,1998-08-06,5.625,5.657,5.407,5.41,1194400,VLO
VLO,1998-08-07,5.625,5.704,5.516,5.59,1366400,VLO
VLO,1998-08-10,5.672,5.672,5.516,5.63,831600,VLO
VLO,1998-08-11,5.61,5.657,5.5,5.63,1232800,VLO
VLO,1998-08-12,5.594,5.75,5.594,5.64,1662000,VLO
VLO,1998-08-13,5.25,5.625,5.047,5.625,1935600,VLO
VLO,1998-08-14,5.344,5.5,5.313,5.38,1635600,VLO
VLO,1998-08-17,5.391,5.422,5.344,5.344,285600,VLO
VLO,1998-08-18,5.36,5.5,5.329,5.38,546800,VLO
VLO,1998-08-19,5.657,5.657,5.407,5.41,819600,VLO
VLO,1998-08-20,5.7656,5.7656,5.6406,5.6875,980000,VLO
VLO,1998-08-21,5.563,5.75,5.469,5.74,582400,VLO
VLO,1998-08-24,5.329,5.563,5.297,5.563,334000,VLO
VLO,1998-08-25,5.422,5.454,5.329,5.34,629600,VLO
VLO,1998-08-26,5.329,5.547,5.282,5.547,2328400,VLO
VLO,1998-08-27,5.047,5.297,5.032,5.297,898400,VLO
VLO,1998-08-28,4.641,5.094,4.641,5.07,1926400,VLO
VLO,1998-08-31,4.469,4.75,4.469,4.69,1021600,VLO
VLO,1998-09-01,4.563,4.594,4.407,4.5,1948000,VLO
VLO,1998-09-02,4.657,4.75,4.563,4.57,631200,VLO
VLO,1998-09-03,4.891,4.891,4.563,4.57,817600,VLO
VLO,1998-09-04,4.829,4.907,4.782,4.89,482800,VLO
VLO,1998-09-07,4.829,4.907,4.782,4.89,0,VLO
VLO,1998-09-08,5.0,5.063,4.969,5.063,2080800,VLO
VLO,1998-09-09,4.86,4.985,4.86,4.94,934000,VLO
VLO,1998-09-10,4.75,4.86,4.75,4.86,938800,VLO
VLO,1998-09-11,4.954,4.954,4.75,4.75,830800,VLO
VLO,1998-09-14,5.11,5.125,5.0,5.0,697200,VLO
VLO,1998-09-15,5.125,5.125,4.954,5.07,947600,VLO
VLO,1998-09-16,5.204,5.282,5.157,5.16,593200,VLO
VLO,1998-09-17,5.141,5.157,5.032,5.14,845600,VLO
VLO,1998-09-18,5.188,5.219,5.125,5.14,772800,VLO
VLO,1998-09-21,5.032,5.079,5.032,5.032,636800,VLO
VLO,1998-09-22,4.985,5.047,4.969,5.047,392800,VLO
