Symbol,Date,Close,High,Low,Open,Volume,Name
VMC,1998-05-29,37.833,38.479,37.792,38.09,44100,VMC
VMC,1998-06-01,37.896,38.25,37.5,37.61,181800,VMC
VMC,1998-06-02,37.896,38.063,37.688,37.86,42900,VMC
VMC,1998-06-03,38.0,38.188,37.875,37.92,134100,VMC
VMC,1998-06-04,38.188,38.208,38.0,38.188,148500,VMC
VMC,1998-06-05,37.958,38.375,37.833,38.17,239400,VMC
VMC,1998-06-08,37.958,38.125,37.729,38.09,53700,VMC
VMC,1998-06-09,37.354,37.729,37.125,37.63,156000,VMC
VMC,1998-06-10,37.271,37.646,37.229,37.3,231000,VMC
VMC,1998-06-11,37.25,37.417,37.167,37.23,523499,VMC
VMC,1998-06-12,37.333,37.542,37.125,37.21,194100,VMC
VMC,1998-06-15,37.021,37.313,36.917,37.13,225900,VMC
VMC,1998-06-16,37.0,37.167,36.917,37.07,188700,VMC
VMC,1998-06-17,38.167,38.458,37.083,38.167,185100,VMC
VMC,1998-06-18,37.792,38.458,37.594,38.34,119100,VMC
VMC,1998-06-19,36.75,37.333,36.646,37.3,188400,VMC
VMC,1998-06-22,36.813,37.083,36.667,36.8,121200,VMC
VMC,1998-06-23,35.896,36.479,35.646,36.44,249300,VMC
VMC,1998-06-24,35.0,35.75,34.917,35.71,299100,VMC
VMC,1998-06-25,34.958,35.208,34.833,35.05,203100,VMC
VMC,1998-06-26,35.042,35.313,34.917,35.042,232800,VMC
VMC,1998-06-29,35.667,36.0,35.021,35.667,215400,VMC
VMC,1998-06-30,35.563,35.958,35.521,35.63,384000,VMC
VMC,1998-07-01,36.396,36.417,35.646,36.396,154200,VMC
VMC,1998-07-02,36.25,36.542,36.125,36.36,112200,VMC
VMC,1998-07-03,36.25,36.542,36.125,36.36,0,VMC
VMC,1998-07-06,36.771,36.875,36.333,36.771,98700,VMC
VMC,1998-07-07,36.792,37.063,36.771,36.792,72900,VMC
VMC,1998-07-08,36.458,36.958,36.417,36.76,85200,VMC
VMC,1998-07-09,36.708,36.792,36.375,36.708,123000,VMC
VMC,1998-07-10,36.5,36.75,36.417,36.59,248400,VMC
VMC,1998-07-13,37.604,37.604,36.542,37.604,138000,VMC
VMC,1998-07-14,37.667,37.854,37.396,37.57,148800,VMC
VMC,1998-07-15,38.667,38.667,38.0,38.667,288900,VMC
VMC,1998-07-16,40.208,40.417,38.875,38.96,287100,VMC
VMC,1998-07-17,39.25,40.208,39.167,40.17,141300,VMC
VMC,1998-07-20,39.521,39.542,38.833,39.17,160500,VMC
VMC,1998-07-21,40.146,40.146,39.479,39.92,222900,VMC
VMC,1998-07-22,39.958,40.333,39.792,40.19,198600,VMC
VMC,1998-07-23,39.188,39.896,38.792,39.84,217800,VMC
VMC,1998-07-24,38.979,39.271,38.875,39.23,41100,VMC
VMC,1998-07-27,38.792,39.083,38.354,38.94,172200,VMC
VMC,1998-07-28,38.479,38.917,38.396,38.75,189600,VMC
VMC,1998-07-29,38.208,38.646,38.167,38.52,215100,VMC
VMC,1998-07-30,38.688,38.75,37.917,38.03,199800,VMC
VMC,1998-07-31,38.333,38.854,38.042,38.56,201600,VMC
VMC,1998-08-03,38.208,38.938,38.188,38.29,259500,VMC
VMC,1998-08-04,37.104,38.292,37.104,38.26,167100,VMC
VMC,1998-08-05,37.917,37.938,36.583,36.92,293700,VMC
VMC,1998-08-06,39.417,39.542,37.938,37.9754,209700,VMC
VMC,1998-08-07,40.604,40.729,39.5,39.5395,243300,VMC
VMC,1998-08-10,40.479,40.75,40.354,40.48,165600,VMC
VMC,1998-08-11,39.542,40.208,39.375,40.17,247800,VMC
VMC,1998-08-12,39.479,40.333,39.438,39.75,187200,VMC
VMC,1998-08-13,38.583,39.563,38.583,39.52,183900,VMC
VMC,1998-08-14,38.771,38.792,38.292,38.63,201900,VMC
VMC,1998-08-17,38.958,39.083,38.771,38.8096,315000,VMC
VMC,1998-08-18,38.875,39.125,38.875,39.09,330000,VMC
VMC,1998-08-19,38.813,39.083,38.771,38.92,227400,VMC
VMC,1998-08-20,38.521,38.813,38.5,38.77,212400,VMC
VMC,1998-08-21,37.938,38.438,37.292,38.4,189300,VMC
VMC,1998-08-24,38.667,39.0,37.917,37.917,129000,VMC
VMC,1998-08-25,39.583,39.958,38.708,38.79,249900,VMC
VMC,1998-08-26,39.083,39.292,38.917,39.13,150600,VMC
VMC,1998-08-27,38.021,39.104,37.917,39.06,137100,VMC
VMC,1998-08-28,37.625,38.375,37.521,37.98,216000,VMC
VMC,1998-08-31,37.167,38.146,37.167,37.59,231600,VMC
VMC,1998-09-01,37.417,37.5,37.063,37.3,210000,VMC
VMC,1998-09-02,37.479,37.708,37.375,37.46,116700,VMC
VMC,1998-09-03,36.646,37.438,36.583,37.4,196800,VMC
VMC,1998-09-04,36.458,36.833,36.125,36.61,127500,VMC
VMC,1998-09-07,36.458,36.833,36.125,36.61,0,VMC
VMC,1998-09-08,36.917,37.0,36.542,36.96,192000,VMC
VMC,1998-09-09,36.5,37.0,36.396,36.96,136200,VMC
VMC,1998-09-10,34.229,36.292,34.0,36.26,483600,VMC
VMC,1998-09-11,34.833,35.125,34.167,34.2,494400,VMC
VMC,1998-09-14,35.0,35.313,34.917,34.917,188400,VMC
VMC,1998-09-15,35.083,35.083,34.958,34.97,249000,VMC
VMC,1998-09-16,35.729,35.813,35.083,35.13,164100,VMC
VMC,1998-09-17,34.958,35.729,34.667,35.69,98100,VMC
VMC,1998-09-18,34.75,35.0,34.5,34.84,102900,VMC
VMC,1998-09-21,34.292,34.583,33.625,34.55,147000,VMC
VMC,1998-09-22,34.271,34.375,33.958,34.22,120000,VMC
VMC,1998-09-23,34.896,34.958,34.375,34.43,65100,VMC
VMC,1998-09-24,34.542,34.75,34.458,34.4928,105600,VMC
VMC,1998-09-25,34.667,34.813,34.25,34.3,143700,VMC
VMC,1998-09-28,34.708,34.75,34.313,34.63,168600,VMC
VMC,1998-09-29,34.042,34.708,34.021,34.59,240000,VMC
VMC,1998-09-30,34.0,34.042,33.667,33.93,298800,VMC
VMC,1998-10-01,32.771,33.5,32.188,33.34,383700,VMC
VMC,1998-10-02,32.375,32.938,32.188,32.74,312600,VMC
VMC,1998-10-05,32.25,32.458,31.333,32.43,416100,VMC
VMC,1998-10-06,32.146,32.542,31.813,32.3,159600,VMC
VMC,1998-10-07,33.0,33.167,32.229,32.2614,194400,VMC
VMC,1998-10-08,32.5,32.813,32.208,32.78,187800,VMC
VMC,1998-10-09,32.333,32.875,32.333,32.38,86700,VMC
VMC,1998-10-12,32.667,33.063,32.417,32.49,136500,VMC
VMC,1998-10-13,31.792,32.667,31.792,32.63,175200,VMC
VMC,1998-10-14,32.75,33.25,31.75,32.09,274800,VMC
VMC,1998-10-15,33.646,33.646,32.688,32.72,221400,VMC
VMC,1998-10-16,34.708,34.708,33.75,33.8,84000,VMC
VMC,1998-10-19,36.417,37.271,34.396,34.55,422100,VMC
VMC,1998-10-20,39.229,39.833,37.021,37.05,455700,VMC
VMC,1998-10-21,38.167,39.146,38.021,39.11,231600,VMC
VMC,1998-10-22,37.646,38.188,37.333,38.13,170100,VMC
VMC,1998-10-23,37.771,37.896,37.479,37.53,115800,VMC
VMC,1998-10-26,37.833,38.542,37.625,37.8,151800,VMC
VMC,1998-10-27,37.979,38.313,37.917,37.9546,117900,VMC
VMC,1998-10-28,38.229,38.271,37.792,37.86,45900,VMC
VMC,1998-10-29,39.208,39.313,38.146,38.3925,77700,VMC
VMC,1998-10-30,39.542,40.333,39.208,39.2475,116400,VMC
VMC,1998-11-02,39.667,40.229,39.583,39.59,173700,VMC
VMC,1998-11-03,40.021,40.25,39.25,39.29,141000,VMC
VMC,1998-11-04,41.042,41.042,40.104,40.1443,163500,VMC
VMC,1998-11-05,41.5,41.667,40.979,41.0,304200,VMC
VMC,1998-11-06,41.542,41.542,41.188,41.46,71100,VMC
VMC,1998-11-09,42.146,42.25,41.458,41.4998,145800,VMC
VMC,1998-11-10,41.979,42.0,41.417,41.77,126300,VMC
VMC,1998-11-11,41.542,42.375,41.542,41.89,125700,VMC
VMC,1998-11-12,41.979,42.0,41.417,41.59,126300,VMC
VMC,1998-11-13,40.896,41.583,40.5,41.46,90600,VMC
VMC,1998-11-16,41.708,41.854,40.417,40.86,111900,VMC
VMC,1998-11-17,41.646,42.0,41.438,41.63,71400,VMC
VMC,1998-11-18,42.479,42.646,41.708,41.75,91500,VMC
VMC,1998-11-19,43.188,43.229,42.479,42.5216,118500,VMC
VMC,1998-11-20,43.0,43.313,43.0,43.23,80700,VMC
VMC,1998-11-23,42.333,42.646,42.271,42.35,138000,VMC
VMC,1998-11-24,42.438,42.646,42.104,42.21,106800,VMC
VMC,1998-11-25,42.6467,42.6667,42.4567,42.52,0,VMC
VMC,1998-11-26,42.6467,42.6667,42.4567,42.52,0,VMC
VMC,1998-11-27,42.979,43.0,42.917,42.96,36000,VMC
VMC,1998-11-30,41.792,43.25,41.792,43.12,114300,VMC
VMC,1998-12-01,42.813,43.042,41.583,41.83,130200,VMC
VMC,1998-12-02,42.771,42.771,42.375,42.54,65400,VMC
VMC,1998-12-03,42.458,43.167,42.396,42.64,67800,VMC
VMC,1998-12-04,43.458,43.479,42.375,42.4174,79500,VMC
VMC,1998-12-07,43.979,43.979,43.375,43.46,103800,VMC
VMC,1998-12-08,44.063,44.667,43.896,43.94,76800,VMC
VMC,1998-12-09,43.646,44.063,43.458,44.02,75300,VMC
VMC,1998-12-10,43.625,44.063,43.625,43.73,116400,VMC
VMC,1998-12-11,42.833,43.583,42.771,43.54,42000,VMC
VMC,1998-12-14,42.229,42.583,42.042,42.12,80100,VMC
VMC,1998-12-15,42.292,42.5,42.271,42.334,91800,VMC
VMC,1998-12-16,41.271,42.292,41.271,42.25,116100,VMC
VMC,1998-12-17,40.583,41.417,40.542,41.23,354300,VMC
VMC,1998-12-18,41.0,41.188,39.75,39.7897,363600,VMC
VMC,1998-12-21,42.438,42.458,41.167,41.2078,139200,VMC
VMC,1998-12-22,42.0,42.583,42.0,42.31,193500,VMC
VMC,1998-12-23,41.979,42.104,41.688,42.0,35100,VMC
VMC,1998-12-24,41.938,42.083,41.854,41.96,6000,VMC
VMC,1998-12-25,41.938,42.083,41.854,41.96,0,VMC
VMC,1998-12-28,41.646,41.854,41.542,41.81,58800,VMC
VMC,1998-12-29,41.792,41.813,41.5,41.64,64800,VMC
VMC,1998-12-30,41.771,41.875,41.542,41.75,108900,VMC
VMC,1998-12-31,43.854,43.875,41.667,41.73,224700,VMC
VMC,1999-01-01,43.854,43.875,41.667,41.73,0,VMC
VMC,1999-01-04,44.563,45.125,43.208,43.81,326400,VMC
VMC,1999-01-05,43.583,44.563,43.208,44.52,222600,VMC
VMC,1999-01-06,43.333,43.917,43.125,43.87,111600,VMC
VMC,1999-01-07,42.771,43.375,42.771,43.29,100800,VMC
VMC,1999-01-08,43.146,43.188,42.542,42.81,130200,VMC
VMC,1999-01-11,43.313,43.313,43.0,43.1,410100,VMC
VMC,1999-01-12,43.208,43.479,42.313,43.27,723000,VMC
VMC,1999-01-13,43.354,43.458,43.0,43.043,165900,VMC
VMC,1999-01-14,43.875,44.0,43.25,43.33,206700,VMC
VMC,1999-01-15,43.771,44.042,43.479,43.92,77100,VMC
VMC,1999-01-18,43.771,44.042,43.479,43.92,0,VMC
VMC,1999-01-19,44.167,45.229,43.729,44.0,170400,VMC
VMC,1999-01-20,44.521,44.521,43.875,44.33,173700,VMC
