Symbol,Date,Close,High,Low,Open,Volume,Name
WAT,1998-05-29,14.563,14.782,14.485,14.78,602800,WAT
WAT,1998-06-01,14.563,14.594,14.485,14.594,406000,WAT
WAT,1998-06-02,14.875,14.875,14.532,14.532,488800,WAT
WAT,1998-06-03,14.766,15.079,14.75,14.91,263200,WAT
WAT,1998-06-04,15.047,15.094,14.704,14.704,1021200,WAT
WAT,1998-06-05,15.313,15.313,15.032,15.032,864400,WAT
WAT,1998-06-08,15.563,15.625,15.344,15.38,360000,WAT
WAT,1998-06-09,15.719,15.719,15.438,15.5,738000,WAT
WAT,1998-06-10,15.438,15.657,15.282,15.657,300400,WAT
WAT,1998-06-11,15.188,15.313,15.157,15.31,566400,WAT
WAT,1998-06-12,15.11,15.391,14.985,15.25,473200,WAT
WAT,1998-06-15,14.844,15.172,14.844,15.11,315600,WAT
WAT,1998-06-16,14.704,14.875,14.672,14.85,388400,WAT
WAT,1998-06-17,14.625,14.797,14.625,14.74,457600,WAT
WAT,1998-06-18,14.61,14.657,14.438,14.64,980800,WAT
WAT,1998-06-19,14.532,14.61,14.454,14.6,394000,WAT
WAT,1998-06-22,14.954,14.985,14.516,14.53,461600,WAT
WAT,1998-06-23,15.0,15.125,14.922,14.922,551600,WAT
WAT,1998-06-24,15.407,15.454,15.094,15.1,366400,WAT
WAT,1998-06-25,15.032,15.469,14.938,15.38,209600,WAT
WAT,1998-06-26,14.813,15.016,14.813,15.0,360400,WAT
WAT,1998-06-29,14.75,14.844,14.594,14.75,528000,WAT
WAT,1998-06-30,14.735,14.844,14.657,14.81,481600,WAT
WAT,1998-07-01,15.016,15.094,14.782,14.782,298400,WAT
WAT,1998-07-02,15.157,15.204,15.0,15.0,462400,WAT
WAT,1998-07-03,15.157,15.204,15.0,15.0,0,WAT
WAT,1998-07-06,15.579,15.688,15.188,15.19,452000,WAT
WAT,1998-07-07,16.219,16.344,15.641,15.641,1002000,WAT
WAT,1998-07-08,16.047,16.594,15.907,16.25,780800,WAT
WAT,1998-07-09,16.047,16.063,15.813,16.0,306000,WAT
WAT,1998-07-10,16.016,16.11,16.0,16.02,412800,WAT
WAT,1998-07-13,16.25,16.297,16.0,16.02,397600,WAT
WAT,1998-07-14,16.532,16.688,16.188,16.38,1094000,WAT
WAT,1998-07-15,16.688,16.813,16.454,16.59,389600,WAT
WAT,1998-07-16,17.0,17.016,16.625,16.67,457600,WAT
WAT,1998-07-17,16.954,17.0,16.688,17.0,164000,WAT
WAT,1998-07-20,16.844,17.079,16.75,16.99,320400,WAT
WAT,1998-07-21,16.391,16.875,16.375,16.86,284000,WAT
WAT,1998-07-22,15.813,16.391,15.704,16.39,1305600,WAT
WAT,1998-07-23,15.844,16.047,15.75,15.88,694800,WAT
WAT,1998-07-24,15.813,15.969,15.719,15.969,712400,WAT
WAT,1998-07-27,15.688,15.782,15.688,15.78,794000,WAT
WAT,1998-07-28,16.063,16.25,16.063,16.09,915600,WAT
WAT,1998-07-29,16.188,16.235,16.0,16.09,411600,WAT
WAT,1998-07-30,16.063,16.235,16.063,16.235,412800,WAT
WAT,1998-07-31,15.969,16.235,15.938,16.09,560800,WAT
WAT,1998-08-03,15.735,16.0,15.704,15.99,629200,WAT
WAT,1998-08-04,15.266,15.829,15.235,15.74,608000,WAT
WAT,1998-08-05,14.625,15.266,14.438,15.266,890000,WAT
WAT,1998-08-06,14.766,14.829,14.438,14.69,335600,WAT
WAT,1998-08-07,14.969,15.157,14.829,14.83,884800,WAT
WAT,1998-08-10,15.282,15.329,14.907,15.03,503200,WAT
WAT,1998-08-11,14.938,15.032,14.813,15.03,283200,WAT
WAT,1998-08-12,14.985,15.063,14.938,14.97,340000,WAT
WAT,1998-08-13,14.844,15.0,14.829,15.0,95200,WAT
WAT,1998-08-14,14.829,14.938,14.782,14.85,117200,WAT
WAT,1998-08-17,15.141,15.157,14.532,14.8,366800,WAT
WAT,1998-08-18,15.625,15.657,15.313,15.39,416000,WAT
WAT,1998-08-19,16.094,16.172,15.657,15.66,805200,WAT
WAT,1998-08-20,15.985,16.125,15.907,16.03,508000,WAT
WAT,1998-08-21,15.797,16.0,15.547,15.99,464800,WAT
WAT,1998-08-24,16.063,16.157,15.766,15.77,322800,WAT
WAT,1998-08-25,16.0,16.219,16.0,16.19,716400,WAT
WAT,1998-08-26,16.0,16.157,15.907,16.06,436000,WAT
WAT,1998-08-27,15.5,15.938,15.5,15.938,650800,WAT
WAT,1998-08-28,14.407,15.5,14.25,15.5,1138400,WAT
WAT,1998-08-31,13.469,14.438,13.344,14.41,571600,WAT
WAT,1998-09-01,14.125,14.125,13.094,13.5,721200,WAT
WAT,1998-09-02,14.938,15.125,14.063,14.063,616000,WAT
WAT,1998-09-03,14.625,15.032,14.625,14.81,907200,WAT
WAT,1998-09-04,14.532,14.688,14.407,14.56,503200,WAT
WAT,1998-09-07,14.532,14.688,14.407,14.56,0,WAT
WAT,1998-09-08,15.547,15.75,14.594,14.6,998400,WAT
WAT,1998-09-09,15.407,15.563,14.938,15.49,1244000,WAT
WAT,1998-09-10,15.407,15.657,15.079,15.41,1353600,WAT
WAT,1998-09-11,15.75,15.75,15.344,15.35,709200,WAT
WAT,1998-09-14,15.969,16.094,15.75,15.75,490000,WAT
WAT,1998-09-15,15.5,15.938,15.438,15.938,662800,WAT
WAT,1998-09-16,15.938,15.938,15.5,15.5,446800,WAT
WAT,1998-09-17,15.688,16.032,15.688,15.88,794800,WAT
WAT,1998-09-18,15.641,15.782,15.594,15.66,162000,WAT
WAT,1998-09-21,15.375,15.579,15.344,15.579,259200,WAT
WAT,1998-09-22,15.625,15.735,15.36,15.36,659600,WAT
WAT,1998-09-23,16.407,16.5,15.688,15.69,966400,WAT
WAT,1998-09-24,16.5,16.813,16.438,16.5,383200,WAT
WAT,1998-09-25,16.438,16.469,16.25,16.25,110000,WAT
WAT,1998-09-28,16.25,16.375,16.125,16.375,738000,WAT
WAT,1998-09-29,16.625,16.657,16.282,16.38,177200,WAT
WAT,1998-09-30,16.75,16.75,16.235,16.58,598400,WAT
WAT,1998-10-01,16.36,16.61,16.032,16.61,637200,WAT
WAT,1998-10-02,16.438,16.438,16.094,16.33,374000,WAT
WAT,1998-10-05,15.719,16.719,15.657,16.44,671200,WAT
WAT,1998-10-06,15.36,15.875,15.0,15.78,474400,WAT
WAT,1998-10-07,14.25,15.25,13.282,15.25,1300800,WAT
WAT,1998-10-08,14.485,14.61,13.657,14.28,920800,WAT
WAT,1998-10-09,14.375,14.657,14.25,14.49,576400,WAT
WAT,1998-10-12,14.532,14.75,14.391,14.391,751200,WAT
WAT,1998-10-13,14.375,14.563,14.329,14.53,213200,WAT
WAT,1998-10-14,14.672,14.688,14.329,14.38,411200,WAT
WAT,1998-10-15,15.25,15.25,14.657,14.67,256000,WAT
WAT,1998-10-16,15.266,15.438,15.016,15.31,457200,WAT
WAT,1998-10-19,15.391,15.532,15.063,15.27,562800,WAT
WAT,1998-10-20,16.282,16.625,15.563,15.563,596800,WAT
WAT,1998-10-21,15.375,16.25,15.0,16.25,651200,WAT
WAT,1998-10-22,16.125,16.344,15.375,15.41,1140000,WAT
WAT,1998-10-23,16.016,16.125,15.844,16.0,280000,WAT
WAT,1998-10-26,16.625,16.625,16.0,16.06,184000,WAT
WAT,1998-10-27,17.344,17.75,16.75,17.0,1985600,WAT
WAT,1998-10-28,17.5,17.641,17.344,17.53,276800,WAT
WAT,1998-10-29,18.032,18.407,17.5,17.5,492400,WAT
WAT,1998-10-30,17.938,18.469,17.938,18.0,928800,WAT
WAT,1998-11-02,19.094,19.094,18.438,18.44,2498000,WAT
WAT,1998-11-03,18.938,19.219,18.688,19.16,559200,WAT
WAT,1998-11-04,18.688,18.938,18.5,18.938,934000,WAT
WAT,1998-11-05,18.829,18.829,18.5,18.5,598000,WAT
WAT,1998-11-06,19.516,19.563,18.86,18.86,790800,WAT
WAT,1998-11-09,19.407,19.579,19.032,19.579,385600,WAT
WAT,1998-11-10,19.422,19.563,18.875,19.31,888000,WAT
WAT,1998-11-11,19.5,19.547,19.266,19.49,713600,WAT
WAT,1998-11-12,19.422,19.563,18.875,19.38,888000,WAT
WAT,1998-11-13,19.625,19.969,19.469,19.91,768000,WAT
WAT,1998-11-16,20.016,20.094,19.469,19.63,1229200,WAT
WAT,1998-11-17,20.0,20.0,19.719,20.0,285600,WAT
WAT,1998-11-18,19.797,20.219,19.797,20.0,596000,WAT
WAT,1998-11-19,20.079,20.125,19.688,19.74,367600,WAT
WAT,1998-11-20,20.313,20.5,20.094,20.14,732000,WAT
WAT,1998-11-23,20.688,20.75,20.188,20.28,364400,WAT
WAT,1998-11-24,19.282,20.688,19.188,20.688,1830800,WAT
WAT,1998-11-25,19.282,20.688,19.188,20.688,0,WAT
WAT,1998-11-26,19.282,20.688,19.188,20.688,0,WAT
WAT,1998-11-27,19.813,19.875,19.719,19.75,594400,WAT
WAT,1998-11-30,19.282,19.813,19.282,19.81,475200,WAT
WAT,1998-12-01,19.5,19.5,19.25,19.25,439600,WAT
WAT,1998-12-02,19.641,19.688,19.313,19.44,469600,WAT
WAT,1998-12-03,19.735,19.844,19.61,19.64,422000,WAT
WAT,1998-12-04,19.938,20.0,19.719,19.8,399200,WAT
WAT,1998-12-07,20.157,20.157,19.75,19.94,380400,WAT
WAT,1998-12-08,20.25,20.469,20.0,20.11,497600,WAT
WAT,1998-12-09,20.313,20.704,20.25,20.25,250800,WAT
WAT,1998-12-10,19.688,20.25,19.657,20.25,806800,WAT
WAT,1998-12-11,19.75,20.11,19.407,19.5,421200,WAT
WAT,1998-12-14,19.813,19.875,19.657,19.75,424000,WAT
WAT,1998-12-15,20.063,20.172,19.782,19.782,353200,WAT
WAT,1998-12-16,20.25,20.391,20.188,20.31,599600,WAT
WAT,1998-12-17,20.5,20.875,20.313,20.313,395200,WAT
WAT,1998-12-18,20.375,20.563,20.282,20.5,300800,WAT
WAT,1998-12-21,20.563,20.563,20.219,20.34,730000,WAT
WAT,1998-12-22,20.782,20.844,20.438,20.63,626000,WAT
WAT,1998-12-23,21.079,21.204,20.579,20.88,386000,WAT
WAT,1998-12-24,20.907,21.047,20.875,21.047,59600,WAT
WAT,1998-12-25,20.907,21.047,20.875,21.047,0,WAT
WAT,1998-12-28,20.625,20.969,20.625,20.969,216400,WAT
WAT,1998-12-29,20.657,20.704,20.547,20.66,200800,WAT
WAT,1998-12-30,21.094,21.094,20.563,20.63,233200,WAT
WAT,1998-12-31,21.813,21.875,21.11,21.16,378000,WAT
WAT,1999-01-01,21.813,21.875,21.11,21.16,0,WAT
WAT,1999-01-04,21.157,21.844,21.079,21.844,477600,WAT
WAT,1999-01-05,20.782,21.0,20.641,21.0,512000,WAT
WAT,1999-01-06,21.188,21.579,20.875,20.88,440400,WAT
