Symbol,Date,Close,High,Low,Open,Volume,Name
XEL,1998-05-29,28.438,28.469,27.938,27.94,327800,XEL
XEL,1998-06-01,29.063,29.313,28.407,28.47,269400,XEL
XEL,1998-06-02,29.063,29.938,28.875,29.5,532800,XEL
XEL,1998-06-03,28.813,29.25,28.688,29.19,206400,XEL
XEL,1998-06-04,29.0,29.063,28.75,28.88,183500,XEL
XEL,1998-06-05,29.063,29.375,28.875,29.19,290400,XEL
XEL,1998-06-08,28.875,29.313,28.75,29.25,299100,XEL
XEL,1998-06-09,28.813,28.875,28.625,28.81,444900,XEL
XEL,1998-06-10,29.188,29.5,28.688,28.75,443300,XEL
XEL,1998-06-11,29.25,29.375,28.813,29.25,142500,XEL
XEL,1998-06-12,29.438,29.5,28.875,29.25,162300,XEL
XEL,1998-06-15,28.813,29.438,28.813,29.438,274200,XEL
XEL,1998-06-16,29.125,29.125,28.813,28.94,307800,XEL
XEL,1998-06-17,29.188,29.313,28.875,29.25,408900,XEL
XEL,1998-06-18,28.75,29.125,28.75,29.0,693700,XEL
XEL,1998-06-19,28.688,28.813,28.25,28.25,333600,XEL
XEL,1998-06-22,28.938,29.125,28.688,28.81,299100,XEL
XEL,1998-06-23,28.625,29.063,28.625,29.06,145900,XEL
XEL,1998-06-24,28.438,28.75,28.375,28.63,186500,XEL
XEL,1998-06-25,27.938,28.5,27.938,28.44,275500,XEL
XEL,1998-06-26,28.063,28.375,28.0,28.06,189500,XEL
XEL,1998-06-29,28.563,28.813,28.188,28.25,204800,XEL
XEL,1998-06-30,28.625,28.875,28.25,28.69,134300,XEL
XEL,1998-07-01,28.563,28.75,28.313,28.69,192800,XEL
XEL,1998-07-02,28.938,28.938,28.25,28.38,287700,XEL
XEL,1998-07-03,28.938,28.938,28.25,28.38,0,XEL
XEL,1998-07-06,29.125,29.188,28.688,29.0,1839600,XEL
XEL,1998-07-07,28.625,29.0,28.563,28.75,2292400,XEL
XEL,1998-07-08,28.625,28.625,28.375,28.5,64000,XEL
XEL,1998-07-09,28.25,28.563,28.188,28.5,214700,XEL
XEL,1998-07-10,28.188,28.188,28.0,28.188,110000,XEL
XEL,1998-07-13,27.875,28.125,27.813,28.125,177900,XEL
