Symbol,Date,Close,High,Low,Open,Volume,Name
YUM,1998-05-29,5.5734,5.6405,5.5396,5.5404,1672650,YUM
YUM,1998-06-01,5.775,5.7976,5.5619,5.5727,2247293,YUM
YUM,1998-06-02,5.8759,5.9322,5.6516,5.7736,2520401,YUM
YUM,1998-06-03,5.8088,5.8874,5.7862,5.8777,1725600,YUM
YUM,1998-06-04,5.7862,5.8536,5.7302,5.788,3561558,YUM
YUM,1998-06-05,5.8199,5.8647,5.775,5.775,956994,YUM
YUM,1998-06-08,5.8536,5.8647,5.8088,5.8202,1750681,YUM
YUM,1998-06-09,5.9433,5.9433,5.6067,5.8095,2559417,YUM
YUM,1998-06-10,5.7862,5.9771,5.775,5.8992,2178180,YUM
YUM,1998-06-11,5.5619,5.8199,5.5619,5.8199,2922261,YUM
YUM,1998-06-12,5.5508,5.6182,5.4722,5.5619,1687699,YUM
YUM,1998-06-15,5.3825,5.5508,5.3602,5.5188,1999823,YUM
YUM,1998-06-16,5.3714,5.4273,5.3042,5.3932,2591744,YUM
YUM,1998-06-17,5.5845,5.5956,5.3825,5.3932,3814601,YUM
YUM,1998-06-18,5.5845,5.6294,5.5619,5.587,1757369,YUM
YUM,1998-06-19,5.5956,5.6405,5.5845,5.6085,2053887,YUM
YUM,1998-06-22,5.6516,5.7413,5.5734,5.5978,3051012,YUM
YUM,1998-06-23,5.7079,5.7976,5.6631,5.6982,2878229,YUM
YUM,1998-06-24,6.0104,6.1001,5.6965,5.709,3169173,YUM
YUM,1998-06-25,6.0442,6.0779,5.9207,5.9997,3066618,YUM
YUM,1998-06-26,5.831,6.0442,5.831,6.0427,678312,YUM
YUM,1998-06-29,5.9882,5.9882,5.831,5.831,1966938,YUM
YUM,1998-06-30,5.6853,5.9656,5.6067,5.9458,2588957,YUM
YUM,1998-07-01,5.8536,5.8647,5.7079,5.7305,4003548,YUM
YUM,1998-07-02,5.8199,5.8985,5.7862,5.8633,2644694,YUM
YUM,1998-07-03,5.8199,5.8985,5.7862,5.8633,0,YUM
YUM,1998-07-06,6.0219,6.0219,5.7079,5.8095,1834843,YUM
YUM,1998-07-07,5.8647,6.1227,5.8425,5.9458,5707968,YUM
