Symbol,Date,Close,High,Low,Open,Volume,Name
AAL,1998-05-29,190.3533,190.5851,188.1893,189.194,771978,AAL
AAL,1998-06-01,185.407,190.7397,185.0206,189.4259,525246,AAL
AAL,1998-06-02,186.8754,189.194,183.9386,185.407,679787,AAL
AAL,1998-06-03,190.817,193.4447,187.9575,187.9575,663209,AAL
AAL,1998-06-04,191.899,192.2854,188.5757,190.7397,504139,AAL
AAL,1998-06-05,190.817,191.8217,188.5757,190.4306,445832,AAL
AAL,1998-06-08,192.9037,194.5267,190.8943,190.8943,417852,AAL
AAL,1998-06-09,200.3231,201.0186,193.1356,193.4447,1076370,AAL
AAL,1998-06-10,99.6205,103.5621,99.0795,99.7751,1551235,AAL
AAL,1998-06-11,97.6884,100.3161,97.0701,99.9297,890452,AAL
AAL,1998-06-12,96.0654,97.843,95.2926,97.6884,841122,AAL
AAL,1998-06-15,98.0748,99.9297,94.7516,95.2153,1328602,AAL
AAL,1998-06-16,99.0795,100.0843,97.302,98.0748,898943,AAL
AAL,1998-06-17,99.466,99.7751,97.6884,98.925,739550,AAL
AAL,1998-06-18,98.6158,100.1615,98.384,98.925,574657,AAL
AAL,1998-06-19,99.466,99.7751,98.6158,98.925,597786,AAL
AAL,1998-06-22,99.466,102.4801,99.3887,101.3208,880505,AAL
AAL,1998-06-23,99.1568,100.1615,97.843,100.007,828910,AAL
AAL,1998-06-24,100.0843,100.548,98.0748,99.0795,784755,AAL
AAL,1998-06-25,101.8618,102.5574,100.4707,100.7798,852039,AAL
AAL,1998-06-26,100.9344,101.8618,99.8524,101.8618,403456,AAL
AAL,1998-06-29,102.7119,103.4075,101.7072,101.8618,497022,AAL
AAL,1998-06-30,102.9438,103.3302,102.0937,102.4028,869587,AAL
AAL,1998-07-01,104.3349,105.0305,103.6394,104.4895,794217,AAL
AAL,1998-07-02,104.3349,105.3397,104.1803,104.1803,305443,AAL
AAL,1998-07-03,104.3349,105.3397,104.1803,104.1803,0,AAL
AAL,1998-07-06,108.0446,108.1992,104.5668,105.5715,663047,AAL
AAL,1998-07-07,107.4263,109.9767,107.4263,109.5903,787748,AAL
AAL,1998-07-08,107.349,107.7355,105.8033,107.5036,598190,AAL
AAL,1998-07-09,107.349,108.5083,106.1898,107.4263,460469,AAL
AAL,1998-07-10,105.9579,107.4263,105.4942,107.1172,611129,AAL
AAL,1998-07-13,106.9626,108.4311,106.1125,106.7308,336739,AAL
AAL,1998-07-14,110.3632,110.6723,107.89,107.89,579428,AAL
AAL,1998-07-15,103.0984,111.136,102.8665,110.3632,1538943,AAL
AAL,1998-07-16,97.302,101.3981,95.2153,101.0889,3933324,AAL
AAL,1998-07-17,91.351,98.2294,91.351,97.6111,3392227,AAL
AAL,1998-07-20,91.2737,93.4377,87.1776,92.433,4059641,AAL
AAL,1998-07-21,89.728,93.2059,88.5688,92.7422,3302381,AAL
AAL,1998-07-22,89.4189,92.1239,88.8006,90.1145,2587010,AAL
AAL,1998-07-23,89.8826,91.892,88.8779,89.6508,1833793,AAL
AAL,1998-07-24,87.9505,91.4283,86.8685,90.9646,1267950,AAL
AAL,1998-07-27,89.2643,89.6508,86.5594,87.564,1755754,AAL
AAL,1998-07-28,91.4283,91.892,88.6461,89.9598,1336446,AAL
AAL,1998-07-29,89.5735,92.974,88.9552,92.5876,929188,AAL
AAL,1998-07-30,91.5056,92.3557,90.0372,90.7327,775941,AAL
AAL,1998-07-31,88.3369,91.8147,87.7186,91.8147,476239,AAL
AAL,1998-08-03,84.3954,88.3369,83.6225,87.4868,1739499,AAL
AAL,1998-08-04,81.1494,85.7865,79.9901,85.6319,1767965,AAL
AAL,1998-08-05,81.6131,83.0815,78.9081,82.6951,1861612,AAL
AAL,1998-08-06,81.6131,82.3859,80.5311,80.6857,1203902,AAL
AAL,1998-08-07,81.6904,84.1635,81.0721,81.0721,1727773,AAL
AAL,1998-08-10,79.681,82.7724,79.14,81.3812,1653859,AAL
AAL,1998-08-11,77.517,78.599,76.7441,77.4397,1513793,AAL
AAL,1998-08-12,77.6716,78.7535,75.8167,78.5217,1291241,AAL
AAL,1998-08-13,74.0391,77.0533,74.0391,76.976,1990841,AAL
AAL,1998-08-14,74.6574,77.2851,73.2663,76.2031,1749204,AAL
AAL,1998-08-17,78.4444,78.4444,74.3483,74.3483,1229941,AAL
AAL,1998-08-18,81.6131,82.6951,78.9854,79.2173,1398473,AAL
AAL,1998-08-19,79.2173,83.7771,78.3671,82.5405,1780824,AAL
AAL,1998-08-20,79.2173,81.6131,78.058,78.4444,1273853,AAL
AAL,1998-08-21,77.3624,78.2126,75.4303,77.9034,857619,AAL
AAL,1998-08-24,76.6669,78.2898,76.0486,77.3624,579347,AAL
AAL,1998-08-25,76.3577,78.3671,75.6621,76.6669,1072650,AAL
AAL,1998-08-26,74.3483,75.4303,73.73,75.353,830447,AAL
AAL,1998-08-27,68.9383,72.3389,67.5472,71.4115,1439151,AAL
AAL,1998-08-28,69.9431,72.8799,68.4746,70.0203,1495436,AAL
AAL,1998-08-31,67.3926,71.4115,64.9195,70.484,2331868,AAL
AAL,1998-09-01,68.4746,69.3248,65.3832,66.2334,1757776,AAL
AAL,1998-09-02,64.5331,69.1702,64.4558,67.3926,1518726,AAL
AAL,1998-09-03,62.0599,64.3012,61.519,63.6829,1309355,AAL
AAL,1998-09-04,61.8281,64.2239,60.3597,63.6829,1165812,AAL
AAL,1998-09-07,61.8281,64.2239,60.3597,63.6829,0,AAL
AAL,1998-09-08,67.4699,67.8563,64.6104,64.9195,1048875,AAL
AAL,1998-09-09,66.6971,69.1702,65.9242,67.7018,942451,AAL
AAL,1998-09-10,65.3832,65.6924,64.0694,64.8422,1071276,AAL
AAL,1998-09-11,68.5519,69.4793,65.3059,65.3832,1200424,AAL
AAL,1998-09-14,74.812,76.3577,72.107,72.648,1473358,AAL
AAL,1998-09-15,78.4444,79.9128,73.8073,75.1212,1937791,AAL
AAL,1998-09-16,79.5264,81.304,77.2851,80.8402,2053272,AAL
AAL,1998-09-17,76.976,77.517,76.0486,76.6669,1404296,AAL
AAL,1998-09-18,77.6716,78.9854,76.2804,76.2804,916330,AAL
AAL,1998-09-21,79.4491,79.4491,75.7394,77.2851,547889,AAL
AAL,1998-09-22,81.0721,82.6951,80.5311,80.6857,1066100,AAL
AAL,1998-09-23,81.9995,82.2314,80.0674,81.0721,1126509,AAL
AAL,1998-09-24,78.9854,81.4585,77.9807,80.763,1371706,AAL
AAL,1998-09-25,77.9034,79.4491,77.0533,77.9034,1175840,AAL
AAL,1998-09-28,77.0533,78.9081,76.5123,78.3671,990892,AAL
AAL,1998-09-29,73.0345,77.9034,72.9572,77.3624,1415860,AAL
AAL,1998-09-30,68.5519,71.7206,67.0835,71.7206,1301107,AAL
AAL,1998-10-01,65.2286,68.3201,62.9101,68.3201,1540722,AAL
AAL,1998-10-02,66.3879,66.3879,63.3738,65.2286,1960596,AAL
AAL,1998-10-05,63.6829,65.8469,63.142,65.6924,1071599,AAL
AAL,1998-10-06,66.1561,66.2334,64.8422,65.3832,1342107,AAL
AAL,1998-10-07,62.9874,67.0835,61.8281,66.0015,1181177,AAL
AAL,1998-10-08,58.273,60.5915,56.4954,60.5915,2635370,AAL
AAL,1998-10-09,63.2965,63.5284,58.3503,59.355,1179964,AAL
AAL,1998-10-12,63.9921,66.0788,63.2192,66.0788,967035,AAL
AAL,1998-10-13,59.355,62.5237,59.2777,62.5237,889158,AAL
AAL,1998-10-14,61.9827,63.6056,59.4323,59.6641,1112277,AAL
AAL,1998-10-15,67.0062,68.0109,61.2871,61.519,1533363,AAL
AAL,1998-10-16,69.7112,70.7159,68.1655,68.9383,1547030,AAL
AAL,1998-10-19,72.8026,73.4982,69.2475,69.7885,952236,AAL
AAL,1998-10-20,71.6433,76.0486,69.5566,74.1937,1835653,AAL
AAL,1998-10-21,71.566,72.8026,68.7838,71.7979,1781875,AAL
AAL,1998-10-22,73.9619,74.7347,70.0203,71.7979,914632,AAL
AAL,1998-10-23,75.1984,77.2851,73.2663,74.0391,1422896,AAL
AAL,1998-10-26,75.2757,76.3577,73.4982,76.0486,954258,AAL
