Symbol,Date,Close,High,Low,Open,Volume,Name
ACN,2001-07-19,15.17,15.29,15.0,15.1,33703500,ACN
ACN,2001-07-20,15.01,15.05,14.8,15.05,9238500,ACN
ACN,2001-07-23,15.0,15.01,14.55,15.0,7501000,ACN
ACN,2001-07-24,14.86,14.97,14.7,14.95,3537300,ACN
ACN,2001-07-25,14.95,14.95,14.65,14.7,4208200,ACN
ACN,2001-07-26,14.5,14.98,14.5,14.95,6220300,ACN
ACN,2001-07-27,14.5,14.55,14.5,14.51,3494000,ACN
ACN,2001-07-30,14.7,14.78,14.5,14.5,3514300,ACN
ACN,2001-07-31,14.96,15.01,14.6,14.71,1429000,ACN
ACN,2001-08-01,15.5,15.5,14.9,15.0,2087899,ACN
ACN,2001-08-02,15.4,15.5,15.1,15.4,1717400,ACN
ACN,2001-08-03,15.15,15.4,14.98,15.4,983600,ACN
ACN,2001-08-06,15.1,15.21,15.02,15.15,777400,ACN
ACN,2001-08-07,15.5,15.55,15.1,15.1,788900,ACN
ACN,2001-08-08,15.0,15.6,15.0,15.4,2190300,ACN
ACN,2001-08-09,15.5,15.5,15.0,15.05,928000,ACN
ACN,2001-08-10,15.19,15.4,15.12,15.4,703300,ACN
ACN,2001-08-13,15.01,15.25,14.9,15.15,1770400,ACN
ACN,2001-08-14,14.7,15.06,14.65,15.05,1000799,ACN
ACN,2001-08-15,14.79,14.9,14.7,14.75,530900,ACN
ACN,2001-08-16,14.05,14.78,14.05,14.78,1522700,ACN
ACN,2001-08-17,14.52,14.8,13.9,14.06,2342400,ACN
ACN,2001-08-20,15.35,15.35,14.49,14.6,1434900,ACN
ACN,2001-08-21,15.46,15.6,15.01,15.25,1038200,ACN
ACN,2001-08-22,15.34,15.38,14.8,15.32,829000,ACN
ACN,2001-08-23,15.25,15.45,15.25,15.45,470000,ACN
ACN,2001-08-24,15.4,15.48,15.25,15.25,689000,ACN
ACN,2001-08-27,15.48,15.65,15.4,15.48,827700,ACN
ACN,2001-08-28,15.36,15.58,15.25,15.42,736900,ACN
ACN,2001-08-29,15.01,15.31,15.0,15.29,396400,ACN
ACN,2001-08-30,14.95,15.04,14.85,14.85,640100,ACN
ACN,2001-08-31,14.9,15.1,14.9,15.0,3337900,ACN
ACN,2001-09-03,14.9,15.1,14.9,15.0,0,ACN
ACN,2001-09-04,15.38,15.65,15.0,15.0,1068600,ACN
ACN,2001-09-05,14.91,15.38,14.9,15.38,1053200,ACN
ACN,2001-09-06,14.5,15.0,14.4,14.75,1384500,ACN
ACN,2001-09-07,14.52,14.62,14.35,14.45,1408500,ACN
ACN,2001-09-10,15.15,15.16,14.55,14.58,622100,ACN
ACN,2001-09-11,15.15,15.16,14.55,14.58,0,ACN
ACN,2001-09-12,15.15,15.16,14.55,14.58,0,ACN
ACN,2001-09-13,15.15,15.16,14.55,14.58,0,ACN
ACN,2001-09-14,15.15,15.16,14.55,14.58,0,ACN
ACN,2001-09-17,14.6,15.14,14.47,15.14,1934300,ACN
ACN,2001-09-18,14.55,15.0,14.35,14.6,902800,ACN
