Symbol,Date,Close,High,Low,Open,Volume,Name
ADS,2001-06-08,14.0,14.0,12.5,13.19,7780200,ADS
ADS,2001-06-11,13.25,13.75,13.25,13.5,898400,ADS
ADS,2001-06-12,13.61,13.7,13.02,13.25,633500,ADS
ADS,2001-06-13,14.35,14.7,14.0,14.0,428300,ADS
ADS,2001-06-14,13.26,14.3,13.25,14.25,353200,ADS
ADS,2001-06-15,12.86,13.16,12.75,13.16,51140,ADS
ADS,2001-06-18,13.11,13.15,12.7,12.85,408000,ADS
ADS,2001-06-19,13.55,13.6,13.15,13.4,216400,ADS
ADS,2001-06-20,13.55,13.65,13.3,13.5,54400,ADS
ADS,2001-06-21,13.88,13.9,13.52,13.53,80700,ADS
ADS,2001-06-22,14.55,14.98,14.0,14.0,127900,ADS
ADS,2001-06-25,14.65,14.85,14.4,14.75,87100,ADS
ADS,2001-06-26,14.7,14.78,14.65,14.7,48900,ADS
ADS,2001-06-27,15.11,15.15,14.55,14.6,139800,ADS
ADS,2001-06-28,15.0,15.25,14.9,15.01,195100,ADS
ADS,2001-06-29,15.0,15.9,15.0,15.1,130700,ADS
ADS,2001-07-02,14.4,15.6,14.31,15.25,42000,ADS
ADS,2001-07-03,14.97,15.05,14.45,14.45,35600,ADS
ADS,2001-07-04,14.97,15.05,14.45,14.45,0,ADS
ADS,2001-07-05,15.2,15.45,14.9,14.9,97100,ADS
ADS,2001-07-06,14.95,15.4,14.75,15.4,149700,ADS
ADS,2001-07-09,14.9,15.2,14.86,15.0,130000,ADS
ADS,2001-07-10,14.7,15.1,14.7,14.9,189200,ADS
ADS,2001-07-11,14.6,14.8,14.6,14.7,76800,ADS
ADS,2001-07-12,15.21,15.21,14.7,14.7,177600,ADS
ADS,2001-07-13,15.81,15.81,15.0,15.0,144200,ADS
ADS,2001-07-16,15.5,15.81,15.21,15.81,38600,ADS
ADS,2001-07-17,15.85,16.0,15.5,15.5,32900,ADS
ADS,2001-07-18,16.75,16.75,15.5,15.8,102200,ADS
ADS,2001-07-19,16.4,17.2,16.0,16.9,303700,ADS
ADS,2001-07-20,14.95,16.4,14.7,16.4,82700,ADS
ADS,2001-07-23,14.85,15.05,14.85,14.98,55500,ADS
ADS,2001-07-24,14.1,14.85,14.0,14.85,45600,ADS
ADS,2001-07-25,13.5,14.1,13.5,14.1,60300,ADS
ADS,2001-07-26,13.75,13.9,13.5,13.5,653100,ADS
ADS,2001-07-27,14.15,14.15,13.84,13.85,62000,ADS
ADS,2001-07-30,14.38,14.5,14.15,14.15,54800,ADS
ADS,2001-07-31,15.0,15.0,14.37,14.37,268500,ADS
ADS,2001-08-01,15.0,15.4,14.9,14.9,19200,ADS
ADS,2001-08-02,15.5,15.5,14.9,15.0,36900,ADS
ADS,2001-08-03,15.5,15.5,15.3,15.5,34300,ADS
ADS,2001-08-06,15.59,15.59,15.45,15.5,2700,ADS
ADS,2001-08-07,15.4,15.69,15.3,15.59,23200,ADS
ADS,2001-08-08,15.2,15.75,15.2,15.65,28500,ADS
ADS,2001-08-09,14.99,15.25,14.85,15.25,9400,ADS
ADS,2001-08-10,14.95,15.3,14.95,15.1,26800,ADS
ADS,2001-08-13,15.45,15.89,14.95,14.95,55800,ADS
ADS,2001-08-14,15.51,15.7,15.45,15.45,59200,ADS
ADS,2001-08-15,16.15,16.15,15.51,15.65,29400,ADS
ADS,2001-08-16,16.15,16.17,16.05,16.15,12300,ADS
ADS,2001-08-17,16.25,16.3,16.19,16.19,6100,ADS
ADS,2001-08-20,16.4,16.4,16.15,16.15,36200,ADS
ADS,2001-08-21,16.5,16.65,16.3,16.3,92800,ADS
ADS,2001-08-22,15.75,16.4,15.6,16.4,11600,ADS
ADS,2001-08-23,15.48,15.7,15.25,15.7,23500,ADS
ADS,2001-08-24,15.09,15.47,14.95,15.4,11100,ADS
ADS,2001-08-27,14.95,15.04,14.7,15.0,16900,ADS
ADS,2001-08-28,14.89,14.89,14.56,14.85,10800,ADS
ADS,2001-08-29,15.05,15.4,14.25,14.99,209600,ADS
ADS,2001-08-30,15.01,15.1,14.75,15.0,388900,ADS
ADS,2001-08-31,15.25,15.4,15.1,15.1,103800,ADS
ADS,2001-09-03,15.25,15.4,15.1,15.1,0,ADS
ADS,2001-09-04,15.4,15.4,15.35,15.35,17100,ADS
ADS,2001-09-05,16.25,16.56,15.39,15.39,108600,ADS
ADS,2001-09-06,16.1,16.25,16.1,16.15,70100,ADS
ADS,2001-09-07,16.18,16.2,16.05,16.05,48500,ADS
ADS,2001-09-10,16.0,16.2,16.0,16.15,91400,ADS
ADS,2001-09-11,16.0,16.2,16.0,16.15,0,ADS
ADS,2001-09-12,16.0,16.2,16.0,16.15,0,ADS
ADS,2001-09-13,16.0,16.2,16.0,16.15,0,ADS
ADS,2001-09-14,16.0,16.2,16.0,16.15,0,ADS
ADS,2001-09-17,13.9,14.5,13.9,14.5,28900,ADS
ADS,2001-09-18,12.5,13.8,12.5,13.8,111300,ADS
ADS,2001-09-19,11.4,12.5,11.1,12.5,23300,ADS
ADS,2001-09-20,11.35,11.65,11.35,11.65,166200,ADS
ADS,2001-09-21,12.0,12.0,11.05,11.1,280000,ADS
ADS,2001-09-24,13.7,14.55,12.1,12.1,98800,ADS
ADS,2001-09-25,14.31,14.9,14.0,14.0,54600,ADS
ADS,2001-09-26,14.6,14.65,14.31,14.31,25100,ADS
ADS,2001-09-27,15.8,15.9,14.55,14.55,65100,ADS
ADS,2001-09-28,16.25,16.25,14.9,15.75,104400,ADS
ADS,2001-10-01,14.91,16.05,14.9,16.05,180100,ADS
ADS,2001-10-02,14.5,14.91,14.5,14.91,12600,ADS
ADS,2001-10-03,14.45,14.51,14.45,14.51,57300,ADS
ADS,2001-10-04,14.5,14.55,14.4,14.45,83300,ADS
ADS,2001-10-05,14.4,14.51,14.4,14.5,49100,ADS
ADS,2001-10-08,14.37,14.41,14.37,14.4,53900,ADS
ADS,2001-10-09,14.33,14.33,14.32,14.32,13800,ADS
ADS,2001-10-10,14.4,14.5,14.3,14.3,74000,ADS
ADS,2001-10-11,14.6,14.6,14.5,14.5,118600,ADS
ADS,2001-10-12,14.75,14.8,14.6,14.6,30700,ADS
ADS,2001-10-15,14.9,14.9,14.75,14.76,62300,ADS
ADS,2001-10-16,14.98,14.99,14.9,14.9,31700,ADS
ADS,2001-10-17,15.31,15.45,15.21,15.25,106400,ADS
ADS,2001-10-18,15.39,15.48,15.31,15.31,49100,ADS
ADS,2001-10-19,15.4,15.45,15.3,15.39,52000,ADS
ADS,2001-10-22,15.59,15.69,15.49,15.5,117100,ADS
ADS,2001-10-23,15.76,15.76,15.58,15.59,44200,ADS
ADS,2001-10-24,15.95,15.95,15.75,15.85,67000,ADS
ADS,2001-10-25,16.2,16.2,15.85,15.85,21800,ADS
ADS,2001-10-26,15.92,16.0,15.9,16.0,30700,ADS
ADS,2001-10-29,15.85,16.0,15.65,15.98,24300,ADS
ADS,2001-10-30,15.61,15.9,15.45,15.9,20800,ADS
ADS,2001-10-31,16.0,16.0,14.9,15.5,40900,ADS
ADS,2001-11-01,16.0,16.0,15.7,16.0,61600,ADS
ADS,2001-11-02,15.96,16.0,15.41,15.91,87100,ADS
ADS,2001-11-05,15.75,15.81,15.1,15.81,19800,ADS
ADS,2001-11-06,14.99,16.19,14.99,15.69,28600,ADS
ADS,2001-11-07,15.9,15.98,14.99,14.99,16100,ADS
ADS,2001-11-08,16.0,16.0,15.66,15.8,44400,ADS
ADS,2001-11-09,15.87,15.95,15.71,15.8,7900,ADS
ADS,2001-11-12,15.8,15.97,15.8,15.87,8900,ADS
ADS,2001-11-13,15.8,15.87,15.77,15.87,11200,ADS
ADS,2001-11-14,15.97,16.0,15.75,15.75,29800,ADS
ADS,2001-11-15,16.4,16.55,15.7,15.72,24500,ADS
ADS,2001-11-16,16.5,16.8,16.3,16.3,16100,ADS
ADS,2001-11-19,17.0,17.2,16.6,16.6,95800,ADS
ADS,2001-11-20,16.26,17.0,16.25,17.0,33600,ADS
ADS,2001-11-21,16.55,16.55,16.26,16.26,3100,ADS
ADS,2001-11-22,16.55,16.55,16.26,16.26,0,ADS
ADS,2001-11-23,16.95,16.95,16.7,16.7,7100,ADS
ADS,2001-11-26,17.35,17.35,17.22,17.25,198600,ADS
ADS,2001-11-27,17.05,17.3,17.02,17.3,12400,ADS
ADS,2001-11-28,17.03,17.03,17.0,17.02,6000,ADS
ADS,2001-11-29,17.0,17.24,16.7,17.01,22000,ADS
ADS,2001-11-30,16.5,17.27,16.2,17.0,54900,ADS
ADS,2001-12-03,15.95,16.46,15.95,16.45,33200,ADS
ADS,2001-12-04,15.75,15.95,15.75,15.95,36600,ADS
ADS,2001-12-05,15.88,15.88,14.85,15.76,64500,ADS
ADS,2001-12-06,17.0,17.1,16.13,16.13,129300,ADS
ADS,2001-12-07,17.1,17.98,17.0,17.0,101000,ADS
ADS,2001-12-10,16.76,17.2,16.7,17.2,73800,ADS
ADS,2001-12-11,16.9,16.95,16.84,16.85,74800,ADS
ADS,2001-12-12,16.92,17.1,16.3,16.82,109700,ADS
ADS,2001-12-13,16.98,17.04,16.88,16.9,16400,ADS
ADS,2001-12-14,16.55,17.05,16.4,17.0,28700,ADS
ADS,2001-12-17,16.99,17.0,16.12,16.4,22000,ADS
ADS,2001-12-18,17.27,17.36,17.02,17.05,175400,ADS
ADS,2001-12-19,17.19,17.28,17.15,17.28,76600,ADS
ADS,2001-12-20,16.91,17.21,16.9,17.21,81600,ADS
ADS,2001-12-21,17.0,17.0,16.85,16.9,41700,ADS
ADS,2001-12-24,17.33,17.33,17.1,17.1,26700,ADS
ADS,2001-12-25,17.33,17.33,17.1,17.1,0,ADS
ADS,2001-12-26,17.15,17.35,17.01,17.3,36300,ADS
ADS,2001-12-27,18.7,18.7,17.15,17.15,123500,ADS
ADS,2001-12-28,18.9,19.5,18.17,19.5,103600,ADS
ADS,2001-12-31,19.15,19.3,18.9,18.98,59100,ADS
ADS,2002-01-01,19.15,19.3,18.9,18.98,0,ADS
ADS,2002-01-02,17.51,19.2,17.4,19.2,102000,ADS
ADS,2002-01-03,18.06,18.7,17.37,17.4,44400,ADS
ADS,2002-01-04,19.2,19.25,18.1,18.1,106000,ADS
ADS,2002-01-07,20.37,20.88,19.2,19.2,172600,ADS
ADS,2002-01-08,21.45,21.5,20.01,20.22,111200,ADS
ADS,2002-01-09,20.59,21.45,20.5,21.3,159100,ADS
ADS,2002-01-10,20.7,20.7,20.59,20.59,303300,ADS
ADS,2002-01-11,20.5,20.8,20.5,20.65,281700,ADS
ADS,2002-01-14,20.4,20.6,20.35,20.57,62900,ADS
ADS,2002-01-15,20.85,20.85,20.41,20.41,191800,ADS
ADS,2002-01-16,21.08,21.1,20.8,20.85,25500,ADS
ADS,2002-01-17,21.08,21.13,21.0,21.1,20900,ADS
ADS,2002-01-18,21.2,21.25,21.1,21.18,21400,ADS
ADS,2002-01-21,21.2,21.25,21.1,21.18,0,ADS
ADS,2002-01-22,21.05,21.2,20.9,21.2,136600,ADS
