Symbol,Date,Close,High,Low,Open,Volume,Name
AEE,1998-05-29,39.125,39.125,38.563,38.563,163000,AEE
AEE,1998-06-01,40.563,40.688,38.938,39.0,190200,AEE
AEE,1998-06-02,40.375,40.75,40.125,40.31,175700,AEE
AEE,1998-06-03,40.5,40.875,40.188,40.25,105000,AEE
AEE,1998-06-04,40.313,40.625,40.188,40.31,133800,AEE
AEE,1998-06-05,40.875,40.875,40.25,40.25,167700,AEE
AEE,1998-06-08,39.813,40.125,39.75,40.06,1874800,AEE
AEE,1998-06-09,39.375,39.875,39.25,39.875,259000,AEE
AEE,1998-06-10,40.125,40.188,39.375,39.44,174600,AEE
AEE,1998-06-11,40.313,40.5,39.75,40.0,260500,AEE
AEE,1998-06-12,40.125,40.375,39.75,40.13,275100,AEE
AEE,1998-06-15,39.813,40.125,39.688,40.0,227000,AEE
AEE,1998-06-16,39.813,40.063,39.75,40.0,283000,AEE
AEE,1998-06-17,39.563,39.938,39.438,39.81,364200,AEE
AEE,1998-06-18,40.188,40.313,39.625,39.75,308200,AEE
AEE,1998-06-19,39.688,40.188,39.563,40.188,212700,AEE
AEE,1998-06-22,39.688,40.125,39.688,39.75,121200,AEE
AEE,1998-06-23,39.75,39.813,39.5,39.81,105600,AEE
AEE,1998-06-24,39.625,39.875,39.625,39.63,353200,AEE
AEE,1998-06-25,39.375,40.063,39.313,40.0,254300,AEE
AEE,1998-06-26,39.438,39.625,39.125,39.31,213700,AEE
AEE,1998-06-29,39.875,40.125,39.313,39.63,197000,AEE
AEE,1998-06-30,39.75,40.063,39.563,39.563,227100,AEE
AEE,1998-07-01,40.313,40.313,39.688,40.06,204800,AEE
AEE,1998-07-02,40.375,40.375,39.938,40.19,107100,AEE
AEE,1998-07-03,40.375,40.375,39.938,40.19,0,AEE
AEE,1998-07-06,40.188,40.438,39.938,40.25,155100,AEE
AEE,1998-07-07,40.25,40.375,40.0,40.06,106000,AEE
AEE,1998-07-08,40.313,40.438,39.938,40.31,99800,AEE
AEE,1998-07-09,40.125,40.25,40.0,40.13,127900,AEE
AEE,1998-07-10,39.875,40.188,39.375,40.0,375900,AEE
AEE,1998-07-13,39.438,39.875,39.438,39.875,91500,AEE
AEE,1998-07-14,39.625,39.813,39.313,39.44,188700,AEE
AEE,1998-07-15,39.5,39.75,39.125,39.38,141600,AEE
AEE,1998-07-16,39.313,39.438,39.125,39.38,299900,AEE
AEE,1998-07-17,39.313,39.313,38.875,39.31,154900,AEE
AEE,1998-07-20,39.063,39.25,38.75,39.19,81600,AEE
AEE,1998-07-21,39.0,39.188,38.625,39.0,212100,AEE
AEE,1998-07-22,39.5,39.5,38.813,39.0,67900,AEE
AEE,1998-07-23,39.0,39.438,38.75,39.38,99100,AEE
AEE,1998-07-24,38.875,39.0,38.438,39.0,246700,AEE
AEE,1998-07-27,38.938,39.0,38.5,38.88,181200,AEE
AEE,1998-07-28,38.5,38.813,38.188,38.75,114600,AEE
AEE,1998-07-29,38.313,38.563,38.188,38.56,123500,AEE
AEE,1998-07-30,38.5,38.938,38.25,38.31,190300,AEE
AEE,1998-07-31,37.813,38.625,37.625,38.625,185900,AEE
AEE,1998-08-03,38.313,38.313,37.688,38.0,121400,AEE
AEE,1998-08-04,37.375,38.5,37.313,38.06,153100,AEE
AEE,1998-08-05,37.75,37.75,37.0,37.38,167400,AEE
AEE,1998-08-06,37.625,37.75,37.25,37.63,68600,AEE
AEE,1998-08-07,38.063,38.188,37.313,37.5,199900,AEE
AEE,1998-08-10,38.125,38.125,37.813,38.06,130200,AEE
AEE,1998-08-11,37.875,38.0,37.5,37.75,182500,AEE
AEE,1998-08-12,39.063,39.375,37.625,37.88,278900,AEE
AEE,1998-08-13,38.563,39.375,38.375,38.81,191800,AEE
AEE,1998-08-14,38.688,39.0,38.438,38.5,141600,AEE
AEE,1998-08-17,39.125,39.25,38.813,39.25,226200,AEE
AEE,1998-08-18,39.0,39.125,38.688,38.88,322300,AEE
AEE,1998-08-19,38.813,39.0,38.563,38.81,467200,AEE
AEE,1998-08-20,38.75,39.0,38.563,38.88,84600,AEE
AEE,1998-08-21,39.5,39.75,38.375,38.5,254800,AEE
AEE,1998-08-24,39.938,40.0,39.438,39.56,109200,AEE
AEE,1998-08-25,39.875,40.0,39.438,39.94,240400,AEE
AEE,1998-08-26,40.125,40.5,39.5,39.69,299500,AEE
AEE,1998-08-27,39.625,40.125,39.438,39.88,122700,AEE
AEE,1998-08-28,39.5,39.688,38.875,39.63,174400,AEE
AEE,1998-08-31,39.563,41.0,39.25,39.44,310300,AEE
AEE,1998-09-01,39.875,40.0,39.5,39.75,353700,AEE
AEE,1998-09-02,39.0,39.75,38.75,39.75,218100,AEE
AEE,1998-09-03,38.813,39.063,38.438,38.75,121800,AEE
AEE,1998-09-04,39.0,39.0,38.5,38.81,144600,AEE
AEE,1998-09-07,39.0,39.0,38.5,38.81,0,AEE
