Symbol,Date,Close,High,Low,Open,Volume,Name
AES,1998-05-29,23.782,24.375,23.688,23.91,431600,AES
AES,1998-06-01,23.125,23.782,23.063,23.78,968600,AES
AES,1998-06-02,23.157,23.5,22.625,23.38,1061400,AES
AES,1998-06-03,24.25,24.375,23.438,23.5,1894400,AES
AES,1998-06-04,24.375,24.5,24.188,24.22,756200,AES
AES,1998-06-05,25.25,25.25,24.313,24.32,812200,AES
AES,1998-06-08,24.469,25.125,24.438,24.94,534600,AES
AES,1998-06-09,24.5,24.657,24.375,24.6,378800,AES
AES,1998-06-10,24.657,25.0,24.407,24.69,1156600,AES
AES,1998-06-11,24.907,24.938,24.5,24.66,635400,AES
AES,1998-06-12,23.938,25.0,23.938,24.85,492200,AES
AES,1998-06-15,23.25,24.063,23.25,23.94,1155000,AES
AES,1998-06-16,23.188,23.438,23.0,23.25,1419600,AES
AES,1998-06-17,23.438,23.5,22.938,23.19,1188400,AES
AES,1998-06-18,23.344,23.719,23.188,23.5,1810200,AES
AES,1998-06-19,23.625,23.75,23.25,23.25,700800,AES
AES,1998-06-22,24.032,24.157,23.594,23.6,508000,AES
AES,1998-06-23,24.563,24.657,24.157,24.35,826000,AES
AES,1998-06-24,25.0,25.125,24.532,24.532,1042999,AES
AES,1998-06-25,25.438,25.5,25.032,25.032,665400,AES
AES,1998-06-26,26.938,27.188,25.75,25.75,1379000,AES
AES,1998-06-29,27.469,27.532,26.969,27.38,1289400,AES
AES,1998-06-30,26.282,27.5,26.282,27.47,877800,AES
AES,1998-07-01,27.094,27.25,26.5,26.5,1116200,AES
AES,1998-07-02,26.594,27.282,26.563,27.22,386600,AES
AES,1998-07-03,26.594,27.282,26.563,27.22,0,AES
AES,1998-07-06,26.313,26.75,26.313,26.72,825200,AES
AES,1998-07-07,26.125,26.5,25.813,26.38,1008200,AES
AES,1998-07-08,26.594,26.875,26.188,26.38,708200,AES
AES,1998-07-09,27.125,27.688,26.688,26.69,523000,AES
AES,1998-07-10,26.313,27.469,26.125,27.13,630200,AES
AES,1998-07-13,26.125,26.375,25.938,26.375,804400,AES
AES,1998-07-14,24.719,25.0,23.969,24.88,3017600,AES
AES,1998-07-15,24.844,25.344,24.719,24.91,1642200,AES
AES,1998-07-16,24.75,24.875,24.688,24.85,1018600,AES
AES,1998-07-17,24.563,24.875,24.407,24.82,746000,AES
AES,1998-07-20,25.0,25.0,24.625,24.63,992200,AES
AES,1998-07-21,23.75,25.0,23.469,25.0,1642600,AES
AES,1998-07-22,23.532,23.875,23.344,23.875,922400,AES
AES,1998-07-23,22.782,23.5,22.782,23.5,578000,AES
AES,1998-07-24,22.75,23.094,22.157,22.88,1519400,AES
AES,1998-07-27,23.25,23.25,22.375,22.75,703800,AES
AES,1998-07-28,22.438,23.844,22.407,23.25,1316000,AES
AES,1998-07-29,22.0,22.625,22.0,22.44,1006599,AES
AES,1998-07-30,22.094,22.344,22.063,22.25,1052000,AES
AES,1998-07-31,22.907,23.0,22.188,22.22,1479600,AES
AES,1998-08-03,23.188,23.469,22.375,22.94,2195400,AES
AES,1998-08-04,22.313,23.469,22.0,23.19,2606800,AES
AES,1998-08-05,22.532,22.594,22.188,22.19,6890200,AES
AES,1998-08-06,21.25,22.469,20.813,22.32,3885800,AES
AES,1998-08-07,21.75,22.0,21.188,21.38,3578200,AES
AES,1998-08-10,21.375,21.782,21.375,21.78,1378200,AES
AES,1998-08-11,20.625,20.813,20.5,20.75,1880800,AES
AES,1998-08-12,19.844,20.969,19.75,20.75,4027199,AES
AES,1998-08-13,19.0,19.813,18.0,19.75,6880400,AES
AES,1998-08-14,18.875,19.719,18.813,19.5,1956200,AES
AES,1998-08-17,18.063,18.938,17.625,18.938,3167000,AES
AES,1998-08-18,18.125,18.469,17.625,18.13,4082000,AES
AES,1998-08-19,18.688,18.844,18.375,18.57,3669600,AES
AES,1998-08-20,18.75,18.907,18.625,18.88,2384000,AES
AES,1998-08-21,17.563,18.532,17.157,18.5,2093400,AES
AES,1998-08-24,16.969,17.75,16.375,17.63,3173200,AES
AES,1998-08-25,16.157,17.094,16.094,17.09,2158000,AES
AES,1998-08-26,15.094,15.344,14.594,15.25,4579800,AES
AES,1998-08-27,14.657,15.375,14.375,15.0,4184599,AES
AES,1998-08-28,14.469,15.157,14.157,15.07,2886000,AES
AES,1998-08-31,13.625,14.75,13.563,14.47,2153000,AES
AES,1998-09-01,13.75,14.25,13.563,13.75,2761400,AES
AES,1998-09-02,14.032,14.875,13.875,13.88,3305200,AES
AES,1998-09-03,13.25,14.125,13.25,13.78,2180800,AES
AES,1998-09-04,12.125,13.313,11.5,13.313,5814800,AES
AES,1998-09-07,12.125,13.313,11.5,13.313,0,AES
AES,1998-09-08,14.719,15.0,14.032,15.0,3951600,AES
AES,1998-09-09,13.344,14.407,13.094,14.38,1620400,AES
AES,1998-09-10,13.344,13.344,12.782,13.0,2719800,AES
AES,1998-09-11,13.813,13.813,12.875,13.35,2227800,AES
AES,1998-09-14,14.188,14.719,13.782,13.82,1534400,AES
AES,1998-09-15,15.938,15.969,14.25,14.32,1871400,AES
AES,1998-09-16,15.875,16.0,14.844,16.0,1692400,AES
AES,1998-09-17,15.75,15.75,15.032,15.75,955600,AES
AES,1998-09-18,14.907,15.875,14.875,15.875,1144400,AES
AES,1998-09-21,14.844,14.875,14.313,14.66,640000,AES
AES,1998-09-22,15.344,15.938,14.375,14.97,861600,AES
AES,1998-09-23,16.625,16.75,15.407,15.41,1568400,AES
AES,1998-09-24,16.907,17.5,16.5,16.5,2623600,AES
AES,1998-09-25,16.969,17.188,15.625,16.59,1079000,AES
AES,1998-09-28,16.75,17.594,16.625,16.94,1434800,AES
AES,1998-09-29,19.125,19.407,17.657,18.38,4440800,AES
AES,1998-09-30,18.532,18.844,17.75,18.82,4702600,AES
AES,1998-10-01,18.125,18.25,17.625,18.13,15993400,AES
AES,1998-10-02,18.25,18.5,17.938,18.0,3493000,AES
AES,1998-10-05,17.938,18.25,17.219,18.0,3640000,AES
AES,1998-10-06,17.094,18.407,16.625,18.25,2909600,AES
AES,1998-10-07,16.875,17.5,16.313,17.13,1649800,AES
AES,1998-10-08,16.25,17.875,16.0,16.88,2937800,AES
AES,1998-10-09,16.938,17.157,16.0,16.25,1373200,AES
AES,1998-10-12,17.157,18.313,17.125,18.25,1514800,AES
AES,1998-10-13,17.688,18.0,16.907,17.03,1005800,AES
AES,1998-10-14,17.407,17.782,17.219,17.57,1390200,AES
AES,1998-10-15,17.5,17.657,17.094,17.47,1362000,AES
AES,1998-10-16,17.907,18.188,17.844,18.188,1172800,AES
AES,1998-10-19,18.0,18.063,17.5,17.91,853800,AES
AES,1998-10-20,18.625,19.157,18.094,18.13,1911800,AES
AES,1998-10-21,18.969,19.125,18.469,18.75,924400,AES
AES,1998-10-22,19.469,19.813,18.688,18.72,731600,AES
AES,1998-10-23,19.313,19.938,19.188,19.53,766000,AES
AES,1998-10-26,20.125,20.282,19.125,19.44,1297200,AES
AES,1998-10-27,20.688,21.157,20.688,21.1,2028600,AES
AES,1998-10-28,19.75,20.75,19.75,20.69,1814800,AES
AES,1998-10-29,19.032,19.875,19.032,19.875,1597200,AES
AES,1998-10-30,20.469,20.5,19.032,19.032,1186600,AES
AES,1998-11-02,20.969,21.875,20.719,20.75,1636600,AES
AES,1998-11-03,21.75,21.75,21.188,21.25,964400,AES
AES,1998-11-04,21.938,22.282,21.25,22.0,1158200,AES
AES,1998-11-05,22.157,22.282,22.0,22.0,799000,AES
AES,1998-11-06,22.094,22.188,21.969,22.03,671000,AES
AES,1998-11-09,21.657,22.188,21.563,22.188,529000,AES
AES,1998-11-10,22.188,22.188,21.375,21.63,887200,AES
AES,1998-11-11,21.313,22.188,21.219,22.188,829800,AES
AES,1998-11-12,22.188,22.188,21.375,22.188,887200,AES
AES,1998-11-13,21.344,21.625,21.094,21.57,598200,AES
AES,1998-11-16,22.063,22.094,21.438,21.47,697000,AES
AES,1998-11-17,21.938,22.5,21.844,22.13,914200,AES
AES,1998-11-18,20.5,21.844,20.125,21.844,1894200,AES
AES,1998-11-19,21.688,21.782,21.344,21.75,964000,AES
AES,1998-11-20,21.782,22.188,21.594,22.188,888000,AES
AES,1998-11-23,22.469,22.782,21.875,22.0,1133600,AES
AES,1998-11-24,22.469,22.625,22.25,22.32,908000,AES
AES,1998-11-25,22.469,22.625,22.25,22.32,0,AES
