Symbol,Date,Close,High,Low,Open,Volume,Name
AIG,1998-05-29,737.5705,751.3257,737.1851,751.2587,125934,AIG
AIG,1998-06-01,730.8688,744.2722,726.3954,742.714,155227,AIG
AIG,1998-06-02,735.3254,742.7643,732.7118,738.3579,127546,AIG
AIG,1998-06-03,748.7288,754.6933,734.5882,735.3422,190681,AIG
AIG,1998-06-04,771.4307,774.4297,748.7288,749.9183,215727,AIG
AIG,1998-06-05,776.2727,776.658,768.4652,775.2172,157410,AIG
AIG,1998-06-08,797.8856,811.6408,776.658,777.3952,217909,AIG
AIG,1998-06-09,817.9907,823.1845,796.0092,798.6731,163352,AIG
AIG,1998-06-10,817.2367,825.0442,805.3245,814.2545,158652,AIG
AIG,1998-06-11,796.7634,816.1143,790.7986,815.7443,186719,AIG
AIG,1998-06-12,810.535,813.8691,785.588,795.9924,186216,AIG
AIG,1998-06-15,786.3252,804.202,786.3252,803.8669,151417,AIG
AIG,1998-06-16,778.5178,789.3075,770.3249,783.4267,187122,AIG
AIG,1998-06-17,791.9211,798.2375,781.5,782.2539,194576,AIG
AIG,1998-06-18,778.1324,791.5358,776.2727,788.2855,127596,AIG
AIG,1998-06-19,803.4648,803.8334,779.6235,780.411,251567,AIG
AIG,1998-06-22,792.6583,815.7456,792.2897,801.3537,153246,AIG
AIG,1998-06-23,803.0794,804.202,794.9034,795.6573,153834,AIG
AIG,1998-06-24,831.394,835.1135,798.6228,804.7046,160633,AIG
AIG,1998-06-25,838.0957,844.7974,829.5176,832.1815,179451,AIG
AIG,1998-06-26,844.0435,846.6404,838.0957,838.8832,130601,AIG
AIG,1998-06-29,853.7274,863.3946,849.6226,850.7787,147220,AIG
AIG,1998-06-30,869.7277,869.7277,844.7974,853.1242,265769,AIG
AIG,1998-07-01,870.8502,872.3413,860.4291,870.5486,144215,AIG
AIG,1998-07-02,875.3238,875.6919,863.0261,875.6866,111279,AIG
AIG,1998-07-03,875.3238,875.6919,863.0261,875.6866,0,AIG
AIG,1998-07-06,886.8505,892.815,873.0785,874.7372,122174,AIG
AIG,1998-07-07,886.1133,893.1836,880.886,888.4756,181986,AIG
AIG,1998-07-08,886.1133,893.1836,883.885,884.7897,89457,AIG
AIG,1998-07-09,874.955,885.0075,872.7099,881.1038,157007,AIG
AIG,1998-07-10,887.5876,892.4464,863.026,871.3863,169832,AIG
AIG,1998-07-13,889.4641,893.1836,884.6222,886.9677,137601,AIG
AIG,1998-07-14,902.4989,906.9555,880.886,882.4441,216281,AIG
AIG,1998-07-15,889.464,899.8853,883.4998,899.5148,156100,AIG
AIG,1998-07-16,879.7802,890.9552,871.2188,890.9552,176328,AIG
AIG,1998-07-17,903.6047,909.2006,880.5341,882.4441,194324,AIG
AIG,1998-07-20,906.5869,914.3944,896.5344,903.0518,117172,AIG
AIG,1998-07-21,884.6222,911.4289,883.131,906.7377,138508,AIG
