Symbol,Date,Close,High,Low,Open,Volume,Name
ALB,1998-05-29,12.1565,12.219,12.0315,12.065,95000,ALB
ALB,1998-06-01,12.0315,12.5,12.0315,12.155,124800,ALB
ALB,1998-06-02,12.125,12.3125,11.9375,12.095,99600,ALB
ALB,1998-06-03,11.969,12.0625,11.875,12.0625,90600,ALB
ALB,1998-06-04,12.125,12.125,11.75,11.905,64000,ALB
ALB,1998-06-05,12.344,12.344,11.9375,12.125,32599,ALB
ALB,1998-06-08,12.219,12.344,11.844,12.344,70400,ALB
ALB,1998-06-09,12.094,12.219,11.8125,12.219,138600,ALB
ALB,1998-06-10,11.875,12.094,11.875,12.0,25800,ALB
ALB,1998-06-11,11.625,11.7815,11.375,11.72,105400,ALB
ALB,1998-06-12,11.4065,11.75,11.0625,11.75,153600,ALB
ALB,1998-06-15,11.344,11.469,11.3125,11.469,100600,ALB
ALB,1998-06-16,11.469,11.5315,11.2815,11.315,105800,ALB
ALB,1998-06-17,11.25,11.5,11.094,11.44,812400,ALB
ALB,1998-06-18,10.9065,11.0625,10.75,11.0625,148400,ALB
ALB,1998-06-19,11.0,11.1875,10.6565,10.6565,245400,ALB
ALB,1998-06-22,10.969,11.125,10.75,10.905,79400,ALB
ALB,1998-06-23,10.9065,11.219,10.875,11.065,178800,ALB
ALB,1998-06-24,10.9375,11.0,10.8125,10.815,118600,ALB
ALB,1998-06-25,11.0,11.5,10.8125,10.815,157000,ALB
ALB,1998-06-26,11.125,11.125,10.8125,11.095,123600,ALB
ALB,1998-06-29,10.969,11.219,10.8125,11.125,88400,ALB
ALB,1998-06-30,11.0315,11.25,10.7815,11.0,156400,ALB
ALB,1998-07-01,11.5315,11.594,11.1565,11.1565,197600,ALB
ALB,1998-07-02,11.6565,11.6565,11.25,11.375,192400,ALB
ALB,1998-07-03,11.6565,11.6565,11.25,11.375,0,ALB
ALB,1998-07-06,11.9375,11.9375,11.5315,11.565,181400,ALB
ALB,1998-07-07,11.9375,11.969,11.844,11.875,60600,ALB
ALB,1998-07-08,12.5,12.5,11.9065,11.97,229000,ALB
ALB,1998-07-09,12.219,12.5315,12.125,12.47,335200,ALB
ALB,1998-07-10,12.094,12.375,11.875,12.375,120600,ALB
ALB,1998-07-13,11.6875,12.0625,11.6875,12.0,75400,ALB
ALB,1998-07-14,11.5625,11.7815,11.5,11.625,39800,ALB
ALB,1998-07-15,11.5625,11.625,11.5,11.595,38400,ALB
ALB,1998-07-16,11.469,11.6565,11.375,11.53,147200,ALB
ALB,1998-07-17,11.5625,11.625,11.5,11.53,61000,ALB
ALB,1998-07-20,11.5625,11.6875,11.4065,11.595,167200,ALB
ALB,1998-07-21,11.25,11.4375,11.0,11.405,144400,ALB
ALB,1998-07-22,10.75,11.1875,10.75,11.1875,179200,ALB
ALB,1998-07-23,10.875,10.875,10.5625,10.75,172000,ALB
ALB,1998-07-24,10.469,10.875,10.344,10.815,220600,ALB
ALB,1998-07-27,10.4375,10.5,10.0625,10.44,75800,ALB
ALB,1998-07-28,10.094,10.469,10.0625,10.405,326000,ALB
ALB,1998-07-29,10.125,10.219,10.125,10.19,88200,ALB
ALB,1998-07-30,10.125,10.25,10.0315,10.155,168800,ALB
ALB,1998-07-31,9.6565,10.125,9.625,10.095,257600,ALB
ALB,1998-08-03,9.875,10.094,9.625,9.69,151800,ALB
ALB,1998-08-04,9.9065,10.0625,9.625,9.815,305800,ALB
ALB,1998-08-05,9.719,9.8125,9.5315,9.78,164400,ALB
ALB,1998-08-06,9.75,9.75,9.5315,9.69,90400,ALB
ALB,1998-08-07,10.0625,10.4065,9.75,9.75,169400,ALB
ALB,1998-08-10,9.969,10.1565,9.9065,10.155,172600,ALB
ALB,1998-08-11,9.75,9.844,9.375,9.844,110400,ALB
ALB,1998-08-12,9.5938,9.9688,9.5312,9.8125,54200,ALB
ALB,1998-08-13,9.219,9.625,9.125,9.565,343400,ALB
ALB,1998-08-14,9.219,9.375,8.9375,9.19,179600,ALB
ALB,1998-08-17,9.094,9.3125,9.094,9.25,157800,ALB
ALB,1998-08-18,9.25,9.25,9.0315,9.095,116400,ALB
ALB,1998-08-19,9.125,9.4065,9.0625,9.22,121000,ALB
ALB,1998-08-20,9.125,9.125,9.0,9.065,95800,ALB
ALB,1998-08-21,8.719,9.094,8.4065,9.094,132600,ALB
ALB,1998-08-24,9.4375,9.5,9.125,9.125,367200,ALB
ALB,1998-08-25,9.4065,9.625,9.4065,9.5,256000,ALB
ALB,1998-08-26,9.3125,9.4065,9.3125,9.375,323800,ALB
ALB,1998-08-27,8.75,9.3125,8.75,9.3125,208000,ALB
ALB,1998-08-28,8.8125,8.969,8.75,8.75,163400,ALB
ALB,1998-08-31,8.4065,8.7815,8.375,8.75,228200,ALB
ALB,1998-09-01,8.625,8.6875,8.4065,8.4065,169800,ALB
ALB,1998-09-02,8.7815,8.875,8.625,8.625,214800,ALB
ALB,1998-09-03,8.7815,8.844,8.6875,8.78,187000,ALB
ALB,1998-09-04,8.75,8.844,8.719,8.78,55400,ALB
ALB,1998-09-07,8.75,8.844,8.719,8.78,0,ALB
ALB,1998-09-08,9.0,9.094,8.75,8.75,155000,ALB
ALB,1998-09-09,8.7815,9.0,8.7815,8.97,219400,ALB
ALB,1998-09-10,8.75,8.969,8.75,8.815,123400,ALB
ALB,1998-09-11,8.8125,8.8125,8.6875,8.75,87400,ALB
ALB,1998-09-14,9.0,9.0,8.875,8.875,118800,ALB
ALB,1998-09-15,9.3125,9.3125,9.0,9.065,221000,ALB
ALB,1998-09-16,9.344,9.4375,9.3125,9.315,289600,ALB
ALB,1998-09-17,9.219,9.3125,9.1565,9.28,125000,ALB
ALB,1998-09-18,9.25,9.3125,9.0315,9.3125,223200,ALB
ALB,1998-09-21,9.25,9.25,9.125,9.19,151800,ALB
ALB,1998-09-22,9.344,9.344,9.219,9.22,244200,ALB
ALB,1998-09-23,9.5,9.6875,9.375,9.375,306400,ALB
ALB,1998-09-24,9.344,9.5625,9.2815,9.5,225400,ALB
ALB,1998-09-25,9.3125,9.4065,9.2815,9.315,166600,ALB
ALB,1998-09-28,9.1565,9.469,9.1565,9.315,120000,ALB
ALB,1998-09-29,9.1565,9.219,9.125,9.155,103400,ALB
ALB,1998-09-30,9.4065,9.4375,9.125,9.19,88800,ALB
ALB,1998-10-01,10.0625,10.3125,9.3125,9.315,274200,ALB
ALB,1998-10-02,9.9065,10.0625,9.8125,10.0625,73000,ALB
ALB,1998-10-05,9.5,9.7815,9.375,9.78,133600,ALB
ALB,1998-10-06,9.5315,9.7815,9.5,9.565,46000,ALB
ALB,1998-10-07,9.6875,9.6875,9.0625,9.315,125599,ALB
ALB,1998-10-08,9.75,9.75,9.3125,9.565,93400,ALB
ALB,1998-10-09,10.0625,10.0625,9.6875,9.75,71800,ALB
ALB,1998-10-12,9.8125,10.0625,9.625,10.0625,84200,ALB
ALB,1998-10-13,9.469,9.9065,9.3125,9.875,149600,ALB
ALB,1998-10-14,9.969,10.0,9.5,9.5,92000,ALB
ALB,1998-10-15,10.0625,10.125,9.844,10.0,192200,ALB
ALB,1998-10-16,10.4375,10.5625,10.125,10.125,95000,ALB
ALB,1998-10-19,10.375,10.5,10.375,10.405,103200,ALB
ALB,1998-10-20,10.4375,10.5,10.2815,10.405,116000,ALB
ALB,1998-10-21,10.1565,10.375,10.0315,10.19,215200,ALB
ALB,1998-10-22,10.094,10.25,10.0315,10.095,179400,ALB
ALB,1998-10-23,10.0,10.1095,9.969,10.065,76200,ALB
ALB,1998-10-26,10.0625,10.0625,9.875,9.94,58400,ALB
ALB,1998-10-27,10.125,10.1565,9.469,10.065,162200,ALB
ALB,1998-10-28,10.0,10.1875,9.9375,10.1875,70600,ALB
ALB,1998-10-29,9.969,10.0,9.875,10.0,59400,ALB
ALB,1998-10-30,9.5315,10.0,9.4375,9.94,174200,ALB
ALB,1998-11-02,9.625,9.8125,9.594,9.595,141000,ALB
ALB,1998-11-03,9.719,9.75,9.5315,9.69,136200,ALB
ALB,1998-11-04,9.719,9.9065,9.625,9.75,208600,ALB
ALB,1998-11-05,9.7815,9.844,9.6565,9.72,78400,ALB
ALB,1998-11-06,9.75,10.0,9.625,9.75,87800,ALB
ALB,1998-11-09,9.6565,9.844,9.6565,9.815,94800,ALB
ALB,1998-11-10,9.5625,9.625,9.5625,9.625,108600,ALB
ALB,1998-11-11,9.9375,9.969,9.5,9.69,106000,ALB
ALB,1998-11-12,9.5625,9.625,9.5625,9.625,108600,ALB
ALB,1998-11-13,9.6875,9.7815,9.594,9.69,109000,ALB
ALB,1998-11-16,9.5,9.8125,9.5,9.625,290800,ALB
ALB,1998-11-17,9.6565,9.6875,9.5,9.595,45600,ALB
ALB,1998-11-18,9.6565,9.6565,9.4375,9.625,47800,ALB
ALB,1998-11-19,9.719,9.844,9.594,9.625,134800,ALB
ALB,1998-11-20,9.5,9.75,9.375,9.75,36000,ALB
ALB,1998-11-23,9.8125,9.8125,9.5,9.565,117400,ALB
ALB,1998-11-24,9.594,9.9065,9.5625,9.815,86600,ALB
ALB,1998-11-25,9.594,9.9065,9.5625,9.815,0,ALB
ALB,1998-11-26,9.594,9.9065,9.5625,9.815,0,ALB
ALB,1998-11-27,9.6875,9.75,9.6565,9.6565,9800,ALB
ALB,1998-11-30,9.3125,9.75,9.125,9.69,157000,ALB
ALB,1998-12-01,9.4065,9.594,9.25,9.25,97400,ALB
ALB,1998-12-02,9.1565,9.469,9.125,9.469,87400,ALB
ALB,1998-12-03,9.0,9.219,9.0,9.125,74000,ALB
ALB,1998-12-04,9.0315,9.125,8.875,8.875,142000,ALB
ALB,1998-12-07,9.219,9.25,8.875,9.03,51800,ALB
ALB,1998-12-08,9.25,9.375,9.1565,9.1565,213600,ALB
ALB,1998-12-09,8.9375,9.375,8.8125,9.28,623200,ALB
ALB,1998-12-10,8.8125,9.0625,8.7815,8.94,99200,ALB
ALB,1998-12-11,8.6875,8.75,8.5625,8.565,74200,ALB
ALB,1998-12-14,8.3125,8.6875,8.25,8.6875,118200,ALB
ALB,1998-12-15,8.5315,8.625,8.0,8.375,203600,ALB
ALB,1998-12-16,8.594,8.6565,8.297,8.53,286800,ALB
ALB,1998-12-17,9.1565,9.1565,8.5,8.565,320400,ALB
ALB,1998-12-18,9.9375,10.0,9.1875,9.22,395800,ALB
ALB,1998-12-21,10.625,10.625,9.75,9.905,178600,ALB
ALB,1998-12-22,10.344,10.6875,10.25,10.655,220000,ALB
ALB,1998-12-23,9.75,10.594,9.75,10.345,112800,ALB
ALB,1998-12-24,10.1875,10.3125,9.8125,9.815,98200,ALB
ALB,1998-12-25,10.1875,10.3125,9.8125,9.815,0,ALB
ALB,1998-12-28,10.4065,10.625,10.1565,10.19,63400,ALB
ALB,1998-12-29,10.9375,11.094,10.4065,10.44,86200,ALB
ALB,1998-12-30,11.1565,11.25,10.9065,10.94,132000,ALB
ALB,1998-12-31,11.875,11.875,11.1565,11.1565,146400,ALB
ALB,1999-01-01,11.875,11.875,11.1565,11.1565,0,ALB
ALB,1999-01-04,12.0315,12.094,11.4065,11.815,226800,ALB
ALB,1999-01-05,11.9065,12.094,11.875,12.0,151000,ALB
ALB,1999-01-06,11.844,11.969,11.5,11.815,137000,ALB
ALB,1999-01-07,11.344,11.9065,11.0,11.78,114000,ALB
ALB,1999-01-08,11.375,11.5625,11.25,11.405,137800,ALB
ALB,1999-01-11,11.5,11.75,11.4065,11.4065,74600,ALB
ALB,1999-01-12,11.344,11.594,11.219,11.25,177400,ALB
ALB,1999-01-13,11.4065,11.5,11.1565,11.25,53600,ALB
ALB,1999-01-14,11.0,11.3125,11.0,11.3125,88600,ALB
ALB,1999-01-15,11.25,11.25,10.9065,11.0,52200,ALB
ALB,1999-01-18,11.25,11.25,10.9065,11.0,0,ALB
ALB,1999-01-19,11.5625,11.719,11.25,11.25,102400,ALB
ALB,1999-01-20,11.3125,11.5625,11.3125,11.5,130200,ALB
ALB,1999-01-21,11.219,11.625,11.219,11.375,48800,ALB
ALB,1999-01-22,11.344,11.844,11.25,11.345,104800,ALB
ALB,1999-01-25,11.0,11.375,10.719,11.28,150800,ALB
ALB,1999-01-26,11.4375,11.4375,11.0,11.0,262000,ALB
ALB,1999-01-27,11.125,11.5,11.0625,11.44,73400,ALB
ALB,1999-01-28,11.2815,11.3125,11.094,11.125,68600,ALB
ALB,1999-01-29,11.594,11.625,11.3125,11.375,124800,ALB
ALB,1999-02-01,11.6875,11.6875,11.5625,11.655,102400,ALB
ALB,1999-02-02,12.0625,12.0625,11.6565,11.69,201800,ALB
ALB,1999-02-03,11.969,12.0,11.6875,12.0,68600,ALB
ALB,1999-02-04,12.2815,12.2815,11.875,11.875,126800,ALB
ALB,1999-02-05,11.9375,12.25,11.9065,12.125,125400,ALB
ALB,1999-02-08,11.7815,12.0625,11.7815,11.94,52800,ALB
ALB,1999-02-09,12.0,12.0,11.75,11.875,130200,ALB
ALB,1999-02-10,11.594,12.1565,11.594,12.0,107200,ALB
ALB,1999-02-11,11.6875,11.6875,11.594,11.595,51000,ALB
ALB,1999-02-12,11.344,11.9375,11.344,11.625,117000,ALB
ALB,1999-02-15,11.344,11.9375,11.344,11.625,0,ALB
