Symbol,Date,Close,High,Low,Open,Volume,Name
ALXN,1998-05-29,2.9688,3.0625,2.9375,3.0625,13200,ALXN
ALXN,1998-06-01,2.8438,2.9688,2.8438,2.9688,40000,ALXN
ALXN,1998-06-02,2.6562,2.875,2.6562,2.8275,146000,ALXN
ALXN,1998-06-03,2.6875,2.75,2.5938,2.72,258799,ALXN
ALXN,1998-06-04,2.6562,2.6875,2.625,2.625,80400,ALXN
ALXN,1998-06-05,2.6875,2.7188,2.625,2.6575,123600,ALXN
ALXN,1998-06-08,2.8438,2.9688,2.7812,2.8125,401200,ALXN
ALXN,1998-06-09,2.75,2.8908,2.75,2.845,209600,ALXN
ALXN,1998-06-10,2.7812,2.8125,2.75,2.75,64800,ALXN
ALXN,1998-06-11,2.7188,2.8125,2.7188,2.8125,174400,ALXN
ALXN,1998-06-12,2.6562,2.75,2.6562,2.72,126000,ALXN
ALXN,1998-06-15,2.75,2.8125,2.6562,2.72,901600,ALXN
ALXN,1998-06-16,2.7812,2.797,2.6875,2.6875,320000,ALXN
ALXN,1998-06-17,2.7658,2.8282,2.75,2.7825,346400,ALXN
ALXN,1998-06-18,2.8125,2.8438,2.7658,2.7825,66800,ALXN
ALXN,1998-06-19,2.8438,2.875,2.8438,2.875,2800,ALXN
ALXN,1998-06-22,2.75,2.875,2.75,2.8125,134000,ALXN
ALXN,1998-06-23,2.7812,2.8125,2.75,2.75,18000,ALXN
ALXN,1998-06-24,2.5938,2.8282,2.5625,2.8275,134400,ALXN
ALXN,1998-06-25,2.4688,2.6875,2.4688,2.6875,137200,ALXN
ALXN,1998-06-26,2.4688,2.5312,2.4688,2.5312,60000,ALXN
ALXN,1998-06-29,2.4845,2.5625,2.4688,2.5625,197600,ALXN
ALXN,1998-06-30,2.5,2.5,2.4375,2.5,442000,ALXN
ALXN,1998-07-01,2.4062,2.5,2.2812,2.4375,150000,ALXN
ALXN,1998-07-02,2.375,2.4375,2.375,2.375,83600,ALXN
ALXN,1998-07-03,2.375,2.4375,2.375,2.375,0,ALXN
ALXN,1998-07-06,2.3438,2.375,2.2812,2.36,58400,ALXN
ALXN,1998-07-07,2.25,2.375,2.2032,2.375,546400,ALXN
ALXN,1998-07-08,2.2188,2.3125,2.2188,2.3125,68800,ALXN
ALXN,1998-07-09,2.2188,2.2812,2.2188,2.2812,61200,ALXN
ALXN,1998-07-10,2.25,2.3438,2.2345,2.25,258799,ALXN
ALXN,1998-07-13,2.3125,2.3438,2.2578,2.2825,80800,ALXN
ALXN,1998-07-14,2.25,2.4062,2.25,2.375,151600,ALXN
ALXN,1998-07-15,2.297,2.3438,2.25,2.25,42800,ALXN
ALXN,1998-07-16,2.25,2.3125,2.1875,2.2825,78000,ALXN
ALXN,1998-07-17,2.25,2.25,2.1875,2.1875,72400,ALXN
ALXN,1998-07-20,2.125,2.25,2.0,2.25,553200,ALXN
ALXN,1998-07-21,2.2345,2.3438,2.1875,2.1875,127599,ALXN
ALXN,1998-07-22,2.375,2.375,2.2188,2.22,39600,ALXN
ALXN,1998-07-23,2.2188,2.375,2.2188,2.375,225600,ALXN
ALXN,1998-07-24,2.25,2.297,2.2188,2.297,65600,ALXN
ALXN,1998-07-27,2.25,2.2812,2.1875,2.22,1893200,ALXN
ALXN,1998-07-28,2.4375,2.4532,2.2812,2.2825,496400,ALXN
ALXN,1998-07-29,2.625,2.625,2.4375,2.4375,123600,ALXN
ALXN,1998-07-30,2.672,2.672,2.6408,2.6408,40000,ALXN
ALXN,1998-07-31,2.4062,2.6875,2.4062,2.6875,121600,ALXN
ALXN,1998-08-03,2.3438,2.5,2.3438,2.4525,80400,ALXN
ALXN,1998-08-04,2.1875,2.4375,2.0938,2.375,168000,ALXN
ALXN,1998-08-05,2.2188,2.2188,2.125,2.125,67600,ALXN
ALXN,1998-08-06,2.1562,2.1562,2.1562,2.1562,17600,ALXN
ALXN,1998-08-07,2.1562,2.25,2.1562,2.25,49600,ALXN
ALXN,1998-08-10,2.1562,2.25,2.1562,2.25,10000,ALXN
ALXN,1998-08-11,1.9688,2.125,1.8438,2.0325,157600,ALXN
ALXN,1998-08-12,2.0312,2.125,1.9532,2.0,76800,ALXN
ALXN,1998-08-13,2.047,2.0938,2.0,2.0,14000,ALXN
ALXN,1998-08-14,2.0,2.0938,2.0,2.0625,24800,ALXN
ALXN,1998-08-17,2.047,2.0938,2.0,2.0625,144800,ALXN
ALXN,1998-08-18,2.0938,2.1095,2.047,2.0475,35200,ALXN
ALXN,1998-08-19,2.0312,2.125,1.9375,2.0625,141600,ALXN
ALXN,1998-08-20,2.0625,2.0938,2.0,2.0,146400,ALXN
ALXN,1998-08-21,2.0938,2.0938,2.0312,2.0625,38000,ALXN
ALXN,1998-08-24,2.0625,2.0938,2.0625,2.0625,29200,ALXN
ALXN,1998-08-25,2.0625,2.1562,2.0625,2.125,105200,ALXN
ALXN,1998-08-26,2.0,2.0938,2.0,2.0625,144800,ALXN
ALXN,1998-08-27,1.8438,2.0,1.8125,2.0,79200,ALXN
ALXN,1998-08-28,1.8438,1.9375,1.8125,1.8125,58800,ALXN
ALXN,1998-08-31,1.8438,1.875,1.8125,1.8125,77200,ALXN
ALXN,1998-09-01,1.9375,1.9375,1.8125,1.875,27200,ALXN
ALXN,1998-09-02,1.9062,2.0,1.8125,1.875,48800,ALXN
ALXN,1998-09-03,1.75,1.875,1.75,1.845,171200,ALXN
ALXN,1998-09-04,1.6875,1.7658,1.6875,1.75,42800,ALXN
ALXN,1998-09-07,1.6875,1.7658,1.6875,1.75,0,ALXN
ALXN,1998-09-08,1.5782,1.8125,1.4688,1.8125,448400,ALXN
ALXN,1998-09-09,1.5625,1.5938,1.5312,1.5325,42000,ALXN
ALXN,1998-09-10,1.5,1.5938,1.5,1.5938,136800,ALXN
ALXN,1998-09-11,1.5938,1.5938,1.5,1.5,67600,ALXN
ALXN,1998-09-14,1.5938,1.5938,1.5625,1.5625,5600,ALXN
ALXN,1998-09-15,1.7032,1.7345,1.5625,1.595,52400,ALXN
ALXN,1998-09-16,1.7188,1.7812,1.7188,1.75,60800,ALXN
ALXN,1998-09-17,1.7032,1.7812,1.6875,1.72,144800,ALXN
ALXN,1998-09-18,1.8438,1.8438,1.6875,1.6875,34400,ALXN
ALXN,1998-09-21,1.75,1.8125,1.75,1.7825,22800,ALXN
ALXN,1998-09-22,1.75,1.797,1.7188,1.75,35200,ALXN
ALXN,1998-09-23,2.0782,2.0782,1.75,1.75,272000,ALXN
ALXN,1998-09-24,2.0625,2.2188,2.0625,2.0781,72000,ALXN
ALXN,1998-09-25,1.9062,2.0,1.875,2.0,110000,ALXN
ALXN,1998-09-28,1.9375,1.9375,1.9375,1.9375,4000,ALXN
ALXN,1998-09-29,2.2188,2.2188,2.0,2.0,160400,ALXN
ALXN,1998-09-30,2.3125,2.3125,2.1562,2.1575,88000,ALXN
ALXN,1998-10-01,2.25,2.5625,2.2188,2.265,1734000,ALXN
ALXN,1998-10-02,2.4688,2.4688,2.2188,2.22,206800,ALXN
ALXN,1998-10-05,2.2345,2.3125,2.2345,2.2825,312800,ALXN
ALXN,1998-10-06,2.25,2.4062,2.25,2.3125,22400,ALXN
ALXN,1998-10-07,2.1562,2.25,2.125,2.1875,25200,ALXN
ALXN,1998-10-08,2.125,2.125,2.0312,2.0325,268000,ALXN
ALXN,1998-10-09,2.0312,2.25,2.0312,2.125,140800,ALXN
ALXN,1998-10-12,1.8125,2.125,1.8125,2.0325,222400,ALXN
ALXN,1998-10-13,1.7188,1.8282,1.625,1.8125,536400,ALXN
ALXN,1998-10-14,1.797,1.8125,1.7032,1.7032,130800,ALXN
ALXN,1998-10-15,1.7032,1.8125,1.6562,1.72,103600,ALXN
ALXN,1998-10-16,1.5625,1.6875,1.5312,1.6875,111200,ALXN
ALXN,1998-10-19,1.625,1.6875,1.375,1.5325,260799,ALXN
ALXN,1998-10-20,1.5625,1.6562,1.4688,1.6562,312400,ALXN
ALXN,1998-10-21,1.75,1.75,1.5312,1.6575,134000,ALXN
ALXN,1998-10-22,1.75,1.7812,1.625,1.7812,214000,ALXN
ALXN,1998-10-23,1.7031,1.75,1.5938,1.6562,189200,ALXN
ALXN,1998-10-26,2.1719,2.1719,1.75,1.8125,388000,ALXN
ALXN,1998-10-27,2.172,2.2188,1.875,1.875,422400,ALXN
ALXN,1998-10-28,2.3595,2.3595,2.0625,2.0625,157600,ALXN
ALXN,1998-10-29,2.4688,2.4688,2.25,2.25,109600,ALXN
ALXN,1998-10-30,2.0625,2.4688,2.0312,2.4688,177600,ALXN
ALXN,1998-11-02,2.125,2.1875,2.0938,2.095,138000,ALXN
ALXN,1998-11-03,2.1562,2.2188,2.125,2.1875,226000,ALXN
ALXN,1998-11-04,2.1875,2.4062,2.1562,2.22,273200,ALXN
ALXN,1998-11-05,2.4688,2.4688,2.1562,2.22,89200,ALXN
ALXN,1998-11-06,2.7658,2.8438,2.2812,2.345,2116800,ALXN
ALXN,1998-11-09,2.7658,2.9062,2.5625,2.845,726400,ALXN
ALXN,1998-11-10,2.672,2.75,2.672,2.75,245600,ALXN
ALXN,1998-11-11,2.75,2.7812,2.6562,2.6562,505200,ALXN
ALXN,1998-11-12,3.25,3.5938,2.75,2.75,1712800,ALXN
ALXN,1998-11-13,3.0625,3.375,3.0625,3.0938,340400,ALXN
ALXN,1998-11-16,3.1094,3.375,3.0312,3.0938,212000,ALXN
ALXN,1998-11-17,3.25,3.2812,3.1095,3.1575,350800,ALXN
ALXN,1998-11-18,3.2812,3.3125,3.1408,3.3125,437200,ALXN
ALXN,1998-11-19,3.2345,3.2812,3.1875,3.2812,156400,ALXN
ALXN,1998-11-20,3.25,3.3282,3.2032,3.22,131600,ALXN
ALXN,1998-11-23,3.125,3.2812,3.0625,3.2812,88000,ALXN
ALXN,1998-11-24,2.9688,3.0312,2.9062,3.0,618800,ALXN
ALXN,1998-11-25,2.7344,2.9688,2.7344,2.9375,269200,ALXN
ALXN,1998-11-26,2.7344,2.9688,2.7344,2.9375,0,ALXN
ALXN,1998-11-27,2.9688,2.9688,2.7812,2.845,173600,ALXN
ALXN,1998-11-30,2.75,3.4375,2.75,3.0,365600,ALXN
ALXN,1998-12-01,2.75,3.0312,2.6562,2.8438,443200,ALXN
ALXN,1998-12-02,2.9375,2.9375,2.875,2.9375,201200,ALXN
ALXN,1998-12-03,3.0,3.0,2.8438,2.9075,164800,ALXN
ALXN,1998-12-04,2.9375,3.0,2.9375,2.9375,89200,ALXN
ALXN,1998-12-07,2.8908,3.0,2.8438,2.9375,197200,ALXN
ALXN,1998-12-08,2.8438,2.8438,2.8282,2.8438,34000,ALXN
ALXN,1998-12-09,2.8125,2.9375,2.7812,2.9075,111200,ALXN
ALXN,1998-12-10,2.8438,2.9375,2.8438,2.9062,16400,ALXN
ALXN,1998-12-11,2.7031,2.9375,2.6562,2.7812,193600,ALXN
ALXN,1998-12-14,2.5,2.6562,2.4375,2.6562,102400,ALXN
ALXN,1998-12-15,2.5,2.6562,2.4375,2.6562,80800,ALXN
ALXN,1998-12-16,2.4688,2.5312,2.4688,2.5312,96800,ALXN
ALXN,1998-12-17,2.4688,2.4688,2.3908,2.4688,42400,ALXN
ALXN,1998-12-18,2.7188,2.7812,2.4375,2.47,175200,ALXN
ALXN,1998-12-21,2.9375,2.9375,2.6875,2.72,245600,ALXN
ALXN,1998-12-22,2.8438,2.9375,2.75,2.9375,162000,ALXN
ALXN,1998-12-23,2.875,3.047,2.7812,2.8125,138000,ALXN
ALXN,1998-12-24,2.875,2.9688,2.875,2.9688,11200,ALXN
ALXN,1998-12-25,2.875,2.9688,2.875,2.9688,0,ALXN
ALXN,1998-12-28,3.0938,3.0938,2.875,2.875,63200,ALXN
