Symbol,Date,Close,High,Low,Open,Volume,Name
AMAT,1998-05-29,8.0,8.625,8.0,8.45,19206400,AMAT
AMAT,1998-06-01,7.485,8.125,7.344,7.97,45370000,AMAT
AMAT,1998-06-02,7.641,7.969,7.532,7.63,32999200,AMAT
AMAT,1998-06-03,7.344,7.782,7.282,7.75,31540800,AMAT
AMAT,1998-06-04,7.188,7.469,7.11,7.469,34588400,AMAT
AMAT,1998-06-05,7.407,7.485,7.157,7.27,23527600,AMAT
AMAT,1998-06-08,7.532,7.641,7.407,7.49,17724000,AMAT
AMAT,1998-06-09,7.532,7.641,7.391,7.58,19918000,AMAT
AMAT,1998-06-10,7.188,7.5,7.141,7.45,21368800,AMAT
AMAT,1998-06-11,7.063,7.282,6.985,7.19,27654800,AMAT
AMAT,1998-06-12,7.063,7.157,6.5,6.88,52898400,AMAT
AMAT,1998-06-15,6.797,7.25,6.766,6.99,29848800,AMAT
AMAT,1998-06-16,7.282,7.313,6.797,7.0,32643200,AMAT
AMAT,1998-06-17,6.875,7.391,6.766,7.28,38053200,AMAT
AMAT,1998-06-18,6.985,7.125,6.844,6.97,23092400,AMAT
AMAT,1998-06-19,6.8438,7.1562,6.7969,6.9688,21664800,AMAT
AMAT,1998-06-22,7.141,7.188,6.782,6.88,27436400,AMAT
AMAT,1998-06-23,7.344,7.454,7.235,7.25,27906400,AMAT
AMAT,1998-06-24,7.688,7.735,7.157,7.42,35586800,AMAT
AMAT,1998-06-25,7.469,8.0,7.422,7.86,29460400,AMAT
AMAT,1998-06-26,7.5,7.735,7.469,7.55,14537200,AMAT
AMAT,1998-06-29,7.5781,7.7188,7.4844,7.5078,13545200,AMAT
AMAT,1998-06-30,7.375,7.579,7.36,7.53,21902800,AMAT
AMAT,1998-07-01,7.6094,7.7188,7.4375,7.4375,31617200,AMAT
AMAT,1998-07-02,7.422,7.547,7.172,7.52,40106800,AMAT
AMAT,1998-07-03,7.422,7.547,7.172,7.52,0,AMAT
AMAT,1998-07-06,7.594,7.641,7.407,7.58,17442000,AMAT
AMAT,1998-07-07,7.844,7.875,7.375,7.61,29942800,AMAT
AMAT,1998-07-08,7.5,7.969,7.469,7.89,43248800,AMAT
AMAT,1998-07-09,7.25,7.407,7.172,7.407,40324800,AMAT
AMAT,1998-07-10,7.375,7.407,7.141,7.25,26544400,AMAT
AMAT,1998-07-13,7.1406,7.3125,6.875,7.0,54028000,AMAT
AMAT,1998-07-14,7.125,7.204,6.875,7.17,34124000,AMAT
AMAT,1998-07-15,7.657,7.75,7.141,7.19,36139600,AMAT
AMAT,1998-07-16,7.797,8.0,7.672,7.77,32633200,AMAT
AMAT,1998-07-17,7.704,7.766,7.579,7.75,17717600,AMAT
AMAT,1998-07-20,7.657,7.719,7.579,7.67,11790800,AMAT
AMAT,1998-07-21,7.985,8.235,7.735,7.75,39497200,AMAT
AMAT,1998-07-22,7.829,7.985,7.594,7.85,22879200,AMAT
AMAT,1998-07-23,7.641,7.875,7.516,7.77,17269600,AMAT
AMAT,1998-07-24,7.735,7.985,7.5,7.66,16150800,AMAT
