Symbol,Date,Close,High,Low,Open,Volume,Name
AME,1998-05-29,4.2779,4.4444,4.2593,4.2607,240975,AME
AME,1998-06-01,4.3058,4.3333,4.2871,4.2874,184950,AME
AME,1998-06-02,4.315,4.3333,4.2779,4.3052,314550,AME
AME,1998-06-03,4.3799,4.4169,4.315,4.317,430650,AME
AME,1998-06-04,4.4261,4.4353,4.352,4.3526,189000,AME
AME,1998-06-05,4.3799,4.4815,4.3704,4.4444,233550,AME
AME,1998-06-08,4.3148,4.4907,4.3056,4.3981,519074,AME
AME,1998-06-09,4.3704,4.4444,4.3428,4.3437,174150,AME
AME,1998-06-10,4.3704,4.4169,4.3333,4.3526,367200,AME
AME,1998-06-11,4.3704,4.389,4.3612,4.3793,175500,AME
AME,1998-06-12,4.3333,4.3333,4.2963,4.3259,495450,AME
AME,1998-06-15,4.2593,4.3241,4.2593,4.3052,542700,AME
AME,1998-06-16,4.3428,4.3428,4.2963,4.2963,369900,AME
AME,1998-06-17,4.3241,4.3982,4.2779,4.3348,741150,AME
AME,1998-06-18,4.315,4.3241,4.3058,4.3241,195075,AME
AME,1998-06-19,4.2963,4.3241,4.2963,4.2963,384075,AME
AME,1998-06-22,4.389,4.4074,4.2963,4.2963,663525,AME
AME,1998-06-23,4.3612,4.3799,4.352,4.3526,1121850,AME
AME,1998-06-24,4.3333,4.3704,4.3241,4.3526,170100,AME
AME,1998-06-25,4.3241,4.3428,4.315,4.3428,76275,AME
AME,1998-06-26,4.3333,4.3612,4.3241,4.3259,340875,AME
AME,1998-06-29,4.3612,4.389,4.3428,4.3526,814725,AME
AME,1998-06-30,4.3428,4.3612,4.3428,4.3526,230850,AME
AME,1998-07-01,4.3799,4.389,4.352,4.3615,676350,AME
AME,1998-07-02,4.315,4.3799,4.2687,4.3793,290250,AME
AME,1998-07-03,4.315,4.3799,4.2687,4.3793,0,AME
AME,1998-07-06,4.2779,4.3612,4.2687,4.3348,549450,AME
AME,1998-07-07,4.3428,4.3428,4.2409,4.2874,1297350,AME
AME,1998-07-08,4.4353,4.4444,4.2779,4.3348,137700,AME
AME,1998-07-09,4.3982,4.4074,4.3612,4.4,100575,AME
AME,1998-07-10,4.3704,4.3982,4.352,4.3911,136350,AME
AME,1998-07-13,4.3704,4.3704,4.287,4.3611,273375,AME
AME,1998-07-14,4.3333,4.3333,4.2871,4.2963,519074,AME
AME,1998-07-15,4.389,4.389,4.2963,4.2963,596700,AME
AME,1998-07-16,4.4169,4.4169,4.3612,4.3704,209925,AME
AME,1998-07-17,4.5926,4.5926,4.4169,4.4178,409050,AME
AME,1998-07-20,4.3612,4.6021,4.3612,4.5926,371925,AME
AME,1998-07-21,4.389,4.4444,4.3612,4.3615,1290600,AME
AME,1998-07-22,4.1852,4.3612,4.1206,4.3612,200475,AME
AME,1998-07-23,3.9446,4.1852,3.8889,4.1852,285525,AME
AME,1998-07-24,3.9259,4.0557,3.8889,3.9644,262575,AME
AME,1998-07-27,3.9076,3.9259,3.8519,3.9259,513675,AME
AME,1998-07-28,3.8613,4.0,3.8613,3.9259,499500,AME
AME,1998-07-29,3.7873,3.8613,3.7873,3.8519,278100,AME
AME,1998-07-30,3.7964,3.7964,3.7132,3.7867,1308825,AME
AME,1998-07-31,3.7132,3.9167,3.7132,3.8163,346950,AME
AME,1998-08-03,3.8056,3.8243,3.6296,3.6859,485325,AME
AME,1998-08-04,3.6945,3.8148,3.6945,3.8074,430650,AME
AME,1998-08-05,3.6852,3.7407,3.6667,3.7037,334125,AME
AME,1998-08-06,3.8427,3.8427,3.6945,3.6948,167400,AME
AME,1998-08-07,3.8056,3.9076,3.7594,3.843,607500,AME
AME,1998-08-10,3.6945,3.8056,3.6853,3.8056,273375,AME
AME,1998-08-11,3.5926,3.6204,3.5464,3.6204,299700,AME
AME,1998-08-12,3.7132,3.7224,3.6113,3.6119,154575,AME
AME,1998-08-13,3.6391,3.7037,3.6296,3.6948,572400,AME
AME,1998-08-14,3.6853,3.6945,3.6113,3.6504,148500,AME
AME,1998-08-17,3.6945,3.7037,3.6853,3.6859,295650,AME
AME,1998-08-18,3.6945,3.7037,3.6853,3.6859,547425,AME
