Symbol,Date,Close,High,Low,Open,Volume,Name
AMGN,1998-05-29,15.125,15.438,15.11,15.22,8228000,AMGN
AMGN,1998-06-01,14.938,15.266,14.938,15.11,7576000,AMGN
AMGN,1998-06-02,15.5,15.688,14.907,14.91,12789600,AMGN
AMGN,1998-06-03,15.407,15.657,15.219,15.53,7257200,AMGN
AMGN,1998-06-04,15.516,15.516,15.188,15.38,5218000,AMGN
AMGN,1998-06-05,15.829,15.922,15.438,15.52,9120000,AMGN
AMGN,1998-06-08,15.922,16.063,15.782,15.81,7436000,AMGN
AMGN,1998-06-09,16.047,16.063,15.875,15.91,5090000,AMGN
AMGN,1998-06-10,15.875,16.125,15.75,15.94,10424000,AMGN
AMGN,1998-06-11,15.829,16.188,15.75,15.89,8678800,AMGN
AMGN,1998-06-12,15.891,15.938,15.422,15.85,8114400,AMGN
AMGN,1998-06-15,15.516,15.907,15.25,15.66,6061600,AMGN
AMGN,1998-06-16,15.532,15.688,15.375,15.63,5842000,AMGN
AMGN,1998-06-17,15.579,15.688,15.485,15.56,5654400,AMGN
AMGN,1998-06-18,15.5,15.563,15.438,15.47,4208000,AMGN
AMGN,1998-06-19,15.391,15.594,15.219,15.58,7725200,AMGN
AMGN,1998-06-22,15.032,15.266,14.969,15.25,7261200,AMGN
AMGN,1998-06-23,15.672,15.766,15.172,15.31,14370000,AMGN
AMGN,1998-06-24,16.688,16.813,15.547,15.63,28066000,AMGN
AMGN,1998-06-25,16.125,16.563,16.063,16.53,10864800,AMGN
AMGN,1998-06-26,16.25,16.532,16.0,16.11,6213600,AMGN
AMGN,1998-06-29,16.375,16.532,16.25,16.3,5605600,AMGN
AMGN,1998-06-30,16.344,16.594,16.266,16.34,8828800,AMGN
AMGN,1998-07-01,16.375,16.391,16.063,16.34,5849600,AMGN
AMGN,1998-07-02,16.719,16.782,16.282,16.33,6337600,AMGN
AMGN,1998-07-03,16.719,16.782,16.282,16.33,0,AMGN
AMGN,1998-07-06,16.969,16.969,16.657,16.78,13748400,AMGN
AMGN,1998-07-07,17.11,17.219,16.938,16.95,8902800,AMGN
AMGN,1998-07-08,17.25,17.282,16.875,17.08,6982400,AMGN
AMGN,1998-07-09,16.844,17.375,16.813,17.24,6264400,AMGN
AMGN,1998-07-10,17.016,17.25,16.782,16.8,6040000,AMGN
AMGN,1998-07-13,17.125,17.125,17.0,17.02,2762000,AMGN
AMGN,1998-07-14,17.485,17.5,17.063,17.09,8060400,AMGN
AMGN,1998-07-15,17.719,18.094,17.344,17.45,18042400,AMGN
AMGN,1998-07-16,17.625,17.938,17.5,17.72,5152800,AMGN
AMGN,1998-07-17,18.125,18.188,17.547,17.67,7685600,AMGN
AMGN,1998-07-20,18.172,18.547,17.969,18.17,10100400,AMGN
AMGN,1998-07-21,18.547,18.688,18.188,18.2,17837200,AMGN
AMGN,1998-07-22,17.891,18.547,17.563,18.42,11611600,AMGN
AMGN,1998-07-23,19.079,19.844,18.813,18.84,47720000,AMGN
AMGN,1998-07-24,18.891,19.188,18.688,19.16,17139600,AMGN
AMGN,1998-07-27,18.641,18.875,18.438,18.72,13402800,AMGN
AMGN,1998-07-28,18.516,18.594,18.344,18.56,13910000,AMGN
AMGN,1998-07-29,18.735,18.75,18.235,18.53,16183200,AMGN
AMGN,1998-07-30,19.0,19.094,18.61,18.78,17542000,AMGN
AMGN,1998-07-31,18.36,19.0,18.344,19.0,9973200,AMGN
AMGN,1998-08-03,18.079,18.375,18.0,18.25,9010000,AMGN
AMGN,1998-08-04,17.157,18.172,17.157,18.09,11658800,AMGN
AMGN,1998-08-05,17.391,17.625,16.844,17.16,13051200,AMGN
AMGN,1998-08-06,17.079,17.25,16.938,17.03,10510800,AMGN
AMGN,1998-08-07,17.672,18.0,17.219,17.22,13372000,AMGN
AMGN,1998-08-10,17.954,18.063,17.688,17.75,10637200,AMGN
AMGN,1998-08-11,17.407,17.625,17.282,17.53,8442000,AMGN
AMGN,1998-08-12,17.391,17.688,17.219,17.56,5564400,AMGN
AMGN,1998-08-13,16.985,17.782,16.969,17.36,12189200,AMGN
AMGN,1998-08-14,17.407,17.579,17.063,17.063,6367600,AMGN
AMGN,1998-08-17,17.719,17.75,17.391,17.41,6397600,AMGN
AMGN,1998-08-18,17.625,17.844,17.438,17.66,9128000,AMGN
AMGN,1998-08-19,17.516,17.672,17.375,17.61,7432800,AMGN
AMGN,1998-08-20,17.36,17.579,17.344,17.44,5981600,AMGN
AMGN,1998-08-21,16.766,17.172,16.438,17.13,12822800,AMGN
AMGN,1998-08-24,17.3438,17.5,16.875,16.875,8686400,AMGN
AMGN,1998-08-25,17.657,18.11,17.407,17.41,16223600,AMGN
AMGN,1998-08-26,17.5,17.797,17.344,17.41,5687600,AMGN
AMGN,1998-08-27,16.938,17.375,16.5,17.25,12593200,AMGN
AMGN,1998-08-28,16.282,16.969,15.907,16.84,11847200,AMGN
AMGN,1998-08-31,15.219,16.625,15.0,16.28,12009600,AMGN
AMGN,1998-09-01,15.313,15.625,14.485,15.28,19679600,AMGN
AMGN,1998-09-02,15.875,16.563,15.438,15.47,15342400,AMGN
AMGN,1998-09-03,16.0,16.282,15.282,15.47,9315600,AMGN
AMGN,1998-09-04,15.954,16.297,15.704,16.13,7236800,AMGN
AMGN,1998-09-07,15.954,16.297,15.704,16.13,0,AMGN
AMGN,1998-09-08,17.438,17.438,16.547,17.13,13072400,AMGN
AMGN,1998-09-09,17.11,17.438,17.094,17.22,9877600,AMGN
AMGN,1998-09-10,17.75,17.7812,16.6406,17.1172,15548800,AMGN
AMGN,1998-09-11,18.125,18.3594,16.875,17.7109,21856400,AMGN
AMGN,1998-09-14,17.985,18.563,17.782,18.28,10128800,AMGN
AMGN,1998-09-15,17.907,18.407,17.672,17.69,10981200,AMGN
AMGN,1998-09-16,17.782,18.188,17.485,18.13,10936400,AMGN
AMGN,1998-09-17,17.9062,18.2344,17.3438,17.7734,9969600,AMGN
AMGN,1998-09-18,18.313,18.329,17.907,18.09,10760400,AMGN
AMGN,1998-09-21,18.813,18.813,17.813,17.88,21921200,AMGN
