Symbol,Date,Close,High,Low,Open,Volume,Name
AMP,2005-09-15,37.01,38.1,37.0,38.02,1529800,AMP
AMP,2005-09-16,36.6,37.0,36.6,37.0,62400,AMP
AMP,2005-09-19,36.7,36.7,36.45,36.6,1162300,AMP
AMP,2005-09-20,36.7,37.0,36.6,36.6,654900,AMP
AMP,2005-09-21,36.4,36.6,36.0,36.6,424300,AMP
AMP,2005-09-22,37.2,37.2,36.4,36.4,864800,AMP
AMP,2005-09-23,37.68,38.1,37.2,37.2,1249900,AMP
AMP,2005-09-26,37.75,38.15,37.75,37.75,821400,AMP
AMP,2005-09-27,37.25,37.9,37.14,37.75,1514000,AMP
AMP,2005-09-28,37.0,37.4,36.8,37.24,875700,AMP
AMP,2005-09-29,36.6,36.91,36.25,36.91,2659200,AMP
AMP,2005-09-30,35.8,36.6,35.6,36.6,4014800,AMP
AMP,2005-10-03,34.7,35.9,34.17,35.3,10007000,AMP
AMP,2005-10-04,33.9,34.3,33.25,34.0,7693300,AMP
AMP,2005-10-05,33.65,34.1,33.32,34.0,6302300,AMP
AMP,2005-10-06,33.37,33.65,33.21,33.4,7496000,AMP
AMP,2005-10-07,33.6,33.6,33.13,33.28,6972100,AMP
AMP,2005-10-10,33.03,33.6,33.0,33.6,3377300,AMP
AMP,2005-10-11,33.0,33.39,32.98,33.04,3647900,AMP
AMP,2005-10-12,32.77,33.3,32.72,32.9,3935400,AMP
AMP,2005-10-13,32.55,32.7,32.48,32.53,3181000,AMP
AMP,2005-10-14,32.39,32.75,32.38,32.52,2450300,AMP
AMP,2005-10-17,32.48,32.77,32.0,32.34,1896600,AMP
AMP,2005-10-18,32.43,32.55,32.15,32.3,1702600,AMP
AMP,2005-10-19,33.16,33.16,32.21,32.28,1780300,AMP
AMP,2005-10-20,33.58,34.06,33.1,33.16,2468400,AMP
AMP,2005-10-21,34.0,34.501,33.63,33.78,2756900,AMP
AMP,2005-10-24,36.29,36.48,34.93,35.25,4011199,AMP
AMP,2005-10-25,37.18,37.47,35.28,35.34,2857300,AMP
AMP,2005-10-26,37.0,37.72,36.7,36.85,2181600,AMP
AMP,2005-10-27,36.28,37.0,35.8,36.95,2033000,AMP
AMP,2005-10-28,37.1,37.2,36.21,36.5,1423400,AMP
AMP,2005-10-31,37.22,37.6,36.96,37.21,1168900,AMP
AMP,2005-11-01,36.56,36.96,36.46,36.9,1468800,AMP
AMP,2005-11-02,36.8,36.9,36.18,36.22,1200600,AMP
AMP,2005-11-03,37.42,37.62,36.72,36.72,1887900,AMP
AMP,2005-11-04,37.17,37.42,37.02,37.33,1728100,AMP
AMP,2005-11-07,37.02,37.17,36.825,37.1,1565200,AMP
AMP,2005-11-08,36.96,37.2,36.65,36.65,1977600,AMP
AMP,2005-11-09,37.88,38.18,36.9,36.96,2094199,AMP
AMP,2005-11-10,38.92,39.3,37.75,37.75,2437600,AMP
AMP,2005-11-11,38.91,38.96,38.47,38.5,1129200,AMP
AMP,2005-11-14,39.34,39.4,38.51,38.8,1157300,AMP
AMP,2005-11-15,39.21,39.4,38.47,39.0,1790900,AMP
AMP,2005-11-16,39.83,40.0,39.09,39.35,2548500,AMP
AMP,2005-11-17,40.0,41.18,39.78,40.1,2602700,AMP
AMP,2005-11-18,39.92,40.87,39.64,40.45,1441600,AMP
AMP,2005-11-21,41.58,42.0,40.17,40.17,2906700,AMP
AMP,2005-11-22,42.15,42.39,41.29,41.4,2351700,AMP
AMP,2005-11-23,43.47,43.76,42.2,42.2,2133600,AMP
AMP,2005-11-24,43.47,43.76,42.2,42.2,0,AMP
AMP,2005-11-25,43.45,44.25,42.95,44.1,467500,AMP
AMP,2005-11-28,43.9,44.2,43.1,43.4,2304800,AMP
AMP,2005-11-29,42.55,43.99,41.73,43.75,2958800,AMP
AMP,2005-11-30,42.05,43.25,41.3,42.9,2755300,AMP
AMP,2005-12-01,43.31,43.88,41.89,41.95,1790300,AMP
AMP,2005-12-02,43.23,43.74,42.6,43.25,1002400,AMP
AMP,2005-12-05,43.52,43.7,42.91,43.22,1042000,AMP
AMP,2005-12-06,43.61,43.84,43.48,43.7,1143800,AMP
AMP,2005-12-07,43.36,44.78,43.22,43.59,1919800,AMP
AMP,2005-12-08,43.65,44.05,43.31,43.65,1226300,AMP
AMP,2005-12-09,43.76,44.02,43.36,43.64,509000,AMP
AMP,2005-12-12,43.13,43.76,42.88,43.75,1503000,AMP
AMP,2005-12-13,42.83,43.37,42.51,42.9,1310000,AMP
AMP,2005-12-14,41.53,43.03,41.52,42.83,1700800,AMP
