Symbol,Date,Close,High,Low,Open,Volume,Name
AOS,1998-05-29,5.6112,5.75,5.5695,5.75,234000,AOS
AOS,1998-06-01,5.6528,5.7153,5.5972,5.6283,81000,AOS
AOS,1998-06-02,5.7153,5.7638,5.6667,5.67,215100,AOS
AOS,1998-06-03,5.7432,5.7987,5.7222,5.725,208800,AOS
AOS,1998-06-04,5.7708,5.7778,5.7015,5.7183,299700,AOS
AOS,1998-06-05,5.7778,5.8055,5.757,5.76,340200,AOS
AOS,1998-06-08,5.7848,5.7987,5.75,5.78,149400,AOS
AOS,1998-06-09,5.7638,5.8265,5.7083,5.76,580500,AOS
AOS,1998-06-10,5.7222,5.7778,5.7222,5.7778,59400,AOS
AOS,1998-06-11,5.6667,5.75,5.6528,5.75,199800,AOS
AOS,1998-06-12,5.6875,5.6945,5.6667,5.6833,115200,AOS
AOS,1998-06-15,5.6112,5.6875,5.6112,5.6875,70200,AOS
AOS,1998-06-16,5.8055,5.8055,5.5903,5.6133,164700,AOS
AOS,1998-06-17,5.9098,5.9445,5.7848,5.8083,276300,AOS
AOS,1998-06-18,5.8055,5.8888,5.8055,5.8888,109800,AOS
AOS,1998-06-19,5.7222,5.8055,5.7222,5.8055,60300,AOS
AOS,1998-06-22,5.8403,5.8612,5.7222,5.7533,151200,AOS
AOS,1998-06-23,5.8333,5.8403,5.8055,5.8367,201600,AOS
AOS,1998-06-24,5.8055,5.8333,5.8055,5.8233,100800,AOS
AOS,1998-06-25,5.8195,5.8265,5.7848,5.795,66600,AOS
AOS,1998-06-26,5.8265,5.8265,5.7848,5.8083,56700,AOS
AOS,1998-06-29,5.7917,5.8333,5.7848,5.815,65700,AOS
AOS,1998-06-30,5.7432,5.8055,5.7292,5.8055,173700,AOS
AOS,1998-07-01,5.8542,5.875,5.7708,5.7733,363600,AOS
AOS,1998-07-02,5.7917,5.8403,5.7917,5.8367,299700,AOS
AOS,1998-07-03,5.7917,5.8403,5.7917,5.8367,0,AOS
AOS,1998-07-06,5.75,5.8265,5.75,5.8083,150300,AOS
AOS,1998-07-07,5.6945,5.7778,5.6945,5.7533,153900,AOS
AOS,1998-07-08,5.7778,5.7778,5.7153,5.7183,102600,AOS
AOS,1998-07-09,5.757,5.7778,5.7153,5.7778,141300,AOS
AOS,1998-07-10,5.9792,5.9792,5.757,5.7667,212400,AOS
AOS,1998-07-13,5.8958,5.9722,5.8888,5.9722,126000,AOS
AOS,1998-07-14,5.75,5.875,5.75,5.875,164700,AOS
AOS,1998-07-15,5.6112,5.8055,5.5972,5.7667,333000,AOS
AOS,1998-07-16,5.5487,5.6388,5.5278,5.6283,225000,AOS
AOS,1998-07-17,5.5,5.5417,5.4792,5.5417,222300,AOS
AOS,1998-07-20,5.4445,5.5,5.4375,5.5,178200,AOS
AOS,1998-07-21,5.4375,5.4515,5.4028,5.4467,286200,AOS
AOS,1998-07-22,5.3888,5.4375,5.3888,5.4375,36900,AOS
AOS,1998-07-23,5.3055,5.4098,5.25,5.3983,224100,AOS
AOS,1998-07-24,4.9862,5.2917,4.9445,5.2917,1629900,AOS
AOS,1998-07-27,4.9305,4.9862,4.8472,4.9862,420300,AOS
AOS,1998-07-28,4.5555,4.9167,4.5,4.9167,1332000,AOS
AOS,1998-07-29,4.5417,4.6182,4.5208,4.5583,1216800,AOS
AOS,1998-07-30,4.5972,4.6112,4.5208,4.545,1471500,AOS
AOS,1998-07-31,4.5903,4.6598,4.5612,4.6067,479700,AOS
AOS,1998-08-03,4.5208,4.5972,4.5208,4.5972,395100,AOS
AOS,1998-08-04,4.3195,4.5208,4.3195,4.5208,1021500,AOS
AOS,1998-08-05,4.3542,4.382,4.2848,4.3283,1134000,AOS
AOS,1998-08-06,4.3125,4.3542,4.2987,4.3542,972900,AOS
AOS,1998-08-07,4.2987,4.3472,4.2917,4.315,1818000,AOS
AOS,1998-08-10,4.2708,4.2987,4.1458,4.2987,846000,AOS
AOS,1998-08-11,4.2222,4.2778,4.2015,4.2733,649800,AOS
AOS,1998-08-12,4.3612,4.382,4.2778,4.28,634500,AOS
AOS,1998-08-13,4.4305,4.4583,4.3542,4.3917,651600,AOS
AOS,1998-08-14,4.5,4.5417,4.4445,4.4533,929700,AOS
AOS,1998-08-17,4.7292,4.7362,4.4862,4.4883,1286100,AOS
AOS,1998-08-18,4.7605,4.7917,4.7188,4.73,1010999,AOS
AOS,1998-08-19,4.6667,4.7708,4.625,4.76,402600,AOS
AOS,1998-08-20,4.573,4.6667,4.573,4.6667,257400,AOS
AOS,1998-08-21,4.5,4.5313,4.4063,4.5313,161400,AOS
AOS,1998-08-24,4.4063,4.5313,4.3855,4.5217,197400,AOS
AOS,1998-08-25,4.323,4.4897,4.323,4.4483,197400,AOS
AOS,1998-08-26,4.2813,4.3647,4.2708,4.3647,238200,AOS
AOS,1998-08-27,4.125,4.25,4.125,4.25,163800,AOS
AOS,1998-08-28,3.6458,4.0833,3.6458,4.0833,566400,AOS
AOS,1998-08-31,3.1458,3.7605,3.125,3.6567,523200,AOS
AOS,1998-09-01,3.2917,3.3958,3.1667,3.1667,367200,AOS
AOS,1998-09-02,3.3333,3.3647,3.2813,3.2917,258600,AOS
AOS,1998-09-03,3.5313,3.5833,3.2605,3.3133,244200,AOS
AOS,1998-09-04,3.573,3.5833,3.5522,3.5522,98400,AOS
AOS,1998-09-07,3.573,3.5833,3.5522,3.5522,0,AOS
AOS,1998-09-08,3.7708,3.8125,3.6563,3.6567,262200,AOS
AOS,1998-09-09,3.7605,3.7917,3.75,3.7717,188400,AOS
AOS,1998-09-10,3.6667,3.7397,3.6458,3.7397,221400,AOS
AOS,1998-09-11,3.8958,3.9063,3.6875,3.6883,106200,AOS
AOS,1998-09-14,3.823,3.9167,3.8125,3.9167,230400,AOS
AOS,1998-09-15,3.6563,3.7917,3.625,3.7917,362400,AOS
AOS,1998-09-16,3.625,3.6667,3.5105,3.6567,270600,AOS
AOS,1998-09-17,3.5,3.6042,3.4897,3.6042,140400,AOS
AOS,1998-09-18,3.625,3.625,3.5208,3.5417,706200,AOS
AOS,1998-09-21,3.5938,3.6667,3.5938,3.6467,243000,AOS
AOS,1998-09-22,3.5208,3.625,3.5,3.625,216600,AOS
AOS,1998-09-23,3.5522,3.5625,3.5313,3.5417,187200,AOS
AOS,1998-09-24,3.5208,3.5625,3.5105,3.5625,264000,AOS
AOS,1998-09-25,3.4897,3.5105,3.4688,3.51,225600,AOS
AOS,1998-09-28,3.4897,3.5105,3.4688,3.48,45000,AOS
AOS,1998-09-29,3.448,3.5208,3.448,3.5,199200,AOS
AOS,1998-09-30,3.2708,3.448,3.2708,3.448,361200,AOS
AOS,1998-10-01,3.1772,3.2708,3.0417,3.25,279600,AOS
AOS,1998-10-02,3.1458,3.1875,3.1042,3.1767,241800,AOS
AOS,1998-10-05,3.1147,3.1772,3.1147,3.1467,124800,AOS
AOS,1998-10-06,2.9792,3.125,2.9792,3.0933,192600,AOS
AOS,1998-10-07,2.8438,2.9897,2.7917,2.9897,228000,AOS
AOS,1998-10-08,2.75,2.8542,2.7188,2.8333,171000,AOS
AOS,1998-10-09,2.7813,2.7813,2.7397,2.75,433800,AOS
AOS,1998-10-12,2.7708,2.7917,2.7708,2.7817,409200,AOS
AOS,1998-10-13,2.6563,2.7917,2.6355,2.7817,340800,AOS
AOS,1998-10-14,2.9792,2.9897,2.7083,2.7083,1230000,AOS
AOS,1998-10-15,3.0,3.2292,2.9792,2.98,697200,AOS
AOS,1998-10-16,3.0208,3.1355,3.0105,3.0317,415800,AOS
AOS,1998-10-19,3.0729,3.0729,2.9896,3.0,226800,AOS
AOS,1998-10-20,3.0938,3.1458,3.073,3.0733,442200,AOS
AOS,1998-10-21,3.1458,3.1563,3.0833,3.105,224400,AOS
AOS,1998-10-22,3.2292,3.2708,3.1667,3.1983,270600,AOS
AOS,1998-10-23,3.2813,3.3438,3.2397,3.25,214200,AOS
AOS,1998-10-26,3.1458,3.3542,3.1458,3.2708,177600,AOS
AOS,1998-10-27,3.2917,3.3125,3.1563,3.1567,357600,AOS
AOS,1998-10-28,3.2917,3.2917,3.2708,3.2817,141600,AOS
AOS,1998-10-29,3.3647,3.375,3.2708,3.2717,440400,AOS
AOS,1998-10-30,3.4063,3.4272,3.375,3.3967,302400,AOS
AOS,1998-11-02,3.5417,3.625,3.4375,3.4483,310800,AOS
AOS,1998-11-03,3.573,3.5938,3.5522,3.5522,213000,AOS
AOS,1998-11-04,3.5417,3.6875,3.5417,3.5733,433200,AOS
AOS,1998-11-05,3.7292,3.7397,3.5417,3.5417,163200,AOS
AOS,1998-11-06,3.823,3.8647,3.7188,3.7188,286800,AOS
AOS,1998-11-09,3.9375,3.9792,3.8125,3.8133,237000,AOS
AOS,1998-11-10,3.8542,3.9167,3.698,3.9167,386400,AOS
AOS,1998-11-11,3.7917,3.8333,3.7708,3.8333,199800,AOS
AOS,1998-11-12,3.7083,3.8229,3.6771,3.8125,142200,AOS
AOS,1998-11-13,3.6667,3.7083,3.6042,3.6883,151200,AOS
AOS,1998-11-16,3.7605,3.7605,3.6667,3.6883,133200,AOS
AOS,1998-11-17,3.7605,3.7813,3.698,3.73,158400,AOS
AOS,1998-11-18,3.6772,3.75,3.6667,3.74,74400,AOS
AOS,1998-11-19,3.6875,3.6875,3.6355,3.6767,112200,AOS
AOS,1998-11-20,3.6875,3.6875,3.6667,3.6667,72600,AOS
AOS,1998-11-23,3.7708,3.7917,3.6875,3.7083,168000,AOS
AOS,1998-11-24,3.8333,3.8333,3.75,3.7917,81000,AOS
AOS,1998-11-25,3.8958,3.9062,3.8438,3.8438,48000,AOS
AOS,1998-11-26,3.8958,3.9062,3.8438,3.8438,0,AOS
AOS,1998-11-27,3.9375,3.948,3.9063,3.9067,39600,AOS
AOS,1998-11-30,4.1458,4.198,3.948,3.9483,255000,AOS
AOS,1998-12-01,4.3647,4.3647,4.1458,4.1467,204000,AOS
AOS,1998-12-02,4.3855,4.3855,4.3438,4.3438,249000,AOS
AOS,1998-12-03,4.375,4.5,4.375,4.385,235800,AOS
AOS,1998-12-04,4.3855,4.3855,4.323,4.375,191400,AOS
AOS,1998-12-07,4.2813,4.375,4.2708,4.365,375000,AOS
AOS,1998-12-08,4.1563,4.2708,4.1458,4.2708,180600,AOS
AOS,1998-12-09,3.9688,4.1563,3.9272,4.1563,352200,AOS
AOS,1998-12-10,3.9063,3.9792,3.9063,3.9792,91200,AOS
AOS,1998-12-11,3.9272,3.9272,3.8438,3.8967,156600,AOS
AOS,1998-12-14,3.9063,3.9272,3.8958,3.9267,89400,AOS
AOS,1998-12-15,3.8438,3.9167,3.8333,3.9167,57600,AOS
AOS,1998-12-16,3.7708,3.8438,3.75,3.8333,117600,AOS
AOS,1998-12-17,3.8855,3.8855,3.7708,3.7917,194400,AOS
AOS,1998-12-18,3.9792,4.0,3.8647,3.9067,225600,AOS
AOS,1998-12-21,4.0,4.0208,3.875,4.0,225000,AOS
AOS,1998-12-22,4.1458,4.1458,3.9897,4.0217,281400,AOS
AOS,1998-12-23,4.1667,4.1667,4.125,4.1467,97200,AOS
AOS,1998-12-24,4.1458,4.1667,4.1458,4.1667,9000,AOS
AOS,1998-12-25,4.1458,4.1667,4.1458,4.1667,0,AOS
AOS,1998-12-28,4.1458,4.1563,4.0833,4.135,97200,AOS
AOS,1998-12-29,4.1667,4.1667,4.1042,4.1467,275400,AOS
AOS,1998-12-30,4.1563,4.1667,4.1458,4.1567,159600,AOS
AOS,1998-12-31,4.0938,4.1458,4.0833,4.1458,146400,AOS
