Symbol,Date,Close,High,Low,Open,Volume,Name
APH,1998-05-29,3.3985,3.426,3.3985,3.4175,43200,APH
APH,1998-06-01,3.3438,3.3985,3.3438,3.3985,150400,APH
APH,1998-06-02,3.3048,3.3478,3.3048,3.3475,132800,APH
APH,1998-06-03,3.2775,3.3048,3.2735,3.3048,32000,APH
APH,1998-06-04,3.2735,3.2735,3.2698,3.27,8000,APH
APH,1998-06-05,3.293,3.293,3.2658,3.27,91200,APH
APH,1998-06-08,3.3595,3.375,3.3048,3.305,150400,APH
APH,1998-06-09,3.336,3.3635,3.336,3.36,27200,APH
APH,1998-06-10,3.2892,3.3242,3.2892,3.32,176000,APH
APH,1998-06-11,3.1955,3.2892,3.1875,3.2892,342400,APH
APH,1998-06-12,3.1798,3.1798,3.1172,3.15,163200,APH
APH,1998-06-15,2.9768,3.172,2.9768,3.172,705600,APH
APH,1998-06-16,3.0235,3.0352,2.9922,2.9925,513599,APH
APH,1998-06-17,3.0548,3.0705,3.0235,3.025,238400,APH
APH,1998-06-18,2.9375,3.0312,2.8868,3.0312,872000,APH
APH,1998-06-19,2.9338,2.9375,2.9298,2.935,225600,APH
APH,1998-06-22,2.875,2.926,2.875,2.9225,126400,APH
APH,1998-06-23,2.84,2.875,2.84,2.875,108800,APH
APH,1998-06-24,2.801,2.8242,2.797,2.8242,211200,APH
APH,1998-06-25,2.7032,2.8088,2.7032,2.7975,320000,APH
APH,1998-06-26,2.6448,2.7032,2.6408,2.7025,148800,APH
APH,1998-06-29,2.6368,2.6408,2.6368,2.64,56000,APH
APH,1998-06-30,2.4375,2.6095,2.4375,2.6095,748800,APH
APH,1998-07-01,2.2698,2.4375,2.2345,2.4375,884800,APH
APH,1998-07-02,2.4845,2.5,2.2775,2.2775,668800,APH
APH,1998-07-03,2.4845,2.5,2.2775,2.2775,0,APH
APH,1998-07-06,2.4922,2.5705,2.4768,2.4775,430400,APH
APH,1998-07-07,2.5118,2.5392,2.5,2.5,142400,APH
APH,1998-07-08,2.4962,2.5235,2.4962,2.5125,116800,APH
APH,1998-07-09,2.3282,2.5,2.3205,2.5,683200,APH
APH,1998-07-10,2.3438,2.3518,2.3322,2.3325,148800,APH
APH,1998-07-13,2.3595,2.3712,2.34,2.3525,129600,APH
APH,1998-07-14,2.3985,2.3985,2.3672,2.3675,60800,APH
APH,1998-07-15,2.6642,2.6642,2.4062,2.4075,475200,APH
APH,1998-07-16,2.633,2.6798,2.6095,2.665,312000,APH
APH,1998-07-17,2.6368,2.6875,2.6368,2.65,209600,APH
APH,1998-07-20,2.6642,2.6798,2.6408,2.6408,128000,APH
APH,1998-07-21,2.758,2.7658,2.672,2.6725,171200,APH
APH,1998-07-22,2.7188,2.758,2.7188,2.75,62400,APH
APH,1998-07-23,2.6562,2.7345,2.6562,2.7345,131200,APH
APH,1998-07-24,2.625,2.668,2.625,2.66,92800,APH
APH,1998-07-27,2.6018,2.629,2.6018,2.629,54400,APH
APH,1998-07-28,2.5742,2.6055,2.5705,2.605,176000,APH
APH,1998-07-29,2.5588,2.5742,2.551,2.57,312000,APH
APH,1998-07-30,2.5625,2.5625,2.5588,2.56,196800,APH
APH,1998-07-31,2.508,2.5625,2.508,2.5625,739200,APH
APH,1998-08-03,2.4845,2.508,2.4768,2.5075,414400,APH
APH,1998-08-04,2.5,2.5158,2.461,2.48,449600,APH
APH,1998-08-05,2.4102,2.4845,2.4062,2.4845,417600,APH
APH,1998-08-06,2.3438,2.3985,2.34,2.3985,147200,APH
APH,1998-08-07,2.2892,2.3438,2.2892,2.3438,211200,APH
APH,1998-08-10,2.2852,2.293,2.2852,2.2925,275200,APH
APH,1998-08-11,2.2305,2.2735,2.2305,2.2735,59200,APH
APH,1998-08-12,2.168,2.2305,2.168,2.23,131200,APH
APH,1998-08-13,2.125,2.168,2.125,2.1675,968000,APH
APH,1998-08-14,2.1525,2.2228,2.1408,2.1408,540800,APH
APH,1998-08-17,2.2305,2.258,2.168,2.168,344000,APH
APH,1998-08-18,2.2188,2.2305,2.2188,2.23,460800,APH
APH,1998-08-19,2.176,2.2228,2.176,2.2225,699200,APH
APH,1998-08-20,2.1562,2.168,2.1485,2.1675,52800,APH
APH,1998-08-21,2.1055,2.1408,2.0705,2.14,337600,APH
APH,1998-08-24,2.047,2.0938,2.047,2.09,120000,APH
APH,1998-08-25,1.922,2.0938,1.9062,2.0625,609600,APH
APH,1998-08-26,1.918,1.922,1.8948,1.9075,179200,APH
APH,1998-08-27,2.129,2.1408,1.922,1.9225,705600,APH
APH,1998-08-28,2.0782,2.133,2.0782,2.1325,145600,APH
APH,1998-08-31,1.8635,1.9845,1.8595,1.9845,190400,APH
APH,1998-09-01,1.8948,1.8948,1.8322,1.8475,252800,APH
APH,1998-09-02,1.9922,1.9962,1.8985,1.9,163200,APH
APH,1998-09-03,2.0,2.0158,1.9922,1.9925,84800,APH
APH,1998-09-04,1.9885,2.004,1.9845,2.004,57600,APH
APH,1998-09-07,1.9885,2.004,1.9845,2.004,0,APH
APH,1998-09-08,2.1095,2.1095,1.9922,1.9925,294400,APH
APH,1998-09-09,2.1135,2.1212,2.1055,2.1055,198400,APH
APH,1998-09-10,2.0312,2.0978,2.0,2.0075,372800,APH
APH,1998-09-11,2.1018,2.1018,2.043,2.043,214400,APH
APH,1998-09-14,2.0938,2.1368,2.0938,2.1125,94400,APH
APH,1998-09-15,2.0625,2.0938,2.051,2.0938,72000,APH
APH,1998-09-16,2.0392,2.0665,1.9768,2.0625,166400,APH
APH,1998-09-17,1.9688,2.0235,1.9455,2.0235,60800,APH
APH,1998-09-18,2.086,2.086,2.043,2.0475,203200,APH
APH,1998-09-21,2.09,2.0938,2.09,2.0938,48000,APH
APH,1998-09-22,2.086,2.1095,2.0705,2.095,289600,APH
APH,1998-09-23,2.1018,2.1135,2.0938,2.095,94400,APH
APH,1998-09-24,2.0665,2.1018,2.0625,2.0875,75200,APH
APH,1998-09-25,2.0938,2.1018,2.0705,2.0705,97600,APH
APH,1998-09-28,2.1018,2.1055,2.086,2.105,17600,APH
APH,1998-09-29,2.1018,2.1172,2.1018,2.11,44800,APH
APH,1998-09-30,2.1798,2.1875,2.1055,2.1055,113600,APH
APH,1998-10-01,2.1642,2.1838,2.1602,2.1825,72000,APH
APH,1998-10-02,2.1485,2.1642,2.1485,2.1642,92800,APH
APH,1998-10-05,1.9962,2.1485,1.9375,2.1485,110400,APH
APH,1998-10-06,1.875,1.9375,1.875,1.9375,156800,APH
APH,1998-10-07,1.8712,1.875,1.8712,1.875,78400,APH
APH,1998-10-08,1.797,1.8518,1.7735,1.845,99200,APH
APH,1998-10-09,1.8518,1.8555,1.7892,1.845,238400,APH
APH,1998-10-12,1.8672,1.8672,1.8595,1.86,30400,APH
APH,1998-10-13,1.7422,1.9062,1.7422,1.875,219200,APH
APH,1998-10-14,1.8205,1.8205,1.6875,1.7425,268800,APH
APH,1998-10-15,1.7188,1.8205,1.7032,1.82,296000,APH
APH,1998-10-16,1.8125,1.8125,1.711,1.72,824000,APH
APH,1998-10-19,1.8672,1.8948,1.8282,1.8282,452800,APH
APH,1998-10-20,1.8868,1.9062,1.875,1.875,187200,APH
APH,1998-10-21,1.883,1.922,1.883,1.922,129600,APH
APH,1998-10-22,1.9768,1.9922,1.8908,1.8908,142400,APH
APH,1998-10-23,1.9532,1.9768,1.9492,1.9768,89600,APH
APH,1998-10-26,2.0392,2.043,1.961,1.9625,188800,APH
APH,1998-10-27,2.0548,2.086,2.047,2.0475,150400,APH
APH,1998-10-28,2.0392,2.0548,2.0312,2.0548,75200,APH
