Symbol,Date,Close,High,Low,Open,Volume,Name
ARE,1998-05-29,31.688,31.688,31.25,31.25,7800,ARE
ARE,1998-06-01,31.688,31.875,31.563,31.69,55200,ARE
ARE,1998-06-02,31.438,31.75,31.438,31.75,12000,ARE
ARE,1998-06-03,31.063,31.188,31.0,31.188,6500,ARE
ARE,1998-06-04,31.125,31.125,31.125,31.125,600,ARE
ARE,1998-06-05,30.938,31.125,30.938,31.125,3300,ARE
ARE,1998-06-08,31.188,31.188,30.813,30.94,19400,ARE
ARE,1998-06-09,31.0,31.188,30.813,31.188,2300,ARE
ARE,1998-06-10,29.813,30.875,29.375,30.875,54400,ARE
ARE,1998-06-11,29.688,29.875,29.438,29.81,24900,ARE
ARE,1998-06-12,29.688,29.688,29.688,29.688,3300,ARE
ARE,1998-06-15,29.0,29.563,29.0,29.56,3900,ARE
ARE,1998-06-16,29.063,29.125,29.0,29.06,18300,ARE
ARE,1998-06-17,29.0,29.188,28.75,29.06,10600,ARE
ARE,1998-06-18,29.375,29.375,28.875,28.94,22200,ARE
ARE,1998-06-19,29.625,29.813,29.313,29.44,8700,ARE
ARE,1998-06-22,30.063,30.063,29.625,29.69,157400,ARE
ARE,1998-06-23,29.938,30.125,29.875,29.88,17800,ARE
ARE,1998-06-24,30.063,30.188,30.0,30.0,10500,ARE
ARE,1998-06-25,30.063,30.125,30.063,30.063,2000,ARE
ARE,1998-06-26,29.625,30.0,29.625,30.0,15100,ARE
ARE,1998-06-29,29.0,29.5,28.5,29.5,75000,ARE
ARE,1998-06-30,29.938,29.938,29.125,29.13,17900,ARE
ARE,1998-07-01,30.0,30.0,29.813,29.813,4500,ARE
ARE,1998-07-02,29.75,29.813,29.188,29.38,38700,ARE
ARE,1998-07-03,29.75,29.813,29.188,29.38,0,ARE
ARE,1998-07-06,29.875,30.0,29.5,29.69,24300,ARE
ARE,1998-07-07,30.688,31.25,30.0,30.0,35900,ARE
ARE,1998-07-08,31.0,31.0,30.563,30.75,12600,ARE
ARE,1998-07-09,30.438,30.688,30.438,30.56,18500,ARE
ARE,1998-07-10,30.125,30.125,29.938,30.0,9400,ARE
ARE,1998-07-13,30.188,30.313,29.75,30.31,86400,ARE
ARE,1998-07-14,30.563,30.813,30.313,30.313,3600,ARE
ARE,1998-07-15,30.5,30.688,29.938,30.688,13300,ARE
ARE,1998-07-16,31.688,31.688,30.625,30.63,40100,ARE
ARE,1998-07-17,31.0,31.688,31.0,31.688,7800,ARE
ARE,1998-07-20,31.0,31.063,31.0,31.06,3300,ARE
ARE,1998-07-21,30.375,30.875,30.375,30.875,51200,ARE
ARE,1998-07-22,29.75,30.438,29.75,30.438,32300,ARE
ARE,1998-07-23,29.438,29.875,29.313,29.875,17100,ARE
ARE,1998-07-24,28.625,29.25,28.563,29.25,8000,ARE
ARE,1998-07-27,28.438,28.5,28.313,28.5,11200,ARE
ARE,1998-07-28,28.0,28.375,27.813,28.375,33300,ARE
ARE,1998-07-29,28.125,28.438,28.0,28.0,32300,ARE
ARE,1998-07-30,28.438,28.5,28.063,28.063,10000,ARE
ARE,1998-07-31,29.125,29.313,28.625,28.63,205300,ARE
ARE,1998-08-03,29.438,29.438,29.0,29.13,191400,ARE
ARE,1998-08-04,29.0,29.438,28.875,29.31,118300,ARE
ARE,1998-08-05,28.938,29.25,28.813,29.19,101500,ARE
ARE,1998-08-06,29.0,29.125,28.875,29.0,110000,ARE
ARE,1998-08-07,29.0,29.188,28.875,28.88,140300,ARE
ARE,1998-08-10,29.125,29.5,28.875,29.0,19100,ARE
ARE,1998-08-11,29.0,29.0,28.75,29.0,32700,ARE
ARE,1998-08-12,29.0,29.063,28.938,29.0,432500,ARE
ARE,1998-08-13,29.125,29.188,29.0,29.0,6200,ARE
ARE,1998-08-14,29.188,29.563,29.125,29.13,24400,ARE
ARE,1998-08-17,30.563,30.75,29.313,29.313,17900,ARE
ARE,1998-08-18,30.625,31.5,30.375,30.38,17400,ARE
ARE,1998-08-19,30.563,30.625,30.5,30.625,6100,ARE
ARE,1998-08-20,30.625,30.875,30.5,30.5,22900,ARE
ARE,1998-08-21,30.75,30.75,30.563,30.69,2700,ARE
ARE,1998-08-24,30.688,30.688,30.625,30.63,2700,ARE
ARE,1998-08-25,30.625,30.75,30.625,30.75,27200,ARE
ARE,1998-08-26,30.375,30.625,30.063,30.625,34100,ARE
ARE,1998-08-27,29.938,30.313,29.938,30.25,3900,ARE
ARE,1998-08-28,29.625,29.813,29.125,29.81,18600,ARE
ARE,1998-08-31,29.063,29.625,29.0,29.625,14500,ARE
ARE,1998-09-01,28.563,29.188,28.375,28.94,28800,ARE
ARE,1998-09-02,27.25,28.438,27.125,28.438,24500,ARE
ARE,1998-09-03,27.0,27.5,27.0,27.5,14100,ARE
ARE,1998-09-04,26.813,27.0,26.688,27.0,3500,ARE
ARE,1998-09-07,26.813,27.0,26.688,27.0,0,ARE
ARE,1998-09-08,27.938,27.938,27.0,27.13,11300,ARE
ARE,1998-09-09,28.438,28.438,27.75,27.81,18600,ARE
ARE,1998-09-10,27.938,28.188,27.938,28.188,3000,ARE
ARE,1998-09-11,27.563,27.813,27.563,27.81,13700,ARE
ARE,1998-09-14,26.313,27.313,26.25,27.19,10600,ARE
ARE,1998-09-15,26.313,26.438,26.063,26.438,18700,ARE
ARE,1998-09-16,26.0,26.375,26.0,26.31,33500,ARE
ARE,1998-09-17,25.5,25.813,25.188,25.81,14400,ARE
ARE,1998-09-18,26.25,26.25,25.813,25.94,20200,ARE
ARE,1998-09-21,27.063,27.063,26.0,26.0,15100,ARE
ARE,1998-09-22,28.75,28.938,27.25,27.25,26800,ARE
