Symbol,Date,Close,High,Low,Open,Volume,Name
AVY,1998-05-29,51.813,51.938,51.313,51.38,159800,AVY
AVY,1998-06-01,52.313,52.563,51.625,51.69,214500,AVY
AVY,1998-06-02,53.25,54.0,52.375,52.5,239100,AVY
AVY,1998-06-03,52.125,53.563,51.938,53.25,238000,AVY
AVY,1998-06-04,51.938,52.188,51.25,51.63,275000,AVY
AVY,1998-06-05,53.063,53.063,51.563,52.0,107400,AVY
AVY,1998-06-08,53.688,54.688,53.375,53.5,197000,AVY
AVY,1998-06-09,54.375,54.938,53.563,53.563,155200,AVY
AVY,1998-06-10,53.188,54.313,53.188,54.25,117600,AVY
AVY,1998-06-11,52.125,53.188,51.875,53.188,150300,AVY
AVY,1998-06-12,51.625,52.125,50.813,52.125,119300,AVY
AVY,1998-06-15,49.5,51.25,49.5,51.25,274000,AVY
AVY,1998-06-16,50.188,50.375,49.875,49.88,223100,AVY
AVY,1998-06-17,50.438,51.0,50.0,50.38,452900,AVY
AVY,1998-06-18,52.0,52.0,50.875,50.94,392800,AVY
AVY,1998-06-19,52.063,52.813,51.813,52.38,616700,AVY
AVY,1998-06-22,51.613,52.375,50.563,52.31,227600,AVY
AVY,1998-06-23,52.438,52.625,51.5,51.69,259900,AVY
AVY,1998-06-24,52.5,52.5,52.0,52.38,152900,AVY
AVY,1998-06-25,53.125,53.75,52.813,53.75,329200,AVY
AVY,1998-06-26,53.063,53.75,52.938,53.13,187200,AVY
AVY,1998-06-29,52.75,53.938,52.75,53.25,202900,AVY
AVY,1998-06-30,53.75,53.75,52.688,52.69,124100,AVY
AVY,1998-07-01,55.0,55.0,53.25,53.75,262200,AVY
AVY,1998-07-02,54.75,54.813,54.25,54.81,107100,AVY
AVY,1998-07-03,54.75,54.813,54.25,54.81,0,AVY
AVY,1998-07-06,55.375,55.625,54.875,54.88,168000,AVY
AVY,1998-07-07,56.188,56.5,55.188,55.44,321900,AVY
AVY,1998-07-08,56.688,56.75,55.625,55.88,191900,AVY
AVY,1998-07-09,58.063,58.063,55.875,56.69,274100,AVY
AVY,1998-07-10,58.125,58.375,57.313,57.94,661400,AVY
