Symbol,Date,Close,High,Low,Open,Volume,Name
BAC,1998-05-29,37.75,38.407,37.75,38.31,3615600,BAC
BAC,1998-06-01,37.657,37.969,37.469,37.56,3215400,BAC
BAC,1998-06-02,37.657,38.094,37.563,38.094,3180800,BAC
BAC,1998-06-03,37.282,37.563,37.0,37.47,4259200,BAC
BAC,1998-06-04,37.688,37.782,37.032,37.22,6190600,BAC
BAC,1998-06-05,38.157,38.157,37.719,37.94,4852000,BAC
BAC,1998-06-08,38.594,38.719,38.157,38.157,5295600,BAC
BAC,1998-06-09,38.719,38.782,38.282,38.5,3112600,BAC
BAC,1998-06-10,39.032,39.063,38.469,38.5,4770400,BAC
BAC,1998-06-11,39.032,39.719,38.938,39.1,5103000,BAC
BAC,1998-06-12,38.625,38.969,38.125,38.9,3679600,BAC
BAC,1998-06-15,37.688,38.344,37.688,38.25,3940200,BAC
BAC,1998-06-16,37.407,38.0,36.875,37.81,4866600,BAC
BAC,1998-06-17,37.875,38.407,37.563,37.72,4503800,BAC
BAC,1998-06-18,38.282,38.438,37.844,38.0,3713200,BAC
BAC,1998-06-19,38.094,39.375,38.063,38.31,5515200,BAC
BAC,1998-06-22,37.657,38.125,37.625,38.0,2557000,BAC
BAC,1998-06-23,37.375,38.0,37.344,37.65,3745600,BAC
BAC,1998-06-24,38.75,39.0,37.125,37.31,7482000,BAC
BAC,1998-06-25,38.688,39.438,38.5,38.63,5216800,BAC
BAC,1998-06-26,39.094,39.532,38.625,38.65,3713000,BAC
BAC,1998-06-29,39.25,39.875,39.219,39.31,3684400,BAC
BAC,1998-06-30,38.344,39.282,38.25,39.25,8362399,BAC
BAC,1998-07-01,39.969,40.094,38.5,38.5,6369600,BAC
BAC,1998-07-02,41.125,41.375,39.782,39.85,6895600,BAC
BAC,1998-07-03,41.125,41.375,39.782,39.85,0,BAC
BAC,1998-07-06,41.844,41.844,40.75,41.0,3276400,BAC
BAC,1998-07-07,42.125,42.313,41.438,41.9,4127600,BAC
BAC,1998-07-08,43.5,43.5,42.094,42.1,5705600,BAC
BAC,1998-07-09,43.0,43.375,42.625,43.25,5615800,BAC
BAC,1998-07-10,43.594,43.625,42.438,42.88,4948000,BAC
BAC,1998-07-13,43.5,44.219,42.938,43.35,5579000,BAC
BAC,1998-07-14,43.969,44.0,43.532,43.56,3697000,BAC
BAC,1998-07-15,43.0,43.813,43.0,43.78,3854000,BAC
BAC,1998-07-16,42.5,43.157,42.282,43.0,3505600,BAC
BAC,1998-07-17,42.844,42.844,42.313,42.5,5604600,BAC
BAC,1998-07-20,42.282,43.469,42.125,42.9,3122200,BAC
BAC,1998-07-21,41.313,42.313,41.063,42.31,3777000,BAC
BAC,1998-07-22,41.875,42.407,41.157,41.19,5019400,BAC
BAC,1998-07-23,41.657,42.5,41.5,42.25,2927000,BAC
BAC,1998-07-24,41.125,41.969,40.375,41.69,3394600,BAC
BAC,1998-07-27,41.032,41.157,40.094,40.63,3762200,BAC
BAC,1998-07-28,39.938,40.938,39.5,40.9,4632800,BAC
BAC,1998-07-29,39.688,40.407,39.25,40.19,4615800,BAC
BAC,1998-07-30,40.688,40.875,39.719,39.88,4762600,BAC
BAC,1998-07-31,39.875,40.75,39.532,40.56,3290200,BAC
BAC,1998-08-03,39.438,40.219,39.313,40.19,3455200,BAC
BAC,1998-08-04,37.407,39.813,37.094,39.81,6106800,BAC
BAC,1998-08-05,38.375,38.75,36.844,37.63,7173000,BAC
BAC,1998-08-06,38.969,39.0,37.75,38.19,3536800,BAC
BAC,1998-08-07,37.75,39.125,37.532,39.0,4832400,BAC
BAC,1998-08-10,36.969,37.75,36.938,37.75,3947000,BAC
BAC,1998-08-11,35.532,36.094,34.282,36.06,10445600,BAC
BAC,1998-08-12,36.282,36.75,36.032,36.25,4804600,BAC
BAC,1998-08-13,36.032,36.563,35.563,36.13,4266000,BAC
BAC,1998-08-14,35.032,36.594,34.75,36.25,4546400,BAC
BAC,1998-08-17,36.594,36.594,34.782,34.9,5783800,BAC
BAC,1998-08-18,37.469,37.563,36.5,36.63,5315400,BAC
