Symbol,Date,Close,High,Low,Open,Volume,Name
BBT,1998-05-29,33.094,33.094,32.688,32.75,325600,BBT
BBT,1998-06-01,33.063,33.407,32.907,33.1,318000,BBT
BBT,1998-06-02,33.157,33.407,33.032,33.032,230200,BBT
BBT,1998-06-03,32.907,33.282,32.875,33.16,412000,BBT
BBT,1998-06-04,33.0,33.125,32.532,32.78,371600,BBT
BBT,1998-06-05,33.344,33.907,32.625,32.94,617600,BBT
BBT,1998-06-08,33.688,33.75,33.375,33.38,152600,BBT
BBT,1998-06-09,33.438,33.719,33.282,33.47,230800,BBT
BBT,1998-06-10,33.594,33.938,33.313,33.41,347600,BBT
BBT,1998-06-11,33.094,33.407,32.782,33.19,334400,BBT
BBT,1998-06-12,32.875,33.344,32.375,33.03,281200,BBT
BBT,1998-06-15,32.469,32.938,32.438,32.78,312400,BBT
BBT,1998-06-16,32.219,32.563,31.938,32.5,265200,BBT
BBT,1998-06-17,32.75,32.969,32.313,32.35,506000,BBT
BBT,1998-06-18,32.344,32.813,32.282,32.72,273600,BBT
BBT,1998-06-19,32.094,32.532,31.938,32.41,399400,BBT
BBT,1998-06-22,32.032,32.344,32.032,32.1,143800,BBT
BBT,1998-06-23,32.344,32.5,32.125,32.16,237800,BBT
BBT,1998-06-24,33.282,33.5,32.625,32.94,571000,BBT
BBT,1998-06-25,33.157,33.688,33.157,33.47,252600,BBT
BBT,1998-06-26,33.125,33.532,33.032,33.28,175400,BBT
BBT,1998-06-29,33.5,33.782,33.282,33.35,226800,BBT
BBT,1998-06-30,33.813,33.813,33.375,33.56,340200,BBT
BBT,1998-07-01,34.407,34.438,33.813,33.813,449800,BBT
BBT,1998-07-02,34.344,34.407,34.157,34.407,250800,BBT
BBT,1998-07-03,34.344,34.407,34.157,34.407,0,BBT
BBT,1998-07-06,34.375,34.75,34.25,34.44,257000,BBT
BBT,1998-07-07,34.313,34.5,34.188,34.35,389400,BBT
BBT,1998-07-08,34.938,34.969,34.25,34.25,325200,BBT
BBT,1998-07-09,34.563,34.938,34.438,34.88,245800,BBT
BBT,1998-07-10,34.813,34.938,34.5,34.6,182600,BBT
BBT,1998-07-13,34.657,34.813,34.563,34.72,165600,BBT
BBT,1998-07-14,35.157,35.188,34.625,34.63,328000,BBT
BBT,1998-07-15,34.969,35.157,34.907,35.13,336800,BBT
BBT,1998-07-16,35.157,35.157,34.563,34.91,223200,BBT
BBT,1998-07-17,35.188,35.219,34.875,35.16,182400,BBT
BBT,1998-07-20,35.063,35.313,34.782,35.06,317400,BBT
BBT,1998-07-21,34.188,35.125,34.188,35.03,216000,BBT
BBT,1998-07-22,34.813,34.938,34.407,34.41,498800,BBT
BBT,1998-07-23,34.407,35.125,34.407,34.78,654800,BBT
BBT,1998-07-24,34.157,34.719,34.063,34.53,616200,BBT
BBT,1998-07-27,34.625,34.719,33.907,34.16,591800,BBT
BBT,1998-07-28,35.282,35.375,34.469,34.56,591800,BBT
BBT,1998-07-29,35.125,35.657,35.0,35.31,582400,BBT
BBT,1998-07-30,36.032,36.063,35.25,35.25,328400,BBT
BBT,1998-07-31,35.125,36.032,35.032,36.03,338200,BBT
