Symbol,Date,Close,High,Low,Open,Volume,Name
BBY,1998-05-29,7.25,7.306,6.973,7.03,6511500,BBY
BBY,1998-06-01,6.792,7.181,6.597,7.17,5142150,BBY
BBY,1998-06-02,6.889,7.111,6.792,7.11,4417650,BBY
BBY,1998-06-03,7.097,7.319,6.973,7.25,6199650,BBY
BBY,1998-06-04,7.306,7.431,7.153,7.25,8707950,BBY
BBY,1998-06-05,7.695,7.945,7.389,7.39,8710200,BBY
BBY,1998-06-08,8.083,8.195,7.833,7.86,5994450,BBY
BBY,1998-06-09,8.722,8.778,8.083,8.083,6686550,BBY
BBY,1998-06-10,8.5,8.75,8.278,8.75,7362900,BBY
BBY,1998-06-11,8.778,8.973,8.347,8.5,6477750,BBY
BBY,1998-06-12,8.75,8.833,8.375,8.76,5130450,BBY
BBY,1998-06-15,8.681,9.097,8.528,8.58,6205050,BBY
BBY,1998-06-16,8.028,8.681,7.861,8.67,11675700,BBY
BBY,1998-06-17,7.695,8.209,7.639,8.17,10999800,BBY
BBY,1998-06-18,7.542,7.792,7.333,7.67,7660800,BBY
BBY,1998-06-19,7.583,7.778,7.25,7.5,5820300,BBY
BBY,1998-06-22,7.681,7.917,7.667,7.75,5872050,BBY
BBY,1998-06-23,7.917,7.945,7.695,7.7,2844900,BBY
BBY,1998-06-24,8.028,8.153,7.931,8.0,5080950,BBY
BBY,1998-06-25,7.792,8.111,7.667,8.0,3244500,BBY
BBY,1998-06-26,7.681,8.028,7.625,7.88,3709350,BBY
BBY,1998-06-29,7.722,7.861,7.5,7.78,3192750,BBY
BBY,1998-06-30,8.028,8.097,7.722,7.722,6588450,BBY
BBY,1998-07-01,8.167,8.306,8.125,8.306,4634550,BBY
BBY,1998-07-02,8.431,8.5,7.973,8.08,6998400,BBY
BBY,1998-07-03,8.431,8.5,7.973,8.08,0,BBY
BBY,1998-07-06,8.903,8.903,8.555,8.56,5415750,BBY
BBY,1998-07-07,9.083,9.333,9.042,9.11,5063850,BBY
BBY,1998-07-08,9.431,9.528,9.237,9.528,3902850,BBY
BBY,1998-07-09,10.111,10.139,9.611,9.78,9814050,BBY
BBY,1998-07-10,10.0,10.292,9.806,10.11,5751450,BBY
BBY,1998-07-13,10.139,10.139,9.847,10.03,2845350,BBY
BBY,1998-07-14,10.195,10.389,10.083,10.17,3048300,BBY
BBY,1998-07-15,10.75,10.75,10.153,10.2,3717000,BBY
BBY,1998-07-16,11.139,11.153,10.639,10.75,6715800,BBY
BBY,1998-07-17,11.417,11.473,11.014,11.25,3622950,BBY
BBY,1998-07-20,11.055,11.389,10.889,11.389,5054850,BBY
BBY,1998-07-21,10.542,11.222,10.5,11.14,5461650,BBY
