Symbol,Date,Close,High,Low,Open,Volume,Name
BF.B,1998-05-29,6.1468,6.2133,6.1067,6.1483,524062,BF.B
BF.B,1998-06-01,6.4401,6.4401,6.1201,6.1205,620625,BF.B
BF.B,1998-06-02,6.3334,6.4401,6.3002,6.4341,571875,BF.B
BF.B,1998-06-03,6.2667,6.4,6.2534,6.3531,390937,BF.B
BF.B,1998-06-04,6.2601,6.2801,6.1867,6.24,190312,BF.B
BF.B,1998-06-05,6.4,6.4,6.2735,6.2741,203437,BF.B
BF.B,1998-06-08,6.4068,6.48,6.4,6.4533,367500,BF.B
BF.B,1998-06-09,6.3601,6.4,6.3268,6.4,312187,BF.B
BF.B,1998-06-10,6.3868,6.5067,6.3334,6.3339,577500,BF.B
BF.B,1998-06-11,6.3667,6.4467,6.3601,6.3872,462187,BF.B
BF.B,1998-06-12,6.5135,6.5267,6.32,6.368,301875,BF.B
BF.B,1998-06-15,6.4201,6.5067,6.4201,6.4875,340312,BF.B
BF.B,1998-06-16,6.3601,6.4,6.3401,6.4,546562,BF.B
BF.B,1998-06-17,6.6133,6.6334,6.3733,6.3744,875625,BF.B
BF.B,1998-06-18,6.5001,6.6334,6.4934,6.6334,415312,BF.B
BF.B,1998-06-19,6.4,6.5468,6.4,6.5216,669375,BF.B
BF.B,1998-06-22,6.4267,6.5001,6.4,6.4,322500,BF.B
BF.B,1998-06-23,6.5402,6.5468,6.4533,6.4533,433125,BF.B
BF.B,1998-06-24,6.5734,6.5734,6.4602,6.5408,329062,BF.B
BF.B,1998-06-25,6.5534,6.5801,6.5267,6.56,278437,BF.B
BF.B,1998-06-26,6.6334,6.6735,6.5668,6.5749,331875,BF.B
BF.B,1998-06-29,6.7535,6.7535,6.6534,6.6603,502499,BF.B
BF.B,1998-06-30,6.8,6.8,6.7667,6.78,414375,BF.B
BF.B,1998-07-01,6.8201,6.8401,6.8,6.8267,484687,BF.B
BF.B,1998-07-02,6.6933,6.8068,6.6735,6.8011,1469062,BF.B
BF.B,1998-07-03,6.6933,6.8068,6.6735,6.8011,0,BF.B
BF.B,1998-07-06,6.7802,6.7868,6.6933,6.6944,781875,BF.B
BF.B,1998-07-07,6.6933,6.7802,6.6801,6.7797,365625,BF.B
BF.B,1998-07-08,6.7068,6.7802,6.64,6.6944,782812,BF.B
BF.B,1998-07-09,6.72,6.7334,6.6667,6.6816,1371562,BF.B
BF.B,1998-07-10,6.7733,6.8,6.72,6.72,310312,BF.B
BF.B,1998-07-13,6.6333,6.7667,6.62,6.7667,229687,BF.B
BF.B,1998-07-14,6.6867,6.6933,6.6133,6.6539,547500,BF.B
BF.B,1998-07-15,6.5734,6.6601,6.5734,6.6601,360000,BF.B
BF.B,1998-07-16,6.6067,6.6133,6.5801,6.6005,456562,BF.B
BF.B,1998-07-17,6.6133,6.64,6.5333,6.6197,519375,BF.B
BF.B,1998-07-20,6.5201,6.5867,6.48,6.5867,568125,BF.B
BF.B,1998-07-21,6.4267,6.5201,6.3868,6.5201,664687,BF.B
BF.B,1998-07-22,6.5801,6.5867,6.4401,6.4405,579375,BF.B
BF.B,1998-07-23,6.5333,6.6268,6.4934,6.5813,968437,BF.B
BF.B,1998-07-24,6.5333,6.6001,6.5067,6.5344,642187,BF.B
BF.B,1998-07-27,6.72,6.72,6.5067,6.56,365625,BF.B
BF.B,1998-07-28,6.6001,6.72,6.4668,6.6944,653437,BF.B
BF.B,1998-07-29,6.4868,6.6133,6.4734,6.6005,235312,BF.B
BF.B,1998-07-30,6.5935,6.6133,6.5135,6.5135,368437,BF.B
BF.B,1998-07-31,6.4668,6.6534,6.4267,6.5813,605625,BF.B
BF.B,1998-08-03,6.4602,6.4768,6.4134,6.4405,690000,BF.B
BF.B,1998-08-04,6.5001,6.6801,6.4934,6.4939,810000,BF.B
BF.B,1998-08-05,6.4667,6.5667,6.46,6.4867,349687,BF.B
BF.B,1998-08-06,6.6268,6.64,6.4533,6.4811,1040624,BF.B
BF.B,1998-08-07,6.6667,6.7334,6.6001,6.6133,874687,BF.B
BF.B,1998-08-10,6.5801,6.6735,6.5668,6.6667,627187,BF.B
BF.B,1998-08-11,6.5402,6.5867,6.5067,6.5867,1005937,BF.B
BF.B,1998-08-12,6.7002,6.7134,6.5267,6.528,471562,BF.B
BF.B,1998-08-13,6.6667,6.8201,6.6067,6.7008,833437,BF.B
BF.B,1998-08-14,6.6268,6.6601,6.5867,6.6475,322500,BF.B
BF.B,1998-08-17,6.7467,6.7601,6.5801,6.6283,1004999,BF.B
BF.B,1998-08-18,6.8,6.8668,6.7334,6.7349,233437,BF.B
BF.B,1998-08-19,6.7601,6.8,6.72,6.8,383437,BF.B
