Symbol,Date,Close,High,Low,Open,Volume,Name
BHGE,2017-07-05,37.25,40.82,37.25,40.8,5882416,BHGE
BHGE,2017-07-06,37.01,38.09,36.52,38.09,5133756,BHGE
BHGE,2017-07-07,37.91,38.59,36.12,38.14,6085969,BHGE
BHGE,2017-07-10,37.23,38.17,36.8,37.63,4721508,BHGE
BHGE,2017-07-11,37.35,37.78,36.89,37.31,2796240,BHGE
BHGE,2017-07-12,37.37,37.99,37.25,37.77,3268809,BHGE
BHGE,2017-07-13,36.84,37.65,36.69,37.45,4086813,BHGE
BHGE,2017-07-14,37.35,37.495,36.91,37.0,2874663,BHGE
BHGE,2017-07-17,37.64,38.37,37.64,37.71,3926058,BHGE
BHGE,2017-07-18,36.75,37.78,36.73,37.52,3278954,BHGE
BHGE,2017-07-19,36.54,37.09,36.36,36.59,4235240,BHGE
BHGE,2017-07-20,34.97,36.9,34.86,36.59,6623457,BHGE
BHGE,2017-07-21,34.12,34.88,33.44,34.73,7851515,BHGE
BHGE,2017-07-24,34.36,34.46,33.88,34.26,2851511,BHGE
BHGE,2017-07-25,35.25,35.28,34.77,34.81,2979840,BHGE
BHGE,2017-07-26,36.05,36.18,35.22,35.58,3826003,BHGE
BHGE,2017-07-27,36.16,37.04,35.7,35.97,4730051,BHGE
BHGE,2017-07-28,37.1,37.5,34.2257,34.85,4263752,BHGE
BHGE,2017-07-31,36.89,37.17,36.43,37.14,3322672,BHGE
BHGE,2017-08-01,35.7,36.83,35.41,36.82,2956032,BHGE
BHGE,2017-08-02,35.35,35.55,35.035,35.36,3405796,BHGE
BHGE,2017-08-03,35.31,35.51,35.07,35.26,3200150,BHGE
BHGE,2017-08-04,35.23,35.54,35.06,35.42,3115457,BHGE
BHGE,2017-08-07,34.56,35.27,34.4,35.1,2058552,BHGE
BHGE,2017-08-08,34.94,35.47,34.6442,34.75,2155678,BHGE
BHGE,2017-08-09,35.02,35.29,34.76,34.79,2267019,BHGE
BHGE,2017-08-10,34.7,35.29,34.57,35.01,1984469,BHGE
BHGE,2017-08-11,34.29,34.89,34.28,34.51,1193191,BHGE
BHGE,2017-08-14,34.26,34.54,34.135,34.51,1933549,BHGE
BHGE,2017-08-15,34.31,34.42,34.03,34.03,2158590,BHGE
BHGE,2017-08-16,33.83,34.51,33.76,34.37,1383406,BHGE
BHGE,2017-08-17,32.8,34.09,32.75,33.79,2230740,BHGE
