Symbol,Date,Close,High,Low,Open,Volume,Name
BK,1998-05-29,30.563,31.0,30.532,30.532,1314200,BK
BK,1998-06-01,31.063,31.25,30.563,30.57,1589400,BK
BK,1998-06-02,31.438,31.625,31.094,31.1,2485000,BK
BK,1998-06-03,30.938,31.782,30.844,31.57,2930800,BK
BK,1998-06-04,31.188,31.438,30.407,30.91,2162200,BK
BK,1998-06-05,30.969,31.313,30.813,31.313,1766400,BK
BK,1998-06-08,30.844,31.125,30.813,31.1,2139200,BK
BK,1998-06-09,30.469,30.938,30.375,30.938,1841000,BK
BK,1998-06-10,30.25,30.594,30.188,30.38,2396400,BK
BK,1998-06-11,30.219,30.719,30.219,30.22,2064200,BK
BK,1998-06-12,29.969,30.375,29.813,30.28,1421000,BK
BK,1998-06-15,29.438,30.0,29.438,29.66,1645000,BK
BK,1998-06-16,29.157,29.594,28.969,29.53,1983600,BK
BK,1998-06-17,29.969,30.125,29.313,29.32,2281800,BK
BK,1998-06-18,30.032,30.188,29.782,29.94,1794600,BK
BK,1998-06-19,30.157,30.282,29.969,30.03,1423600,BK
BK,1998-06-22,29.75,30.344,29.75,30.1,945600,BK
BK,1998-06-23,29.907,30.0,29.438,30.0,1709400,BK
BK,1998-06-24,31.313,31.5,30.25,30.25,3468800,BK
BK,1998-06-25,31.5,31.688,31.157,31.47,1722400,BK
BK,1998-06-26,32.032,32.125,31.313,31.32,1814800,BK
BK,1998-06-29,31.407,32.344,31.407,32.25,1433200,BK
BK,1998-06-30,30.438,31.657,30.25,31.657,3058800,BK
BK,1998-07-01,31.719,31.75,30.5,30.5,2208000,BK
BK,1998-07-02,31.5,31.844,31.407,31.75,1132800,BK
BK,1998-07-03,31.5,31.844,31.407,31.75,0,BK
BK,1998-07-06,31.719,31.719,31.407,31.57,1439000,BK
BK,1998-07-07,31.563,31.688,31.375,31.6,1463000,BK
BK,1998-07-08,32.188,32.219,31.563,31.75,1073800,BK
BK,1998-07-09,31.594,32.157,31.594,32.157,962000,BK
BK,1998-07-10,32.0,32.094,31.313,31.53,910400,BK
BK,1998-07-13,32.094,32.157,31.438,32.0,1634000,BK
BK,1998-07-14,33.25,33.375,32.157,32.19,3520400,BK
BK,1998-07-15,32.75,33.469,32.75,33.44,1907400,BK
BK,1998-07-16,33.25,33.25,32.5,32.75,1371800,BK
BK,1998-07-17,33.969,34.094,33.063,33.13,2381200,BK
BK,1998-07-20,33.625,34.188,33.407,34.188,1564200,BK
BK,1998-07-21,32.5,33.657,32.375,33.657,2098400,BK
BK,1998-07-22,32.25,32.75,32.157,32.31,1406000,BK
BK,1998-07-23,31.782,32.282,31.782,32.25,1077800,BK
BK,1998-07-24,32.0,32.219,31.625,31.82,1981400,BK
BK,1998-07-27,32.313,32.391,31.532,31.88,1603600,BK
BK,1998-07-28,32.032,32.594,31.313,32.28,1509400,BK
BK,1998-07-29,31.782,32.313,31.438,32.06,1016400,BK
BK,1998-07-30,31.719,32.0,31.688,31.91,892600,BK
BK,1998-07-31,32.0,32.25,31.594,31.82,1922600,BK
BK,1998-08-03,31.813,32.219,31.813,31.94,1261000,BK
BK,1998-08-04,30.282,32.032,30.282,32.0,2350200,BK
BK,1998-08-05,31.0,31.032,29.657,30.28,2662400,BK
BK,1998-08-06,30.813,31.032,30.563,30.88,1542400,BK
BK,1998-08-07,30.782,30.938,30.375,30.82,1318600,BK
BK,1998-08-10,30.188,30.75,30.188,30.69,1255000,BK
BK,1998-08-11,29.282,29.782,28.25,29.25,2523200,BK
BK,1998-08-12,30.5,30.563,29.938,30.25,2231200,BK
BK,1998-08-13,29.938,30.563,29.5,30.38,1524800,BK
BK,1998-08-14,29.313,30.5,28.875,30.06,1426100,BK
BK,1998-08-17,29.813,29.938,28.25,29.0,2008500,BK
BK,1998-08-18,30.125,30.375,29.25,29.38,2120500,BK
BK,1998-08-19,29.688,30.75,29.188,30.75,1666500,BK
BK,1998-08-20,28.75,29.5,28.625,29.44,1877300,BK
BK,1998-08-21,28.0,28.625,26.5,28.13,3112100,BK
BK,1998-08-24,28.438,29.0,27.5,28.63,1224700,BK
BK,1998-08-25,28.688,29.375,28.313,29.0,1431500,BK
BK,1998-08-26,28.188,28.688,27.688,28.13,1129100,BK
BK,1998-08-27,25.625,27.5,24.75,27.5,3808600,BK
BK,1998-08-28,25.5,26.5,25.375,26.0,2100100,BK
BK,1998-08-31,24.5,26.688,24.125,26.31,3138700,BK
BK,1998-09-01,25.813,26.0,24.125,24.63,3661700,BK
BK,1998-09-02,26.375,28.063,25.875,26.06,2444700,BK
BK,1998-09-03,25.813,26.313,25.375,25.75,2020500,BK
BK,1998-09-04,25.375,26.25,24.5,26.0,2219800,BK
BK,1998-09-07,25.375,26.25,24.5,26.0,0,BK
BK,1998-09-08,27.75,29.375,26.125,29.375,3367000,BK
BK,1998-09-09,26.875,27.75,26.625,27.75,1836700,BK
BK,1998-09-10,26.25,26.625,24.938,25.25,2004400,BK
BK,1998-09-11,27.75,28.0,25.75,26.0,2015899,BK
BK,1998-09-14,28.188,28.563,27.875,28.38,1865000,BK
BK,1998-09-15,29.375,29.438,27.938,28.25,1706400,BK
BK,1998-09-16,29.938,29.938,28.688,29.63,1849200,BK
BK,1998-09-17,28.18,28.875,27.75,27.88,1985000,BK
BK,1998-09-18,27.875,28.063,27.375,27.5,2591800,BK
BK,1998-09-21,28.5,28.625,26.063,26.88,1021099,BK
BK,1998-09-22,28.813,29.0,28.188,28.44,943900,BK
BK,1998-09-23,29.75,29.813,28.563,29.0,1431200,BK
BK,1998-09-24,27.813,29.688,27.375,29.5,1894900,BK
BK,1998-09-25,28.375,28.5,26.0,26.0,2837300,BK
BK,1998-09-28,29.063,29.688,28.563,29.0,2207700,BK
BK,1998-09-29,28.625,29.438,28.375,29.31,1744300,BK
BK,1998-09-30,27.375,28.0,26.313,27.88,1582200,BK
BK,1998-10-01,25.688,27.0,25.5,26.5,2324700,BK
BK,1998-10-02,27.188,27.5,25.063,26.25,1960000,BK
BK,1998-10-05,26.25,26.688,25.125,26.25,1706900,BK
BK,1998-10-06,26.063,27.5,25.0,27.5,1825300,BK
BK,1998-10-07,25.875,26.75,24.813,26.13,1544300,BK
BK,1998-10-08,26.438,26.438,24.0,24.0,3102100,BK
BK,1998-10-09,28.438,28.5,26.125,27.44,3567700,BK
BK,1998-10-12,28.938,29.813,28.688,29.0,1930200,BK
BK,1998-10-13,27.813,29.313,27.0,29.19,1907900,BK
BK,1998-10-14,28.438,28.75,27.125,27.31,1317500,BK
BK,1998-10-15,30.25,30.375,27.875,28.88,2384200,BK
BK,1998-10-16,30.75,31.813,30.125,31.25,3588100,BK
BK,1998-10-19,31.375,31.5,30.25,30.94,1489900,BK
BK,1998-10-20,31.563,32.563,31.313,31.94,2226900,BK
BK,1998-10-21,30.875,31.688,30.75,31.25,1249700,BK
BK,1998-10-22,31.313,31.438,30.063,30.31,1120400,BK
